text,risk_label,intent_label,tags,language,source
"Darhol akkauntingizni tasdiqlang, aks holda o'chiriladi",DANGEROUS,REQUEST,"phishing,urgency",uz,manual
"Karta raqami, amal qilish muddati va CVV kod kerak",DANGEROUS,REQUEST,"card_data,cvv,phishing",uz,manual
Telegram Premium tekinga! Faqat bugun: http://t-premium.click,DANGEROUS,UNKNOWN,"phishing,link",uz,manual
"Kodingizni menga ayting, tizimni tuzatamiz",DANGEROUS,REQUEST,"otp_request,phishing",uz,manual
Yangilanishni yuklab oling: update.apk,DANGEROUS,REQUEST,"malware,dangerous_file",uz,manual
Hujjatni ko'ring: scan_doc.pdf.exe,DANGEROUS,REQUEST,"malware,dangerous_file",uz,manual
Sizning hisobingiz xavf ostida! Kirish: http://secure-bank.xyz,DANGEROUS,REQUEST,"phishing,urgency,link",uz,manual
Pul yutug'ini rasmiylashtirish uchun karta raqamingizni yuboring,DANGEROUS,REQUEST,"card_data,prize_bait,phishing",uz,manual
Tekinga internet! Ulanish: http://free-net.ml,SUSPICIOUS,UNKNOWN,link,uz,manual
Sizning kodingiz: 1122. Uni xodimimizga ayting.,DANGEROUS,REQUEST,"otp_request,phishing",uz,manual
Bank xizmati: Karta bloklandi. Ochish uchun: http://unblock-card.io,DANGEROUS,REQUEST,"bank,phishing,link",uz,manual
Keshbek 50%! Batafsil: http://cashback-uz.click,SUSPICIOUS,UNKNOWN,"link,prize_bait",uz,manual
To'lovni tasdiqlash uchun kodni kiriting,DANGEROUS,REQUEST,"otp_request,phishing",uz,manual
Xush kelibsiz! Sizning parolingiz: 12345,SAFE,INFO,,uz,manual
Sizning kodingiz: 7788. Uni hech kimga e'lon qilmang.,SAFE,WARNING,"otp,otp_warning",uz,manual
Dasturni yangilang: browser_new.apk,DANGEROUS,REQUEST,"malware,dangerous_file",uz,manual
Yangi xabar keldi. O'qish: http://msg-read.top,SUSPICIOUS,UNKNOWN,"link,curiosity_bait",uz,manual
Sizning kodingiz: 5566. Uni xodimlarimiz ham so'ramaydi.,SAFE,WARNING,"otp,otp_warning",uz,manual
Hisobingiz to'ldirildi. Miqdor: 200000,SAFE,INFO,"bank,transaction_notice",uz,manual
Karta ma'lumotlari xavf ostida! Kodni ayting.,DANGEROUS,REQUEST,"otp_request,phishing",uz,manual
Bonus kodi: GIFT10. Ishlatish: http://gift.uz,SUSPICIOUS,UNKNOWN,"prize_bait,link",uz,manual
To'lovni bekor qilish uchun: http://cancel-pay.xyz,DANGEROUS,REQUEST,"phishing,link",uz,manual
Diqqat! Akkauntingizga chetdan kirildi. Tekshirish: http://auth-check.net,DANGEROUS,REQUEST,"phishing,link,urgency",uz,manual
Tasdiqlash kodi: 1111,SAFE,INFO,otp,uz,manual
Kodni yozib yuboring,DANGEROUS,REQUEST,"otp_request,phishing",uz,manual
To'lov kodi: 2222. Uni kiritish orqali to'lovni yakunlang.,SAFE,INFO,otp,uz,manual
"Hech kimga kodni bermang, bu firibgarlik bo'lishi mumkin!",SAFE,WARNING,otp_warning,uz,manual
Sizga keshbek qaytarildi: 15000 co'm,SAFE,INFO,"bank,transaction_notice",uz,manual
Kredit uchun arizangiz rad etildi,SAFE,INFO,bank,uz,manual
Kreditingiz ma'qullandi! Shartnoma: http://bank-credit.click,DANGEROUS,REQUEST,"phishing,link",uz,manual
Sovg'a yutdingiz! http://prize.online,SUSPICIOUS,UNKNOWN,"prize_bait,link",uz,manual
Karta raqamini yozing,DANGEROUS,REQUEST,"card_data,phishing",uz,manual
CVV kodini ayting,DANGEROUS,REQUEST,"card_data,cvv,phishing",uz,manual
Amal qilish muddati kerak,DANGEROUS,REQUEST,"card_data,phishing",uz,manual
Telegramni yangilang: tg_update.apk,DANGEROUS,REQUEST,"malware,dangerous_file",uz,manual
Hujjat: invoice.pdf.scr,DANGEROUS,REQUEST,"malware,dangerous_file",uz,manual
Siz tanlandingiz! http://winner.site,SUSPICIOUS,UNKNOWN,"prize_bait,link",uz,manual
Login parolingizni kiriting: http://login-verify.top,DANGEROUS,REQUEST,"phishing,link",uz,manual
Kod: 3333. Hech kimga bermang.,SAFE,INFO,otp,uz,manual
Xabar: 4444. Uni faqat saytimizda ishlating.,SAFE,INFO,otp,uz,manual
"Kesha: Salom, qayerdasan?",SAFE,UNKNOWN,,uz,manual
Onam: Non olib kel,SAFE,UNKNOWN,,uz,manual
Ishxonadan: Majlis boshlandi,SAFE,UNKNOWN,,uz,manual
SMS: To'lov qabul qilindi,SAFE,INFO,transaction_notice,uz,manual
Payme: Hisobingiz to'ldirildi,SAFE,INFO,"bank,transaction_notice",uz,manual
Click: O'tkazma bajarildi,SAFE,INFO,"bank,transaction_notice",uz,manual
Uzcard: Karta faollashtirildi,SAFE,INFO,bank,uz,manual
Humo: To'lov muvaffaqiyatli,SAFE,INFO,bank,uz,manual
Kod: 0000. Xavfsizligingiz uchun kodni maxfiy saqlang.,SAFE,WARNING,"otp,otp_warning",uz,manual
Hech qachon kodingizni begonalarga aytmang!,SAFE,WARNING,otp_warning,uz,manual
Kodni so'rayotgan shaxslarga ishonmang!,SAFE,WARNING,otp_warning,uz,manual
Sizga 5 000 000 so'm yutuq chiqdi! http://win5m.click,DANGEROUS,UNKNOWN,"prize_bait,link",uz,manual
To'lovni tasdiqlash: http://pay-confirm.net,DANGEROUS,REQUEST,"phishing,link",uz,manual
Karta blokirovka qilindi. http://bank-unblock.xyz,DANGEROUS,REQUEST,"phishing,link,urgency",uz,manual
Admin: Kodingizni yuboring,DANGEROUS,REQUEST,"otp_request,phishing",uz,manual
Moderator: Parolingizni tasdiqlang,DANGEROUS,REQUEST,phishing,uz,manual
Karta raqami?.,DANGEROUS,REQUEST,"card_data,phishing",uz,manual
CVV?.,DANGEROUS,REQUEST,"card_data,cvv,phishing",uz,manual
Aksiya: http://skidka.uz,SUSPICIOUS,UNKNOWN,link,uz,manual
Arzon narxlar: http://shop-sale.click,SUSPICIOUS,UNKNOWN,link,uz,manual
Video: http://tiktok-viral.ml,SUSPICIOUS,UNKNOWN,"link,curiosity_bait",uz,manual
Rasmingiz: http://photo-view.top,SUSPICIOUS,UNKNOWN,"link,curiosity_bait",uz,manual
Dastur: vpn_free.apk,DANGEROUS,REQUEST,"malware,dangerous_file",uz,manual
Fayl: doc_01.zip,SUSPICIOUS,UNKNOWN,,uz,manual
Sizning kodingiz: 6677. Uni hech kimga bermang.,SAFE,WARNING,"otp,otp_warning",uz,manual
Kodni faqat to'lov oynasiga kiriting.,SAFE,INFO,otp,uz,manual
Hisob: 35000 co'm qoldi.,SAFE,INFO,bank,uz,manual
Karta raqami: 8600****,SAFE,INFO,bank,uz,manual
Omonat muddati tugadi,SAFE,INFO,bank,uz,manual
Xavfsizlik: Akkauntga kirildi,SAFE,WARNING,,uz,manual
Diqqat: Parolni o'zgartiring,SAFE,WARNING,,uz,manual
Telegram kodi: 8888,SAFE,INFO,otp,uz,manual
Google kodi: 9999,SAFE,INFO,otp,uz,manual
Facebook kodi: 1122,SAFE,INFO,otp,uz,manual
Apple kodi: 3344,SAFE,INFO,otp,uz,manual
Instagram kodi: 5566,SAFE,INFO,otp,uz,manual
"Tasdiqlash kodi: 1212. Uni hech kimga bermang, xodimlarimiz ham so'ramaydi.",SAFE,WARNING,"otp,otp_warning",uz,manual
Xavfsizlik paroli: 4455,SAFE,INFO,otp,uz,manual
SMS xabarnoma: 10 000 so'm xalqaro o'tkazma,SAFE,INFO,"bank,transaction_notice",uz,manual
Yangi keshbek: 5000 so'm,SAFE,INFO,"bank,transaction_notice",uz,manual
Karta faollashtirish kodi: 9090,SAFE,INFO,otp,uz,manual
Tasdiqlash: http://legit-bank.uz,SAFE,UNKNOWN,link,uz,manual
Kodni yuboring iltimos,DANGEROUS,REQUEST,"otp_request,phishing",uz,manual
Kodni aytmasangiz karta bloklanadi,DANGEROUS,REQUEST,"otp_request,phishing,urgency",uz,manual
Shoshiling! http://hurry.click,DANGEROUS,UNKNOWN,"link,urgency",uz,manual
Tekinga pul! http://free-money.xyz,DANGEROUS,UNKNOWN,"prize_bait,link",uz,manual
Karta CVV va raqami yozilsin,DANGEROUS,REQUEST,"card_data,cvv,phishing",uz,manual
Hujjatni imzolang: sign.docx.exe,DANGEROUS,REQUEST,"malware,dangerous_file",uz,manual
Faylni yuklang: setup.apk,DANGEROUS,REQUEST,"malware,dangerous_file",uz,manual
Tasdiqlash kodi: 5555. Uni begonalarga ishonib topshirmang!,SAFE,WARNING,"otp,otp_warning",uz,manual
Security: Unusual login detected.,SAFE,WARNING,,en,manual
SafeTalk Warning: Suspicious activity.,SAFE,WARNING,,en,manual
Your OTP is 1234. Do not share.,SAFE,WARNING,"otp,otp_warning",en,manual
Payme: 50 000 so'm tushum!,SAFE,INFO,"bank,transaction_notice",uz,manual
Majlis soat 14:00 da.,SAFE,UNKNOWN,,uz,manual
Ertaga soat 10:00 da ko'rishamiz.,SAFE,UNKNOWN,,uz,manual
"Kechikaman, 15 daqiqada boraman.",SAFE,UNKNOWN,,uz,manual
"Salom, ishlar yaxshimi?",SAFE,UNKNOWN,,uz,manual
Uyga non olib keling.,SAFE,UNKNOWN,,uz,manual
Bugun dars bormi?,SAFE,UNKNOWN,,uz,manual
Qayerdasan?,SAFE,UNKNOWN,,uz,manual
Telefonga pul tashlab yuboring.,SAFE,UNKNOWN,,uz,manual
Nima gaplar?,SAFE,UNKNOWN,,uz,manual
Ertaga uchrashamiz.,SAFE,UNKNOWN,,uz,manual
Xizmat haqi: 1500 so'm.,SAFE,INFO,,uz,manual
Balansingizda 2000 so'm qoldi.,SAFE,INFO,bank,uz,manual
Bonus: +500 MB.,SAFE,INFO,,uz,manual
To'lov muvaffaqiyatli yakunlandi.,SAFE,INFO,transaction_notice,uz,manual
Sizga pul o'tkazildi: 100 000 so'm.,SAFE,INFO,"bank,transaction_notice",uz,manual
Karta ochish uchun ariza berildi.,SAFE,INFO,bank,uz,manual
Bank: Tasdiqlash kodi 1234. Uni xodimimizga ayting.,DANGEROUS,REQUEST,"otp_request,phishing",uz,manual
Diqqat: Kodingizni begonalarga bermang!,SAFE,WARNING,otp_warning,uz,manual
Yutuq yutib oldingiz! http://bonus.click,SUSPICIOUS,UNKNOWN,"prize_bait,link",uz,manual
iPhone 15 yutib olish imkoniyati!,SUSPICIOUS,UNKNOWN,prize_bait,uz,manual
Sovg'ani olish uchun shaxsiy ma'lumotlarni kiriting.,DANGEROUS,REQUEST,phishing,uz,manual
Akkauntingiz bloklandi. Darhol tekshiring: http://check.xyz,DANGEROUS,REQUEST,"phishing,urgency,link",uz,manual
Karta raqami va amal qilish muddatini yuboring.,DANGEROUS,REQUEST,"card_data,phishing",uz,manual
CVV kodini ayting iltimos.,DANGEROUS,REQUEST,"card_data,cvv,phishing",uz,manual
Telegram Premium tekin! http://t.me/free_premium,SUSPICIOUS,UNKNOWN,link,uz,manual
"Kodingizni menga ayting, tizimni yangilaymiz.",DANGEROUS,REQUEST,"otp_request,phishing",uz,manual
Dasturni yuklab oling: update.apk,DANGEROUS,REQUEST,"malware,dangerous_file",uz,manual
Hujjat: scan.pdf.exe,DANGEROUS,REQUEST,"malware,dangerous_file",uz,manual
Sizning hisobingiz xavf ostida! http://security-bank.xyz,DANGEROUS,REQUEST,"phishing,urgency,link",uz,manual
Yutuqni olish uchun karta raqamingiz kerak.,DANGEROUS,REQUEST,"card_data,prize_bait,phishing",uz,manual
Internet paketlar: http://internet.uz,SUSPICIOUS,UNKNOWN,link,uz,manual
Kodingiz: 5678. Uni faqat bizga ayting.,DANGEROUS,REQUEST,"otp_request,phishing",uz,manual
Bank: Karta bloklandi. http://unblock.io,DANGEROUS,REQUEST,"bank,phishing,link",uz,manual
Keshbek 10%! http://cb.click,SUSPICIOUS,UNKNOWN,"link,prize_bait",uz,manual
To'lovni tasdiqlash uchun kodingizni kiriting.,DANGEROUS,REQUEST,"otp_request,phishing",uz,manual
Parolingiz: 54321.,SAFE,INFO,,uz,manual
Kodingiz: 1122. Hech kimga bermang.,SAFE,WARNING,"otp,otp_warning",uz,manual
Yangilanish: vpn.apk,DANGEROUS,REQUEST,"malware,dangerous_file",uz,manual
Yangi xabar: http://msg.top,SUSPICIOUS,UNKNOWN,link,uz,manual
Kodingiz: 3344. Uni xodimlar so'ramaydi.,SAFE,WARNING,"otp,otp_warning",uz,manual
Hisobingiz to'ldirildi: 50 000.,SAFE,INFO,transaction_notice,uz,manual
Karta xavf ostida! Kodni ayting.,DANGEROUS,REQUEST,"otp_request,phishing",uz,manual
Bonus: GIFT50. http://gift.uz,SUSPICIOUS,UNKNOWN,"prize_bait,link",uz,manual
To'lovni bekor qilish: http://cancel.xyz,DANGEROUS,REQUEST,"phishing,link",uz,manual
Akkauntga kirish: http://auth.net,DANGEROUS,REQUEST,"phishing,link",uz,manual
Kodni yuboring.,DANGEROUS,REQUEST,"otp_request,phishing",uz,manual
To'lov kodi: 1111. Yakunlash uchun kiriting.,SAFE,INFO,otp,uz,manual
"Kodni bermang, bu firibgarlik!",SAFE,WARNING,otp_warning,uz,manual
Keshbek: 10 000 so'm.,SAFE,INFO,transaction_notice,uz,manual
Arizangiz rad etildi.,SAFE,INFO,,uz,manual
Kreditingiz ma'qullandi! http://credit.click,DANGEROUS,REQUEST,"phishing,link",uz,manual
Sovg'a! http://prize.online,SUSPICIOUS,UNKNOWN,"prize_bait,link",uz,manual
Karta raqami?,DANGEROUS,REQUEST,"card_data,phishing",uz,manual
CVV?,DANGEROUS,REQUEST,"card_data,cvv,phishing",uz,manual
Muddati?,DANGEROUS,REQUEST,"card_data,phishing",uz,manual
Yangilanish: tg.apk,DANGEROUS,REQUEST,"malware,dangerous_file",uz,manual
Hujjat: doc.exe,DANGEROUS,REQUEST,"malware,dangerous_file",uz,manual
Tanlandingiz! http://winner.site,SUSPICIOUS,UNKNOWN,"prize_bait,link",uz,manual
Login: http://login.top,DANGEROUS,REQUEST,"phishing,link",uz,manual
Kod: 1234. Maxfiy saqlang.,SAFE,INFO,otp,uz,manual
Xabar: 5678. Saytda ishlating.,SAFE,INFO,otp,uz,manual
"Salom, qandaysiz?",SAFE,UNKNOWN,,uz,manual
Non olib keling.,SAFE,UNKNOWN,,uz,manual
Majlis boshlandi.,SAFE,UNKNOWN,,uz,manual
To'lov qabul qilindi.,SAFE,INFO,transaction_notice,uz,manual
Hisobingiz to'ldirildi.,SAFE,INFO,transaction_notice,uz,manual
O'tkazma bajarildi.,SAFE,INFO,transaction_notice,uz,manual
Karta faollashtirildi.,SAFE,INFO,bank,uz,manual
To'lov muvaffaqiyatli.,SAFE,INFO,transaction_notice,uz,manual
Kod: 0000. Hech kimga bermang.,SAFE,WARNING,"otp,otp_warning",uz,manual
Begonalarga aytmang!,SAFE,WARNING,otp_warning,uz,manual
Ishonmang!,SAFE,WARNING,otp_warning,uz,manual
Yutuq: http://win.click,DANGEROUS,UNKNOWN,"prize_bait,link",uz,manual
Tasdiqlash: http://pay.net,DANGEROUS,REQUEST,"phishing,link",uz,manual
Blok: http://block.xyz,DANGEROUS,REQUEST,"phishing,link",uz,manual
Kodingizni yuboring.,DANGEROUS,REQUEST,"otp_request,phishing",uz,manual
Parol?,DANGEROUS,REQUEST,phishing,uz,manual
Karta raqami?,DANGEROUS,REQUEST,"card_data,phishing",uz,manual
CVV?,DANGEROUS,REQUEST,"card_data,cvv,phishing",uz,manual
Aksiya: http://skidka.uz,SUSPICIOUS,UNKNOWN,link,uz,manual
Arzon: http://sale.click,SUSPICIOUS,UNKNOWN,link,uz,manual
Video: http://video.ml,SUSPICIOUS,UNKNOWN,link,uz,manual
Rasm: http://photo.top,SUSPICIOUS,UNKNOWN,link,uz,manual
VPN: vpn.apk,DANGEROUS,REQUEST,"malware,dangerous_file",uz,manual
Fayl: doc.zip,SUSPICIOUS,UNKNOWN,,uz,manual
Tasdiqlash kodi: 5566. Uni hech kimga bermang.,SAFE,WARNING,"otp,otp_warning",uz,manual
Kod: 1133. Maxfiy tuting.,SAFE,INFO,otp,uz,manual
Balans: 5000 co'm.,SAFE,INFO,bank,uz,manual
Karta: 9860****,SAFE,INFO,bank,uz,manual
Muddati tugadi.,SAFE,INFO,bank,uz,manual
Akkauntga kirildi.,SAFE,WARNING,,uz,manual
Parolni o'zgartiring.,SAFE,WARNING,,uz,manual
Kodi: 1111.,SAFE,INFO,otp,uz,manual
Kodi: 2222.,SAFE,INFO,otp,uz,manual
Kodi: 3333.,SAFE,INFO,otp,uz,manual
Kodi: 4444.,SAFE,INFO,otp,uz,manual
Kodi: 5555.,SAFE,INFO,otp,uz,manual
Kod: 1212. Berilmasin.,SAFE,WARNING,"otp,otp_warning",uz,manual
Parol: 6677.,SAFE,INFO,otp,uz,manual
Tushum: 20 000.,SAFE,INFO,transaction_notice,uz,manual
Keshbek: 1000.,SAFE,INFO,transaction_notice,uz,manual
Kodi: 8080.,SAFE,INFO,otp,uz,manual
Sayt: http://bank.uz,SAFE,UNKNOWN,link,uz,manual
Kodingiz kerak.,DANGEROUS,REQUEST,"otp_request,phishing",uz,manual
Bloklanadi!,DANGEROUS,REQUEST,"phishing,urgency",uz,manual
Tezroq: http://quick.click,DANGEROUS,UNKNOWN,"link,urgency",uz,manual
Pul! http://money.xyz,DANGEROUS,UNKNOWN,"prize_bait,link",uz,manual
Karta CVV?,DANGEROUS,REQUEST,"card_data,cvv,phishing",uz,manual
Fayl: sign.exe,DANGEROUS,REQUEST,"malware,dangerous_file",uz,manual
Yuklang: setup.apk,DANGEROUS,REQUEST,"malware,dangerous_file",uz,manual
Kod: 9999. Bermang!,SAFE,WARNING,"otp,otp_warning",uz,manual
"Karta raqami va CVV kodini ayting, tizimni tekshiramiz",DANGEROUS,REQUEST,"otp_request,phishing",uz,aug
"Bu kodni hech kimga bermang, xodimlarimiz uni so'ramaydi. Kod: 476766",SAFE,WARNING,otp_warning,uz,aug
Sizning kodingiz: 485671,SAFE,INFO,otp,uz,aug
Karta ma'lumotlarini kiriting: http://unblock-card.io,DANGEROUS,REQUEST,phishing,uz,aug
Karta ma'lumotlarini kiriting: http://secure-login.xyz,DANGEROUS,REQUEST,phishing,uz,aug
Sizning kodingiz: 297161,SAFE,INFO,otp,uz,aug
Sizning raqamingiz g'olib bo'ldi! Sovg'ani olish: http://promo-gift.ml,SUSPICIOUS,UNKNOWN,"prize_bait,link",uz,aug
"Tasdiqlash kodini menga yuboring, aks holda bloklanadi",DANGEROUS,REQUEST,"otp_request,phishing",uz,aug
Tabriklaymiz! Siz iPhone yutib oldingiz. Batafsil: http://prize-win.top,SUSPICIOUS,UNKNOWN,"prize_bait,link",uz,aug
Sizga 678520 so'm bonus berildi! Olish uchun: http://bonusuz.click,SUSPICIOUS,UNKNOWN,"prize_bait,link",uz,aug
Tabriklaymiz! Siz iPhone yutib oldingiz. Batafsil: http://lucky-draw.net,SUSPICIOUS,UNKNOWN,"prize_bait,link",uz,aug
Hujjatni yuklab oling va oching: invoice.apk,DANGEROUS,REQUEST,"malware,dangerous_file",uz,aug
"Karta raqami va CVV kodini ayting, tizimni tekshiramiz",DANGEROUS,REQUEST,"otp_request,phishing",uz,aug
Diqqat! Kodni faqat bank ilovasiga kiriting. Uni begonalarga ishonib topshirmang.,SAFE,WARNING,otp_warning,uz,aug
Sizning hisobingiz xavf ostida! Kodni yuboring.,DANGEROUS,REQUEST,phishing,uz,aug
Sizga 616846 so'm bonus berildi! Olish uchun: http://promo-gift.ml,SUSPICIOUS,UNKNOWN,"prize_bait,link",uz,aug
Akkauntingiz bloklandi. Darhol loginni tasdiqlang: http://unblock-card.io,DANGEROUS,REQUEST,phishing,uz,aug
Balansingiz: 51540 so'm. To'lov muvaffaqiyatli.,SAFE,INFO,transaction_notice,uz,aug
Hisobingizga 440808 so'm kelib tushdi. Manba: Click,SAFE,INFO,transaction_notice,uz,aug
Hisobingizga 266762 so'm kelib tushdi. Manba: Uzum,SAFE,INFO,transaction_notice,uz,aug
Akkauntingiz bloklandi. Darhol loginni tasdiqlang: http://secure-login.xyz,DANGEROUS,REQUEST,phishing,uz,aug
"Kodni hoziroq yozib yuboring, pul o'tkazish kerak",DANGEROUS,REQUEST,phishing,uz,aug
Hisobingizga 52014 so'm kelib tushdi. Manba: Click,SAFE,INFO,transaction_notice,uz,aug
Sovrin yutdingiz! http://prize-win.top orqali profilingizni tasdiqlang,SUSPICIOUS,UNKNOWN,"prize_bait,link",uz,aug
Tabriklaymiz! Siz iPhone yutib oldingiz. Batafsil: http://prize-win.top,SUSPICIOUS,UNKNOWN,"prize_bait,link",uz,aug
To'lovni tasdiqlash uchun CVV kodni ayting.,DANGEROUS,REQUEST,"otp_request,phishing",uz,aug
"Kodni hoziroq yozib yuboring, pul o'tkazish kerak",DANGEROUS,REQUEST,phishing,uz,aug
Muvaffaqiyatli to'lov! Miqdor: 60953 so'm. Uzum,SAFE,INFO,transaction_notice,uz,aug
Sizning hisobingiz xavf ostida! Kodni yuboring.,DANGEROUS,REQUEST,phishing,uz,aug
Rasmni ko'ring: document.jpg.apk,DANGEROUS,REQUEST,"malware,dangerous_file",uz,aug
Rasmni ko'ring: scan.jpg.apk,DANGEROUS,REQUEST,"malware,dangerous_file",uz,aug
Hujjatni yuklab oling va oching: update.apk,DANGEROUS,REQUEST,"malware,dangerous_file",uz,aug
Hujjatni yuklab oling va oching: photo.apk,DANGEROUS,REQUEST,"malware,dangerous_file",uz,aug
"Karta raqami va CVV kodini ayting, tizimni tekshiramiz",DANGEROUS,REQUEST,"otp_request,phishing",uz,aug
Karta ma'lumotlarini kiriting: http://secure-login.xyz,DANGEROUS,REQUEST,phishing,uz,aug
Sizning raqamingiz g'olib bo'ldi! Sovg'ani olish: http://bonusuz.click,SUSPICIOUS,UNKNOWN,"prize_bait,link",uz,aug
Hujjatni yuklab oling va oching: photo.apk,DANGEROUS,REQUEST,"malware,dangerous_file",uz,aug
Sovrin yutdingiz! http://prize-win.top orqali profilingizni tasdiqlang,SUSPICIOUS,UNKNOWN,"prize_bait,link",uz,aug
Karta ma'lumotlarini kiriting: http://pay-check.top,DANGEROUS,REQUEST,phishing,uz,aug
Yangi aksiya! 1 000 000 so'm yutib oling: http://lucky-draw.net,SUSPICIOUS,UNKNOWN,"prize_bait,link",uz,aug
To'lovni tasdiqlash uchun CVV kodni ayting.,DANGEROUS,REQUEST,"otp_request,phishing",uz,aug
O'tkazma qabul qilindi: 199856 so'm. Humo/Uzcard,SAFE,INFO,transaction_notice,uz,aug
"Kodni hoziroq yozib yuboring, pul o'tkazish kerak",DANGEROUS,REQUEST,phishing,uz,aug
Sizning raqamingiz g'olib bo'ldi! Sovg'ani olish: http://lucky-draw.net,SUSPICIOUS,UNKNOWN,"prize_bait,link",uz,aug
Karta faollashtirildi. Kod: 196996,SAFE,INFO,transaction_notice,uz,aug
Yangi aksiya! 1 000 000 so'm yutib oling: http://bonusuz.click,SUSPICIOUS,UNKNOWN,"prize_bait,link",uz,aug
Sizning kodingiz: 102102,SAFE,INFO,otp,uz,aug
Xavfsizlik yuzasidan kodni maxfiy tuting. Bank xodimlariga ham bermang.,SAFE,WARNING,otp_warning,uz,aug
"Tasdiqlash kodini menga yuboring, aks holda bloklanadi",DANGEROUS,REQUEST,"otp_request,phishing",uz,aug
Sizning hisobingiz xavf ostida! Kodni yuboring.,DANGEROUS,REQUEST,phishing,uz,aug
Sizga 674349 so'm bonus berildi! Olish uchun: http://prize-win.top,SUSPICIOUS,UNKNOWN,"prize_bait,link",uz,aug
Muvaffaqiyatli to'lov! Miqdor: 16348 so'm. Payme,SAFE,INFO,transaction_notice,uz,aug
"Tasdiqlash kodini menga yuboring, aks holda bloklanadi",DANGEROUS,REQUEST,"otp_request,phishing",uz,aug
Karta faollashtirildi. Kod: 429772,SAFE,INFO,transaction_notice,uz,aug
Sovrin yutdingiz! http://lucky-draw.net orqali profilingizni tasdiqlang,SUSPICIOUS,UNKNOWN,"prize_bait,link",uz,aug
Karta ma'lumotlarini kiriting: http://unblock-card.io,DANGEROUS,REQUEST,phishing,uz,aug
Akkauntingiz bloklandi. Darhol loginni tasdiqlang: http://pay-check.top,DANGEROUS,REQUEST,phishing,uz,aug
Hujjatni yuklab oling va oching: video.apk,DANGEROUS,REQUEST,"malware,dangerous_file",uz,aug
"Karta raqami va CVV kodini ayting, tizimni tekshiramiz",DANGEROUS,REQUEST,"otp_request,phishing",uz,aug
Hujjatni yuklab oling va oching: scan.apk,DANGEROUS,REQUEST,"malware,dangerous_file",uz,aug
Akkauntingiz bloklandi. Darhol loginni tasdiqlang: http://secure-login.xyz,DANGEROUS,REQUEST,phishing,uz,aug
Sizning hisobingiz xavf ostida! Kodni yuboring.,DANGEROUS,REQUEST,phishing,uz,aug
Karta ma'lumotlarini kiriting: http://secure-login.xyz,DANGEROUS,REQUEST,phishing,uz,aug
