text,source,label
Telegram Premium free! Botga kiring https://t.me/prize_bot/208818 ),telegram,scam
Telegram Premium free! Botga kiring http://pay-check.net/777728 👍,telegram,scam
Davlat subsidiyasi uchun ariza qoldiring http://pay-check.net/871595,sms,scam
Sizga yangi transfer keldi 758 000. Qabul qiling http://pay-check.net/583623!!,sms,scam
Telegram Premium free! Botga kiring http://pay-check.net/818913 ?,telegram,scam
Davlat subsidiyasi uchun ariza qoldiring https://bit.ly/claim-438965 (,sms,scam
Yutuq sohibi bo'ldingiz! 779 000 so'm yutdingiz. https://t.me/prize_bot/521794 -,sms,scam
MTS: Hisobingizda kutilmagan faollik. https://t.me/prize_bot/664531 👍,telegram,scam
Hisobingizdan 263 000 yechildi. Bekor qilish http://click-safety.uz/161487 -,telegram,scam
Davlat subsidiyasi uchun ariza qoldiring http://pay-check.net/195386 👍,sms,scam
Davlat subsidiyasi uchun ariza qoldiring https://t.me/prize_bot/872838!!,telegram,scam
Yutuq sohibi bo'ldingiz! 779 000 so'm yutdingiz. https://t.me/prize_bot/814415...,sms,scam
Telegram Premium free! Botga kiring http://pay-check.net/162842 ),telegram,scam
Telegram Premium free! Botga kiring https://bit.ly/claim-571175 OK,telegram,scam
Sizning kartangiz bloklandi. Tasdiqlash uchun: https://t.me/prize_bot/738357 -,telegram,scam
Telegram Premium free! Botga kiring http://pay-check.net/888220!!,sms,scam
Yutuq sohibi bo'ldingiz! 286 000 so'm yutdingiz. http://uz-confirm.com/211564!!,telegram,scam
Sizga yangi transfer keldi 280 000. Qabul qiling https://bit.ly/claim-399193 ?,telegram,scam
Sizning kartangiz bloklandi. Tasdiqlash uchun: http://click-safety.uz/703591!!,sms,scam
Davlat subsidiyasi uchun ariza qoldiring http://click-safety.uz/721009,telegram,scam
Yutuq sohibi bo'ldingiz! 486 000 so'm yutdingiz. http://pay-check.net/479158 ),telegram,scam
Sizning kartangiz bloklandi. Tasdiqlash uchun: https://bit.ly/claim-318253...,telegram,scam
Click: To'lov xatosi. Kartani qayta bog'lang http://click-safety.uz/91802,sms,scam
Sizning kartangiz bloklandi. Tasdiqlash uchun: http://pay-check.net/446198.,sms,scam
Click: To'lov xatosi. Kartani qayta bog'lang https://t.me/prize_bot/977701!!,telegram,scam
Davlat subsidiyasi uchun ariza qoldiring https://t.me/prize_bot/3735 OK,sms,scam
Yutuq sohibi bo'ldingiz! 682 000 so'm yutdingiz. https://bit.ly/claim-845905 :),telegram,scam
Sizning kartangiz bloklandi. Tasdiqlash uchun: https://t.me/prize_bot/240805 -,sms,scam
Sizga yangi transfer keldi 266 000. Qabul qiling http://uz-confirm.com/692336!,telegram,scam
Click: To'lov xatosi. Kartani qayta bog'lang http://pay-check.net/404849 -,sms,scam
Sizga yangi transfer keldi 383 000. Qabul qiling http://click-safety.uz/763927 ),sms,scam
Sizning kartangiz bloklandi. Tasdiqlash uchun: http://click-safety.uz/634942 (,telegram,scam
Sizning kartangiz bloklandi. Tasdiqlash uchun: http://uz-confirm.com/292545 ?,telegram,scam
Sizga yangi transfer keldi 417 000. Qabul qiling https://t.me/prize_bot/366067 👍,telegram,scam
Yutuq sohibi bo'ldingiz! 139 000 so'm yutdingiz. http://pay-check.net/864864...,sms,scam
MTS: Hisobingizda kutilmagan faollik. http://pay-check.net/618513 ?,telegram,scam
Sizning kartangiz bloklandi. Tasdiqlash uchun: http://click-safety.uz/439662 ?,telegram,scam
Click: To'lov xatosi. Kartani qayta bog'lang http://uz-confirm.com/334058 (,sms,scam
Davlat subsidiyasi uchun ariza qoldiring https://t.me/prize_bot/766509..,telegram,scam
Click: To'lov xatosi. Kartani qayta bog'lang http://pay-check.net/226238 ),telegram,scam
Yutuq sohibi bo'ldingiz! 370 000 so'm yutdingiz. https://bit.ly/claim-465815,telegram,scam
MTS: Hisobingizda kutilmagan faollik. https://t.me/prize_bot/381613..,telegram,scam
Davlat subsidiyasi uchun ariza qoldiring https://bit.ly/claim-607611 (,sms,scam
Click: To'lov xatosi. Kartani qayta bog'lang http://click-safety.uz/564787!!,sms,scam
Sizga yangi transfer keldi 450 000. Qabul qiling https://bit.ly/claim-688370 :),telegram,scam
Click: To'lov xatosi. Kartani qayta bog'lang https://bit.ly/claim-75187 -,telegram,scam
Yutuq sohibi bo'ldingiz! 339 000 so'm yutdingiz. https://bit.ly/claim-382194...,telegram,scam
Telegram Premium free! Botga kiring https://t.me/prize_bot/73182 ?,sms,scam
Davlat subsidiyasi uchun ariza qoldiring http://uz-confirm.com/68444 ?,telegram,scam
Click: To'lov xatosi. Kartani qayta bog'lang https://bit.ly/claim-309218 OK,telegram,scam
Hisobingizdan 725 000 yechildi. Bekor qilish https://bit.ly/claim-120061 -,telegram,scam
Telegram Premium free! Botga kiring https://t.me/prize_bot/706628 👍,telegram,scam
Sizning kartangiz bloklandi. Tasdiqlash uchun: https://bit.ly/claim-968735.,telegram,scam
Davlat subsidiyasi uchun ariza qoldiring http://click-safety.uz/664490 OK,telegram,scam
Click: To'lov xatosi. Kartani qayta bog'lang http://pay-check.net/563659 (,sms,scam
MTS: Hisobingizda kutilmagan faollik. http://pay-check.net/893102 ),telegram,scam
MTS: Hisobingizda kutilmagan faollik. http://uz-confirm.com/40061 ),sms,scam
Click: To'lov xatosi. Kartani qayta bog'lang https://t.me/prize_bot/267991.,telegram,scam
Click: To'lov xatosi. Kartani qayta bog'lang http://click-safety.uz/170644...,sms,scam
Click: To'lov xatosi. Kartani qayta bog'lang http://pay-check.net/352987,telegram,scam
Click: To'lov xatosi. Kartani qayta bog'lang https://t.me/prize_bot/831210 OK,sms,scam
Sizga yangi transfer keldi 94 000. Qabul qiling http://pay-check.net/724928...,telegram,scam
Sizga yangi transfer keldi 778 000. Qabul qiling http://pay-check.net/511593!!,sms,scam
MTS: Hisobingizda kutilmagan faollik. http://pay-check.net/605044.,telegram,scam
MTS: Hisobingizda kutilmagan faollik. http://click-safety.uz/772192 -,telegram,scam
Davlat subsidiyasi uchun ariza qoldiring https://t.me/prize_bot/246737 OK,sms,scam
Yutuq sohibi bo'ldingiz! 546 000 so'm yutdingiz. http://uz-confirm.com/597588 -,telegram,scam
Sizga yangi transfer keldi 377 000. Qabul qiling http://pay-check.net/512657 -,telegram,scam
Davlat subsidiyasi uchun ariza qoldiring https://t.me/prize_bot/843777,telegram,scam
Davlat subsidiyasi uchun ariza qoldiring https://bit.ly/claim-971041...,telegram,scam
MTS: Hisobingizda kutilmagan faollik. https://t.me/prize_bot/583294 (,sms,scam
Sizga yangi transfer keldi 380 000. Qabul qiling http://click-safety.uz/964331 :),telegram,scam
Click: To'lov xatosi. Kartani qayta bog'lang https://t.me/prize_bot/852180 ),sms,scam
Yutuq sohibi bo'ldingiz! 406 000 so'm yutdingiz. http://uz-confirm.com/397356 👍,telegram,scam
Telegram Premium free! Botga kiring https://bit.ly/claim-641297 -,telegram,scam
Hisobingizdan 90 000 yechildi. Bekor qilish http://pay-check.net/540646..,sms,scam
Sizga yangi transfer keldi 760 000. Qabul qiling https://t.me/prize_bot/640323 ),sms,scam
Davlat subsidiyasi uchun ariza qoldiring http://uz-confirm.com/468541.,sms,scam
MTS: Hisobingizda kutilmagan faollik. http://pay-check.net/722057,sms,scam
Telegram Premium free! Botga kiring https://bit.ly/claim-72051 OK,telegram,scam
Davlat subsidiyasi uchun ariza qoldiring http://pay-check.net/620052 ?,telegram,scam
Hisobingizdan 289 000 yechildi. Bekor qilish https://t.me/prize_bot/852252!!,sms,scam
Hisobingizdan 658 000 yechildi. Bekor qilish http://uz-confirm.com/75752,telegram,scam
Sizning kartangiz bloklandi. Tasdiqlash uchun: https://t.me/prize_bot/967199 OK,telegram,scam
Davlat subsidiyasi uchun ariza qoldiring http://click-safety.uz/714394.,sms,scam
Telegram Premium free! Botga kiring http://uz-confirm.com/142719!,telegram,scam
Telegram Premium free! Botga kiring http://pay-check.net/993028!!,sms,scam
Yutuq sohibi bo'ldingiz! 428 000 so'm yutdingiz. https://t.me/prize_bot/57774 -,sms,scam
MTS: Hisobingizda kutilmagan faollik. http://pay-check.net/846875.,telegram,scam
Yutuq sohibi bo'ldingiz! 338 000 so'm yutdingiz. https://bit.ly/claim-788747 :),telegram,scam
Sizning kartangiz bloklandi. Tasdiqlash uchun: http://uz-confirm.com/956661 ?,sms,scam
Telegram Premium free! Botga kiring https://bit.ly/claim-3671!,sms,scam
Sizga yangi transfer keldi 493 000. Qabul qiling https://t.me/prize_bot/423875,telegram,scam
Telegram Premium free! Botga kiring http://uz-confirm.com/772556 👍,sms,scam
Yutuq sohibi bo'ldingiz! 280 000 so'm yutdingiz. http://uz-confirm.com/782366 ),sms,scam
Davlat subsidiyasi uchun ariza qoldiring https://bit.ly/claim-445197 OK,telegram,scam
Click: To'lov xatosi. Kartani qayta bog'lang http://pay-check.net/306662 -,telegram,scam
Hisobingizdan 94 000 yechildi. Bekor qilish https://t.me/prize_bot/786608...,sms,scam
Telegram Premium free! Botga kiring https://bit.ly/claim-34501!!,sms,scam
MTS: Hisobingizda kutilmagan faollik. http://click-safety.uz/694710..,sms,scam
Davlat subsidiyasi uchun ariza qoldiring http://pay-check.net/626509 -,telegram,scam
Telegram Premium free! Botga kiring https://t.me/prize_bot/15606,sms,scam
Hisobingizdan 547 000 yechildi. Bekor qilish http://click-safety.uz/111337,telegram,scam
Yutuq sohibi bo'ldingiz! 280 000 so'm yutdingiz. http://click-safety.uz/65496 -,telegram,scam
Yutuq sohibi bo'ldingiz! 217 000 so'm yutdingiz. http://click-safety.uz/944456 ?,telegram,scam
Sizga yangi transfer keldi 310 000. Qabul qiling http://click-safety.uz/101431 ),sms,scam
Sizning kartangiz bloklandi. Tasdiqlash uchun: http://pay-check.net/360139!,sms,scam
Sizning kartangiz bloklandi. Tasdiqlash uchun: https://t.me/prize_bot/535806!!,telegram,scam
Sizning kartangiz bloklandi. Tasdiqlash uchun: https://t.me/prize_bot/596829!!,telegram,scam
Yutuq sohibi bo'ldingiz! 266 000 so'm yutdingiz. https://t.me/prize_bot/310497 -,sms,scam
Davlat subsidiyasi uchun ariza qoldiring https://t.me/prize_bot/948094!!,sms,scam
Telegram Premium free! Botga kiring http://click-safety.uz/326833 -,sms,scam
Hisobingizdan 339 000 yechildi. Bekor qilish https://t.me/prize_bot/239674!,sms,scam
Sizning kartangiz bloklandi. Tasdiqlash uchun: http://click-safety.uz/691275!!,sms,scam
Telegram Premium free! Botga kiring http://pay-check.net/880562 👍,sms,scam
Davlat subsidiyasi uchun ariza qoldiring http://uz-confirm.com/947195!!,telegram,scam
Hisobingizdan 104 000 yechildi. Bekor qilish https://bit.ly/claim-472554,sms,scam
Hisobingizdan 538 000 yechildi. Bekor qilish https://bit.ly/claim-283370 (,telegram,scam
Davlat subsidiyasi uchun ariza qoldiring http://click-safety.uz/363386...,sms,scam
MTS: Hisobingizda kutilmagan faollik. http://uz-confirm.com/350369.,telegram,scam
Sizning kartangiz bloklandi. Tasdiqlash uchun: http://uz-confirm.com/911467 -,telegram,scam
Hisobingizdan 342 000 yechildi. Bekor qilish http://uz-confirm.com/952183 -,telegram,scam
Davlat subsidiyasi uchun ariza qoldiring https://t.me/prize_bot/727499!,telegram,scam
Yutuq sohibi bo'ldingiz! 665 000 so'm yutdingiz. http://uz-confirm.com/673681 ),telegram,scam
MTS: Hisobingizda kutilmagan faollik. https://t.me/prize_bot/465494.,telegram,scam
MTS: Hisobingizda kutilmagan faollik. http://uz-confirm.com/328485!,telegram,scam
Sizning kartangiz bloklandi. Tasdiqlash uchun: http://uz-confirm.com/476533,sms,scam
Yutuq sohibi bo'ldingiz! 501 000 so'm yutdingiz. http://pay-check.net/397357!!,telegram,scam
Sizga yangi transfer keldi 225 000. Qabul qiling https://t.me/prize_bot/665653 -,telegram,scam
Click: To'lov xatosi. Kartani qayta bog'lang http://uz-confirm.com/704019 👍,sms,scam
Sizning kartangiz bloklandi. Tasdiqlash uchun: http://uz-confirm.com/557092 👍,sms,scam
Davlat subsidiyasi uchun ariza qoldiring https://bit.ly/claim-868420 -,sms,scam
Yutuq sohibi bo'ldingiz! 658 000 so'm yutdingiz. https://bit.ly/claim-165420 👍,telegram,scam
Sizning kartangiz bloklandi. Tasdiqlash uchun: https://t.me/prize_bot/350860!!,telegram,scam
Sizga yangi transfer keldi 258 000. Qabul qiling http://pay-check.net/708893 :),telegram,scam
Click: To'lov xatosi. Kartani qayta bog'lang http://click-safety.uz/179115 -,telegram,scam
MTS: Hisobingizda kutilmagan faollik. http://pay-check.net/427606...,telegram,scam
Telegram Premium free! Botga kiring https://bit.ly/claim-529900,telegram,scam
Sizga yangi transfer keldi 168 000. Qabul qiling http://pay-check.net/834677!!,telegram,scam
Sizning kartangiz bloklandi. Tasdiqlash uchun: https://t.me/prize_bot/135984...,telegram,scam
MTS: Hisobingizda kutilmagan faollik. http://pay-check.net/332941...,sms,scam
Yutuq sohibi bo'ldingiz! 339 000 so'm yutdingiz. http://pay-check.net/180141.,telegram,scam
Yutuq sohibi bo'ldingiz! 383 000 so'm yutdingiz. http://click-safety.uz/993394..,sms,scam
Hisobingizdan 167 000 yechildi. Bekor qilish http://uz-confirm.com/63112!,telegram,scam
Davlat subsidiyasi uchun ariza qoldiring https://bit.ly/claim-981723 :),sms,scam
Davlat subsidiyasi uchun ariza qoldiring http://pay-check.net/193852.,sms,scam
Hisobingizdan 816 000 yechildi. Bekor qilish https://bit.ly/claim-309802.,sms,scam
Sizning kartangiz bloklandi. Tasdiqlash uchun: https://bit.ly/claim-712257 (,telegram,scam
Hisobingizdan 103 000 yechildi. Bekor qilish http://uz-confirm.com/148211 (,sms,scam
Sizga yangi transfer keldi 538 000. Qabul qiling https://bit.ly/claim-372644..,telegram,scam
Hisobingizdan 84 000 yechildi. Bekor qilish http://uz-confirm.com/146283 👍,sms,scam
Sizga yangi transfer keldi 861 000. Qabul qiling https://bit.ly/claim-689489 ),telegram,scam
Telegram Premium free! Botga kiring https://bit.ly/claim-80684 OK,sms,scam
Sizning kartangiz bloklandi. Tasdiqlash uchun: https://bit.ly/claim-623498!,telegram,scam
Click: To'lov xatosi. Kartani qayta bog'lang http://click-safety.uz/334563 (,sms,scam
Sizning kartangiz bloklandi. Tasdiqlash uchun: https://t.me/prize_bot/485644 OK,telegram,scam
Hisobingizdan 514 000 yechildi. Bekor qilish http://pay-check.net/208098 :),telegram,scam
Sizning kartangiz bloklandi. Tasdiqlash uchun: http://uz-confirm.com/756215 ),sms,scam
Davlat subsidiyasi uchun ariza qoldiring http://click-safety.uz/990940 👍,telegram,scam
Yutuq sohibi bo'ldingiz! 406 000 so'm yutdingiz. http://pay-check.net/43000 ),telegram,scam
Davlat subsidiyasi uchun ariza qoldiring http://uz-confirm.com/529409!!,sms,scam
Telegram Premium free! Botga kiring http://uz-confirm.com/288876 OK,sms,scam
Yutuq sohibi bo'ldingiz! 339 000 so'm yutdingiz. https://bit.ly/claim-630948 :),sms,scam
Sizga yangi transfer keldi 546 000. Qabul qiling https://bit.ly/claim-806019 -,telegram,scam
Hisobingizdan 167 000 yechildi. Bekor qilish http://click-safety.uz/639980 👍,telegram,scam
Sizga yangi transfer keldi 333 000. Qabul qiling http://click-safety.uz/223350!!,sms,scam
Hisobingizdan 143 000 yechildi. Bekor qilish https://t.me/prize_bot/629154..,sms,scam
Telegram Premium free! Botga kiring https://bit.ly/claim-690778 👍,sms,scam
Hisobingizdan 752 000 yechildi. Bekor qilish https://bit.ly/claim-894632 :),sms,scam
Hisobingizdan 679 000 yechildi. Bekor qilish http://pay-check.net/519384 OK,sms,scam
Sizning kartangiz bloklandi. Tasdiqlash uchun: http://uz-confirm.com/770041 👍,telegram,scam
Click: To'lov xatosi. Kartani qayta bog'lang http://pay-check.net/527212!,sms,scam
Davlat subsidiyasi uchun ariza qoldiring https://t.me/prize_bot/278021!!,telegram,scam
Sizga yangi transfer keldi 688 000. Qabul qiling https://t.me/prize_bot/893091 OK,telegram,scam
Yutuq sohibi bo'ldingiz! 338 000 so'm yutdingiz. https://t.me/prize_bot/773880 ),telegram,scam
Click: To'lov xatosi. Kartani qayta bog'lang http://pay-check.net/673508!,sms,scam
Telegram Premium free! Botga kiring https://t.me/prize_bot/875442.,sms,scam
Click: To'lov xatosi. Kartani qayta bog'lang https://bit.ly/claim-824055 OK,sms,scam
Sizga yangi transfer keldi 444 000. Qabul qiling http://pay-check.net/11918...,telegram,scam
Sizga yangi transfer keldi 196 000. Qabul qiling http://uz-confirm.com/897704!!,telegram,scam
Click: To'lov xatosi. Kartani qayta bog'lang https://t.me/prize_bot/401726 ?,sms,scam
Sizga yangi transfer keldi 428 000. Qabul qiling http://pay-check.net/396955 (,sms,scam
Sizga yangi transfer keldi 778 000. Qabul qiling http://pay-check.net/830716 ?,telegram,scam
Telegram Premium free! Botga kiring https://t.me/prize_bot/135122..,telegram,scam
Hisobingizdan 570 000 yechildi. Bekor qilish https://bit.ly/claim-535201 👍,telegram,scam
MTS: Hisobingizda kutilmagan faollik. https://bit.ly/claim-974683 (,telegram,scam
Hisobingizdan 357 000 yechildi. Bekor qilish http://click-safety.uz/772670...,sms,scam
MTS: Hisobingizda kutilmagan faollik. https://bit.ly/claim-602778 ?,telegram,scam
Davlat subsidiyasi uchun ariza qoldiring http://pay-check.net/769860 👍,sms,scam
