text,label,category,language,source
Notice: children should be protected from inappropriate internet material,SAFE,ADULT,en,semantic_context_v1
"Hurmatli mijoz, bir haftada kriptoni ikki baravar ko'paytirish haqidagi postni ko'rdingizmi.",SUSPICIOUS,GAMBLING,uz,semantic_context_v1
"Привет, этот канал делится идеями, которые противоречат нашим текущим законам?",SUSPICIOUS,EXTREMISM,ru,semantic_context_v1
"Salom, nima uchun bu shaxsiy rasm bu yerda tarqalmoqda!!",SUSPICIOUS,ADULT,uz,semantic_context_v1
Ogohlantirish: juma namozi inshaalloh soat 13:00 da markaziy masjidda o'qiladi,SAFE,EXTREMISM,uz,semantic_context_v1
Watch the leaked private tape now before it gets deleted [link]. ngl,DANGEROUS,ADULT,en,semantic_context_v1
"Забери свой бонус казино на 1000 долларов сейчас, это не скам http://scam.ru...",DANGEROUS,GAMBLING,ru,semantic_context_v1
"Ogohlantirish: ro'yxatdan o'tmasdan to'liq porno videolarni yuklab oling, bu yerni bosing http://kripto-foyda.uz...",DANGEROUS,ADULT,uz,semantic_context_v1
"Hello, join the hidden vip channel for exclusive 18+ leaked content tonight http://crypto-double.com !",DANGEROUS,ADULT,en,semantic_context_v1
религиозная группа организует благотворительное мероприятие для сирот...,SAFE,EXTREMISM,ru,semantic_context_v1
Ogohlantirish: qur'onni yaxshiroq o'rganish uchun islomiy darslarga qatnashyapman!!,SAFE,EXTREMISM,uz,semantic_context_v1
Ты видел тот пост об удвоении крипты за неделю,SUSPICIOUS,GAMBLING,ru,semantic_context_v1
diqqat: ular asosiy chatda eskort xizmatlari haqida gaplashishmoqda.,SUSPICIOUS,ADULT,uz,semantic_context_v1
"Dear user, did you see that post about doubling crypto in a week!",SUSPICIOUS,GAMBLING,en,semantic_context_v1
100% guaranteed profit on the next match. Buy VIP signals here http://crypto-double.com. plz,DANGEROUS,GAMBLING,en,semantic_context_v1
Ular qilgan ishlari uchun o'limga mahkumdir. Jihod vaqti keldi!! iltimos,DANGEROUS,EXTREMISM,uz,semantic_context_v1
Yangi davlat qoidalari haqidagi yangiliklarni eshitdingizmi...,SAFE,GAMBLING,uz,semantic_context_v1
DIQQAT: bugun ochiq mavzular muhokama qilinganidan hayron qoldim!! brat,SUSPICIOUS,ADULT,uz,semantic_context_v1
[ALERT] we must practice patience and kindness as our religion teaches us.,SAFE,EXTREMISM,en,semantic_context_v1
qo'shimcha pul ishlash guruhiga qo'shilishni xohlaysizmi!!,SUSPICIOUS,GAMBLING,uz,semantic_context_v1
"Здарова, кто сегодня раздавал эти странные брошюры возле мечети !  брат",SUSPICIOUS,EXTREMISM,ru,semantic_context_v1
Inqilobni qo'llab-quvvatlash uchun ushbu hamyonga pul yuboring http://scam.uz.,DANGEROUS,EXTREMISM,uz,semantic_context_v1
we need to schedule the sex education session for the biology class! tbh,SAFE,ADULT,en,semantic_context_v1
"Hi, claim your $1000 casino bonus now, this is not a scam http://scam.uz",DANGEROUS,GAMBLING,en,semantic_context_v1
Notice: did you see the mature content they sent in the group.,SUSPICIOUS,ADULT,en,semantic_context_v1
"Здарова, вам интересна новая группа для дополнительного заработка... в лс",SUSPICIOUS,GAMBLING,ru,semantic_context_v1
We are recruiting soldiers for the holy war. Join our secret channel [link]?,DANGEROUS,EXTREMISM,en,semantic_context_v1
"1000$ kazino bonusingizni hoziroq oling, bu firibgarlik emas [havola] !",DANGEROUS,GAMBLING,uz,semantic_context_v1
"Qalay, shaxmat o'yinida biroz garov bog'ladik, lekin bu shunchaki o'yin edi.",SAFE,GAMBLING,uz,semantic_context_v1
ВНИМАНИЕ: 100% гарантированная прибыль на следующий матч. купить vip сигналы здесь http://zarabotok.ru!! брат,DANGEROUS,GAMBLING,ru,semantic_context_v1
"Salom, kimdir kecha 18+ kontent uchun g'alati havola ulashdi...",SUSPICIOUS,ADULT,uz,semantic_context_v1
Earn money and become rich immediately with our crypto trading bot http://scam.uz!,DANGEROUS,GAMBLING,en,semantic_context_v1
"Я посещаю исламские занятия, чтобы лучше изучать Коран!",SAFE,EXTREMISM,ru,semantic_context_v1
"Qalay, ushbu hujjatli film katta yoshdagilar uchun mo'ljallangan qadimiy mavzularni muhokama qiladi !",SAFE,ADULT,uz,semantic_context_v1
"Hi, they deserve violence for what they have done. it is time for jihad...",DANGEROUS,EXTREMISM,en,semantic_context_v1
Support the revolution by sending anonymous donations to this wallet [link]?,DANGEROUS,EXTREMISM,en,semantic_context_v1
Muhim: ba'zilar jamiyatni tozalash uchun qattiq choralar ko'rish zarur deb biladi !,SUSPICIOUS,EXTREMISM,uz,semantic_context_v1
"Salom, juma namozi inshaalloh soat 13:00 da markaziy masjidda o'qiladi...",SAFE,EXTREMISM,uz,semantic_context_v1
Earn money and become rich immediately with our crypto trading bot http://scam.uz?,DANGEROUS,GAMBLING,en,semantic_context_v1
[ALERT] watch the leaked private tape now before it gets deleted t.me/fake_channel !,DANGEROUS,ADULT,en,semantic_context_v1
"Birodarlar, kofirlarga qarshi kurashish va harakat qilish vaqti keldi! Qo'zg'alish kerak t.me/yopiq_guruh... uka",DANGEROUS,EXTREMISM,uz,semantic_context_v1
"assalomu alaykum, biologiya darsi uchun jinsiy tarbiya mashg'ulotini rejalashtirishimiz kerak !",SAFE,ADULT,uz,semantic_context_v1
"Salom, bugun 100 foiz to'lov kafolatlanadi! 50$ tikib, 2 soatda 500$ oling: http://scam.uz",DANGEROUS,GAMBLING,uz,semantic_context_v1
"Hi, watch the leaked private tape now before it gets deleted [link] !",DANGEROUS,ADULT,en,semantic_context_v1
"Hurmatli mijoz, qo'shimcha pul ishlash guruhiga qo'shilishni xohlaysizmi.",SUSPICIOUS,GAMBLING,uz,semantic_context_v1
diniy jamoa yetimlar uchun xayriya tadbirini uyushtirmoqda !  yozvor,SAFE,EXTREMISM,uz,semantic_context_v1
URGENT: my doctor prescribed medication for a reproductive health issue. asap!,SAFE,ADULT,en,semantic_context_v1
"Qalay, mahalliy futbol jamoasi kechagi o'yinda yutib chiqdi!",SAFE,GAMBLING,uz,semantic_context_v1
Ular asosiy chatda eskort xizmatlari haqida gaplashishmoqda!!,SUSPICIOUS,ADULT,uz,semantic_context_v1
We are recruiting soldiers for the holy war. Join our secret channel [link],DANGEROUS,EXTREMISM,en,semantic_context_v1
Ты видел тот пост об удвоении крипты за неделю!,SUSPICIOUS,GAMBLING,ru,semantic_context_v1
Вам интересна новая группа для дополнительного заработка!!,SUSPICIOUS,GAMBLING,ru,semantic_context_v1
"Hello, children should be protected from inappropriate internet material? plz",SAFE,ADULT,en,semantic_context_v1
Muhim: biz muqaddas urush uchun askarlarni jalb qilmoqdamiz. yashirin guruhimizga qo'shiling http://scam.uz,DANGEROUS,EXTREMISM,uz,semantic_context_v1
have you read the new interpretation posted by that controversial scholar!! dm me,SUSPICIOUS,EXTREMISM,en,semantic_context_v1
"Bugun 100 foiz to'lov kafolatlanadi! 50$ tikib, 2 soatda 500$ oling: bit.ly/uzb_link !  brat",DANGEROUS,GAMBLING,uz,semantic_context_v1
Meet local girls tonight for private escort services http://scam.uz!! asap!,DANGEROUS,ADULT,en,semantic_context_v1
"присоединяйтесь к скрытому vip-каналу, чтобы получить эксклюзивный слитый контент 18+ сегодня ночью t.me/super_vzlom!!",DANGEROUS,ADULT,ru,semantic_context_v1
Ты видел тот пост об удвоении крипты за неделю.,SUSPICIOUS,GAMBLING,ru,semantic_context_v1
"Привет, найден баг в ставках! используй эту стратегию, чтобы выигрывать каждый раз t.me/super_vzlom...",DANGEROUS,GAMBLING,ru,semantic_context_v1
"Уважаемый клиент, они обсуждают эскорт-услуги в главном чате?",SUSPICIOUS,ADULT,ru,semantic_context_v1
O'sha tortishuvli domla haqidagi yangi talqinni o'qib chiqdingizmi...,SUSPICIOUS,EXTREMISM,uz,semantic_context_v1
"diqqat: shu yangi o'yinlarda omadim keldi, sen ham ko'rasanmi?",SUSPICIOUS,GAMBLING,uz,semantic_context_v1
[ALERT] they deserve violence for what they have done. it is time for jihad... ASAP,DANGEROUS,EXTREMISM,en,semantic_context_v1
Мой врач прописал лекарство для решения проблемы репродуктивного здоровья!!,SAFE,ADULT,ru,semantic_context_v1
Ular asosiy chatda eskort xizmatlari haqida gaplashishmoqda!! iltimos,SUSPICIOUS,ADULT,uz,semantic_context_v1
diqqat: ushbu hujjatli film katta yoshdagilar uchun mo'ljallangan qadimiy mavzularni muhokama qiladi?,SAFE,ADULT,uz,semantic_context_v1
"Bugun 100 foiz to'lov kafolatlanadi! 50$ tikib, 2 soatda 500$ oling: http://scam.uz! brat",DANGEROUS,GAMBLING,uz,semantic_context_v1
"Поддержите революцию, отправив анонимные пожертвования на этот кошелек [ссылка]",DANGEROUS,EXTREMISM,ru,semantic_context_v1
"Yo, they deserve violence for what they have done. it is time for jihad bit.ly/123?",DANGEROUS,EXTREMISM,en,semantic_context_v1
Support the revolution by sending anonymous donations to this wallet http://scam.uz...,DANGEROUS,EXTREMISM,en,semantic_context_v1
"ВНИМАНИЕ: найден баг в ставках! используй эту стратегию, чтобы выигрывать каждый раз bit.ly/rus_skam?",DANGEROUS,GAMBLING,ru,semantic_context_v1
"Assalomu alaykum, mening fikrimcha, guruh o'z e'tiqodlarida juda radikallashib bormoqda",SUSPICIOUS,EXTREMISM,uz,semantic_context_v1
That channel is sharing ideas that oppose our current laws,SUSPICIOUS,EXTREMISM,en,semantic_context_v1
"Yo, someone shared a weird link for 18+ content yesterday!",SUSPICIOUS,ADULT,en,semantic_context_v1
Qur'onni yaxshiroq o'rganish uchun islomiy darslarga qatnashyapman. dm,SAFE,EXTREMISM,uz,semantic_context_v1
"Dear user, claim your $1000 casino bonus now, this is not a scam bit.ly/123",DANGEROUS,GAMBLING,en,semantic_context_v1
qo'shimcha pul ishlash guruhiga qo'shilishni xohlaysizmi,SUSPICIOUS,GAMBLING,uz,semantic_context_v1
URGENT: friday prayers will be held at the main mosque at 1:00 pm inshallah!! ASAP,SAFE,EXTREMISM,en,semantic_context_v1
"Assalomu alaykum, dinimiz o'rgatganidek, sabr va ruxsozni ko'paytirishimiz kerak! brat",SAFE,EXTREMISM,uz,semantic_context_v1
"bugun 100 foiz to'lov kafolatlanadi! 50$ tikib, 2 soatda 500$ oling: [havola]. brat",DANGEROUS,GAMBLING,uz,semantic_context_v1
"Hurmatli mijoz, inqilobni qo'llab-quvvatlash uchun ushbu hamyonga pul yuboring http://kripto-foyda.uz",DANGEROUS,EXTREMISM,uz,semantic_context_v1
"Уважаемый клиент, присоединяйтесь к скрытому vip-каналу, чтобы получить эксклюзивный слитый контент 18+ сегодня ночью [ссылка]...",DANGEROUS,ADULT,ru,semantic_context_v1
Biz muqaddas urush uchun askarlarni jalb qilmoqdamiz. Yashirin guruhimizga qo'shiling t.me/yopiq_guruh!!,DANGEROUS,EXTREMISM,uz,semantic_context_v1
Children should be protected from inappropriate internet material? tbh,SAFE,ADULT,en,semantic_context_v1
muhim: qur'onni yaxshiroq o'rganish uchun islomiy darslarga qatnashyapman... yozvor,SAFE,EXTREMISM,uz,semantic_context_v1
Ushbu kanal hozirgi qonunlarimizga zid g'oyalarni tarqatmoqda?,SUSPICIOUS,EXTREMISM,uz,semantic_context_v1
"Hello, friday prayers will be held at the main mosque at 1:00 pm inshallah !",SAFE,EXTREMISM,en,semantic_context_v1
"Узнайте, как создать самодельную взрывчатку, чтобы защитить нашу веру от врагов http://zarabotok.ru?",DANGEROUS,EXTREMISM,ru,semantic_context_v1
