text,language,source_dataset,original_label,normalized_text
Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am,en,sms_spam_collection.txt,ham,yup... ok i go home look at the timings then i msg ü again... xuhui going to learn on 2nd may too but her lesson is at 8am
"Oops, I'll let you know when my roommate's done",en,sms_spam_collection.txt,ham,"oops, i'll let you know when my roommate's done"
I see the letter B on my car,en,sms_spam_collection.txt,ham,i see the letter b on my car
Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,en,sms_spam_collection.txt,ham,hello! how's you and how did saturday go? i was just texting to see if you'd decided to do anything tomo. not that i'm trying to invite myself or anything!
Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,en,sms_spam_collection.txt,ham,pls go ahead with watts. i just wanted to be sure. do have a great weekend. abiola
"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",en,sms_spam_collection.txt,ham,"did i forget to tell you ? i want you , i need you, i crave you ... but most of all ... i love you my sweet arabian steed ... mmmmmm ... yummy"
07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,en,sms_spam_collection.txt,spam,07732584351 - rodger burns - msg = we tried to call you re your reply to our sms for a free nokia mobile + free camcorder. please call now 08000930705 for delivery tomorrow
WHO ARE YOU SEEING?,en,sms_spam_collection.txt,ham,who are you seeing?
Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,en,sms_spam_collection.txt,ham,great! i hope you like your man well endowed. i am &lt;#&gt; inches...
No calls..messages..missed calls,en,sms_spam_collection.txt,ham,no calls..messages..missed calls
Didn't you get hep b immunisation in nigeria.,en,sms_spam_collection.txt,ham,didn't you get hep b immunisation in nigeria.
"Fair enough, anything going on?",en,sms_spam_collection.txt,ham,"fair enough, anything going on?"
"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",en,sms_spam_collection.txt,ham,"yeah hopefully, if tyler can't do it i could maybe ask around a bit"
What you thinked about me. First time you saw me in class.,en,sms_spam_collection.txt,ham,what you thinked about me. first time you saw me in class.
"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",en,sms_spam_collection.txt,ham,"a gram usually runs like &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for &lt;#&gt;"
K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,en,sms_spam_collection.txt,ham,k fyi x has a ride early tomorrow morning but he's crashing at our place tonight
"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about ""the cave"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.",en,sms_spam_collection.txt,ham,"wow. i never realized that you were so embarassed by your accomodations. i thought you liked it, since i was doing the best i could and you always seemed so happy about ""the cave"". i'm sorry i didn't and don't have more to give. i'm sorry i offered. i'm sorry your room was so embarassing."
SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,en,sms_spam_collection.txt,spam,sms. ac sptv: the new jersey devils and the detroit red wings play ice hockey. correct or incorrect? end? reply end sptv
Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,en,sms_spam_collection.txt,ham,do you know what mallika sherawat did yesterday? find out now @ &lt;url&gt;
"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ",en,sms_spam_collection.txt,spam,"congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! c suprman v, matrix3, starwars3, etc all 4 free! bx420-ip4-5we. 150pm. dont miss out!"
"Sorry, I'll call later in meeting.",en,sms_spam_collection.txt,ham,"sorry, i'll call later in meeting."
Tell where you reached,en,sms_spam_collection.txt,ham,tell where you reached
Yes..gauti and sehwag out of odi series.,en,sms_spam_collection.txt,ham,yes..gauti and sehwag out of odi series.
Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,en,sms_spam_collection.txt,ham,your gonna have to pick up a $1 burger for yourself on your way home. i can't even move. pain is killing me.
Ha ha ha good joke. Girls are situation seekers.,en,sms_spam_collection.txt,ham,ha ha ha good joke. girls are situation seekers.
Its a part of checking IQ,en,sms_spam_collection.txt,ham,its a part of checking iq
"Sorry my roommates took forever, it ok if I come by now?",en,sms_spam_collection.txt,ham,"sorry my roommates took forever, it ok if i come by now?"
Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,en,sms_spam_collection.txt,ham,ok lar i double check wif da hair dresser already he said wun cut v short. he said will cut until i look nice.
"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589",en,sms_spam_collection.txt,spam,"as a valued customer, i am pleased to advise you that following recent review of your mob no. you are awarded with a £1500 bonus prize, call 09066364589"
"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",en,sms_spam_collection.txt,spam,"urgent ur awarded a complimentary trip to eurodisinc trav, aco&entry41 or £1000. to claim txt dis to 87121 18+6*£1.50(morefrmmob. shracomorsglsuplt)10, ls1 3aj"
"Did you hear about the new ""Divorce Barbie""? It comes with all of Ken's stuff!",en,sms_spam_collection.txt,spam,"did you hear about the new ""divorce barbie""? it comes with all of ken's stuff!"
I plane to give on this month end.,en,sms_spam_collection.txt,ham,i plane to give on this month end.
Wah lucky man... Then can save money... Hee...,en,sms_spam_collection.txt,ham,wah lucky man... then can save money... hee...
Finished class where are you.,en,sms_spam_collection.txt,ham,finished class where are you.
HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,en,sms_spam_collection.txt,ham,hi babe im at home now wanna do something? xx
K..k:)where are you?how did you performed?,en,sms_spam_collection.txt,ham,k..k:)where are you?how did you performed?
I am waiting machan. Call me once you free.,en,sms_spam_collection.txt,ham,i am waiting machan. call me once you free.
Thats cool. i am a gentleman and will treat you with dignity and respect.,en,sms_spam_collection.txt,ham,thats cool. i am a gentleman and will treat you with dignity and respect.
I like you peoples very much:) but am very shy pa.,en,sms_spam_collection.txt,ham,i like you peoples very much:) but am very shy pa.
Does not operate after  &lt;#&gt;  or what,en,sms_spam_collection.txt,ham,does not operate after &lt;#&gt; or what
Its not the same here. Still looking for a job. How much do Ta's earn there.,en,sms_spam_collection.txt,ham,its not the same here. still looking for a job. how much do ta's earn there.
"Sorry, I'll call later",en,sms_spam_collection.txt,ham,"sorry, i'll call later"
K. Did you call me just now ah? ,en,sms_spam_collection.txt,ham,k. did you call me just now ah?
Ok i am on the way to home hi hi,en,sms_spam_collection.txt,ham,ok i am on the way to home hi hi
You will be in the place of that man,en,sms_spam_collection.txt,ham,you will be in the place of that man
Yup next stop.,en,sms_spam_collection.txt,ham,yup next stop.
"I call you later, don't have network. If urgnt, sms me.",en,sms_spam_collection.txt,ham,"i call you later, don't have network. if urgnt, sms me."
Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,en,sms_spam_collection.txt,ham,yes i started to send requests to make it but pain came back so i'm back in bed. double coins at the factory too. i gotta cash in all my nitros.
I'm really not up to it still tonight babe,en,sms_spam_collection.txt,ham,i'm really not up to it still tonight babe
"Ela kano.,il download, come wen ur free..",en,sms_spam_collection.txt,ham,"ela kano.,il download, come wen ur free.."
Yeah do! Don‘t stand to close tho- you‘ll catch something!,en,sms_spam_collection.txt,ham,yeah do! don't stand to close tho- you'll catch something!
Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. ,en,sms_spam_collection.txt,ham,sorry to be a pain. is it ok if we meet another night? i spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. sorry.
Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize!,en,sms_spam_collection.txt,spam,please call our customer service representative on 0800 169 6031 between 10am-9pm as you have won a guaranteed £1000 cash or £5000 prize!
"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16",en,sms_spam_collection.txt,spam,"your free ringtone is waiting to be collected. simply text the password ""mix"" to 85069 to verify. get usher and britney. fml, po box 5249, mk17 92h. 450ppw 16"
i see. When we finish we have loads of loans to pay,en,sms_spam_collection.txt,ham,i see. when we finish we have loads of loans to pay
I see a cup of coffee animation,en,sms_spam_collection.txt,ham,i see a cup of coffee animation
Please don't text me anymore. I have nothing else to say.,en,sms_spam_collection.txt,ham,please don't text me anymore. i have nothing else to say.
I'm still looking for a car to buy. And have not gone 4the driving test yet.,en,sms_spam_collection.txt,ham,i'm still looking for a car to buy. and have not gone 4the driving test yet.
Umma my life and vava umma love you lot dear,en,sms_spam_collection.txt,ham,umma my life and vava umma love you lot dear
Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,en,sms_spam_collection.txt,ham,thanks a lot for your wishes on my birthday. thanks you for making my birthday truly memorable.
"Aight, I'll hit you up when I get some cash",en,sms_spam_collection.txt,ham,"aight, i'll hit you up when i get some cash"
How would my ip address test that considering my computer isn't a minecraft server,en,sms_spam_collection.txt,ham,how would my ip address test that considering my computer isn't a minecraft server
I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,en,sms_spam_collection.txt,ham,i know! grumpy old people. my mom was like you better not be lying. then again i am always the one to play jokes...
Dont worry. I guess he's busy.,en,sms_spam_collection.txt,ham,dont worry. i guess he's busy.
What is the plural of the noun research?,en,sms_spam_collection.txt,ham,what is the plural of the noun research?
Going for dinner.msg you after.,en,sms_spam_collection.txt,ham,going for dinner.msg you after.
GENT! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,en,sms_spam_collection.txt,spam,gent! we are trying to contact you. last weekends draw shows that you won a £1000 prize guaranteed. call 09064012160. claim code k52. valid 12hrs only. 150ppm
"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",en,sms_spam_collection.txt,ham,"wa, ur openin sentence very formal... anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...haha... so anythin special happened?"
"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",en,sms_spam_collection.txt,ham,"as i entered my cabin my pa said, '' happy b'day boss !!''. i felt special. she askd me 4 lunch. after lunch she invited me to her apartment. we went there."
Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! ,en,sms_spam_collection.txt,ham,goodo! yes we must speak friday - egg-potato ratio for tortilla needed!
Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,en,sms_spam_collection.txt,ham,hmm...my uncle just informed me that he's paying the school directly. so pls buy food.
PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,en,sms_spam_collection.txt,spam,private! your 2004 account statement for 07742676969 shows 786 unredeemed bonus points. to claim call 08719180248 identifier code: 45239 expires
here is my new address -apples&pairs&all that malarky,en,sms_spam_collection.txt,ham,here is my new address -apples&pairs&all that malarky
Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,en,sms_spam_collection.txt,spam,todays voda numbers ending 7548 are selected to receive a $350 award. if you have a match please call 08712300220 quoting claim code 4041 standard rates app
I am going to sao mu today. Will be done only at 12 ,en,sms_spam_collection.txt,ham,i am going to sao mu today. will be done only at 12
Ü predict wat time ü'll finish buying?,en,sms_spam_collection.txt,ham,ü predict wat time ü'll finish buying?
"Good stuff, will do.",en,sms_spam_collection.txt,ham,"good stuff, will do."
"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.",en,sms_spam_collection.txt,ham,"just so that you know,yetunde hasn't sent money yet. i just sent her a text not to bother sending. so its over, you dont have to involve yourself in anything. i shouldn't have imposed anything on you in the first place so for that, i apologise."
Are you there in room.,en,sms_spam_collection.txt,ham,are you there in room.
K..k:)how much does it cost?,en,sms_spam_collection.txt,ham,k..k:)how much does it cost?
I'm home.,en,sms_spam_collection.txt,ham,i'm home.
"Dear, will call Tmorrow.pls accomodate.",en,sms_spam_collection.txt,ham,"dear, will call tmorrow.pls accomodate."
First answer my question.,en,sms_spam_collection.txt,ham,first answer my question.
Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,en,sms_spam_collection.txt,spam,want 2 get laid tonight? want real dogging locations sent direct 2 ur mob? join the uk's largest dogging network bt txting gravel to 69888! nt. ec2a. 31p.msg@150p
I only haf msn. It's yijue@hotmail.com,en,sms_spam_collection.txt,ham,i only haf msn. it's yijue@hotmail.com
He is there. You call and meet him,en,sms_spam_collection.txt,ham,he is there. you call and meet him
No no. I will check all rooms befor activities,en,sms_spam_collection.txt,ham,no no. i will check all rooms befor activities
Got c... I lazy to type... I forgot ü in lect... I saw a pouch but like not v nice...,en,sms_spam_collection.txt,ham,got c... i lazy to type... i forgot ü in lect... i saw a pouch but like not v nice...
"K, text me when you're on the way",en,sms_spam_collection.txt,ham,"k, text me when you're on the way"
"Sir, Waiting for your mail.",en,sms_spam_collection.txt,ham,"sir, waiting for your mail."
"A swt thought: ""Nver get tired of doing little things 4 lovable persons.."" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8",en,sms_spam_collection.txt,ham,"a swt thought: ""nver get tired of doing little things 4 lovable persons.."" coz..somtimes those little things occupy d biggest part in their hearts.. gud ni8"
I know you are. Can you pls open the back?,en,sms_spam_collection.txt,ham,i know you are. can you pls open the back?
Yes see ya not on the dot,en,sms_spam_collection.txt,ham,yes see ya not on the dot
Whats the staff name who is taking class for us?,en,sms_spam_collection.txt,ham,whats the staff name who is taking class for us?
Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,en,sms_spam_collection.txt,ham,ummma.will call after check in.our life will begin from qatar so pls pray very hard.
K..i deleted my contact that why?,en,sms_spam_collection.txt,ham,k..i deleted my contact that why?
Sindu got job in birla soft ..,en,sms_spam_collection.txt,ham,sindu got job in birla soft ..
The wine is flowing and i'm i have nevering..,en,sms_spam_collection.txt,ham,the wine is flowing and i'm i have nevering..
Yup i thk cine is better cos no need 2 go down 2 plaza mah.,en,sms_spam_collection.txt,ham,yup i thk cine is better cos no need 2 go down 2 plaza mah.
Ok... Ur typical reply...,en,sms_spam_collection.txt,ham,ok... ur typical reply...
"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.",en,sms_spam_collection.txt,ham,"you are everywhere dirt, on the floor, the windows, even on my shirt. and sometimes when i open my mouth, you are all that comes flowing out. i dream of my world without you, then half my chores are out too. a time of joy for me, lots of tv shows i.ll see. but i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one."
Aaooooright are you at work?,en,sms_spam_collection.txt,ham,aaooooright are you at work?
I'm leaving my house now...,en,sms_spam_collection.txt,ham,i'm leaving my house now...
"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?",en,sms_spam_collection.txt,ham,"hello, my love. what are you doing? did you get to that interview today? are you you happy? are you being a good boy? do you think of me?are you missing me ?"
Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery,en,sms_spam_collection.txt,spam,customer service annoncement. you have a new years delivery waiting for you. please call 07046744435 now to arrange delivery
Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life,en,sms_spam_collection.txt,ham,keep yourself safe for me because i need you and i miss you already and i envy everyone that see's you in real life
New car and house for my parents.:)i have only new job in hand:),en,sms_spam_collection.txt,ham,new car and house for my parents.:)i have only new job in hand:)
I'm so in love with you. I'm excited each day i spend with you. You make me so happy.,en,sms_spam_collection.txt,ham,i'm so in love with you. i'm excited each day i spend with you. you make me so happy.
I place all ur points on e cultures module already.,en,sms_spam_collection.txt,ham,i place all ur points on e cultures module already.
URGENT! We are trying to contact you. Last weekends draw shows that you have won a £900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only,en,sms_spam_collection.txt,spam,urgent! we are trying to contact you. last weekends draw shows that you have won a £900 prize guaranteed. call 09061701939. claim code s89. valid 12hrs only
"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?",en,sms_spam_collection.txt,ham,"hi frnd, which is best way to avoid missunderstding wit our beloved one's?"
Great escape. I fancy the bridge but needs her lager. See you tomo ,en,sms_spam_collection.txt,ham,great escape. i fancy the bridge but needs her lager. see you tomo
Yes :)it completely in out of form:)clark also utter waste.,en,sms_spam_collection.txt,ham,yes :)it completely in out of form:)clark also utter waste.
"Sir, I need AXIS BANK account no and bank address.",en,sms_spam_collection.txt,ham,"sir, i need axis bank account no and bank address."
What time you coming down later? ,en,sms_spam_collection.txt,ham,what time you coming down later?
"Well, i'm gonna finish my bath now. Have a good...fine night.",en,sms_spam_collection.txt,ham,"well, i'm gonna finish my bath now. have a good...fine night."
Let me know when you've got the money so carlos can make the call,en,sms_spam_collection.txt,ham,let me know when you've got the money so carlos can make the call
"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth",en,sms_spam_collection.txt,ham,"turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt; worth"
Text her. If she doesnt reply let me know so i can have her log in,en,sms_spam_collection.txt,ham,text her. if she doesnt reply let me know so i can have her log in
Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,en,sms_spam_collection.txt,ham,hi! you just spoke to maneesha v. we'd like to know if you were satisfied with the experience. reply toll free with yes or no.
You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend,en,sms_spam_collection.txt,ham,you lifted my hopes with the offer of money. i am in need. especially when the end of the month approaches and it hurts my studying. anyways have a gr8 weekend
ok. I am a gentleman and will treat you with dignity and respect.,en,sms_spam_collection.txt,ham,ok. i am a gentleman and will treat you with dignity and respect.
"He will, you guys close?",en,sms_spam_collection.txt,ham,"he will, you guys close?"
Going on nothing great.bye,en,sms_spam_collection.txt,ham,going on nothing great.bye
Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?,en,sms_spam_collection.txt,ham,hello handsome ! are you finding that job ? not being lazy ? working towards getting back that net for mummy ? where's my boytoy now ? does he miss me ?
"Haha awesome, be there in a minute",en,sms_spam_collection.txt,ham,"haha awesome, be there in a minute"
Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed £1000 cash or £5000 prize!,en,sms_spam_collection.txt,spam,please call our customer service representative on freephone 0808 145 4742 between 9am-11pm as you have won a guaranteed £1000 cash or £5000 prize!
Have you got Xmas radio times. If not i will get it now,en,sms_spam_collection.txt,ham,have you got xmas radio times. if not i will get it now
Are you unique enough? Find out from 30th August. www.areyouunique.co.uk,en,sms_spam_collection.txt,spam,are you unique enough? find out from 30th august. www.areyouunique.co.uk
I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|,en,sms_spam_collection.txt,ham,i'm sorry. i've joined the league of people that dont keep in touch. you mean a great deal to me. you have been a friend at all times even at great personal cost. do have a great week.|
Hi :)finally i completed the course:),en,sms_spam_collection.txt,ham,hi :)finally i completed the course:)
It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.,en,sms_spam_collection.txt,ham,it will stop on itself. i however suggest she stays with someone that will be able to give ors for every stool.
How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day,en,sms_spam_collection.txt,ham,how are you doing? hope you've settled in for the new school year. just wishin you a gr8 day
Gud mrng dear hav a nice day,en,sms_spam_collection.txt,ham,gud mrng dear hav a nice day
is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt? ,en,sms_spam_collection.txt,ham,is your hamster dead? hey so tmr i meet you at 1pm orchard mrt?
"Found it, ENC  &lt;#&gt; , where you at?",en,sms_spam_collection.txt,ham,"found it, enc &lt;#&gt; , where you at?"
I sent you  &lt;#&gt;  bucks,en,sms_spam_collection.txt,ham,i sent you &lt;#&gt; bucks
Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .,en,sms_spam_collection.txt,ham,your account has been refilled successfully by inr &lt;decimal&gt; . your keralacircle prepaid account balance is rs &lt;decimal&gt; . your transaction id is kr &lt;#&gt; .
Goodmorning sleeping ga.,en,sms_spam_collection.txt,ham,goodmorning sleeping ga.
Ü say until like dat i dun buy ericsson oso cannot oredi lar...,en,sms_spam_collection.txt,ham,ü say until like dat i dun buy ericsson oso cannot oredi lar...
"Aight yo, dats straight dogg",en,sms_spam_collection.txt,ham,"aight yo, dats straight dogg"
You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill,en,sms_spam_collection.txt,ham,you please give us connection today itself before &lt;decimal&gt; or refund the bill
