text,language,source_dataset,original_label,normalized_text
"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao... ",uz,sms_spam_collection.txt,ham,"hmmm.. thk sure got time to hop ard... ya, can go 4 free abt... muz call u to discuss liao..."
"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m... ",uz,sms_spam_collection.txt,ham,"bloody hell, cant believe you forgot my surname mr . ill give u a clue, its spanish and begins with m..."
U still going to the mall?,uz,sms_spam_collection.txt,ham,u still going to the mall?
Lol no. U can trust me.,uz,sms_spam_collection.txt,ham,lol no. u can trust me.
I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...,uz,sms_spam_collection.txt,ham,i jus reached home. i go bathe first. but my sis using net tell u when she finishes k...
Did u got that persons story,uz,sms_spam_collection.txt,ham,did u got that persons story
Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx,uz,sms_spam_collection.txt,ham,hi its kate how is your evening? i hope i can see you tomorrow for a bit but i have to bloody babyjontet! txt back if u can. :) xxx
Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx,uz,sms_spam_collection.txt,ham,hello darlin ive finished college now so txt me when u finish if u can love kate xxx
U call me alter at 11 ok.,uz,sms_spam_collection.txt,ham,u call me alter at 11 ok.
U say leh... Of course nothing happen lar. Not say v romantic jus a bit only lor. I thk e nite scenery not so nice leh.,uz,sms_spam_collection.txt,ham,u say leh... of course nothing happen lar. not say v romantic jus a bit only lor. i thk e nite scenery not so nice leh.
"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY £1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18",uz,sms_spam_collection.txt,spam,"500 new mobiles from 2004, must go! txt: nokia to no: 89545 & collect yours today!from only £1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18"
"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES",uz,sms_spam_collection.txt,spam,"will u meet ur dream partner soon? is ur career off 2 a flyng start? 2 find out free, txt horo followed by ur star sign, e. g. horo aries"
Text & meet someone sexy today. U can find a date or even flirt its up to U. Join 4 just 10p. REPLY with NAME & AGE eg Sam 25. 18 -msg recd@thirtyeight pence,uz,sms_spam_collection.txt,spam,text & meet someone sexy today. u can find a date or even flirt its up to u. join 4 just 10p. reply with name & age eg sam 25. 18 -msg recd@thirtyeight pence
U 447801259231 have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094597,uz,sms_spam_collection.txt,spam,u 447801259231 have a secret admirer who is looking 2 make contact with u-find out who they r*reveal who thinks ur so special-call on 09058094597
"Although i told u dat i'm into baig face watches now but i really like e watch u gave cos it's fr u. Thanx 4 everything dat u've done today, i'm touched...",uz,sms_spam_collection.txt,ham,"although i told u dat i'm into baig face watches now but i really like e watch u gave cos it's fr u. thanx 4 everything dat u've done today, i'm touched..."
U don't remember that old commercial?,uz,sms_spam_collection.txt,ham,u don't remember that old commercial?
"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da.",uz,sms_spam_collection.txt,ham,"wen ur lovable bcums angry wid u, dnt take it seriously.. coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... have nice day da."
Anyway i'm going shopping on my own now. Cos my sis not done yet. Dun disturb u liao.,uz,sms_spam_collection.txt,ham,anyway i'm going shopping on my own now. cos my sis not done yet. dun disturb u liao.
"Wen u miss someone, the person is definitely special for u..... But if the person is so special, why to miss them, just Keep-in-touch gdeve..",uz,sms_spam_collection.txt,ham,"wen u miss someone, the person is definitely special for u..... but if the person is so special, why to miss them, just keep-in-touch gdeve.."
hi baby im cruisin with my girl friend what r u up 2? give me a call in and hour at home if thats alright or fone me on this fone now love jenny xxx,uz,sms_spam_collection.txt,ham,hi baby im cruisin with my girl friend what r u up 2? give me a call in and hour at home if thats alright or fone me on this fone now love jenny xxx
Haf u found him? I feel so stupid da v cam was working.,uz,sms_spam_collection.txt,ham,haf u found him? i feel so stupid da v cam was working.
Hurt me... Tease me... Make me cry... But in the end of my life when i die plz keep one rose on my grave and say STUPID I MISS U.. HAVE A NICE DAY BSLVYL,uz,sms_spam_collection.txt,ham,hurt me... tease me... make me cry... but in the end of my life when i die plz keep one rose on my grave and say stupid i miss u.. have a nice day bslvyl
"Shit that is really shocking and scary, cant imagine for a second. Def up for night out. Do u think there is somewhere i could crash for night, save on taxi?",uz,sms_spam_collection.txt,ham,"shit that is really shocking and scary, cant imagine for a second. def up for night out. do u think there is somewhere i could crash for night, save on taxi?"
"SMS. ac Blind Date 4U!: Rodds1 is 21/m from Aberdeen, United Kingdom. Check Him out http://img. sms. ac/W/icmb3cktz8r7!-4 no Blind Dates send HIDE",uz,sms_spam_collection.txt,spam,"sms. ac blind date 4u!: rodds1 is 21/m from aberdeen, united kingdom. check him out http://img. sms. ac/w/icmb3cktz8r7!-4 no blind dates send hide"
Jos ask if u wana meet up?,uz,sms_spam_collection.txt,ham,jos ask if u wana meet up?
Lol yes. Our friendship is hanging on a thread cause u won't buy stuff.,uz,sms_spam_collection.txt,ham,lol yes. our friendship is hanging on a thread cause u won't buy stuff.
Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy,uz,sms_spam_collection.txt,ham,today is accept day..u accept me as? brother sister lover dear1 best1 clos1 lvblefrnd jstfrnd cutefrnd lifpartnr belovd swtheart bstfrnd no rply means enemy
"Hi the way I was with u 2day, is the normal way&this is the real me. UR unique&I hope I know u 4 the rest of mylife. Hope u find wot was lost.",uz,sms_spam_collection.txt,ham,"hi the way i was with u 2day, is the normal way&this is the real me. ur unique&i hope i know u 4 the rest of mylife. hope u find wot was lost."
Hey... Why dont we just go watch x men and have lunch... Haha ,uz,sms_spam_collection.txt,ham,hey... why dont we just go watch x men and have lunch... haha
cud u tell ppl im gona b a bit l8 cos 2 buses hav gon past cos they were full & im still waitin 4 1. Pete x,uz,sms_spam_collection.txt,ham,cud u tell ppl im gona b a bit l8 cos 2 buses hav gon past cos they were full & im still waitin 4 1. pete x
U calling me right? Call my hand phone...,uz,sms_spam_collection.txt,ham,u calling me right? call my hand phone...
Where u been hiding stranger?,uz,sms_spam_collection.txt,ham,where u been hiding stranger?
Dis is yijue. I jus saw ur mail. In case huiming havent sent u my num. Dis is my num.,uz,sms_spam_collection.txt,ham,dis is yijue. i jus saw ur mail. in case huiming havent sent u my num. dis is my num.
&lt;#&gt; ISH MINUTES WAS 5 MINUTES AGO. WTF.,uz,sms_spam_collection.txt,ham,&lt;#&gt; ish minutes was 5 minutes ago. wtf.
Yup having my lunch buffet now.. U eat already?,uz,sms_spam_collection.txt,ham,yup having my lunch buffet now.. u eat already?
Pick you up bout 7.30ish? What time are  and that going?,uz,sms_spam_collection.txt,ham,pick you up bout 7.30ish? what time are and that going?
Was actually sleeping and still might when u call back. So a text is gr8. You rock sis. Will send u a text wen i wake.,uz,sms_spam_collection.txt,ham,was actually sleeping and still might when u call back. so a text is gr8. you rock sis. will send u a text wen i wake.
Message:some text missing* Sender:Name Missing* *Number Missing *Sent:Date missing *Missing U a lot thats y everything is missing sent via fullonsms.com,uz,sms_spam_collection.txt,ham,message:some text missing* sender:name missing* *number missing *sent:date missing *missing u a lot thats y everything is missing sent via fullonsms.com
Whatsup there. Dont u want to sleep,uz,sms_spam_collection.txt,ham,whatsup there. dont u want to sleep
"Hi hope u get this txt~journey hasnt been gd,now about 50 mins late I think.",uz,sms_spam_collection.txt,ham,"hi hope u get this txt~journey hasnt been gd,now about 50 mins late i think."
"LOOK AT AMY URE A BEAUTIFUL, INTELLIGENT WOMAN AND I LIKE U A LOT. I KNOW U DONT LIKE ME LIKE THAT SO DONT WORRY.",uz,sms_spam_collection.txt,ham,"look at amy ure a beautiful, intelligent woman and i like u a lot. i know u dont like me like that so dont worry."
Where did u go? My phone is gonna die you have to stay in here,uz,sms_spam_collection.txt,ham,where did u go? my phone is gonna die you have to stay in here
Nice line said by a broken heart- Plz don't cum 1 more times infront of me... Other wise once again I ll trust U... Good 9t:),uz,sms_spam_collection.txt,ham,nice line said by a broken heart- plz don't cum 1 more times infront of me... other wise once again i ll trust u... good 9t:)
Love you aathi..love u lot..,uz,sms_spam_collection.txt,ham,love you aathi..love u lot..
"Almost there, see u in a sec",uz,sms_spam_collection.txt,ham,"almost there, see u in a sec"
"Kate jackson rec center before 7ish, right?",uz,sms_spam_collection.txt,ham,"kate jackson rec center before 7ish, right?"
"Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose.",uz,sms_spam_collection.txt,ham,"fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose."
+123 Congratulations - in this week's competition draw u have won the £1450 prize to claim just call 09050002311 b4280703. T&Cs/stop SMS 08718727868. Over 18 only 150ppm,uz,sms_spam_collection.txt,spam,+123 congratulations - in this week's competition draw u have won the £1450 prize to claim just call 09050002311 b4280703. t&cs/stop sms 08718727868. over 18 only 150ppm
"8 at the latest, g's still there if you can scrounge up some ammo and want to give the new ak a try",uz,sms_spam_collection.txt,ham,"8 at the latest, g's still there if you can scrounge up some ammo and want to give the new ak a try"
"That way transport is less problematic than on sat night. By the way, if u want to ask  n  to join my bday, feel free. But need to know definite nos as booking on fri. ",uz,sms_spam_collection.txt,ham,"that way transport is less problematic than on sat night. by the way, if u want to ask n to join my bday, feel free. but need to know definite nos as booking on fri."
You will recieve your tone within the next 24hrs. For Terms and conditions please see Channel U Teletext Pg 750,uz,sms_spam_collection.txt,spam,you will recieve your tone within the next 24hrs. for terms and conditions please see channel u teletext pg 750
"A famous quote : when you develop the ability to listen to 'anything' unconditionally without losing your temper or self confidence, it means you are ......... 'MARRIED'",uz,sms_spam_collection.txt,ham,"a famous quote : when you develop the ability to listen to 'anything' unconditionally without losing your temper or self confidence, it means you are ......... 'married'"
"Aiyo... U always c our ex one... I dunno abt mei, she haven reply... First time u reply so fast... Y so lucky not workin huh, got bao by ur sugardad ah...gee.. ",uz,sms_spam_collection.txt,ham,"aiyo... u always c our ex one... i dunno abt mei, she haven reply... first time u reply so fast... y so lucky not workin huh, got bao by ur sugardad ah...gee.."
"Ill call u 2mrw at ninish, with my address that icky American freek wont stop callin me 2 bad Jen k eh?",uz,sms_spam_collection.txt,ham,"ill call u 2mrw at ninish, with my address that icky american freek wont stop callin me 2 bad jen k eh?"
WOT U WANNA DO THEN MISSY?,uz,sms_spam_collection.txt,ham,wot u wanna do then missy?
"Arngd marriage is while u r walkin unfortuntly a snake bites u. bt love marriage is dancing in frnt of d snake &amp; sayin Bite me, bite me.",uz,sms_spam_collection.txt,ham,"arngd marriage is while u r walkin unfortuntly a snake bites u. bt love marriage is dancing in frnt of d snake &amp; sayin bite me, bite me."
Tell them u have a headache and just want to use 1 hour of sick time.,uz,sms_spam_collection.txt,ham,tell them u have a headache and just want to use 1 hour of sick time.
If u sending her home first it's ok lor. I'm not ready yet.,uz,sms_spam_collection.txt,ham,if u sending her home first it's ok lor. i'm not ready yet.
what I meant to say is cant wait to see u again getting bored of this bridgwater banter,uz,sms_spam_collection.txt,ham,what i meant to say is cant wait to see u again getting bored of this bridgwater banter
22 days to kick off! For Euro2004 U will be kept up to date with the latest news and results daily. To be removed send GET TXT STOP to 83222,uz,sms_spam_collection.txt,spam,22 days to kick off! for euro2004 u will be kept up to date with the latest news and results daily. to be removed send get txt stop to 83222
Its a valentine game. . . Send dis msg to all ur friends. .. If 5 answers r d same then someone really loves u. Ques- which colour suits me the best?rply me,uz,sms_spam_collection.txt,ham,its a valentine game. . . send dis msg to all ur friends. .. if 5 answers r d same then someone really loves u. ques- which colour suits me the best?rply me
THANX4 TODAY CER IT WAS NICE 2 CATCH UP BUT WE AVE 2 FIND MORE TIME MORE OFTEN OH WELL TAKE CARE C U SOON.C,uz,sms_spam_collection.txt,ham,thanx4 today cer it was nice 2 catch up but we ave 2 find more time more often oh well take care c u soon.c
Good words.... But words may leave u in dismay many times.,uz,sms_spam_collection.txt,ham,good words.... but words may leave u in dismay many times.
Thank u!,uz,sms_spam_collection.txt,ham,thank u!
I had askd u a question some hours before. Its answer,uz,sms_spam_collection.txt,ham,i had askd u a question some hours before. its answer
"Watching cartoon, listening music &amp; at eve had to go temple &amp; church.. What about u?",uz,sms_spam_collection.txt,ham,"watching cartoon, listening music &amp; at eve had to go temple &amp; church.. what about u?"
"Sun cant come to earth but send luv as rays. cloud cant come to river but send luv as rain. I cant come to meet U, but can send my care as msg to U. Gud evng",uz,sms_spam_collection.txt,ham,"sun cant come to earth but send luv as rays. cloud cant come to river but send luv as rain. i cant come to meet u, but can send my care as msg to u. gud evng"
Did u receive my msg?,uz,sms_spam_collection.txt,ham,did u receive my msg?
"Piggy, r u awake? I bet u're still sleeping. I'm going 4 lunch now...",uz,sms_spam_collection.txt,ham,"piggy, r u awake? i bet u're still sleeping. i'm going 4 lunch now..."
Missed your call cause I was yelling at scrappy. Miss u. Can't wait for u to come home. I'm so lonely today.,uz,sms_spam_collection.txt,ham,missed your call cause i was yelling at scrappy. miss u. can't wait for u to come home. i'm so lonely today.
"Every King Was Once A Crying Baby And Every Great Building Was Once A Map.. Not Imprtant Where U r TODAY, BUT Where U Wil Reach TOMORW. Gud ni8",uz,sms_spam_collection.txt,ham,"every king was once a crying baby and every great building was once a map.. not imprtant where u r today, but where u wil reach tomorw. gud ni8"
"Dear,Me at cherthala.in case u r coming cochin pls call bfore u start.i shall also reach accordingly.or tell me which day u r coming.tmorow i am engaged ans its holiday.",uz,sms_spam_collection.txt,ham,"dear,me at cherthala.in case u r coming cochin pls call bfore u start.i shall also reach accordingly.or tell me which day u r coming.tmorow i am engaged ans its holiday."
"Sorry to trouble u again. Can buy 4d for my dad again? 1405, 1680, 1843. All 2 big 1 small, sat n sun. Thanx.",uz,sms_spam_collection.txt,ham,"sorry to trouble u again. can buy 4d for my dad again? 1405, 1680, 1843. all 2 big 1 small, sat n sun. thanx."
K..u also dont msg or reply to his msg..,uz,sms_spam_collection.txt,ham,k..u also dont msg or reply to his msg..
+449071512431 URGENT! This is the 2nd attempt to contact U!U have WON £1250 CALL 09071512433 b4 050703 T&CsBCM4235WC1N3XX. callcost 150ppm mobilesvary. max£7. 50,uz,sms_spam_collection.txt,spam,+449071512431 urgent! this is the 2nd attempt to contact u!u have won £1250 call 09071512433 b4 050703 t&csbcm4235wc1n3xx. callcost 150ppm mobilesvary. max£7. 50
"The world is running and i am still.maybe all are feeling the same,so be it.or i have to admit,i am mad.then where is the correction?or let me call this is life.and keep running with the world,may be u r also running.lets run.",uz,sms_spam_collection.txt,ham,"the world is running and i am still.maybe all are feeling the same,so be it.or i have to admit,i am mad.then where is the correction?or let me call this is life.and keep running with the world,may be u r also running.lets run."
Of cos can lar i'm not so ba dao ok... 1 pm lor... Y u never ask where we go ah... I said u would ask on fri but he said u will ask today...,uz,sms_spam_collection.txt,ham,of cos can lar i'm not so ba dao ok... 1 pm lor... y u never ask where we go ah... i said u would ask on fri but he said u will ask today...
Dunno y u ask me.,uz,sms_spam_collection.txt,ham,dunno y u ask me.
Even u dont get in trouble while convincing..just tel him once or twice and just tel neglect his msgs dont c and read it..just dont reply,uz,sms_spam_collection.txt,ham,even u dont get in trouble while convincing..just tel him once or twice and just tel neglect his msgs dont c and read it..just dont reply
Haha mayb u're rite... U know me well. Da feeling of being liked by someone is gd lor. U faster go find one then all gals in our group attached liao.,uz,sms_spam_collection.txt,ham,haha mayb u're rite... u know me well. da feeling of being liked by someone is gd lor. u faster go find one then all gals in our group attached liao.
Men like shorter ladies. Gaze up into his eyes.,uz,sms_spam_collection.txt,ham,men like shorter ladies. gaze up into his eyes.
U are subscribed to the best Mobile Content Service in the UK for £3 per 10 days until you send STOP to 82324. Helpline 08706091795,uz,sms_spam_collection.txt,spam,u are subscribed to the best mobile content service in the uk for £3 per 10 days until you send stop to 82324. helpline 08706091795
Realy sorry-i don't recognise this number and am now confused :) who r u please?! ,uz,sms_spam_collection.txt,ham,realy sorry-i don't recognise this number and am now confused :) who r u please?!
U should have made an appointment,uz,sms_spam_collection.txt,ham,u should have made an appointment
"We are at grandmas. Oh dear, u still ill? I felt Shit this morning but i think i am just hungover! Another night then. We leave on sat.",uz,sms_spam_collection.txt,ham,"we are at grandmas. oh dear, u still ill? i felt shit this morning but i think i am just hungover! another night then. we leave on sat."
Nothing but we jus tot u would ask cos u ba gua... But we went mt faber yest... Yest jus went out already mah so today not going out... Jus call lor...,uz,sms_spam_collection.txt,ham,nothing but we jus tot u would ask cos u ba gua... but we went mt faber yest... yest jus went out already mah so today not going out... jus call lor...
Lol! U drunkard! Just doing my hair at d moment. Yeah still up 4 tonight. Wats the plan? ,uz,sms_spam_collection.txt,ham,lol! u drunkard! just doing my hair at d moment. yeah still up 4 tonight. wats the plan?
Y?WHERE U AT DOGBREATH? ITS JUST SOUNDING LIKE JAN C THATS AL!!!!!!!!!,uz,sms_spam_collection.txt,ham,y?where u at dogbreath? its just sounding like jan c thats al!!!!!!!!!
There generally isn't one. It's an uncountable noun - u in the dictionary. pieces of research?,uz,sms_spam_collection.txt,ham,there generally isn't one. it's an uncountable noun - u in the dictionary. pieces of research?
Ok i msg u b4 i leave my house.,uz,sms_spam_collection.txt,ham,ok i msg u b4 i leave my house.
Appt is at &lt;TIME&gt; am. Not my fault u don't listen. I told u twice,uz,sms_spam_collection.txt,ham,appt is at &lt;time&gt; am. not my fault u don't listen. i told u twice
"U were outbid by simonwatson5120 on the Shinco DVD Plyr. 2 bid again, visit sms. ac/smsrewards 2 end bid notifications, reply END OUT",uz,sms_spam_collection.txt,spam,"u were outbid by simonwatson5120 on the shinco dvd plyr. 2 bid again, visit sms. ac/smsrewards 2 end bid notifications, reply end out"
BOO BABE! U ENJOYIN YOURJOB? U SEEMED 2 B GETTIN ON WELL HUNNY!HOPE URE OK?TAKE CARE & ILLSPEAK 2U SOONLOTS OF LOVEME XXXX.,uz,sms_spam_collection.txt,ham,boo babe! u enjoyin yourjob? u seemed 2 b gettin on well hunny!hope ure ok?take care & illspeak 2u soonlots of loveme xxxx.
U have a secret admirer. REVEAL who thinks U R So special. Call 09065174042. To opt out Reply REVEAL STOP. 1.50 per msg recd. Cust care 07821230901,uz,sms_spam_collection.txt,spam,u have a secret admirer. reveal who thinks u r so special. call 09065174042. to opt out reply reveal stop. 1.50 per msg recd. cust care 07821230901
Hi mate its RV did u hav a nice hol just a message 3 say hello coz havent sent u 1 in ages started driving so stay off roads!RVx,uz,sms_spam_collection.txt,ham,hi mate its rv did u hav a nice hol just a message 3 say hello coz havent sent u 1 in ages started driving so stay off roads!rvx
I luv u soo much u dont understand how special u r 2 me ring u 2morrow luv u xxx,uz,sms_spam_collection.txt,ham,i luv u soo much u dont understand how special u r 2 me ring u 2morrow luv u xxx
U reach orchard already? U wan 2 go buy tickets first?,uz,sms_spam_collection.txt,ham,u reach orchard already? u wan 2 go buy tickets first?
AH POOR BABY!HOPE URFEELING BETTERSN LUV! PROBTHAT OVERDOSE OF WORK HEY GO CAREFUL SPK 2 U SN LOTS OF LOVEJEN XXX.,uz,sms_spam_collection.txt,ham,ah poor baby!hope urfeeling bettersn luv! probthat overdose of work hey go careful spk 2 u sn lots of lovejen xxx.
Did u find out what time the bus is at coz i need to sort some stuff out.,uz,sms_spam_collection.txt,ham,did u find out what time the bus is at coz i need to sort some stuff out.
What do U want for Xmas? How about 100 free text messages & a new video phone with half price line rental? Call free now on 0800 0721072 to find out more!,uz,sms_spam_collection.txt,spam,what do u want for xmas? how about 100 free text messages & a new video phone with half price line rental? call free now on 0800 0721072 to find out more!
"Well am officially in a philosophical hole, so if u wanna call am at home ready to be saved!",uz,sms_spam_collection.txt,ham,"well am officially in a philosophical hole, so if u wanna call am at home ready to be saved!"
"Shop till u Drop, IS IT YOU, either 10K, 5K, £500 Cash or £100 Travel voucher, Call now, 09064011000. NTT PO Box CR01327BT fixedline Cost 150ppm mobile vary",uz,sms_spam_collection.txt,spam,"shop till u drop, is it you, either 10k, 5k, £500 cash or £100 travel voucher, call now, 09064011000. ntt po box cr01327bt fixedline cost 150ppm mobile vary"
Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country Liverpool played in mid week? Txt ansr to 82277. £1.50 SP:Tyrone,uz,sms_spam_collection.txt,spam,sunshine quiz wkly q! win a top sony dvd player if u know which country liverpool played in mid week? txt ansr to 82277. £1.50 sp:tyrone
U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094565,uz,sms_spam_collection.txt,spam,u have a secret admirer who is looking 2 make contact with u-find out who they r*reveal who thinks ur so special-call on 09058094565
U have a Secret Admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09065171142-stopsms-08,uz,sms_spam_collection.txt,spam,u have a secret admirer who is looking 2 make contact with u-find out who they r*reveal who thinks ur so special-call on 09065171142-stopsms-08
Yoyyooo u know how to change permissions for a drive in mac. My usb flash drive,uz,sms_spam_collection.txt,ham,yoyyooo u know how to change permissions for a drive in mac. my usb flash drive
Y dun cut too short leh. U dun like ah? She failed. She's quite sad.,uz,sms_spam_collection.txt,ham,y dun cut too short leh. u dun like ah? she failed. she's quite sad.
It's ok i noe u're busy but i'm really too bored so i msg u. I oso dunno wat colour she choose 4 me one.,uz,sms_spam_collection.txt,ham,it's ok i noe u're busy but i'm really too bored so i msg u. i oso dunno wat colour she choose 4 me one.
