text,label,origin,notes
"Pulni kartaga tushirdim, 130 ming so'm",ham,generated,expansion_script
"Pulni kartaga tushirdim, 140 ming so'm",ham,generated,expansion_script
"Pulni kartaga tushirdim, 150 ming so'm",ham,generated,expansion_script
"Pulni kartaga tushirdim, 160 ming so'm",ham,generated,expansion_script
"Pulni kartaga tushirdim, 170 ming so'm",ham,generated,expansion_script
"Pulni kartaga tushirdim, 180 ming so'm",ham,generated,expansion_script
"Pulni kartaga tushirdim, 190 ming so'm",ham,generated,expansion_script
"Pulni kartaga tushirdim, 200 ming so'm",ham,generated,expansion_script
Ertaga 8 da dars boshlanadimi?,ham,generated,expansion_script
Ertaga 9 da dars boshlanadimi?,ham,generated,expansion_script
Ertaga 10 da dars boshlanadimi?,ham,generated,expansion_script
Ertaga 11 da dars boshlanadimi?,ham,generated,expansion_script
Ertaga 12 da dars boshlanadimi?,ham,generated,expansion_script
Ertaga 13 da dars boshlanadimi?,ham,generated,expansion_script
Aka rahmat kattakon,ham,generated,expansion_script
Opajon qandaysiz,ham,generated,expansion_script
"Ishdan chiqdim, ketyapman",ham,generated,expansion_script
"Assalomu alaykum, ishlar qalay?",ham,generated,expansion_script
Ovqat tayyormi?,ham,generated,expansion_script
Choyxonada kutib o'tiramiz,ham,generated,expansion_script
Xayrli tong!,ham,generated,expansion_script
"Tinchlikmi, nima gaplar?",ham,generated,expansion_script
"Hozir bandman, keyinroq tel qilaman",ham,generated,expansion_script
Bugun paxtaga boramizmi?,ham,generated,expansion_script
Ha albatta,ham,generated,expansion_script
Yo'q bormayman,ham,generated,expansion_script
Raqamingizni yuboring,ham,generated,expansion_script
Iltimos qo'ng'iroq qilib yuboring,ham,generated,expansion_script
Nega telefonni ko'tarmaysan?,ham,generated,expansion_script
Toshkentga yetib bordim,ham,generated,expansion_script
Samarqanddan kelyapman,ham,generated,expansion_script
Yo'l kiresi qancha ekan,ham,generated,expansion_script
Mashinangizni tuzatdingizmi?,ham,generated,expansion_script
Bayramlar bilan!,ham,generated,expansion_script
Tug'ilgan kuning bilan tabriklayman!,ham,generated,expansion_script
Rahmat senga ham,ham,generated,expansion_script
Uka qalesan,ham,generated,expansion_script
Imtihondan yaxshi o'tdim,ham,generated,expansion_script
Bugun issiq bo'lar ekan,ham,generated,expansion_script
Kartoshka oling,ham,generated,expansion_script
Non olishni unutmang,ham,generated,expansion_script
Taksi chaqirvormaysizmi,ham,generated,expansion_script
Onamni oldiga bordim,ham,generated,expansion_script
Shanba kuni kutaman,ham,generated,expansion_script
Sotib yubordim,ham,generated,expansion_script
Mijoz keldi,ham,generated,expansion_script
Savdo qanaqa bugun,ham,generated,expansion_script
"Click: 10,000 so'm yutib oldingiz! Havolani bosing: click-bonus1.uz",scam,generated,expansion_script
"Click: 20,000 so'm yutib oldingiz! Havolani bosing: click-bonus2.uz",scam,generated,expansion_script
"Click: 30,000 so'm yutib oldingiz! Havolani bosing: click-bonus3.uz",scam,generated,expansion_script
"Click: 40,000 so'm yutib oldingiz! Havolani bosing: click-bonus4.uz",scam,generated,expansion_script
"Click: 50,000 so'm yutib oldingiz! Havolani bosing: click-bonus5.uz",scam,generated,expansion_script
"Click: 60,000 so'm yutib oldingiz! Havolani bosing: click-bonus6.uz",scam,generated,expansion_script
"Click: 70,000 so'm yutib oldingiz! Havolani bosing: click-bonus7.uz",scam,generated,expansion_script
"Click: 80,000 so'm yutib oldingiz! Havolani bosing: click-bonus8.uz",scam,generated,expansion_script
"Click: 90,000 so'm yutib oldingiz! Havolani bosing: click-bonus9.uz",scam,generated,expansion_script
"Click: 100,000 so'm yutib oldingiz! Havolani bosing: click-bonus10.uz",scam,generated,expansion_script
"Click: 110,000 so'm yutib oldingiz! Havolani bosing: click-bonus11.uz",scam,generated,expansion_script
"Click: 120,000 so'm yutib oldingiz! Havolani bosing: click-bonus12.uz",scam,generated,expansion_script
"Click: 130,000 so'm yutib oldingiz! Havolani bosing: click-bonus13.uz",scam,generated,expansion_script
"Click: 140,000 so'm yutib oldingiz! Havolani bosing: click-bonus14.uz",scam,generated,expansion_script
"Click: 150,000 so'm yutib oldingiz! Havolani bosing: click-bonus15.uz",scam,generated,expansion_script
"Click: 160,000 so'm yutib oldingiz! Havolani bosing: click-bonus16.uz",scam,generated,expansion_script
"Click: 170,000 so'm yutib oldingiz! Havolani bosing: click-bonus17.uz",scam,generated,expansion_script
"Click: 180,000 so'm yutib oldingiz! Havolani bosing: click-bonus18.uz",scam,generated,expansion_script
"Click: 190,000 so'm yutib oldingiz! Havolani bosing: click-bonus19.uz",scam,generated,expansion_script
Bank kartangiz 1 kun ichida bloklanadi. Parolni yangilang: xavf-bank1.uz,scam,generated,expansion_script
Bank kartangiz 2 kun ichida bloklanadi. Parolni yangilang: xavf-bank2.uz,scam,generated,expansion_script
Bank kartangiz 3 kun ichida bloklanadi. Parolni yangilang: xavf-bank3.uz,scam,generated,expansion_script
Bank kartangiz 4 kun ichida bloklanadi. Parolni yangilang: xavf-bank4.uz,scam,generated,expansion_script
Bank kartangiz 5 kun ichida bloklanadi. Parolni yangilang: xavf-bank5.uz,scam,generated,expansion_script
Bank kartangiz 6 kun ichida bloklanadi. Parolni yangilang: xavf-bank6.uz,scam,generated,expansion_script
Bank kartangiz 7 kun ichida bloklanadi. Parolni yangilang: xavf-bank7.uz,scam,generated,expansion_script
Bank kartangiz 8 kun ichida bloklanadi. Parolni yangilang: xavf-bank8.uz,scam,generated,expansion_script
Bank kartangiz 9 kun ichida bloklanadi. Parolni yangilang: xavf-bank9.uz,scam,generated,expansion_script
Bank kartangiz 10 kun ichida bloklanadi. Parolni yangilang: xavf-bank10.uz,scam,generated,expansion_script
Bank kartangiz 11 kun ichida bloklanadi. Parolni yangilang: xavf-bank11.uz,scam,generated,expansion_script
Bank kartangiz 12 kun ichida bloklanadi. Parolni yangilang: xavf-bank12.uz,scam,generated,expansion_script
Bank kartangiz 13 kun ichida bloklanadi. Parolni yangilang: xavf-bank13.uz,scam,generated,expansion_script
Bank kartangiz 14 kun ichida bloklanadi. Parolni yangilang: xavf-bank14.uz,scam,generated,expansion_script
Aksiya! 10 GB bepul internet. Faollashtirish uchun: beeline-net10.uz,scam,generated,expansion_script
Aksiya! 20 GB bepul internet. Faollashtirish uchun: beeline-net20.uz,scam,generated,expansion_script
Aksiya! 30 GB bepul internet. Faollashtirish uchun: beeline-net30.uz,scam,generated,expansion_script
Aksiya! 40 GB bepul internet. Faollashtirish uchun: beeline-net40.uz,scam,generated,expansion_script
Aksiya! 50 GB bepul internet. Faollashtirish uchun: beeline-net50.uz,scam,generated,expansion_script
Aksiya! 60 GB bepul internet. Faollashtirish uchun: beeline-net60.uz,scam,generated,expansion_script
Aksiya! 70 GB bepul internet. Faollashtirish uchun: beeline-net70.uz,scam,generated,expansion_script
Aksiya! 80 GB bepul internet. Faollashtirish uchun: beeline-net80.uz,scam,generated,expansion_script
Aksiya! 90 GB bepul internet. Faollashtirish uchun: beeline-net90.uz,scam,generated,expansion_script
"1xBet: Yana yutuqlar. Akkauntga 500,000 so'm bonus berildi! Kiring",scam,generated,expansion_script
"1xBet: Yana yutuqlar. Akkauntga 1000,000 so'm bonus berildi! Kiring",scam,generated,expansion_script
"1xBet: Yana yutuqlar. Akkauntga 1500,000 so'm bonus berildi! Kiring",scam,generated,expansion_script
"1xBet: Yana yutuqlar. Akkauntga 2000,000 so'm bonus berildi! Kiring",scam,generated,expansion_script
"1xBet: Yana yutuqlar. Akkauntga 2500,000 so'm bonus berildi! Kiring",scam,generated,expansion_script
"1xBet: Yana yutuqlar. Akkauntga 3000,000 so'm bonus berildi! Kiring",scam,generated,expansion_script
"1xBet: Yana yutuqlar. Akkauntga 3500,000 so'm bonus berildi! Kiring",scam,generated,expansion_script
"1xBet: Yana yutuqlar. Akkauntga 4000,000 so'm bonus berildi! Kiring",scam,generated,expansion_script
"1xBet: Yana yutuqlar. Akkauntga 4500,000 so'm bonus berildi! Kiring",scam,generated,expansion_script
Malibu yutdingiz! Sizning nomer tanlandi,scam,generated,expansion_script
SMS kod yuboring va mukofot oling,scam,generated,expansion_script
Kredit tasdiqlandi. 50 mln so'm olish,scam,generated,expansion_script
UZCARD blokka tushdi. Ma'lumot bering,scam,generated,expansion_script
Sizga jarima keldi. YHXX to'lov sayti,scam,generated,expansion_script
Soliq qarzini onlayn yoping,scam,generated,expansion_script
"Qonuniy qarzdan qutulish, yurist yordami",scam,generated,expansion_script
O'zbekiston yutuqlar fondi: g'olibsiz,scam,generated,expansion_script
Darhol tasdiqlang. Parolingiz o'zgardi,scam,generated,expansion_script
Bu senga tegishlimi? Rasmga qara,scam,generated,expansion_script
Karta ma'lumotlaringiz oshkor bo'ldi,scam,generated,expansion_script
Yordam bering ssilkani bosing,scam,generated,expansion_script
Telefon orqali oddiy ish. Kuniga 200 ming,scam,generated,expansion_script
Oyiga 1000$ dollar ishlash,scam,generated,expansion_script
Qarz berib tur kartaga,scam,generated,expansion_script
Bolam kasal bo'lib qoldi pul o'tkazing,scam,generated,expansion_script
Politsiya bo'limidan yozamiz jarima,scam,generated,expansion_script
Davlatdan yordam puli tarqatilyapti uz-help,scam,generated,expansion_script
Qabul qilindi! Bepul vizaga ega bo'ldingiz,scam,generated,expansion_script
"Amazon: Pochtada muammo, to'lov qiling",scam,generated,expansion_script
AliExpress bojxona yig'imi. Shuni bosing,scam,generated,expansion_script
Daromadli kriptovalyuta signal,scam,generated,expansion_script
Bitcoin sotib oling va boy bo'ling,scam,generated,expansion_script
"Eksklyuziv taklif, darhol bosing",scam,generated,expansion_script
