text,source,label
Bugun 11:00 da ko'rishamiz.?,sms,ham
Kechikaman biroz 8:15 da boraman.?,telegram,ham
Bugungi majlis 9:00 ga surildi. tezroq,sms,ham
Kechikaman biroz 11:00 da boraman.!,sms,ham
Uyga qaytayotganda ruchka olib kel. :),sms,ham
Kechikaman biroz 12:45 da boraman.,sms,ham
"Menga 180,000 so'm tashlab tura olasanmi?...",sms,ham
Bugungi majlis 8:00 ga surildi.?,sms,ham
Bugun 19:45 da ko'rishamiz. tezroq,sms,ham
Bugungi majlis 16:15 ga surildi....,sms,ham
Kechikaman biroz 17:30 da boraman.?,sms,ham
Bugungi majlis 13:15 ga surildi.,telegram,ham
Kechikaman biroz 13:45 da boraman. :),sms,ham
Bugun 14:45 da ko'rishamiz.?,sms,ham
Bugungi majlis 9:15 ga surildi. tezroq,sms,ham
Bugun 9:15 da ko'rishamiz.!,sms,ham
Bugun 8:00 da ko'rishamiz.!,telegram,ham
Kechikaman biroz 18:15 da boraman.,sms,ham
"Menga 4400,000 so'm tashlab tura olasanmi? :)",telegram,ham
Bugungi majlis 21:30 ga surildi. :),sms,ham
Kechikaman biroz 11:15 da boraman.!,telegram,ham
qogoz narxi qancha ekan hozir? tezroq,telegram,ham
Bugun 17:45 da ko'rishamiz..,telegram,ham
"Menga 150,000 so'm tashlab tura olasanmi?...",sms,ham
Uyga qaytayotganda go'sht olib kel.?,sms,ham
Kechikaman biroz 18:00 da boraman....,sms,ham
Kechikaman biroz 17:30 da boraman....,sms,ham
Uyga qaytayotganda piyoz olib kel. :),sms,ham
Bugun 17:30 da ko'rishamiz..,telegram,ham
Bugun 12:15 da ko'rishamiz. tezroq,telegram,ham
Kechikaman biroz 20:15 da boraman.,sms,ham
Bugun 9:45 da ko'rishamiz.!,telegram,ham
Rahmat sizga katta! :),telegram,ham
Uyga qaytayotganda kitob olib kel.!,telegram,ham
Bugungi majlis 16:15 ga surildi. :),telegram,ham
"Menga 3880,000 so'm tashlab tura olasanmi? tezroq",telegram,ham
Kechikaman biroz 14:15 da boraman. tezroq,sms,ham
Bugungi majlis 12:30 ga surildi. :),telegram,ham
"Yaxshimisiz, uydagilar qalay?",telegram,ham
Bugungi majlis 10:30 ga surildi.?,telegram,ham
Bugungi majlis 14:00 ga surildi....,telegram,ham
Bugun 20:15 da ko'rishamiz.,sms,ham
Bugungi majlis 21:15 ga surildi.!,sms,ham
"Aka, ishlar qanday??",telegram,ham
Bugungi majlis 21:00 ga surildi.,sms,ham
ruchka narxi qancha ekan hozir?!,telegram,ham
Bugun 21:30 da ko'rishamiz. :),telegram,ham
Bugun 18:45 da ko'rishamiz.?,sms,ham
Kechikaman biroz 14:30 da boraman. tezroq,telegram,ham
"Menga 700,000 so'm tashlab tura olasanmi?.",telegram,ham
shirinlik narxi qancha ekan hozir?!,telegram,ham
Kechikaman biroz 20:00 da boraman.!,telegram,ham
Kechikaman biroz 11:30 da boraman.!,sms,ham
Bugun 13:15 da ko'rishamiz. tezroq,telegram,ham
"Menga 3770,000 so'm tashlab tura olasanmi?!",sms,ham
Kechikaman biroz 17:00 da boraman. :),sms,ham
Kechikaman biroz 11:00 da boraman. :),telegram,ham
Uyga qaytayotganda piyoz olib kel.!,sms,ham
Bugun 14:00 da ko'rishamiz.,sms,ham
Bugungi majlis 11:00 ga surildi.!,telegram,ham
Kechikaman biroz 11:30 da boraman..,sms,ham
ruchka narxi qancha ekan hozir?,sms,ham
Kechikaman biroz 14:30 da boraman.?,telegram,ham
Bugungi majlis 15:00 ga surildi.?,telegram,ham
"Menga 2030,000 so'm tashlab tura olasanmi?!",sms,ham
"Menga 2400,000 so'm tashlab tura olasanmi? tezroq",sms,ham
"Menga 1650,000 so'm tashlab tura olasanmi?.",telegram,ham
Bugungi majlis 13:45 ga surildi. :),telegram,ham
Bugun 18:30 da ko'rishamiz. tezroq,telegram,ham
"Menga 1000,000 so'm tashlab tura olasanmi?...",sms,ham
Bugun 16:00 da ko'rishamiz. tezroq,sms,ham
sut narxi qancha ekan hozir?,sms,ham
Bugungi majlis 15:00 ga surildi.!,sms,ham
Kechikaman biroz 20:00 da boraman. tezroq,telegram,ham
Bugun 18:15 da ko'rishamiz..,telegram,ham
Bugun 21:45 da ko'rishamiz.?,sms,ham
Kechikaman biroz 13:30 da boraman. tezroq,sms,ham
Bugungi majlis 19:15 ga surildi.!,sms,ham
Bugungi majlis 15:00 ga surildi.,sms,ham
"Menga 3190,000 so'm tashlab tura olasanmi?!",sms,ham
"Salom, ishlar qale?",sms,ham
"Menga 1000,000 so'm tashlab tura olasanmi? tezroq",sms,ham
"Menga 4300,000 so'm tashlab tura olasanmi? :)",sms,ham
Bugungi majlis 16:45 ga surildi.,telegram,ham
Kechikaman biroz 13:00 da boraman....,sms,ham
Uyga qaytayotganda shakar olib kel. tezroq,telegram,ham
"Menga 2580,000 so'm tashlab tura olasanmi? :)",sms,ham
Bugun 21:45 da ko'rishamiz....,sms,ham
Bugungi majlis 8:00 ga surildi....,telegram,ham
Uyga qaytayotganda choy olib kel. tezroq,telegram,ham
Bugungi majlis 16:30 ga surildi.?,telegram,ham
Uyga qaytayotganda tuxum olib kel.,sms,ham
Bugungi majlis 9:30 ga surildi..,sms,ham
"Menga 4420,000 so'm tashlab tura olasanmi??",sms,ham
Bugun 19:30 da ko'rishamiz.?,sms,ham
Uyga qaytayotganda sut olib kel..,sms,ham
Uyga qaytayotganda qogoz olib kel..,telegram,ham
Men hozir ishdamon. :),sms,ham
Bugungi majlis 19:45 ga surildi. :),sms,ham
Kechikaman biroz 20:00 da boraman..,sms,ham
shirinlik narxi qancha ekan hozir?,sms,ham
Bugungi majlis 11:45 ga surildi.,sms,ham
"Menga 430,000 so'm tashlab tura olasanmi?.",sms,ham
"Menga 2580,000 so'm tashlab tura olasanmi? tezroq",sms,ham
daftar narxi qancha ekan hozir??,sms,ham
Bugungi majlis ertalab ga surildi.,sms,ham
Bugungi majlis 18:30 ga surildi..,telegram,ham
Bugungi majlis 21:15 ga surildi. :),telegram,ham
Bugungi majlis 8:30 ga surildi..,sms,ham
Uyga qaytayotganda suv olib kel. tezroq,sms,ham
"Menga 4980,000 so'm tashlab tura olasanmi?!",telegram,ham
Bugun 11:00 da ko'rishamiz.,telegram,ham
"Menga 3700,000 so'm tashlab tura olasanmi??",telegram,ham
Bugun 18:30 da ko'rishamiz..,sms,ham
Bugun 15:00 da ko'rishamiz.,telegram,ham
Bugungi majlis 14:30 ga surildi.,sms,ham
Bugungi majlis 9:45 ga surildi.,telegram,ham
sut narxi qancha ekan hozir? :),telegram,ham
Bugun 15:45 da ko'rishamiz.!,sms,ham
Bugungi majlis 9:30 ga surildi.,telegram,ham
"Menga 2360,000 so'm tashlab tura olasanmi?",telegram,ham
shirinlik narxi qancha ekan hozir? tezroq,telegram,ham
Kechikaman biroz kechqurun da boraman....,telegram,ham
Kechikaman biroz 20:15 da boraman.?,sms,ham
Kechikaman biroz 20:30 da boraman.!,sms,ham
Kechikaman biroz 8:45 da boraman....,telegram,ham
Kechikaman biroz 11:45 da boraman. :),sms,ham
Bugun 10:00 da ko'rishamiz. tezroq,sms,ham
Bugun 17:00 da ko'rishamiz.!,sms,ham
Bugungi majlis 8:30 ga surildi.?,sms,ham
"Menga 1750,000 so'm tashlab tura olasanmi? :)",sms,ham
Bugun 17:30 da ko'rishamiz....,sms,ham
Kechikaman biroz 13:45 da boraman....,telegram,ham
Qachon kelasiz?...,sms,ham
Kechikaman biroz 15:00 da boraman..,sms,ham
"Menga 2420,000 so'm tashlab tura olasanmi?.",telegram,ham
Bugun 13:30 da ko'rishamiz. :),telegram,ham
Bugun 21:30 da ko'rishamiz..,telegram,ham
Kechikaman biroz 21:45 da boraman.,telegram,ham
Bugun 19:15 da ko'rishamiz. :),telegram,ham
O'qish qachon tugaydi??,sms,ham
"Charchamang, oq yo'l!",sms,ham
Bugun 20:30 da ko'rishamiz.!,telegram,ham
Uyga qaytayotganda kartoshka olib kel.,telegram,ham
Bugun 14:00 da ko'rishamiz. :),telegram,ham
Bugun 8:30 da ko'rishamiz....,telegram,ham
Kechikaman biroz 11:45 da boraman. tezroq,telegram,ham
tuxum narxi qancha ekan hozir??,telegram,ham
Bugun 15:00 da ko'rishamiz. tezroq,telegram,ham
Bugungi majlis 14:45 ga surildi.,sms,ham
"Menga 2990,000 so'm tashlab tura olasanmi??",telegram,ham
Bayramingiz bilan tabriklayman! tezroq,sms,ham
"Menga 790,000 so'm tashlab tura olasanmi?.",sms,ham
Kechikaman biroz 8:00 da boraman.,sms,ham
Kechikaman biroz 17:15 da boraman..,sms,ham
Kechikaman biroz 14:30 da boraman.,telegram,ham
Bugun 11:00 da ko'rishamiz. :),telegram,ham
Kechikaman biroz 8:30 da boraman.!,telegram,ham
"Menga 2400,000 so'm tashlab tura olasanmi?.",telegram,ham
choy narxi qancha ekan hozir?.,telegram,ham
Bugun uchrashamizmi?!,sms,ham
"Menga 4300,000 so'm tashlab tura olasanmi?.",sms,ham
Bugungi majlis 12:00 ga surildi.!,sms,ham
Kechikaman biroz 12:15 da boraman.?,sms,ham
Bugungi majlis kechqurun ga surildi.?,sms,ham
Kechikaman biroz 15:00 da boraman. tezroq,sms,ham
Kechikaman biroz 16:45 da boraman....,sms,ham
"Menga 3540,000 so'm tashlab tura olasanmi?...",sms,ham
Uyga qaytayotganda meva olib kel.?,telegram,ham
Kechikaman biroz 15:00 da boraman. :),telegram,ham
Uyga qaytayotganda go'sht olib kel....,sms,ham
Bugun 16:15 da ko'rishamiz.?,telegram,ham
Rahmat sizga katta!...,telegram,ham
"Menga 410,000 so'm tashlab tura olasanmi??",sms,ham
"Menga 2280,000 so'm tashlab tura olasanmi?!",sms,ham
"Menga 360,000 so'm tashlab tura olasanmi??",telegram,ham
Qachon kelasiz?.,sms,ham
Bugungi majlis 19:30 ga surildi. :),telegram,ham
Ertaga dars soat nechida boshlanadi?,sms,ham
Uyga qaytayotganda non olib kel....,sms,ham
go'sht narxi qancha ekan hozir? :),telegram,ham
Kechikaman biroz kechqurun da boraman.,telegram,ham
Telefonni ko'tar!!,sms,ham
Bugun 16:45 da ko'rishamiz.!,sms,ham
Bugungi majlis 18:15 ga surildi. tezroq,telegram,ham
choy narxi qancha ekan hozir??,sms,ham
Kechikaman biroz 12:30 da boraman..,telegram,ham
"Menga 180,000 so'm tashlab tura olasanmi?.",sms,ham
Bugungi majlis 10:15 ga surildi. :),sms,ham
Bugun 10:45 da ko'rishamiz.,telegram,ham
Qayerdasan hozir? tezroq,telegram,ham
Kechikaman biroz 20:30 da boraman. tezroq,sms,ham
Bugungi majlis 19:45 ga surildi.!,sms,ham
Bugungi majlis 18:00 ga surildi.!,sms,ham
Bugungi majlis 9:15 ga surildi. :),telegram,ham
Bugungi majlis 13:30 ga surildi.?,sms,ham
Bugun 8:45 da ko'rishamiz.!,sms,ham
Bugungi majlis 15:45 ga surildi. :),sms,ham
Kechikaman biroz 8:45 da boraman..,telegram,ham
Kechikaman biroz 16:30 da boraman.?,telegram,ham
Nima qilyapsan tuzukmisan? tezroq,telegram,ham
Kechikaman biroz 21:45 da boraman....,telegram,ham
Bugungi majlis 21:45 ga surildi.?,telegram,ham
Bugungi majlis 10:15 ga surildi.?,sms,ham
Bugun 11:15 da ko'rishamiz.?,sms,ham
"Menga 1870,000 so'm tashlab tura olasanmi? tezroq",sms,ham
shirinlik narxi qancha ekan hozir? :),telegram,ham
"Menga 360,000 so'm tashlab tura olasanmi?",telegram,ham
"Charchamang, oq yo'l! tezroq",sms,ham
"Yaxshimisiz, uydagilar qalay? tezroq",sms,ham
Kechikaman biroz tushdan keyin da boraman.,telegram,ham
Telegramdan yozaman hozir....,telegram,ham
"Menga 3980,000 so'm tashlab tura olasanmi?",telegram,ham
Bugun 19:30 da ko'rishamiz..,sms,ham
"Menga 4840,000 so'm tashlab tura olasanmi?",telegram,ham
"Menga 1360,000 so'm tashlab tura olasanmi?...",sms,ham
Bugun 12:00 da ko'rishamiz.,sms,ham
Kechikaman biroz 19:30 da boraman.?,sms,ham
Bugungi majlis 8:30 ga surildi. :),sms,ham
Uyga qaytayotganda piyoz olib kel.?,sms,ham
Uyga qaytayotganda piyoz olib kel....,sms,ham
Uyga qaytayotganda non olib kel.!,telegram,ham
Bugungi majlis 10:15 ga surildi. tezroq,telegram,ham
Bugungi majlis 18:45 ga surildi.!,sms,ham
Kechikaman biroz 14:15 da boraman.?,sms,ham
Pulni tashlab yubordim tekshirib ko'r. tezroq,sms,ham
suv narxi qancha ekan hozir? tezroq,telegram,ham
Bugun 10:00 da ko'rishamiz.!,sms,ham
Bugungi majlis 14:15 ga surildi..,sms,ham
"Menga 2990,000 so'm tashlab tura olasanmi? tezroq",sms,ham
Telefonni ko'tar!.,sms,ham
Bugungi majlis 18:00 ga surildi.,sms,ham
Kechikaman biroz 10:15 da boraman.?,sms,ham
Bugungi majlis 16:30 ga surildi. :),telegram,ham
Bugun 10:45 da ko'rishamiz....,sms,ham
Bugun 10:00 da ko'rishamiz..,telegram,ham
Bugungi majlis 17:45 ga surildi.,sms,ham
"Menga 3280,000 so'm tashlab tura olasanmi? :)",sms,ham
Kechikaman biroz 10:15 da boraman. :),telegram,ham
Kechikaman biroz 15:45 da boraman....,telegram,ham
Bugun 11:45 da ko'rishamiz. :),telegram,ham
Uyga qaytayotganda shirinlik olib kel.!,telegram,ham
Bugun 13:00 da ko'rishamiz. :),telegram,ham
Bugungi majlis 14:15 ga surildi. :),sms,ham
"Menga 4420,000 so'm tashlab tura olasanmi?...",sms,ham
Bugun 18:00 da ko'rishamiz.?,sms,ham
"Menga 1360,000 so'm tashlab tura olasanmi? :)",telegram,ham
Kechikaman biroz 8:45 da boraman. tezroq,sms,ham
"Menga 850,000 so'm tashlab tura olasanmi? tezroq",telegram,ham
choy narxi qancha ekan hozir? :),sms,ham
Vazifani qildingmi?,telegram,ham
"Menga 3140,000 so'm tashlab tura olasanmi?!",sms,ham
Ertaga dars soat nechida boshlanadi?...,telegram,ham
Bugungi majlis 12:15 ga surildi..,sms,ham
Bugun 15:00 da ko'rishamiz..,telegram,ham
Bugun 10:30 da ko'rishamiz.!,telegram,ham
Kechikaman biroz 10:00 da boraman.,telegram,ham
"Menga 4420,000 so'm tashlab tura olasanmi?!",sms,ham
Bugungi majlis 15:15 ga surildi. tezroq,sms,ham
"Iltimos, qayta qo'ng'iroq qiling. tezroq",telegram,ham
Bugungi majlis 8:45 ga surildi.,telegram,ham
"Menga 3280,000 so'm tashlab tura olasanmi?",telegram,ham
Kechikaman biroz 20:00 da boraman.?,sms,ham
Bugungi majlis 8:00 ga surildi..,telegram,ham
Kechikaman biroz 19:00 da boraman. tezroq,telegram,ham
Qayerdasan hozir?,sms,ham
Bugun 21:00 da ko'rishamiz....,sms,ham
Uyga qaytayotganda shakar olib kel. :),sms,ham
Bugungi majlis 15:15 ga surildi....,telegram,ham
Kechikaman biroz 19:45 da boraman.!,sms,ham
Bugungi majlis 11:45 ga surildi.?,sms,ham
Bugun 10:30 da ko'rishamiz. tezroq,sms,ham
Kechikaman biroz 16:45 da boraman..,sms,ham
Bugungi majlis 11:45 ga surildi..,sms,ham
Kechikaman biroz 15:45 da boraman.,sms,ham
"Menga 4300,000 so'm tashlab tura olasanmi?...",sms,ham
Bugungi majlis 17:15 ga surildi..,telegram,ham
Kechikaman biroz 11:15 da boraman. :),sms,ham
Bugun 10:15 da ko'rishamiz.!,telegram,ham
Kechikaman biroz 13:30 da boraman....,sms,ham
Bugungi majlis kechqurun ga surildi.,sms,ham
Uyga qaytayotganda go'sht olib kel.!,sms,ham
Bugun 14:00 da ko'rishamiz..,sms,ham
Bugun tushdan keyin da ko'rishamiz.,sms,ham
Bugun 8:45 da ko'rishamiz.?,sms,ham
Pulni tashlab yubordim tekshirib ko'r.,telegram,ham
Kechikaman biroz 9:00 da boraman. :),sms,ham
Kechikaman biroz 9:15 da boraman.,sms,ham
Bugungi majlis 16:30 ga surildi.,sms,ham
Bugungi majlis 19:30 ga surildi. tezroq,sms,ham
Bugungi majlis 17:00 ga surildi. :),telegram,ham
"Menga 1870,000 so'm tashlab tura olasanmi?...",telegram,ham
kitob narxi qancha ekan hozir? :),telegram,ham
Kechikaman biroz 17:45 da boraman.!,sms,ham
Bugungi majlis 9:45 ga surildi....,telegram,ham
Uyga qaytayotganda suv olib kel.?,telegram,ham
Nima qilyapsan tuzukmisan?!,telegram,ham
Kechikaman biroz 12:45 da boraman. tezroq,sms,ham
Kechikaman biroz 15:45 da boraman.?,sms,ham
Bugun 15:00 da ko'rishamiz....,sms,ham
"Menga 2420,000 so'm tashlab tura olasanmi?!",sms,ham
piyoz narxi qancha ekan hozir? tezroq,telegram,ham
Uyga qaytayotganda suv olib kel..,telegram,ham
Bugun uchrashamizmi?...,telegram,ham
"Menga 4300,000 so'm tashlab tura olasanmi??",sms,ham
"Menga 4300,000 so'm tashlab tura olasanmi?",sms,ham
Bugun 20:45 da ko'rishamiz.!,telegram,ham
"Menga 1750,000 so'm tashlab tura olasanmi? tezroq",sms,ham
Kechikaman biroz ertalab da boraman. :),telegram,ham
"Menga 2420,000 so'm tashlab tura olasanmi? tezroq",telegram,ham
Bugun 12:45 da ko'rishamiz. tezroq,telegram,ham
Bugun 19:15 da ko'rishamiz.!,telegram,ham
Bayramingiz bilan tabriklayman!?,telegram,ham
Bugungi majlis 18:15 ga surildi. :),sms,ham
Uyga qaytayotganda daftar olib kel. tezroq,sms,ham
Bugun 11:45 da ko'rishamiz.?,sms,ham
"Menga 2030,000 so'm tashlab tura olasanmi? :)",sms,ham
"Yaxshimisiz, uydagilar qalay?.",telegram,ham
Bugungi majlis 9:45 ga surildi. tezroq,sms,ham
Bugun 16:00 da ko'rishamiz.!,telegram,ham
Bugun kechqurun da ko'rishamiz....,telegram,ham
"Menga 4400,000 so'm tashlab tura olasanmi??",sms,ham
"Menga 2450,000 so'm tashlab tura olasanmi?...",telegram,ham
Kechikaman biroz 18:45 da boraman.!,sms,ham
Kechikaman biroz 15:00 da boraman....,telegram,ham
Bugun tushdan keyin da ko'rishamiz.?,telegram,ham
Kechikaman biroz 9:45 da boraman. tezroq,telegram,ham
Bugun 9:30 da ko'rishamiz.,sms,ham
"Menga 2450,000 so'm tashlab tura olasanmi? :)",sms,ham
Bugungi majlis 20:00 ga surildi.!,sms,ham
Bugun 14:00 da ko'rishamiz.!,telegram,ham
Bugungi majlis 18:15 ga surildi....,sms,ham
suv narxi qancha ekan hozir?.,sms,ham
Bugungi majlis 9:30 ga surildi.!,telegram,ham
Qayerdasan hozir?.,sms,ham
Kechikaman biroz 16:15 da boraman....,telegram,ham
Kechikaman biroz 17:45 da boraman....,telegram,ham
Bugungi majlis 12:45 ga surildi.?,telegram,ham
"Menga 700,000 so'm tashlab tura olasanmi?",sms,ham
Bugungi majlis kechqurun ga surildi.!,sms,ham
"Menga 3540,000 so'm tashlab tura olasanmi? tezroq",telegram,ham
kartoshka narxi qancha ekan hozir?.,sms,ham
Uyga qaytayotganda shirinlik olib kel. :),telegram,ham
Bugungi majlis 14:30 ga surildi. tezroq,telegram,ham
Bugun 20:15 da ko'rishamiz. tezroq,telegram,ham
Bugun 15:00 da ko'rishamiz. :),sms,ham
Bugun 9:45 da ko'rishamiz..,sms,ham
Rahmat sizga katta!,sms,ham
Kechikaman biroz 20:15 da boraman. tezroq,sms,ham
Bugungi majlis 11:45 ga surildi....,telegram,ham
"Menga 2860,000 so'm tashlab tura olasanmi?!",telegram,ham
Bugun 20:45 da ko'rishamiz..,telegram,ham
"Menga 1460,000 so'm tashlab tura olasanmi?!",sms,ham
Kechikaman biroz 12:30 da boraman....,sms,ham
O'qish qachon tugaydi?!,telegram,ham
Kechikaman biroz 8:30 da boraman....,sms,ham
"Menga 4120,000 so'm tashlab tura olasanmi?",sms,ham
Bugungi majlis 17:15 ga surildi. :),sms,ham
"Menga 2630,000 so'm tashlab tura olasanmi? tezroq",telegram,ham
Bugungi majlis 13:00 ga surildi....,telegram,ham
Bugun 16:00 da ko'rishamiz. :),sms,ham
"Menga 3190,000 so'm tashlab tura olasanmi??",telegram,ham
Kechikaman biroz 16:15 da boraman..,telegram,ham
go'sht narxi qancha ekan hozir??,telegram,ham
Bugungi majlis 20:45 ga surildi. :),sms,ham
Bugungi majlis 10:30 ga surildi.,sms,ham
Kechikaman biroz 18:45 da boraman..,telegram,ham
Bugun 11:15 da ko'rishamiz. :),telegram,ham
"Menga 2280,000 so'm tashlab tura olasanmi?",sms,ham
Uyga qaytayotganda ruchka olib kel.!,sms,ham
Bugun 21:15 da ko'rishamiz....,sms,ham
"Menga 1650,000 so'm tashlab tura olasanmi? :)",telegram,ham
Kechikaman biroz 19:00 da boraman. :),telegram,ham
qogoz narxi qancha ekan hozir?!,sms,ham
Kechikaman biroz 17:45 da boraman. :),sms,ham
Kechikaman biroz 19:00 da boraman.?,telegram,ham
"Menga 360,000 so'm tashlab tura olasanmi?!",telegram,ham
Uyga qaytayotganda shakar olib kel.!,sms,ham
Bugun 19:30 da ko'rishamiz....,telegram,ham
"Yaxshimisiz, uydagilar qalay? :)",telegram,ham
Uyga qaytayotganda piyoz olib kel..,sms,ham
Bugun 13:00 da ko'rishamiz....,telegram,ham
Bugun 9:15 da ko'rishamiz....,sms,ham
piyoz narxi qancha ekan hozir??,telegram,ham
Uyga qaytayotganda ruchka olib kel....,sms,ham
Kechikaman biroz 13:30 da boraman.!,telegram,ham
Kechikaman biroz 11:45 da boraman.!,sms,ham
Uyga qaytayotganda piyoz olib kel.,sms,ham
Bugungi majlis 11:15 ga surildi.,sms,ham
Bugungi majlis 18:30 ga surildi.,sms,ham
Bugun 13:45 da ko'rishamiz. tezroq,telegram,ham
"Menga 3700,000 so'm tashlab tura olasanmi? tezroq",sms,ham
Kechikaman biroz 11:45 da boraman....,sms,ham
Bugungi majlis tushdan keyin ga surildi..,telegram,ham
Kechikaman biroz 13:00 da boraman..,telegram,ham
"Menga 4980,000 so'm tashlab tura olasanmi?...",telegram,ham
Bugungi majlis 15:30 ga surildi.!,sms,ham
Uyga qaytayotganda tuxum olib kel....,sms,ham
Kechikaman biroz 16:00 da boraman. tezroq,sms,ham
Kechikaman biroz 17:30 da boraman. :),sms,ham
"Menga 700,000 so'm tashlab tura olasanmi? tezroq",sms,ham
Bugungi majlis 13:15 ga surildi. :),sms,ham
Bugun 12:15 da ko'rishamiz..,sms,ham
Bugungi majlis 9:45 ga surildi.?,sms,ham
Bugun 14:15 da ko'rishamiz. :),telegram,ham
"Menga 150,000 so'm tashlab tura olasanmi?.",sms,ham
"Menga 1360,000 so'm tashlab tura olasanmi?!",sms,ham
"Menga 4400,000 so'm tashlab tura olasanmi? tezroq",sms,ham
"Menga 700,000 so'm tashlab tura olasanmi? :)",telegram,ham
Bugun 12:15 da ko'rishamiz.?,telegram,ham
"Menga 4680,000 so'm tashlab tura olasanmi??",sms,ham
Uyga qaytayotganda piyoz olib kel. tezroq,telegram,ham
Vazifani qildingmi? :),sms,ham
Bugungi majlis 18:30 ga surildi....,sms,ham
"Menga 4400,000 so'm tashlab tura olasanmi?.",telegram,ham
Pulni tashlab yubordim tekshirib ko'r.!,telegram,ham
"Charchamang, oq yo'l!!",telegram,ham
Bugungi majlis 21:15 ga surildi..,telegram,ham
ruchka narxi qancha ekan hozir??,telegram,ham
"Menga 3880,000 so'm tashlab tura olasanmi?.",sms,ham
Bugungi majlis 17:30 ga surildi. :),sms,ham
"Menga 2030,000 so'm tashlab tura olasanmi? tezroq",telegram,ham
"Menga 1460,000 so'm tashlab tura olasanmi? :)",telegram,ham
Bugun 18:30 da ko'rishamiz.?,sms,ham
Bugun 19:45 da ko'rishamiz.!,sms,ham
Nima qilyapsan tuzukmisan?...,sms,ham
Bugungi majlis 21:30 ga surildi....,sms,ham
Uyga qaytayotganda shirinlik olib kel..,sms,ham
Bugungi majlis ertalab ga surildi.!,telegram,ham
meva narxi qancha ekan hozir??,telegram,ham
"Menga 3190,000 so'm tashlab tura olasanmi? tezroq",telegram,ham
Bayramingiz bilan tabriklayman! :),sms,ham
Kechikaman biroz 11:00 da boraman..,telegram,ham
Kechikaman biroz 14:00 da boraman..,sms,ham
Bugun ertalab da ko'rishamiz....,telegram,ham
"Menga 3700,000 so'm tashlab tura olasanmi?",sms,ham
Kechikaman biroz 18:30 da boraman. tezroq,telegram,ham
Bugungi majlis 11:15 ga surildi.!,telegram,ham
Bugun 12:15 da ko'rishamiz. :),sms,ham
