text,source,label,language_hint,priority,reason
Ranjith cal drpd Deeraj and deepak 5min hold,sms,ham,en,medium,useful ham example for balance
What you doing?how are you?,sms,ham,en,medium,useful ham example for balance
Mmm so yummy babe ... Nice jolt to the suzy,sms,ham,en,medium,useful ham example for balance
MY NO. IN LUTON 0125698789 RING ME IF UR AROUND! H*,sms,ham,en,medium,useful ham example for balance
Why you Dint come with us.,sms,ham,en,medium,useful ham example for balance
"Not sure yet, still trying to get a hold of him",sms,ham,en,medium,useful ham example for balance
"Awesome, I'll see you in a bit",sms,ham,en,medium,useful ham example for balance
Ok..,sms,ham,en,medium,useful ham example for balance
T-Mobile customer you may now claim your FREE CAMERA PHONE upgrade & a pay & go sim card for your loyalty. Call on 0845 021 3680.Offer ends 28thFeb.T&C's apply,sms,scam,en,high,strong prize scam pattern
I cant pick the phone right now. Pls send a message,sms,ham,en,medium,useful ham example for balance
"TheMob> Check out our newest selection of content, Games, Tones, Gossip, babes and sport, Keep your mobile fit and funky text WAP to 82468",sms,scam,en,medium,medium priority scam style
"Think ur smart ? Win £200 this week in our weekly quiz, text PLAY to 85222 now!T&Cs WinnersClub PO BOX 84, M26 3UZ. 16+. GBP1.50/week",sms,scam,en,high,strong prize scam pattern
K.k:)advance happy pongal.,sms,ham,en,medium,useful ham example for balance
"Merry Christmas to you too babe, i love ya *kisses*",sms,ham,en,medium,useful ham example for balance
Maybe i could get book out tomo then return it immediately ..? Or something.,sms,ham,en,medium,useful ham example for balance
Call Germany for only 1 pence per minute! Call from a fixed line via access number 0844 861 85 85. No prepayment. Direct access!,sms,scam,en,high,urgent financial scam pattern
Valentines Day Special! Win over £1000 in our quiz and take your partner on the trip of a lifetime! Send GO to 83600 now. 150p/msg rcvd. CustCare:08718720201.,sms,scam,en,high,strong prize scam pattern
Cool. So how come you havent been wined and dined before?,sms,ham,en,medium,useful ham example for balance
Fancy a shag? I do.Interested? sextextuk.com txt XXUK SUZY to 69876. Txts cost 1.50 per msg. TnCs on website. X,sms,scam,en,medium,medium priority scam style
"Update_Now - Xmas Offer! Latest Motorola, SonyEricsson & Nokia & FREE Bluetooth! Double Mins & 1000 Txt on Orange. Call MobileUpd8 on 08000839402 or call2optout/F4Q=",sms,scam,en,medium,medium priority scam style
I'm going for bath will msg you next  &lt;#&gt;  min..,sms,ham,en,medium,useful ham example for balance
Mm that time you dont like fun,sms,ham,en,medium,useful ham example for balance
Morning only i can ok.,sms,ham,en,medium,useful ham example for balance
Dear how is chechi. Did you talk to her,sms,ham,en,medium,useful ham example for balance
Cos i want it to be your thing,sms,ham,en,medium,useful ham example for balance
FREE entry into our £250 weekly competition just text the word WIN to 80086 NOW. 18 T&C www.txttowin.co.uk,sms,scam,en,high,strong prize scam pattern
Someone has contacted our dating service and entered your phone because they fancy you! To find out who it is call from a landline 09111032124 . PoBox12n146tf150p,sms,scam,en,medium,medium priority scam style
Siva is in hostel aha:-.,sms,ham,en,medium,useful ham example for balance
URGENT! Your Mobile number has been awarded with a £2000 prize GUARANTEED. Call 09058094455 from land line. Claim 3030. Valid 12hrs only,sms,scam,en,high,strong prize scam pattern
Booked ticket for pongal?,sms,ham,en,medium,useful ham example for balance
I wont get concentration dear you know you are my mind and everything :-),sms,ham,en,medium,useful ham example for balance
Great. Never been better. Each day gives even more reasons to thank God,sms,ham,en,medium,useful ham example for balance
"UpgrdCentre Orange customer, you may now claim your FREE CAMERA PHONE upgrade for your loyalty. Call now on 0207 153 9153. Offer ends 26th July. T&C's apply. Opt-out available",sms,scam,en,high,strong prize scam pattern
Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur Mob? Join the UK's largest Dogging Network by txting MOAN to 69888Nyt. ec2a. 31p.msg@150p,sms,scam,en,medium,medium priority scam style
"Almost there, see u in a sec",sms,ham,en,medium,useful ham example for balance
Thank you baby! I cant wait to taste the real thing...,sms,ham,en,medium,useful ham example for balance
You should change your fb to jaykwon thuglyfe falconerf,sms,ham,en,medium,useful ham example for balance
"FREE MESSAGE Activate your 500 FREE Text Messages by replying to this message with the word FREE For terms & conditions, visit www.07781482378.com",sms,scam,en,medium,medium priority scam style
"Kate jackson rec center before 7ish, right?",sms,ham,en,medium,useful ham example for balance
+123 Congratulations - in this week's competition draw u have won the £1450 prize to claim just call 09050002311 b4280703. T&Cs/stop SMS 08718727868. Over 18 only 150ppm,sms,scam,en,high,strong prize scam pattern
"You are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a £500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18+",sms,scam,en,high,strong prize scam pattern
"URGENT!: Your Mobile No. was awarded a £2,000 Bonus Caller Prize on 02/09/03! This is our 2nd attempt to contact YOU! Call 0871-872-9755 BOX95QU",sms,scam,en,high,strong prize scam pattern
Hi i won't b ard 4 christmas. But do enjoy n merry x'mas.,sms,ham,en,medium,useful ham example for balance
"Today's Offer! Claim ur £150 worth of discount vouchers! Text YES to 85023 now! SavaMob, member offers mobile! T Cs 08717898035. £3.00 Sub. 16 . Unsub reply X",sms,scam,en,high,strong prize scam pattern
Yes! How is a pretty lady like you single?,sms,ham,en,medium,useful ham example for balance
I'll be late...,sms,ham,en,medium,useful ham example for balance
4 oclock at mine. Just to bash out a flat plan.,sms,ham,en,medium,useful ham example for balance
Wait  &lt;#&gt;  min..,sms,ham,en,medium,useful ham example for balance
I know that my friend already told that.,sms,ham,en,medium,useful ham example for balance
Can you open the door?,sms,ham,en,medium,useful ham example for balance
"You have won ?1,000 cash or a ?2,000 prize! To claim, call09050000327",sms,scam,en,high,strong prize scam pattern
"our mobile number has won £5000, to claim calls us back or ring the claims hot line on 09050005321.",sms,scam,en,high,strong prize scam pattern
my ex-wife was not able to have kids. Do you want kids one day?,sms,ham,en,medium,useful ham example for balance
"I'm in a meeting, call me later at",sms,ham,en,medium,useful ham example for balance
"For ur chance to win a £250 wkly shopping spree TXT: SHOP to 80878. T's&C's www.txt-2-shop.com custcare 08715705022, 1x150p/wk",sms,scam,en,high,strong prize scam pattern
If u sending her home first it's ok lor. I'm not ready yet.,sms,ham,en,medium,useful ham example for balance
Speaking of does he have any cash yet?,sms,ham,en,medium,useful ham example for balance
XCLUSIVE@CLUBSAISAI 2MOROW 28/5 SOIREE SPECIALE ZOUK WITH NICHOLS FROM PARIS.FREE ROSES 2 ALL LADIES !!! info: 07946746291/07880867867,sms,scam,en,medium,medium priority scam style
For my family happiness..,sms,ham,en,medium,useful ham example for balance
Dear we got  &lt;#&gt;  dollars hi hi,sms,ham,en,medium,useful ham example for balance
New TEXTBUDDY Chat 2 horny guys in ur area 4 just 25p Free 2 receive Search postcode or at gaytextbuddy.com. TXT ONE name to 89693,sms,scam,en,medium,medium priority scam style
Oh that was a forwarded message. I thought you send that to me,sms,ham,en,medium,useful ham example for balance
"Dear Voucher Holder, 2 claim this weeks offer, at your PC go to http://www.e-tlp.co.uk/expressoffer Ts&Cs apply.2 stop texts txt STOP to 80062.",sms,scam,en,high,strong prize scam pattern
Ya very nice. . .be ready on thursday,sms,ham,en,medium,useful ham example for balance
"You have won ?1,000 cash or a ?2,000 prize! To claim, call09050000327. T&C: RSTM, SW7 3SS. 150ppm",sms,scam,en,high,strong prize scam pattern
Fine i miss you very much.,sms,ham,en,medium,useful ham example for balance
Yes baby! We can study all the positions of the kama sutra ;),sms,ham,en,medium,useful ham example for balance
En chikku nange bakra msg kalstiya..then had tea/coffee?,sms,ham,en,medium,useful ham example for balance
Hi I'm sue. I am 20 years old and work as a lapdancer. I love sex. Text me live - I'm i my bedroom now. text SUE to 89555. By TextOperator G2 1DA 150ppmsg 18+,sms,scam,en,medium,medium priority scam style
<Forwarded from 448712404000>Please CALL 08712404000 immediately as there is an urgent message waiting for you.,sms,scam,en,high,high priority general scam
Was the farm open?,sms,ham,en,medium,useful ham example for balance
Mum ask ü to buy food home...,sms,ham,en,medium,useful ham example for balance
08714712388 between 10am-7pm Cost 10p,sms,scam,en,medium,medium priority scam style
+449071512431 URGENT! This is the 2nd attempt to contact U!U have WON £1250 CALL 09071512433 b4 050703 T&CsBCM4235WC1N3XX. callcost 150ppm mobilesvary. max£7. 50,sms,scam,en,high,high priority general scam
You have WON a guaranteed £1000 cash or a £2000 prize. To claim yr prize call our customer service representative on 08714712394 between 10am-7pm,sms,scam,en,high,strong prize scam pattern
"Alright omw, gotta change my order to a half8th",sms,ham,en,medium,useful ham example for balance
Dunno y u ask me.,sms,ham,en,medium,useful ham example for balance
Yes i will be there. Glad you made it.,sms,ham,en,medium,useful ham example for balance
Do well :)all will for little time. Thing of good times ahead:,sms,ham,en,medium,useful ham example for balance
U are subscribed to the best Mobile Content Service in the UK for £3 per 10 days until you send STOP to 82324. Helpline 08706091795,sms,scam,en,medium,medium priority scam style
So why didnt you holla?,sms,ham,en,medium,useful ham example for balance
Cant think of anyone with * spare room off * top of my head,sms,ham,en,medium,useful ham example for balance
Urgent Ur £500 guaranteed award is still unclaimed! Call 09066368327 NOW closingdate04/09/02 claimcode M39M51 £1.50pmmorefrommobile2Bremoved-MobyPOBox734LS27YF,sms,scam,en,high,strong prize scam pattern
"Wishing you and your family Merry ""X"" mas and HAPPY NEW Year in advance..",sms,ham,en,medium,useful ham example for balance
UR awarded a City Break and could WIN a £200 Summer Shopping spree every WK. Txt STORE to 88039 . SkilGme. TsCs087147403231Winawk!Age16 £1.50perWKsub,sms,scam,en,high,strong prize scam pattern
I wil be there with in  &lt;#&gt;  minutes. Got any space,sms,ham,en,medium,useful ham example for balance
That means get the door,sms,ham,en,medium,useful ham example for balance
Y?WHERE U AT DOGBREATH? ITS JUST SOUNDING LIKE JAN C THATS AL!!!!!!!!!,sms,ham,en,medium,useful ham example for balance
"Orange customer, you may now claim your FREE CAMERA PHONE upgrade for your loyalty. Call now on 0207 153 9996. Offer ends 14thMarch. T&C's apply. Opt-out availa",sms,scam,en,high,strong prize scam pattern
"Last Chance! Claim ur £150 worth of discount vouchers today! Text SHOP to 85023 now! SavaMob, offers mobile! T Cs SavaMob POBOX84, M263UZ. £3.00 Sub. 16",sms,scam,en,high,strong prize scam pattern
You have won a guaranteed £200 award or even £1000 cashto claim UR award call free on 08000407165 (18+) 2 stop getstop on 88222 PHP. RG21 4JX,sms,scam,en,high,strong prize scam pattern
Congratulations ur awarded either £500 of CD gift vouchers & Free entry 2 our £100 weekly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16,sms,scam,en,high,strong prize scam pattern
"U were outbid by simonwatson5120 on the Shinco DVD Plyr. 2 bid again, visit sms. ac/smsrewards 2 end bid notifications, reply END OUT",sms,scam,en,high,high priority general scam
Then why you not responding,sms,ham,en,medium,useful ham example for balance
Hahaha..use your brain dear,sms,ham,en,medium,useful ham example for balance
Hey. You got any mail?,sms,ham,en,medium,useful ham example for balance
U have a secret admirer. REVEAL who thinks U R So special. Call 09065174042. To opt out Reply REVEAL STOP. 1.50 per msg recd. Cust care 07821230901,sms,scam,en,medium,medium priority scam style
"Dear Voucher Holder, To claim this weeks offer, at you PC please go to http://www.e-tlp.co.uk/expressoffer Ts&Cs apply. To stop texts, txt STOP to 80062",sms,scam,en,high,strong prize scam pattern
Last chance 2 claim ur £150 worth of discount vouchers-Text YES to 85023 now!SavaMob-member offers mobile T Cs 08717898035. £3.00 Sub. 16 . Remove txt X or STOP,sms,scam,en,high,strong prize scam pattern
"Urgent! call 09066350750 from your landline. Your complimentary 4* Ibiza Holiday or 10,000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150 ppm 18+",sms,scam,en,high,high priority general scam
K.k:)when are you going?,sms,ham,en,medium,useful ham example for balance
I am in office:)whats the matter..msg me now.i will call you at break:).,sms,ham,en,medium,useful ham example for balance
Dude ive been seeing a lotta corvettes lately,sms,ham,en,medium,useful ham example for balance
Congratulations ur awarded either a yrs supply of CDs from Virgin Records or a Mystery Gift GUARANTEED Call 09061104283 Ts&Cs www.smsco.net £1.50pm approx 3mins,sms,scam,en,high,high priority general scam
"Shop till u Drop, IS IT YOU, either 10K, 5K, £500 Cash or £100 Travel voucher, Call now, 09064011000. NTT PO Box CR01327BT fixedline Cost 150ppm mobile vary",sms,scam,en,high,high priority general scam
Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country Liverpool played in mid week? Txt ansr to 82277. £1.50 SP:Tyrone,sms,scam,en,high,strong prize scam pattern
U have a Secret Admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09065171142-stopsms-08,sms,scam,en,medium,medium priority scam style
"all the lastest from Stereophonics, Marley, Dizzee Racal, Libertines and The Strokes! Win Nookii games with Flirt!! Click TheMob WAP Bookmark or text WAP to 82468",sms,scam,en,high,strong prize scam pattern
"January Male Sale! Hot Gay chat now cheaper, call 08709222922. National rate from 1.5p/min cheap to 7.8p/min peak! To stop texts call 08712460324 (10p/min)",sms,scam,en,medium,medium priority scam style
Dont talk to him ever ok its my word.,sms,ham,en,medium,useful ham example for balance
"K, wait chikku..il send aftr  &lt;#&gt; mins",sms,ham,en,medium,useful ham example for balance
money!!! you r a lucky winner ! 2 claim your prize text money 2 88600 over £1million to give away ! ppt150x3+normal text rate box403 w1t1jy,sms,scam,en,high,strong prize scam pattern
So do you have samus shoulders yet,sms,ham,en,medium,useful ham example for balance
Then dun wear jeans lor...,sms,ham,en,medium,useful ham example for balance
K:)k.are you in college?,sms,ham,en,medium,useful ham example for balance
"Urgent! call 09061749602 from Landline. Your complimentary 4* Tenerife Holiday or £10,000 cash await collection SAE T&Cs BOX 528 HP20 1YF 150ppm 18+",sms,scam,en,high,high priority general scam
Shb b ok lor... Thanx...,sms,ham,en,medium,useful ham example for balance
Filthy stories and GIRLS waiting for your,sms,scam,en,medium,medium priority scam style
URGENT! We are trying to contact U. Todays draw shows that you have won a £800 prize GUARANTEED. Call 09050001808 from land line. Claim M95. Valid12hrs only,sms,scam,en,high,strong prize scam pattern
Yup i thk so until e shop closes lor.,sms,ham,en,medium,useful ham example for balance
Ok i shall talk to him,sms,ham,en,medium,useful ham example for balance
"Aight will do, thanks again for comin out",sms,ham,en,medium,useful ham example for balance
"Poyyarikatur,kolathupalayam,unjalur post,erode dis, &lt;#&gt; .",sms,ham,en,medium,useful ham example for balance
May i call You later Pls,sms,ham,en,medium,useful ham example for balance
"No my blankets are sufficient, thx",sms,ham,en,medium,useful ham example for balance
They just talking thats it de. They wont any other.,sms,ham,en,medium,useful ham example for balance
I'm in class. Will holla later,sms,ham,en,medium,useful ham example for balance
EASTENDERS TV Quiz. What FLOWER does DOT compare herself to? D= VIOLET E= TULIP F= LILY txt D E or F to 84025 NOW 4 chance 2 WIN £100 Cash WKENT/150P16+,sms,scam,en,high,strong prize scam pattern
Someone U know has asked our dating service 2 contact you! Cant Guess who? CALL 09058091854 NOW all will be revealed. PO BOX385 M6 6WU,sms,scam,en,medium,medium priority scam style
URGENT! We are trying to contact U. Todays draw shows that you have won a £800 prize GUARANTEED. Call 09050003091 from land line. Claim C52. Valid12hrs only,sms,scam,en,high,strong prize scam pattern
Send to someone else :-),sms,ham,en,medium,useful ham example for balance
WIN URGENT! Your mobile number has been awarded with a £2000 prize GUARANTEED call 09061790121 from land line. claim 3030 valid 12hrs only 150ppm,sms,scam,en,high,strong prize scam pattern
Ryder unsold.now gibbs.,sms,ham,en,medium,useful ham example for balance
Message Important information for O2 user. Today is your lucky day! 2 find out why log onto http://www.urawinner.com there is a fantastic surprise awaiting you,sms,scam,en,high,strong prize scam pattern
Ok ill tell the company,sms,ham,en,medium,useful ham example for balance
Hey... What time is your driving on fri? We go for evaluation on fri?,sms,ham,en,medium,useful ham example for balance
"449050000301 You have won a £2,000 price! To claim, call 09050000301.",sms,scam,en,high,strong prize scam pattern
Do you want 750 anytime any network mins 150 text and a NEW video phone for only five pounds per week call 08000776320 now or reply for delivery Tomorrow,sms,scam,en,medium,medium priority scam style
Good morning princess! How are you?,sms,ham,en,medium,useful ham example for balance
Ur HMV Quiz cash-balance is currently £500 - to maximize ur cash-in now send HMV1 to 86688 only 150p/msg,sms,scam,en,medium,medium priority scam style
Howz pain?hope u r fine..,sms,ham,en,medium,useful ham example for balance
U wake up already? Thanx 4 e tau sar piah it's quite nice.,sms,ham,en,medium,useful ham example for balance
"Thank you, winner notified by sms. Good Luck! No future marketing reply STOP to 84122 customer services 08450542832",sms,scam,en,high,strong prize scam pattern
Yun buying... But school got offer 2000 plus only...,sms,ham,en,medium,useful ham example for balance
You sure your neighbors didnt pick it up,sms,ham,en,medium,useful ham example for balance
K. I will sent it again,sms,ham,en,medium,useful ham example for balance
"Haha yeah I see that now, be there in a sec",sms,ham,en,medium,useful ham example for balance
I am not having her number sir,sms,ham,en,medium,useful ham example for balance
I'm in chennai velachery:),sms,ham,en,medium,useful ham example for balance
Am i that much bad to avoid like this?,sms,ham,en,medium,useful ham example for balance
Come to my home for one last time i wont do anything. Trust me.,sms,ham,en,medium,useful ham example for balance
You have 1 new voicemail. Please call 08719181503,sms,scam,en,medium,medium priority scam style
Otherwise had part time job na-tuition..,sms,ham,en,medium,useful ham example for balance
"Me also da, i feel yesterday night  wait til 2day night dear.",sms,ham,en,medium,useful ham example for balance
WIN a year supply of CDs 4 a store of ur choice worth £500 & enter our £100 Weekly draw txt MUSIC to 87066 Ts&Cs www.Ldew.com.subs16+1win150ppmx3,sms,scam,en,high,strong prize scam pattern
"As a SIM subscriber, you are selected to receive a Bonus! Get it delivered to your door, Txt the word OK to No: 88600 to claim. 150p/msg, EXP. 30Apr",sms,scam,en,high,strong prize scam pattern
His bday real is in april .,sms,ham,en,medium,useful ham example for balance
"Yo, the game almost over? Want to go to walmart soon",sms,ham,en,medium,useful ham example for balance
Reply with your name and address and YOU WILL RECEIVE BY POST a weeks completely free accommodation at various global locations www.phb1.com ph:08700435505150p,sms,scam,en,medium,medium priority scam style
Jus ans me lar. U'll noe later.,sms,ham,en,medium,useful ham example for balance
have got * few things to do. may be in * pub later.,sms,ham,en,medium,useful ham example for balance
Please CALL 08712402779 immediately as there is an urgent message waiting for you,sms,scam,en,high,high priority general scam
"Not yet chikku..going to room nw, i'm in bus..",sms,ham,en,medium,useful ham example for balance
Honey boo I'm missing u.,sms,ham,en,medium,useful ham example for balance
Ok. No wahala. Just remember that a friend in need ...,sms,ham,en,medium,useful ham example for balance
Ok...,sms,ham,en,medium,useful ham example for balance
Oh ho. Is this the first time u use these type of words,sms,ham,en,medium,useful ham example for balance
Yes i thought so. Thanks.,sms,ham,en,medium,useful ham example for balance
"Hey...Great deal...Farm tour 9am to 5pm $95/pax, $50 deposit by 16 May",sms,ham,en,medium,useful ham example for balance
TELL HER I SAID EAT SHIT.,sms,ham,en,medium,useful ham example for balance
Great to hear you are settling well. So what's happenin wit ola?,sms,ham,en,medium,useful ham example for balance
I tot u reach liao. He said t-shirt.,sms,ham,en,medium,useful ham example for balance
"Win the newest “Harry Potter and the Order of the Phoenix (Book 5) reply HARRY, answer 5 questions - chance to be the first among readers!",sms,scam,en,high,strong prize scam pattern
"Just sent again. Do you scream and moan in bed, princess?",sms,ham,en,medium,useful ham example for balance
"I wake up long ago already... Dunno, what other thing?",sms,ham,en,medium,useful ham example for balance
Ur balance is now £500. Ur next question is: Who sang 'Uptown Girl' in the 80's ? 2 answer txt ur ANSWER to 83600. Good luck!,sms,scam,en,medium,medium priority scam style
My exam is for february 4. Wish you a great day.,sms,ham,en,medium,useful ham example for balance
Good Morning plz call me sir,sms,ham,en,medium,useful ham example for balance
It's ok lar. U sleep early too... Nite...,sms,ham,en,medium,useful ham example for balance
Yeah I'll try to scrounge something up,sms,ham,en,medium,useful ham example for balance
She doesnt need any test.,sms,ham,en,medium,useful ham example for balance
"FREE2DAY sexy St George's Day pic of Jordan!Txt PIC to 89080 dont miss out, then every wk a saucy celeb!4 more pics c PocketBabe.co.uk 0870241182716 £3/wk",sms,scam,en,medium,medium priority scam style
"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870..k",sms,scam,en,high,high priority general scam
"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY £1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18 TXTAUCTION",sms,scam,en,medium,medium priority scam style
Auntie huai juan never pick up her phone,sms,ham,en,medium,useful ham example for balance
Oh ok..,sms,ham,en,medium,useful ham example for balance
Thats cool! I am a gentleman and will treat you with dignity and respect.,sms,ham,en,medium,useful ham example for balance
"URGENT, IMPORTANT INFORMATION FOR O2 USER. TODAY IS YOUR LUCKY DAY! 2 FIND OUT WHY LOG ONTO HTTP://WWW.URAWINNER.COM THERE IS A FANTASTIC SURPRISE AWAITING FOR YOU",sms,scam,en,high,strong prize scam pattern
Lmao. Take a pic and send it to me.,sms,ham,en,medium,useful ham example for balance
Speak only when you feel your words are better than the silence... Gud mrng:-),sms,ham,en,medium,useful ham example for balance
No. She's currently in scotland for that.,sms,ham,en,medium,useful ham example for balance
Congratulations ur awarded either £500 of CD gift vouchers & Free entry 2 our £100 weekly draw txt MUSIC to 87066 TnCs www.Ldew.com 1 win150ppmx3age16,sms,scam,en,high,strong prize scam pattern
Dad went out oredi...,sms,ham,en,medium,useful ham example for balance
Free 1st week entry 2 TEXTPOD 4 a chance 2 win 40GB iPod or £250 cash every wk. Txt POD to 84128 Ts&Cs www.textpod.net custcare 08712405020.,sms,scam,en,high,strong prize scam pattern
I am in a marriage function,sms,ham,en,medium,useful ham example for balance
