text,label,origin,notes
Telegram profilingiz shikoyatlar tufayli bloklanmoqda. Tasdiqlash uchun botga shaxsiy raqamingizni yuboring,scam,adapted,phishing / promo / voice vote / appeal
"Iltimos ovoz berib yuboring, bitta ovoz qoldi yutishiga",scam,adapted,phishing / promo / voice vote / appeal
"Assalomu alaykum, onam reanimatsiyaga tushib qoldi. Iltimos kartaga ozgina bo'lsa ham yordam bering",scam,adapted,phishing / promo / voice vote / appeal
"Faqat bizning kanalda 10,000 marta aylantirilgan 1xbet sxemasi! Hozir 100 ming som tikib 5 million yuting",scam,adapted,phishing / promo / voice vote / appeal
Kriptovalyutaga sarmoya kiriting va har kuni 20% foyda oling! Yozing @scammer_crypto,scam,adapted,phishing / promo / voice vote / appeal
"Siz kanalimizning 10,000-chi a'zosiga aylandingiz! Sizga 50 dollar mukofot. Karta raqamingizni tashlang",scam,adapted,phishing / promo / voice vote / appeal
Telegram Stars bepul oling! Faqat botga start bosing va 3 ta do'stingizga yuboring,scam,adapted,phishing / promo / voice vote / appeal
Bu xabarni 10 ta gruppaga yuboring va sizning balansingizga 10.000 so'm tushadi,scam,adapted,phishing / promo / voice vote / appeal
Sizning nomingizdan noqonuniy harakatlar sodir etildi. MXX tomonidan jinoiy ish ochilgan. Batafsil: havola,scam,adapted,phishing / promo / voice vote / appeal
"Tezda pul ishlashni xohlaysizmi? Kuniga 2-3 soat vaqt ajrating, oyiga 1000$ daromad",scam,adapted,phishing / promo / voice vote / appeal
Erotik videolar guruhiga qo'shiling. VIP kirish faqat bugun bepul: t.me/fake-adult-channel,scam,adapted,phishing / promo / voice vote / appeal
Klik ilovasidan ro'yxatdan o'ting va 50 ming so'm bonus oling. Referal link orqali kiring,scam,adapted,phishing / promo / voice vote / appeal
Avtodomdan Cobalt yutib oling! Faqat botga azo boling va raqamingizni tasdiqlang,scam,adapted,phishing / promo / voice vote / appeal
Bu rasmni ochmang! Rasm ko'rinishida virus tarqalyapti (shu faylni ozingiz oching: image.apk),scam,adapted,phishing / promo / voice vote / appeal
Notcoin bot yangilandi! Endi 1 kunda 10 million coin ishlash mumkin. Avtoklikerni yuklab oling,scam,adapted,phishing / promo / voice vote / appeal
Shu botga kirsangiz kim sizni nomerizni qanaqa nom bilan saqlaganini ko'rasiz!,scam,adapted,phishing / promo / voice vote / appeal
Xotin-qizlar uchun davlatdan moddiy yordam tarqatilyapti. Formani to'ldiring: moddiy-yordam.xyz,scam,adapted,phishing / promo / voice vote / appeal
"Prezident qarori bilan barcha talabalarga 500,000 so'mdan bepul yordam puli tarqatilmoqda. Link:",scam,adapted,phishing / promo / voice vote / appeal
Haj safariga bepul yo'llanma yutib oling. Musulmon birodarlarimiz uchun maxsus aksiya!,scam,adapted,phishing / promo / voice vote / appeal
Diqqat! Telegram pullik bo'lmoqda. Bepul versiyada qolish uchun bu xabarni 5 kishiga yuboring,scam,adapted,phishing / promo / voice vote / appeal
Kartangizdan 50 ming yechildi (Click/Payme). Bekor qilish uchun: click-uz.support.com,scam,adapted,phishing / promo / voice vote / appeal
"Adminlar diqqatiga! Kanalga narutka kerakmi? 1000 obunachi 5000 so'm, yozing",scam,adapted,phishing / promo / voice vote / appeal
Ismoilov Daler 2 yoshda. Operatsiyaga 50.000$ kerak. Iltimos ehson qiling...,scam,adapted,phishing / promo / voice vote / appeal
Qonuniy qarzdan qutulishni xohlaysizmi? Biz bankrotlik protsedurasini qilib beramiz,scam,adapted,phishing / promo / voice vote / appeal
"Shu guruhdan chiqib keting, ular firibgar! Haqiqiy pul beradigan kanal mana budir:",scam,adapted,phishing / promo / voice vote / appeal
"Bepul V-Bucks, UC va olmoslar! PUBG, FreeFire o'yinchilari uchun: free-uc.xyz",scam,adapted,phishing / promo / voice vote / appeal
Xayrli kun. Sizning maoshi kammi? Men oyiga 5000$ topaman. Qanday? Shu kanalga kiring,scam,adapted,phishing / promo / voice vote / appeal
Shikoyat markazi: Sizning ustingizdan shikoyat tushdi. O'qish uchun botga kiring,scam,adapted,phishing / promo / voice vote / appeal
"Salom, men chet ellik harbiyman, Afg'onistonda xizmat qilyapman. Menga ishonchli odam kerak Pul jo'natish uchun",scam,adapted,phishing / promo / voice vote / appeal
Hammasi bepul! Siz hech narsa yo'qotmaysiz. Ssilkaga kiring va ko'ring!,scam,adapted,phishing / promo / voice vote / appeal
TikTok da like bosish orqali pul ishlash. Kuniga 300 ming so'm! Menejerga yozing,scam,adapted,phishing / promo / voice vote / appeal
Bankdan xabar: Bugun sizning kredit limitingiz 50 millionga oshirildi. Tasdiqlang:,scam,adapted,phishing / promo / voice vote / appeal
Dars tayyorlash jonizga tegdimi? Bizning chatgpt botimiz hammasini ishlab beradi. Bot: @fake-gpt,scam,adapted,phishing / promo / voice vote / appeal
"Olx.uz yordam xizmati: Tovaringizni sotib oldim, kurerni kutib olish uchun pulni tasdiqlang",scam,adapted,phishing / promo / voice vote / appeal
"Aziz ustozlar, ta'lim vazirligidan yangi buyruq. PDF faylni yuklab o'qib chiqing: virus.pdf",scam,adapted,phishing / promo / voice vote / appeal
"Kanalimni sotaman, 100k padpischik bor, aktiv zor. Narxi 20$",scam,adapted,phishing / promo / voice vote / appeal
Sizning Telegram akkauntingiz boshqa qurilmadan ochildi! Bloklash uchun Havolaga bosing,scam,adapted,phishing / promo / voice vote / appeal
Ehtiyot bo'ling! Bu havola xavfli bo'lishi mumkin. Xavfsiz ko'rish uchun maxsus vpN ishlating: vpn-fake.apk,scam,adapted,phishing / promo / voice vote / appeal
Bugun guruhda leksiya 8 da bo'ladi,ham,generated,expansion_script
Bugun guruhda leksiya 9 da bo'ladi,ham,generated,expansion_script
Bugun guruhda leksiya 10 da bo'ladi,ham,generated,expansion_script
Bugun guruhda leksiya 11 da bo'ladi,ham,generated,expansion_script
Bugun guruhda leksiya 12 da bo'ladi,ham,generated,expansion_script
Bugun guruhda leksiya 13 da bo'ladi,ham,generated,expansion_script
Bugun guruhda leksiya 14 da bo'ladi,ham,generated,expansion_script
Bugun guruhda leksiya 15 da bo'ladi,ham,generated,expansion_script
Bugun guruhda leksiya 16 da bo'ladi,ham,generated,expansion_script
Bugun guruhda leksiya 17 da bo'ladi,ham,generated,expansion_script
Bugun guruhda leksiya 18 da bo'ladi,ham,generated,expansion_script
Bugun guruhda leksiya 19 da bo'ladi,ham,generated,expansion_script
Kurs loyihasi uchun modul-1 ni tugatdim,ham,generated,expansion_script
Kurs loyihasi uchun modul-2 ni tugatdim,ham,generated,expansion_script
Kurs loyihasi uchun modul-3 ni tugatdim,ham,generated,expansion_script
Kurs loyihasi uchun modul-4 ni tugatdim,ham,generated,expansion_script
Kurs loyihasi uchun modul-5 ni tugatdim,ham,generated,expansion_script
Juma ayyomi barchaga muborak bo'lsin,ham,generated,expansion_script
Assalomu alaykum aziz guruhdoshlar,ham,generated,expansion_script
Admin kim o'zi,ham,generated,expansion_script
Videoni gruppaga tashlang,ham,generated,expansion_script
Ssilkani jo'nating,ham,generated,expansion_script
Audio eshitilmayapti,ham,generated,expansion_script
Ovoz qotib qoldi,ham,generated,expansion_script
Zoom ochilmayapti,ham,generated,expansion_script
Rahmat uka,ham,generated,expansion_script
Zor ishlapsan,ham,generated,expansion_script
Rasm zo'r chiqibdi,ham,generated,expansion_script
Ha shunaqa,ham,generated,expansion_script
Xop,ham,generated,expansion_script
Tushundim,ham,generated,expansion_script
Savol bor edi kimga yozay,ham,generated,expansion_script
Xayrli kech barchaga,ham,generated,expansion_script
Miting soat 10 da,ham,generated,expansion_script
Hisobotni jo'natdim faylda,ham,generated,expansion_script
Qabul qildik rahmat,ham,generated,expansion_script
Yaxshi joylashdinglarmi?,ham,generated,expansion_script
Parol qanaqa edi uylanmadiwifi,ham,generated,expansion_script
Oq yo'l,ham,generated,expansion_script
Lokatsiya bo'yicha kelavering,ham,generated,expansion_script
Faylni word varianti ham bormi,ham,generated,expansion_script
Iltimos guruhga rasm tashlamanglar,ham,generated,expansion_script
Faqat temada gaplashaylik,ham,generated,expansion_script
Assalom onam. Ishlar yaxshi,ham,generated,expansion_script
Bugun metroda odam kop edi,ham,generated,expansion_script
Chiptalarni skachkat qildim,ham,generated,expansion_script
Yostiq olib kel debdi,ham,generated,expansion_script
Beshbarmog opkeling,ham,generated,expansion_script
Ovqatlandilarmi,ham,generated,expansion_script
Somsachi qanaqa edi bugun,ham,generated,expansion_script
Gapingizga qo'shilaman,ham,generated,expansion_script
Mening nomerim bilan ovoz bering yutib oling: tanlov1.uz,scam,generated,expansion_script
Mening nomerim bilan ovoz bering yutib oling: tanlov2.uz,scam,generated,expansion_script
Mening nomerim bilan ovoz bering yutib oling: tanlov3.uz,scam,generated,expansion_script
Mening nomerim bilan ovoz bering yutib oling: tanlov4.uz,scam,generated,expansion_script
Mening nomerim bilan ovoz bering yutib oling: tanlov5.uz,scam,generated,expansion_script
Mening nomerim bilan ovoz bering yutib oling: tanlov6.uz,scam,generated,expansion_script
Mening nomerim bilan ovoz bering yutib oling: tanlov7.uz,scam,generated,expansion_script
Mening nomerim bilan ovoz bering yutib oling: tanlov8.uz,scam,generated,expansion_script
Mening nomerim bilan ovoz bering yutib oling: tanlov9.uz,scam,generated,expansion_script
Mening nomerim bilan ovoz bering yutib oling: tanlov10.uz,scam,generated,expansion_script
Mening nomerim bilan ovoz bering yutib oling: tanlov11.uz,scam,generated,expansion_script
Mening nomerim bilan ovoz bering yutib oling: tanlov12.uz,scam,generated,expansion_script
Mening nomerim bilan ovoz bering yutib oling: tanlov13.uz,scam,generated,expansion_script
Mening nomerim bilan ovoz bering yutib oling: tanlov14.uz,scam,generated,expansion_script
Mening nomerim bilan ovoz bering yutib oling: tanlov15.uz,scam,generated,expansion_script
Mening nomerim bilan ovoz bering yutib oling: tanlov16.uz,scam,generated,expansion_script
Mening nomerim bilan ovoz bering yutib oling: tanlov17.uz,scam,generated,expansion_script
Mening nomerim bilan ovoz bering yutib oling: tanlov18.uz,scam,generated,expansion_script
Mening nomerim bilan ovoz bering yutib oling: tanlov19.uz,scam,generated,expansion_script
Admin paneldan sizga VIP status. Olish: t.me/vip_bot_1,scam,generated,expansion_script
Admin paneldan sizga VIP status. Olish: t.me/vip_bot_2,scam,generated,expansion_script
Admin paneldan sizga VIP status. Olish: t.me/vip_bot_3,scam,generated,expansion_script
Admin paneldan sizga VIP status. Olish: t.me/vip_bot_4,scam,generated,expansion_script
Admin paneldan sizga VIP status. Olish: t.me/vip_bot_5,scam,generated,expansion_script
Admin paneldan sizga VIP status. Olish: t.me/vip_bot_6,scam,generated,expansion_script
Admin paneldan sizga VIP status. Olish: t.me/vip_bot_7,scam,generated,expansion_script
Admin paneldan sizga VIP status. Olish: t.me/vip_bot_8,scam,generated,expansion_script
Admin paneldan sizga VIP status. Olish: t.me/vip_bot_9,scam,generated,expansion_script
Telegram Stars bepul oling! Faqat botga star1 bosing,scam,generated,expansion_script
Telegram Stars bepul oling! Faqat botga star2 bosing,scam,generated,expansion_script
Telegram Stars bepul oling! Faqat botga star3 bosing,scam,generated,expansion_script
Telegram Stars bepul oling! Faqat botga star4 bosing,scam,generated,expansion_script
Telegram Stars bepul oling! Faqat botga star5 bosing,scam,generated,expansion_script
Telegram Stars bepul oling! Faqat botga star6 bosing,scam,generated,expansion_script
Telegram Stars bepul oling! Faqat botga star7 bosing,scam,generated,expansion_script
Telegram Stars bepul oling! Faqat botga star8 bosing,scam,generated,expansion_script
Telegram Stars bepul oling! Faqat botga star9 bosing,scam,generated,expansion_script
Telegram Stars bepul oling! Faqat botga star10 bosing,scam,generated,expansion_script
Telegram Stars bepul oling! Faqat botga star11 bosing,scam,generated,expansion_script
Telegram Stars bepul oling! Faqat botga star12 bosing,scam,generated,expansion_script
Telegram Stars bepul oling! Faqat botga star13 bosing,scam,generated,expansion_script
Telegram Stars bepul oling! Faqat botga star14 bosing,scam,generated,expansion_script
Siz Premium obuna yutib oldingiz! Ko'rish uchun kiring,scam,generated,expansion_script
Telegram profilingiz o'chiriladi. Akkaunt qaytarish,scam,generated,expansion_script
Botga start bosing va balansingizga 10.000 so'm oling,scam,generated,expansion_script
Qonuniy ruxsat berilgan kazino,scam,generated,expansion_script
PariMatch rasmiy ssilkasi bonus,scam,generated,expansion_script
10 marta aylantiring va millioner bo'ling yashirin ssilka,scam,generated,expansion_script
Diqqat: guruhga yangi video tashlandi: 18+ xxxx.apk,scam,generated,expansion_script
Musulmonlar uchun Haj ibodati bepul aksiyasi,scam,generated,expansion_script
Bu rasmni ochmang (yoki oching: click.apk),scam,generated,expansion_script
"DXX xabari: Sizning jinoiy ishingiz bor, o'qish",scam,generated,expansion_script
MXX jarimasi. Onlayn qutulish: tolov-yordam.ml,scam,generated,expansion_script
Yolg'iz qizlar guruhi. Qo'shilish bepul 1 soat!,scam,generated,expansion_script
"Kanalimga 10,000 ta obunachi sotaman",scam,generated,expansion_script
Sarmoyasiz uyda o'tirib oyiga 600$ ishlash,scam,generated,expansion_script
Tik-Tok prosmotr uchun pul beriladi. Yozing,scam,generated,expansion_script
Siz 1000$ dollar grant golibisiz. Shaxsiyga o'ting,scam,generated,expansion_script
"Notcoin, Hamster coin siri fosh bo'ldi",scam,generated,expansion_script
Men harbiyman Amerikadan. Pul jo'natmoqchiman qabul qil,scam,generated,expansion_script
Qarzga 30 ming tashab turing,scam,generated,expansion_script
Kasal xolam uchun yordam kerak reanimatsiya,scam,generated,expansion_script
"Viza, Green card 100% garantiya tolov bilan",scam,generated,expansion_script
Shikoyat ko'rib chiqilyapti. Profilingiz buzildi. Parol so'raladi,scam,generated,expansion_script
