text,clean_text,label,language,source
You were recommended by a muual firend..,you were recommended by a muual firend..,SUSPICIOUS,en,synthetic_suspicious_v1
Xizmat haqi: 315495 so'm. Humo xizmati.,xizmat haqi: 315495 so'm. humo xizmati.,SAFE,uz,v10_uzb_foundation
"Tabriklaymiz siz 2580,000 so'm yutib oldingiz. Pulni olish uchun havolaga kiring: http://pochta-uz.com/track=5694362",tabriklaymiz siz 2580 000 so'm yutib oldingiz. pulni olish uchun havolaga kiring: http://pochta uz.com/track 5694362,DANGEROUS,uz,v10_uzb_foundation
Paynet to'lovi amalga oshmadi. Hisobni tasdiqlash uchun kirish talab qilinadi: http://uz-pay-support.com,paynet to'lovi amalga oshmadi. hisobni tasdiqlash uchun kirish talab qilinadi: http://uz pay support.com,DANGEROUS,uz,v10_uzb_foundation
"Asslaomu alaykum, Uzmobile dan qo'ng'iroq bo'ladi, javob berinng",asslaomu alaykum uzmobile dan qo'ng'iroq bo'ladi javob berinng,SUSPICIOUS,uz,synthetic_suspicious_v1
Shall i ask one thing if you dont mistake me.,shall i ask one thing if you dont mistake me.,SAFE,en,v10_eng_foundation
Click: To'lov xatosi. Kartani qayta bog'lang http://uz-confirm.com/634978 OK,click: to'lov xatosi. kartani qayta bog'lang http://uz confirm.com/634978 ok,DANGEROUS,uz,v10_uzb_foundation
Bugungi majlis 13:30 ga surildi. tezroq,bugungi majlis 13:30 ga surildi. tezroq,SAFE,en,v10_eng_foundation
Xizmat haqi: 3131 so'm. Uzcard xizmati.,xizmat haqi: 3131 so'm. uzcard xizmati.,SAFE,uz,v10_uzb_foundation
Hisobingizni verfiy qiling...,hisobingizni verfiy qiling...,SUSPICIOUS,uz,synthetic_suspicious_v1
Yup...,yup...,SAFE,en,v10_eng_foundation
Shifrdan nusxa olindi. Parolni yangilang: https://click-auth.uz/code=5492207,shifrdan nusxa olindi. parolni yangilang: https://click auth.uz/code 5492207,DANGEROUS,en,v10_eng_foundation
Kechikaman biroz 19:00 da boraman. :),kechikaman biroz 19:00 da boraman. :,SAFE,uz,v10_uzb_foundation
Seucre yuor hisoingizni...,seucre yuor hisoingizni...,SUSPICIOUS,uz,synthetic_suspicious_v1
Yaxshi dam oldingizmi?,yaxshi dam oldingizmi,SAFE,uz,v10_uzb_foundation
Bring it if you got it,bring it if you got it,SAFE,en,v10_eng_foundation
Kimdir sizning akkauntingizga kirmoqchi bo'ldi!,kimdir sizning akkauntingizga kirmoqchi bo'ldi,SUSPICIOUS,uz,synthetic_suspicious_v1
We are both fine. Thanks,we are both fine. thanks,SAFE,en,v10_eng_foundation
You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill,you please give us connection today itself before lt decimal gt or refund the bill,SAFE,en,v10_eng_foundation
Telegram Stars bepul oling! Faqat botga star4 bosing,telegram stars bepul oling faqat botga star4 bosing,DANGEROUS,uz,v10_uzb_foundation
Yangi security policy accetp qiling...,yangi security policy accetp qiling...,SUSPICIOUS,uz,synthetic_suspicious_v1
Ertaga soat 18:00 da kutaman. 👍,ertaga soat 18:00 da kutaman.,SAFE,uz,v10_uzb_foundation
"Arms fine, how's Cardiff and uni? ",arms fine how's cardiff and uni,SAFE,en,v10_eng_foundation
Immediate action recommenedd for your account!,immediate action recommenedd for your account,SUSPICIOUS,en,synthetic_suspicious_v1
ВАША ЗАЯВКА ПОЛУЧИЛА ОТВЕТ...,ваша заявка получила ответ...,SUSPICIOUS,ru,synthetic_suspicious_v1
Click to'lovi amalga oshmadi. Tasdiqlash: http://18plus-video.apk/q=8442144,click to'lovi amalga oshmadi. tasdiqlash: http://18plus video .apk /q 8442144,DANGEROUS,uz,v10_uzb_foundation
Omg how did u know what I ate?,omg how did u know what i ate,SAFE,uz,v10_uzb_foundation
Sizning Uzcard kartangiz orqali shubhali tranzaksiya amalga oshirildi. Bekor qilish uchun bosing: https://bank-uz.com?id=48,sizning uzcard kartangiz orqali shubhali tranzaksiya amalga oshirildi. bekor qilish uchun bosing: https://bank uz.com id 48,DANGEROUS,uz,v10_uzb_foundation
Sizning kodingiz: 724087,sizning kodingiz: 724087,SAFE,uz,v10_uzb_foundation
Sizning profiliingiz koo'rildi...,sizning profiliingiz koo'rildi...,SUSPICIOUS,uz,synthetic_suspicious_v1
"Ona, non bilan sut opkelaman",ona non bilan sut opkelaman,SAFE,uz,v10_uzb_foundation
Bugungi majlis 12:30 ga surildi. tezroq,bugungi majlis 12:30 ga surildi. tezroq,SAFE,en,v10_eng_foundation
Возврат средств ожидает подтвержения,возврат средств ожидает подтвержения,SUSPICIOUS,ru,synthetic_suspicious_v1
U reach orchard already? U wan 2 go buy tickets first?,u reach orchard already u wan 2 go buy tickets first,SAFE,uz,v10_uzb_foundation
Hisobingizdan 1500000 so'm yechib olindi (Kod: 192). Agar bu siz bo'lmasangiz darhol tasdiqlang: http://bekor-uz.com/35,hisobingizdan 1500000 so'm yechib olindi kod: 192 . agar bu siz bo'lmasangiz darhol tasdiqlang: http://bekor uz.com/35,DANGEROUS,uz,v10_uzb_foundation
Kurs loyihasi uchun modul-3 ni tugatdim,kurs loyihasi uchun modul 3 ni tugatdim,SAFE,uz,v10_uzb_foundation
Oson to'lovi amalga oshmadi. Hisobni tasdiqlash uchun kirish talab qilinadi: http://paynet-verify.com,oson to'lovi amalga oshmadi. hisobni tasdiqlash uchun kirish talab qilinadi: http://paynet verify.com,DANGEROUS,uz,v10_uzb_foundation
Bugungi majlis 19:00 ga surildi....,bugungi majlis 19:00 ga surildi....,SAFE,en,v10_eng_foundation
Sizning kodingiz: 507210,sizning kodingiz: 507210,SAFE,uz,v10_uzb_foundation
Call him and say you not coming today ok and tell them not to fool me like this ok,call him and say you not coming today ok and tell them not to fool me like this ok,SAFE,en,v10_eng_foundation
Watching tv lor. Nice one then i like lor.,watching tv lor. nice one then i like lor.,SAFE,en,v10_eng_foundation
I dont know why she.s not getting your messages,i dont know why she.s not getting your messages,SAFE,en,v10_eng_foundation
Tasdiqlash kodi: 964345,tasdiqlash kodi: 964345,SAFE,uz,v10_uzb_foundation
"Orange customer, you may now claim your FREE CAMERA PHONE upgrade for your loyalty. Call now on 0207 153 9996. Offer ends 14thMarch. T&C's apply. Opt-out availa",orange customer you may now claim your free camera phone upgrade for your loyalty. call now on 0207 153 9996. offer ends 14thmarch. t c's apply. opt out availa,SUSPICIOUS,en,v10_eng_foundation
Hisobingiz faoliyatida o'zgairsh mavjud!,hisobingiz faoliyatida o'zgairsh mavjud,SUSPICIOUS,uz,synthetic_suspicious_v1
Yutuq sohibi bo'ldingiz! 217 000 so'm yutdingiz. http://click-safety.uz/944456 ?,yutuq sohibi bo'ldingiz 217 000 so'm yutdingiz. http://click safety.uz/944456,DANGEROUS,uz,v10_uzb_foundation
Will purchase d stuff today and mail to you. Do you have a po box number?,will purchase d stuff today and mail to you. do you have a po box number,SAFE,en,v10_eng_foundation
Only saturday and sunday holiday so its very difficult:),only saturday and sunday holiday so its very difficult:,SAFE,en,v10_eng_foundation
I'm done. C ü there.,i'm done. c ü there.,SAFE,en,v10_eng_foundation
Sizga davlat subsidiyasi ajratildi. Olish uchun: http://bonus-uz.com/id/606347,sizga davlat subsidiyasi ajratildi. olish uchun: http://bonus uz.com/id/606347,DANGEROUS,uz,v10_uzb_foundation
"Siz uchun yangilik bor, tasdiqang...",siz uchun yangilik bor tasdiqang...,SUSPICIOUS,uz,synthetic_suspicious_v1
Muvaffaqiyatli to'lov! Miqdor: 203852 so'm. Click,muvaffaqiyatli to'lov miqdor: 203852 so'm. click,SAFE,uz,v10_uzb_foundation
Wat Ì_ doing now?,wat ì_ doing now,SAFE,en,v10_eng_foundation
S...from the training manual it show there is no tech process:)its all about password reset and troubleshooting:),s...from the training manual it show there is no tech process: its all about password reset and troubleshooting:,SAFE,en,v10_eng_foundation
Security team: new login pollicy in effect,security team: new login pollicy in effect,SUSPICIOUS,en,synthetic_suspicious_v1
Karta ma'lumotlarini kiriting: http://bank-verify.click,karta ma'lumotlarini kiriting: http://bank verify.click,DANGEROUS,uz,v10_uzb_foundation
"Menga 546 000 tashlab ber, ertaga qaytaraman..",menga 546 000 tashlab ber ertaga qaytaraman..,SAFE,uz,v10_uzb_foundation
Click to'lovi amalga oshmadi. Tasdiqlash: http://bonus-uz.com/id/432873,click to'lovi amalga oshmadi. tasdiqlash: http://bonus uz.com/id/432873,DANGEROUS,uz,v10_uzb_foundation
Yoour subscription renewal comes with a bonus...,yoour subscription renewal comes with a bonus...,SUSPICIOUS,en,synthetic_suspicious_v1
Bugungi majlis 16:30 ga surildi..,bugungi majlis 16:30 ga surildi..,SAFE,en,v10_eng_foundation
Uzcard xavfsizlik botiga ulaning va bonus oling: https://t.me/premium_uz_bot?ref=9755408,uzcard xavfsizlik botiga ulaning va bonus oling: https://t.me/premium_uz_bot ref 9755408,DANGEROUS,uz,v10_uzb_foundation
BONUS POINTS EXPIRIING IN 3 DAYS...,bonus points expiriing in 3 days...,SUSPICIOUS,en,synthetic_suspicious_v1
HIYA STU WOT U UP 2.IM IN SO MUCH TRUBLE AT HOME AT MOMENT EVONE HATES ME EVEN U! WOT THE HELL AV I DONE NOW? Y WONT U JUST TELL ME TEXT BCK PLEASE LUV DAN ,hiya stu wot u up 2.im in so much truble at home at moment evone hates me even u wot the hell av i done now y wont u just tell me text bck please luv dan,SAFE,uz,v10_uzb_foundation
Sizga davlat subsidiyasi ajratildi. Olish uchun: https://uz-yutuq.com/p=876662,sizga davlat subsidiyasi ajratildi. olish uchun: https://uz yutuq.com/p 876662,DANGEROUS,uz,v10_uzb_foundation
Click to'lovi amalga oshmadi. Tasdiqlash: https://uz-yutuq.com/p=3121536,click to'lovi amalga oshmadi. tasdiqlash: https://uz yutuq.com/p 3121536,DANGEROUS,uz,v10_uzb_foundation
Sizning kodingiz: 978059,sizning kodingiz: 978059,SAFE,uz,v10_uzb_foundation
Telegram Premium free! Botga kiring https://t.me/prize_bot/174633 ?,telegram premium free botga kiring https://t.me/prize_bot/174633,DANGEROUS,en,v10_eng_foundation
Оплата заказа №9954 не прошла. Повторите: https://bit.ly/claim-550439 ),оплата заказа 9954 не прошла. повторите: https://bit.ly/claim 550439,DANGEROUS,ru,v10_rus_foundation
Havent still waitin as usual... ÌÏ come back sch oredi?,havent still waitin as usual... ìï come back sch oredi,SAFE,en,v10_eng_foundation
Jus ans me lar. U'll noe later.,jus ans me lar. u'll noe later.,SAFE,en,v10_eng_foundation
Humo: 456372 - bu sizning to'lov kodingiz. Faqat kassa xodimiga ayting.,humo: 456372 bu sizning to'lov kodingiz. faqat kassa xodimiga ayting.,SAFE,uz,v10_uzb_foundation
Get the official ENGLAND poly ringtone or colour flag on yer mobile for tonights game! Text TONE or FLAG to 84199. Optout txt ENG STOP Box39822 W111WX £1.50,get the official england poly ringtone or colour flag on yer mobile for tonights game text tone or flag to 84199. optout txt eng stop box39822 w111wx 1.50,SUSPICIOUS,en,v10_eng_foundation
K:)i will give my kvb acc details:),k: i will give my kvb acc details:,SAFE,en,v10_eng_foundation
Hey gals...U all wanna meet 4 dinner at nÃÃte?,hey gals...u all wanna meet 4 dinner at nã ã te,SAFE,uz,v10_uzb_foundation
Proflingiz 3 kun ichida tasdiqlanishi kerak...,proflingiz 3 kun ichida tasdiqlanishi kerak...,SUSPICIOUS,uz,synthetic_suspicious_v1
Ok i am on the way to home hi hi,ok i am on the way to home hi hi,SAFE,en,v10_eng_foundation
"Sizga 2360,000 so'm pul o'tkazmasi keldi. Qabul qilish uchun linkni bosing: http://bit.ly/uz-3307555",sizga 2360 000 so'm pul o'tkazmasi keldi. qabul qilish uchun linkni bosing: http://bit.ly/uz 3307555,DANGEROUS,uz,v10_uzb_foundation
Balansingiz: 110140 so'm. To'lov muvaffaqiyatli.,balansingiz: 110140 so'm. to'lov muvaffaqiyatli.,SAFE,uz,v10_uzb_foundation
Ваша карта заблокирована. Подтвердите по ссылке: http://click-safety.uz/774794!!,ваша карта заблокирована. подтвердите по ссылке: http://click safety.uz/774794,DANGEROUS,ru,v10_rus_foundation
Balansingiz: 36270 so'm. To'lov muvaffaqiyatli.,balansingiz: 36270 so'm. to'lov muvaffaqiyatli.,SAFE,uz,v10_uzb_foundation
Your account activty summary is ready...,your account activty summary is ready...,SUSPICIOUS,en,synthetic_suspicious_v1
URGENT! Your Mobile number has been awarded with a £2000 prize GUARANTEED. Call 09061790121 from land line. Claim 3030. Valid 12hrs only 150ppm,urgent your mobile number has been awarded with a 2000 prize guaranteed. call 09061790121 from land line. claim 3030. valid 12hrs only 150ppm,SUSPICIOUS,en,v10_eng_foundation
"K, can I pick up another 8th when you're done?",k can i pick up another 8th when you're done,SAFE,en,v10_eng_foundation
Yup bathe liao...,yup bathe liao...,SAFE,en,v10_eng_foundation
Оплата заказа №5377 не прошла. Повторите: https://bit.ly/claim-209133 ?,оплата заказа 5377 не прошла. повторите: https://bit.ly/claim 209133,DANGEROUS,ru,v10_rus_foundation
Telegram Premium free! Botga kiring http://pay-check.net/243356...,telegram premium free botga kiring http://pay check.net/243356...,DANGEROUS,en,v10_eng_foundation
"Pity, * was in mood for that. So...any other suggestions?",pity was in mood for that. so...any other suggestions,SAFE,en,v10_eng_foundation
"Если вы всё ещё живёте в ощущении, что мир работает по правилам - закона, логики, совести - значит, вы просто хорошо вписались в роль, которую для вас написали. Книга «Заговор богатых» - это не очередной сборник лозунгов вроде «всё в твоих руках». Это взгляд изнутри на то, как работает система: кто ставит правила игры, кто держит большинство на автопилоте, и почему одни всегда остаются на поверхности, а другие тонут, даже если умеют плавать. Здесь не про бизнес-успех и не про «как стать миллионером». Здесь про механизмы управления карманами - не только тех, у кого ничего нет, а и у тех, кто думает, что уже что-то понял. Есть в аудио, могу переслать если кому-то надо, пишите. Сам и читал и слушал - два часа, после которых по-другому смотришь не только на мир, но и на своё место в нём🚀",если вы всё ещё живёте в ощущении что мир работает по правилам закона логики совести значит вы просто хорошо вписались в роль которую для вас написали. книга заговор богатых это не очередной сборник лозунгов вроде всё в твоих руках . это взгляд изнутри на то как работает система: кто ставит правила игры кто держит большинство на автопилоте и почему одни всегда остаются на поверхности а другие тонут даже если умеют плавать. здесь не про бизнес успех и не про как стать миллионером . здесь про механизмы управления карманами не только тех у кого ничего нет а и у тех кто думает что уже что то понял. есть в аудио могу переслать если кому то надо пишите. сам и читал и слушал два часа после которых по другому смотришь не только на мир но и на своё место в нём,SUSPICIOUS,ru,v10_rus_foundation
Yangi video yuklandi 18+ apk yuklab oling: http://bit.ly/uz-8092413,yangi video yuklandi 18 apk yuklab oling: http://bit.ly/uz 8092413,DANGEROUS,en,v10_eng_foundation
Dis is yijue. I jus saw ur mail. In case huiming havent sent u my num. Dis is my num.,dis is yijue. i jus saw ur mail. in case huiming havent sent u my num. dis is my num.,SAFE,uz,v10_uzb_foundation
Bugun 21:45 da ko'rishamiz.?,bugun 21:45 da ko'rishamiz.,SAFE,uz,v10_uzb_foundation
You are a winner you have been specially selected to receive Ã¥Â£1000 cash or a Ã¥Â£2000 award. Speak to a live operator to claim call 087123002209am-7pm. Cost 10p,you are a winner you have been specially selected to receive ã â 1000 cash or a ã â 2000 award. speak to a live operator to claim call 087123002209am 7pm. cost 10p,DANGEROUS,en,v10_eng_foundation
"Tabriklaymiz siz 4680,000 so'm yutib oldingiz. Pulni olish uchun havolaga kiring: https://click-auth.uz/code=2996842",tabriklaymiz siz 4680 000 so'm yutib oldingiz. pulni olish uchun havolaga kiring: https://click auth.uz/code 2996842,DANGEROUS,uz,v10_uzb_foundation
Oxigri faoliyat bo'yicha ogohlantiris,oxigri faoliyat bo'yicha ogohlantiris,SUSPICIOUS,uz,synthetic_suspicious_v1
I emailed yifeng my part oredi.. Can ü get it fr him..,i emailed yifeng my part oredi.. can ü get it fr him..,SAFE,en,v10_eng_foundation
"NBU: Hisobingizdan 850,000 so'm yechib olindi! Bekor qilish: http://bonus-uz.com/id/888611",nbu: hisobingizdan 850 000 so'm yechib olindi bekor qilish: http://bonus uz.com/id/888611,DANGEROUS,uz,v10_uzb_foundation
"WELL DONE! Your 4* Costa Del Sol Holiday or å£5000 await collection. Call 09050090044 Now toClaim. SAE, TCs, POBox334, Stockport, SK38xh, Costå£1.50/pm, Max10mins",well done your 4 costa del sol holiday or å 5000 await collection. call 09050090044 now toclaim. sae tcs pobox334 stockport sk38xh costå 1.50/pm max10mins,SUSPICIOUS,en,v10_eng_foundation
"Just sent you an email ÛÒ to an address with incomm in it, is that right?",just sent you an email ûò to an address with incomm in it is that right,SAFE,en,v10_eng_foundation
Get your garden ready for summer with a FREE selection of summer bulbs and seeds worth å£33:50 only with The Scotsman this Saturday. To stop go2 notxt.co.uk,get your garden ready for summer with a free selection of summer bulbs and seeds worth å 33:50 only with the scotsman this saturday. to stop go2 notxt.co.uk,SUSPICIOUS,en,v10_eng_foundation
We will meet soon princess! Ttyl!,we will meet soon princess ttyl,SAFE,en,v10_eng_foundation
Updte required profilingiz uchun!,updte required profilingiz uchun,SUSPICIOUS,uz,synthetic_suspicious_v1
You're eligible for a cashback offre!,you're eligible for a cashback offre,SUSPICIOUS,en,synthetic_suspicious_v1
Ertaga dars kechga da boshlanadi. ),ertaga dars kechga da boshlanadi.,SAFE,uz,v10_uzb_foundation
Mm that time you dont like fun,mm that time you dont like fun,SAFE,en,v10_eng_foundation
"Hurmatli mijoz, Kapitalbank kartangizda shubhali tranzaksiya aniqlangan. Parolni yangilash uchun bosing: http://security-uz.com",hurmatli mijoz kapitalbank kartangizda shubhali tranzaksiya aniqlangan. parolni yangilash uchun bosing: http://security uz.com,DANGEROUS,uz,v10_uzb_foundation
Списание 54 000 прошло успешно. Отменить: https://bit.ly/claim-713645 👍,списание 54 000 прошло успешно. отменить: https://bit.ly/claim 713645,DANGEROUS,ru,v10_rus_foundation
Click to'lovi amalga oshmadi. Tasdiqlash: http://18plus-video.apk/q=3326836,click to'lovi amalga oshmadi. tasdiqlash: http://18plus video .apk /q 3326836,DANGEROUS,uz,v10_uzb_foundation
Diqqat! Akkauntingiz xavf ostida. Tasdiqlash uchun kiring: http://pochta-uz.com/track=9333142,diqqat akkauntingiz xavf ostida. tasdiqlash uchun kiring: http://pochta uz.com/track 9333142,DANGEROUS,uz,v10_uzb_foundation
Apo all other are mokka players only,apo all other are mokka players only,SAFE,en,v10_eng_foundation
Do you want a New Nokia 3510i Colour Phone Delivered Tomorrow? With 200 FREE minutes to any mobile + 100 FREE text + FREE camcorder Reply or Call 08000930705,do you want a new nokia 3510i colour phone delivered tomorrow with 200 free minutes to any mobile 100 free text free camcorder reply or call 08000930705,SUSPICIOUS,en,v10_eng_foundation
Block Breaker now comes in deluxe format with new features and great graphics from T-Mobile. Buy for just å£5 by replying GET BBDELUXE and take the challenge,block breaker now comes in deluxe format with new features and great graphics from t mobile. buy for just å 5 by replying get bbdeluxe and take the challenge,SUSPICIOUS,en,v10_eng_foundation
"Iltimos, ma'lumotlringizni 24 soat ichida tasdiqlang..",iltimos ma'lumotlringizni 24 soat ichida tasdiqlang..,SUSPICIOUS,uz,synthetic_suspicious_v1
"I'm in a meeting, call me later at",i'm in a meeting call me later at,SAFE,en,v10_eng_foundation
Kodingiz: 336610. Uni hech qachon begona shaxslarga aytmang!,kodingiz: 336610. uni hech qachon begona shaxslarga aytmang,SAFE,uz,v10_uzb_foundation
Your OTP is 1234. Do not share.,your otp is 1234. do not share.,SAFE,en,v10_eng_foundation
"Download as many ringtones as u like no restrictions, 1000s 2 choose. U can even send 2 yr buddys. Txt Sir to 80082 £3 ",download as many ringtones as u like no restrictions 1000s 2 choose. u can even send 2 yr buddys. txt sir to 80082 3,SUSPICIOUS,uz,v10_uzb_foundation
"Hisobingiz balansi 50,000 so'mdan past...",hisobingiz balansi 50 000 so'mdan past...,SUSPICIOUS,uz,synthetic_suspicious_v1
Diqqat! Bank kartangiz xavfsizlik sababli vaqtincha bloklandi (Kod: 765). Tasdiqlash uchun havolaga kiring: http://uzcard-block.uz?id=8,diqqat bank kartangiz xavfsizlik sababli vaqtincha bloklandi kod: 765 . tasdiqlash uchun havolaga kiring: http://uzcard block.uz id 8,DANGEROUS,uz,v10_uzb_foundation
Kechikaman biroz 18:15 da boraman.,kechikaman biroz 18:15 da boraman.,SAFE,uz,v10_uzb_foundation
Pochtangiz bojxonada to'xtatildi. To'lov qiling: https://t.me/premium_uz_bot?ref=1561460,pochtangiz bojxonada to'xtatildi. to'lov qiling: https://t.me/premium_uz_bot ref 1561460,DANGEROUS,uz,v10_uzb_foundation
Does she usually take fifteen fucking minutes to respond to a yes or no question,does she usually take fifteen fucking minutes to respond to a yes or no question,SAFE,en,v10_eng_foundation
Fancy a shag? I do.Interested? sextextuk.com txt XXUK SUZY to 69876. Txts cost 1.50 per msg. TnCs on website. X,fancy a shag i do.interested sextextuk.com txt xxuk suzy to 69876. txts cost 1.50 per msg. tncs on website. x,SUSPICIOUS,en,v10_eng_foundation
Sizning kodingiz: 102102,sizning kodingiz: 102102,SAFE,uz,v10_uzb_foundation
Watching ajith film ah?,watching ajith film ah,SAFE,en,v10_eng_foundation
ÃÃ still got lessons?  ÃÃ in sch?,ã ã still got lessons ã ã in sch,SAFE,en,v10_eng_foundation
Hasn't that been the pattern recently crap weekends?,hasn't that been the pattern recently crap weekends,SAFE,en,v10_eng_foundation
Telegram premium sovg'a olish uchun botga kiring: http://pochta-uz.com/track=4144991,telegram premium sovg'a olish uchun botga kiring: http://pochta uz.com/track 4144991,DANGEROUS,uz,v10_uzb_foundation
Hisobingizni faollashtirish uchun kirish talaab etiladi...,hisobingizni faollashtirish uchun kirish talaab etiladi...,SUSPICIOUS,uz,synthetic_suspicious_v1
Sizga 741533 so'm bonus berildi! Olish uchun: http://bonusuz.click,sizga 741533 so'm bonus berildi olish uchun: http://bonusuz.click,SUSPICIOUS,uz,v10_uzb_foundation
Bepul Malibu yutib oldingiz! Hoziroq bosing: http://verify-bank.xyz,bepul malibu yutib oldingiz hoziroq bosing: http://verify bank.xyz,DANGEROUS,uz,v10_uzb_foundation
Karta faollashtirildi. Kod: 308014,karta faollashtirildi. kod: 308014,SAFE,uz,v10_uzb_foundation
Bugungi majlis 15:45 ga surildi..,bugungi majlis 15:45 ga surildi..,SAFE,en,v10_eng_foundation
Пополнил баланс на 30476 сум. Спасибо!,пополнил баланс на 30476 сум. спасибо,SAFE,ru,v10_rus_foundation
Коллега просил предать вам инфоррмацию,коллега просил предать вам инфоррмацию,SUSPICIOUS,ru,synthetic_suspicious_v1
Uzcard xavfsizlik botiga ulaning va bonus oling: http://bonus-uz.com/id/9372683,uzcard xavfsizlik botiga ulaning va bonus oling: http://bonus uz.com/id/9372683,DANGEROUS,uz,v10_uzb_foundation
Hi dis is yijue i would be happy to work wif ü all for gek1510...,hi dis is yijue i would be happy to work wif ü all for gek1510...,SAFE,en,v10_eng_foundation
Win a å£1000 cash prize or a prize worth å£5000,win a å 1000 cash prize or a prize worth å 5000,SUSPICIOUS,en,v10_eng_foundation
Ma'lumotlaringiz bo'yyicha yngilik mavjud,ma'lumotlaringiz bo'yyicha yngilik mavjud,SUSPICIOUS,uz,synthetic_suspicious_v1
