text,clean_text,label,language,source,is_synthetic,length,has_url,has_number
Изменения в вашме профиле зафиксированы,изменения в вашме профиле зафиксированы,SUSPICIOUS,ru,synthetic_suspicious_v1,True,39,False,False
"Hi, is this the right numbre for Davd...",hi is this the right numbre for davd...,SUSPICIOUS,en,synthetic_suspicious_v1,True,40,False,False
Please review and update your security ionf,please review and update your security ionf,SUSPICIOUS,en,synthetic_suspicious_v1,True,43,False,False
Your weekly report is rady,your weekly report is rady,SUSPICIOUS,en,synthetic_suspicious_v1,True,26,False,False
Veriffy youur kartangizni pleaes..,veriffy youur kartangizni pleaes..,SUSPICIOUS,uz,synthetic_suspicious_v1,True,34,False,False
Verify yoour kartnagizni please..,verify yoour kartnagizni please..,SUSPICIOUS,uz,synthetic_suspicious_v1,True,33,False,False
ОПЕРАЦИЯ ПО КАРТЕ ОЖИДАЕТ ПОДТВЕРЖДЕНИЯ,операция по карте ожидает подтверждения,SUSPICIOUS,ru,synthetic_suspicious_v1,True,39,False,False
Maxsus chegirmalar faqat siz uchun! Hoziroq ko'rib chiqing.,maxsus chegirmalar faqat siz uchun hoziroq ko'rib chiqing.,SUSPICIOUS,uz,v10_uzb_foundation,False,59,False,False
Akkountingizga yangi harakat qady qilindi,akkountingizga yangi harakat qady qilindi,SUSPICIOUS,uz,synthetic_suspicious_v1,True,41,False,False
Hisobinngizni verify qiling..,hisobinngizni verify qiling..,SUSPICIOUS,uz,synthetic_suspicious_v1,True,29,False,False
"Sizning buyurtmangiz bo'yciha muammo bor, aloqaga cihqing...",sizning buyurtmangiz bo'yciha muammo bor aloqaga cihqing...,SUSPICIOUS,uz,synthetic_suspicious_v1,True,60,False,False
Customer service: yoru ticket requires a reesponse,customer service: yoru ticket requires a reesponse,SUSPICIOUS,en,synthetic_suspicious_v1,True,50,False,False
Comppliance team: documentation update needed,comppliance team: documentation update needed,SUSPICIOUS,en,synthetic_suspicious_v1,True,45,False,False
Sizning account under revew!,sizning account under revew,SUSPICIOUS,uz,synthetic_suspicious_v1,True,28,False,False
Tizim xavfsizligi: m'alumotlaringiznni tekshiring...,tizim xavfsizligi: m'alumotlaringiznni tekshiring...,SUSPICIOUS,uz,synthetic_suspicious_v1,True,52,False,False
YOR CONTACT WAS LISTED IN OUR DIRECTORY,yor contact was listed in our directory,SUSPICIOUS,en,synthetic_suspicious_v1,True,39,False,False
Porfilingiz uchun maxsus chegirma faollashtirilishi mumkin...,porfilingiz uchun maxsus chegirma faollashtirilishi mumkin...,SUSPICIOUS,uz,synthetic_suspicious_v1,True,61,False,False
Verify yuor kartangizni please...,verify yuor kartangizni please...,SUSPICIOUS,uz,synthetic_suspicious_v1,True,33,False,False
You qaulify for priority support upgrade,you qaulify for priority support upgrade,SUSPICIOUS,en,synthetic_suspicious_v1,True,40,False,False
Do you still need help with the project...,do you still need help with the project...,SUSPICIOUS,en,synthetic_suspicious_v1,True,42,False,False
Pease hisobingizni ceck qiling...,pease hisobingizni ceck qiling...,SUSPICIOUS,uz,synthetic_suspicious_v1,True,33,False,False
Bugungi taklif: maxsus bonus sizi kutmoqda..,bugungi taklif: maxsus bonus sizi kutmoqda..,SUSPICIOUS,uz,synthetic_suspicious_v1,True,44,False,False
OXIGRI FAOIYAT BO'YICHA OGOHLANTIRIS,oxigri faoiyat bo'yicha ogohlantiris,SUSPICIOUS,uz,synthetic_suspicious_v1,True,36,False,False
Hisobingiz uchun yangi xavfsizlik talabi mavjud,hisobingiz uchun yangi xavfsizlik talabi mavjud,SUSPICIOUS,uz,synthetic_suspicious_v1,True,47,False,False
"Maxsus taklifdan foydalanin, vaqt chekklangan",maxsus taklifdan foydalanin vaqt chekklangan,SUSPICIOUS,uz,synthetic_suspicious_v1,True,45,False,False
Siz tanlab olnigan foydalanuvchilardansiz!,siz tanlab olnigan foydalanuvchilardansiz,SUSPICIOUS,uz,synthetic_suspicious_v1,True,42,False,False
FreeMsg>FAV XMAS TONES!Reply REAL,freemsg fav xmas tones reply real,SUSPICIOUS,en,v10_eng_foundation,False,33,False,False
Hisobingiz uchun yangi xavfsizlik talabi mavjud..,hisobingiz uchun yangi xavfsizlik talabi mavjud..,SUSPICIOUS,uz,synthetic_suspicious_v1,True,49,False,False
Verify yoour kartangizni please...,verify yoour kartangizni please...,SUSPICIOUS,uz,synthetic_suspicious_v1,True,34,False,False
Balans tekshiruvi: hisobinggizga kiring...,balans tekshiruvi: hisobinggizga kiring...,SUSPICIOUS,uz,synthetic_suspicious_v1,True,42,False,False
Profiile ni update qilish kerak!,profiile ni update qilish kerak,SUSPICIOUS,uz,synthetic_suspicious_v1,True,32,False,False
Limited-time access available for pemium features,limited time access available for pemium features,SUSPICIOUS,en,synthetic_suspicious_v1,True,49,False,False
"Sizinng profilingiz ko'rildi, kim ekanligini bilasizmi...",sizinng profilingiz ko'rildi kim ekanligini bilasizmi...,SUSPICIOUS,uz,synthetic_suspicious_v1,True,57,False,False
Premium obuna uchun maxssu chegirma,premium obuna uchun maxssu chegirma,SUSPICIOUS,uz,synthetic_suspicious_v1,True,35,False,False
Billling issue aniqlandi hisobingizda...,billling issue aniqlandi hisobingizda...,SUSPICIOUS,uz,synthetic_suspicious_v1,True,40,False,False
Time-sensitive: cofnirm your account details,time sensitive: cofnirm your account details,SUSPICIOUS,en,synthetic_suspicious_v1,True,44,False,False
Ваш еженедельный отчет готов...,ваш еженедельный отчет готов...,SUSPICIOUS,ru,synthetic_suspicious_v1,True,31,False,False
NEW SEASONAL OFFEER WATIING FOR YOU,new seasonal offeer watiing for you,SUSPICIOUS,en,synthetic_suspicious_v1,True,35,False,False
Yangi security policy accept qiliing...,yangi security policy accept qiliing...,SUSPICIOUS,uz,synthetic_suspicious_v1,True,39,False,False
Xavfsizliik: oxirgi kirshlar tekshirilmoqda,xavfsizliik: oxirgi kirshlar tekshirilmoqda,SUSPICIOUS,uz,synthetic_suspicious_v1,True,43,False,False
Кто-то упомяул вас в обсуждении,кто то упомяул вас в обсуждении,SUSPICIOUS,ru,synthetic_suspicious_v1,True,31,False,False
"ASSALOMU ALAYKU,M CLIK DAN QO'NG'IROQ BO'LADI, JAVOB BEERING",assalomu alayku m clik dan qo'ng'iroq bo'ladi javob beering,SUSPICIOUS,uz,synthetic_suspicious_v1,True,60,False,False
Network alert: connecitvity changes detected!,network alert: connecitvity changes detected,SUSPICIOUS,en,synthetic_suspicious_v1,True,45,False,False
"Humratli mijoz, akkauntingiz bo'yicha aniqlik kiritish kerak...",humratli mijoz akkauntingiz bo'yicha aniqlik kiritish kerak...,SUSPICIOUS,uz,synthetic_suspicious_v1,True,63,False,False
"Вша сессия истекает, войите снова...",вша сессия истекает войите снова...,SUSPICIOUS,ru,synthetic_suspicious_v1,True,36,False,False
Texnik xizzmat xabari: tizim yangilanishi rejalashtirilgan!,texnik xizzmat xabari: tizim yangilanishi rejalashtirilgan,SUSPICIOUS,uz,synthetic_suspicious_v1,True,59,False,False
Administratsiya: profilingizni yangilang...,administratsiya: profilingizni yangilang...,SUSPICIOUS,uz,synthetic_suspicious_v1,True,43,False,False
Вам поступило сообщение от Модератор,вам поступило сообщение от модератор,SUSPICIOUS,ru,synthetic_suspicious_v1,True,36,False,False
Hisobingizni yangilash talab qilinmoqda!,hisobingizni yangilash talab qilinmoqda,SUSPICIOUS,uz,synthetic_suspicious_v1,True,40,False,False
Upgade youur account with a limited offeer,upgade youur account with a limited offeer,SUSPICIOUS,en,synthetic_suspicious_v1,True,42,False,False
"Ваш бланс был обновлен, проверьте..",ваш бланс был обновлен проверьте..,SUSPICIOUS,ru,synthetic_suspicious_v1,True,35,False,False
Early access to new features,early access to new features,SUSPICIOUS,en,synthetic_suspicious_v1,True,28,False,False
Изменение статуса вашего заказа...,изменение статуса вашего заказа...,SUSPICIOUS,ru,synthetic_suspicious_v1,True,34,False,False
Yangi to'lov so'rovi qabul qilindi..,yangi to'lov so'rovi qabul qilindi..,SUSPICIOUS,uz,synthetic_suspicious_v1,True,36,False,False
Pleasse hisobingizni check qiling,pleasse hisobingizni check qiling,SUSPICIOUS,uz,synthetic_suspicious_v1,True,33,False,False
"Guruhda sizni eslatishdi, tekshiiring!",guruhda sizni eslatishdi tekshiiring,SUSPICIOUS,uz,synthetic_suspicious_v1,True,38,False,False
Tizim administratori xabarii: yaangilanish talab qilinadi,tizim administratori xabarii: yaangilanish talab qilinadi,SUSPICIOUS,uz,synthetic_suspicious_v1,True,57,False,False
Technical team: service disruption expected!,technical team: service disruption expected,SUSPICIOUS,en,synthetic_suspicious_v1,True,44,False,False
Hisobingizni yannilash talab qilinmoqda,hisobingizni yannilash talab qilinmoqda,SUSPICIOUS,uz,synthetic_suspicious_v1,True,39,False,False
Tim--sensitive: confirm your account details..,tim sensitive: confirm your account details..,SUSPICIOUS,en,synthetic_suspicious_v1,True,46,False,False
"Your resume was forwarded to me, let's takl",your resume was forwarded to me let's takl,SUSPICIOUS,en,synthetic_suspicious_v1,True,43,False,False
"Do you ever notice that when you're driving, anyone going slower than you is an idiot and everyone driving faster than you is a maniac?",do you ever notice that when you're driving anyone going slower than you is an idiot and everyone driving faster than you is a maniac,SUSPICIOUS,en,v10_eng_foundation,False,135,False,False
Your subscription renewal comes witth a bonus,your subscription renewal comes witth a bonus,SUSPICIOUS,en,synthetic_suspicious_v1,True,45,False,False
Sizning profilingiz ko'rilid!,sizning profilingiz ko'rilid,SUSPICIOUS,uz,synthetic_suspicious_v1,True,29,False,False
Support: your case has been escalated...,support: your case has been escalated...,SUSPICIOUS,en,synthetic_suspicious_v1,True,40,False,False
"Saolm, sizning raqamingiz Ucell da ro'yxatdan o'tgan...",saolm sizning raqamingiz ucell da ro'yxatdan o'tgan...,SUSPICIOUS,uz,synthetic_suspicious_v1,True,55,False,False
Bugun ro'yxatddan o'ting va bonus oling...,bugun ro'yxatddan o'ting va bonus oling...,SUSPICIOUS,uz,synthetic_suspicious_v1,True,42,False,False
Compliance team: documentaton update needed...,compliance team: documentaton update needed...,SUSPICIOUS,en,synthetic_suspicious_v1,True,46,False,False
Audit tam: records need your confirmation,audit tam: records need your confirmation,SUSPICIOUS,en,synthetic_suspicious_v1,True,41,False,False
"Maxsus taklifdan foydalaning, vaqt chekklangan",maxsus taklifdan foydalaning vaqt chekklangan,SUSPICIOUS,uz,synthetic_suspicious_v1,True,46,False,False
Yuor name came up during the meetting,yuor name came up during the meetting,SUSPICIOUS,en,synthetic_suspicious_v1,True,37,False,False
Login qiilb tekshirib ko'ring...,login qiilb tekshirib ko'ring...,SUSPICIOUS,uz,synthetic_suspicious_v1,True,32,False,False
Profilingiz bugun ichida tasdiqlannisshi kerak..,profilingiz bugun ichida tasdiqlannisshi kerak..,SUSPICIOUS,uz,synthetic_suspicious_v1,True,48,False,False
VIP stats ollish imkoniyati mavjud,vip stats ollish imkoniyati mavjud,SUSPICIOUS,uz,synthetic_suspicious_v1,True,34,False,False
PASSWORD NI O'ZGARTRING PLEASE,password ni o'zgartring please,SUSPICIOUS,uz,synthetic_suspicious_v1,True,30,False,False
"Your account is pendig review, pllease verify...",your account is pendig review pllease verify...,SUSPICIOUS,en,synthetic_suspicious_v1,True,48,False,False
Sizning noingizga ariza tshdi...,sizning noingizga ariza tshdi...,SUSPICIOUS,uz,synthetic_suspicious_v1,True,32,False,False
ROMCAPspam Everyone around should be responding well to your presence since you are so warm and outgoing. You are bringing in a real breath of sunshine.,romcapspam everyone around should be responding well to your presence since you are so warm and outgoing. you are bringing in a real breath of sunshine.,SUSPICIOUS,en,v10_eng_foundation,False,152,False,False
"Если думаете, что понимаете правила игры - справедливость, честность, труд - поздравляю, вы идеальный винтик в чужом механизме. Книга «Заговор богатых» - это не мотивационная чушь про «верь в себя». Это анатомия системы: кто пишет сценарий, по которому вы живёте, кто держит рычаги, пока вы крутите колесо, и почему талант и усилия не гарантируют ничего, кроме усталости. Речь не про секреты богатства и не про финансовую грамотность. Речь про архитектуру контроля - над теми, кто копит на чёрный день, и над теми, кто уверен, что уже разобрался. Есть в аудио формате, могу скинуть желающим. Сам прослушал дважды - это те самые два часа, которые меняют оптику восприятия не просто мира, а твоей роли в спектакле",если думаете что понимаете правила игры справедливость честность труд поздравляю вы идеальный винтик в чужом механизме. книга заговор богатых это не мотивационная чушь про верь в себя . это анатомия системы: кто пишет сценарий по которому вы живёте кто держит рычаги пока вы крутите колесо и почему талант и усилия не гарантируют ничего кроме усталости. речь не про секреты богатства и не про финансовую грамотность. речь про архитектуру контроля над теми кто копит на чёрный день и над теми кто уверен что уже разобрался. есть в аудио формате могу скинуть желающим. сам прослушал дважды это те самые два часа которые меняют оптику восприятия не просто мира а твоей роли в спектакле,SUSPICIOUS,ru,v10_rus_foundation,False,711,False,False
System: yoru API key is about to expire..,system: yoru api key is about to expire..,SUSPICIOUS,en,synthetic_suspicious_v1,True,41,False,False
To'lovingiz qayta isshlash jarayonida,to'lovingiz qayta isshlash jarayonida,SUSPICIOUS,uz,synthetic_suspicious_v1,True,37,False,False
Hisobingiz muddati tuggash arafasida,hisobingiz muddati tuggash arafasida,SUSPICIOUS,uz,synthetic_suspicious_v1,True,36,False,False
"Hi, is this the rgiht numbre for David...",hi is this the rgiht numbre for david...,SUSPICIOUS,en,synthetic_suspicious_v1,True,41,False,False
"Contatc support iltimos, muammo bor",contatc support iltimos muammo bor,SUSPICIOUS,uz,synthetic_suspicious_v1,True,35,False,False
Sziga Moderator dan xabra keldi,sziga moderator dan xabra keldi,SUSPICIOUS,uz,synthetic_suspicious_v1,True,31,False,False
Xavfsizliik mrkazi: hisobingiz tekshirilmoqda,xavfsizliik mrkazi: hisobingiz tekshirilmoqda,SUSPICIOUS,uz,synthetic_suspicious_v1,True,45,False,False
"Hurmatli mijoz, Uclel sizga xabar yubormoqda..",hurmatli mijoz uclel sizga xabar yubormoqda..,SUSPICIOUS,uz,synthetic_suspicious_v1,True,46,False,False
Hisboingiz holati yangilandi...,hisboingiz holati yangilandi...,SUSPICIOUS,uz,synthetic_suspicious_v1,True,31,False,False
I only haf msn. It's yijue@hotmail.com,i only haf msn. it's yijue hotmail.com,SAFE,en,v10_eng_foundation,False,38,True,False
Модератор: ваш аккаунт на проверке!,модератор: ваш аккаунт на проверке,SUSPICIOUS,ru,synthetic_suspicious_v1,True,35,False,False
"Do'stingiz sizga sovga yubordi, tasdiqlang",do'stingiz sizga sovga yubordi tasdiqlang,SUSPICIOUS,uz,synthetic_suspicious_v1,True,42,False,False
Hisobingiz faoliyatida o'zgariish mavjjud...,hisobingiz faoliyatida o'zgariish mavjjud...,SUSPICIOUS,uz,synthetic_suspicious_v1,True,44,False,False
"Do'stingiz sizag sovg'a yubordi, tasdilang",do'stingiz sizag sovg'a yubordi tasdilang,SUSPICIOUS,uz,synthetic_suspicious_v1,True,42,False,False
"ПЛАТЖЕ ОТКЛОНЕН, ПОПРОБУЙТЕ СНОВА",платже отклонен попробуйте снова,SUSPICIOUS,ru,synthetic_suspicious_v1,True,33,False,False
Did you send me a file? I received something...,did you send me a file i received something...,SUSPICIOUS,en,synthetic_suspicious_v1,True,47,False,False
Sizning ma'luomtlaringiz bo'yiha tushuntirish kerak...,sizning ma'luomtlaringiz bo'yiha tushuntirish kerak...,SUSPICIOUS,uz,synthetic_suspicious_v1,True,54,False,False
COMPLIANCE TAEM: DOCUMENTATION UPDATE NEEDED,compliance taem: documentation update needed,SUSPICIOUS,en,synthetic_suspicious_v1,True,44,False,False
Your account requires immediate attention,your account requires immediate attention,SUSPICIOUS,en,synthetic_suspicious_v1,True,41,False,False
Your recent activity has been flagged...,your recent activity has been flagged...,SUSPICIOUS,en,synthetic_suspicious_v1,True,40,False,False
Sizning noingizga ariza tushdi...,sizning noingizga ariza tushdi...,SUSPICIOUS,uz,synthetic_suspicious_v1,True,33,False,False
Обновитте платежные данные,обновитте платежные данные,SUSPICIOUS,ru,synthetic_suspicious_v1,True,26,False,False
You have 8 unread mesasges,you have 8 unread mesasges,SUSPICIOUS,en,synthetic_suspicious_v1,True,26,False,True
Complete your porfile for a bonus reward,complete your porfile for a bonus reward,SUSPICIOUS,en,synthetic_suspicious_v1,True,40,False,False
Ma'lumotlaringiz bo'yicha yangilik mavjud!,ma'lumotlaringiz bo'yicha yangilik mavjud,SUSPICIOUS,uz,synthetic_suspicious_v1,True,42,False,False
So'ngi faoliyatingiz bo'yicha eslatma...,so'ngi faoliyatingiz bo'yicha eslatma...,SUSPICIOUS,uz,synthetic_suspicious_v1,True,40,False,False
Kartangiz bo'yicha operatsyia amalga ohsirildi,kartangiz bo'yicha operatsyia amalga ohsirildi,SUSPICIOUS,uz,synthetic_suspicious_v1,True,46,False,False
Sizning account restricted!,sizning account restricted,SUSPICIOUS,uz,synthetic_suspicious_v1,True,27,False,False
Xavfsizlik markazi: hisobingiz tekshirilmoqda...,xavfsizlik markazi: hisobingiz tekshirilmoqda...,SUSPICIOUS,uz,synthetic_suspicious_v1,True,48,False,False
NEW SEASONAL OFEFR WATIING FOR YOU,new seasonal ofefr watiing for you,SUSPICIOUS,en,synthetic_suspicious_v1,True,34,False,False
Verify youur kartanizni pleaes..,verify youur kartanizni pleaes..,SUSPICIOUS,uz,synthetic_suspicious_v1,True,32,False,False
Compliance tea: documentation update needed..,compliance tea: documentation update needed..,SUSPICIOUS,en,synthetic_suspicious_v1,True,45,False,False
Ваш профиль нуждается в актуализции!,ваш профиль нуждается в актуализции,SUSPICIOUS,ru,synthetic_suspicious_v1,True,36,False,False
Xavfsilzik tzimi: shubhali faoliyat aniqlandi,xavfsilzik tzimi: shubhali faoliyat aniqlandi,SUSPICIOUS,uz,synthetic_suspicious_v1,True,45,False,False
Hisobingiz xavfsizligi uchun ma'lumotlaringizni tekhiring..,hisobingiz xavfsizligi uchun ma'lumotlaringizni tekhiring..,SUSPICIOUS,uz,synthetic_suspicious_v1,True,59,False,False
Special promotion endnig soon...,special promotion endnig soon...,SUSPICIOUS,en,synthetic_suspicious_v1,True,32,False,False
Yanig to'lov so'rovi qabul qilindi!,yanig to'lov so'rovi qabul qilindi,SUSPICIOUS,uz,synthetic_suspicious_v1,True,35,False,False
Hisobingiz faoliyatida o'zgarish majud!,hisobingiz faoliyatida o'zgarish majud,SUSPICIOUS,uz,synthetic_suspicious_v1,True,39,False,False
Ваш пароль рекомендуется сменнить...,ваш пароль рекомендуется сменнить...,SUSPICIOUS,ru,synthetic_suspicious_v1,True,36,False,False
"Hisobingiz vaqtincha cheklangan, tasdiqlang...",hisobingiz vaqtincha cheklangan tasdiqlang...,SUSPICIOUS,uz,synthetic_suspicious_v1,True,46,False,False
"Salo,m sizning raqamingiz Kapitalbank da ro'yxatdan o'tgan",salo m sizning raqamingiz kapitalbank da ro'yxatdan o'tgan,SUSPICIOUS,uz,synthetic_suspicious_v1,True,58,False,False
Xizmat ko'rsatish markazi: hisobingizni tasdiqlang...,xizmat ko'rsatish markazi: hisobingizni tasdiqlang...,SUSPICIOUS,uz,synthetic_suspicious_v1,True,53,False,False
Вам поступило сообщение от Администратор,вам поступило сообщение от администратор,SUSPICIOUS,ru,synthetic_suspicious_v1,True,40,False,False
Tizimga kirish uchun hisboni qayta faollashtiring..,tizimga kirish uchun hisboni qayta faollashtiring..,SUSPICIOUS,uz,synthetic_suspicious_v1,True,51,False,False
Aciton needde: confirm your identtity,aciton needde: confirm your identtity,SUSPICIOUS,en,synthetic_suspicious_v1,True,37,False,False
Do you still need help with the project!,do you still need help with the project,SUSPICIOUS,en,synthetic_suspicious_v1,True,40,False,False
"Hisobingiz vaqtincha cheklangan, tasiqlang",hisobingiz vaqtincha cheklangan tasiqlang,SUSPICIOUS,uz,synthetic_suspicious_v1,True,42,False,False
ILTIMOS LOGIIN QILING VA CONFIRM QILING,iltimos logiin qiling va confirm qiling,SUSPICIOUS,uz,synthetic_suspicious_v1,True,39,False,False
Ваш аккааунт ожидает верификации!,ваш аккааунт ожидает верификации,SUSPICIOUS,ru,synthetic_suspicious_v1,True,33,False,False
Hisobingizga noma'lum qurlmadan ulanish bo'ldi..,hisobingizga noma'lum qurlmadan ulanish bo'ldi..,SUSPICIOUS,uz,synthetic_suspicious_v1,True,48,False,False
"Maxsus taklifffdan foydalaning, vaqt cheklangan",maxsus taklifffdan foydalaning vaqt cheklangan,SUSPICIOUS,uz,synthetic_suspicious_v1,True,47,False,False
Спеши забрать свой бонус! Акция действует до конца дня.,спеши забрать свой бонус акция действует до конца дня.,SUSPICIOUS,ru,v10_rus_foundation,False,55,False,False
Siz tanlab olingan foydalanuvchilardansiz...,siz tanlab olingan foydalanuvchilardansiz...,SUSPICIOUS,uz,synthetic_suspicious_v1,True,44,False,False
Texnik yordam: tizimmga qayta kriing...,texnik yordam: tizimmga qayta kriing...,SUSPICIOUS,uz,synthetic_suspicious_v1,True,39,False,False
Balans tekshiruvi: hisobingiza kiring...,balans tekshiruvi: hisobingiza kiring...,SUSPICIOUS,uz,synthetic_suspicious_v1,True,40,False,False
Опреаттор связи: изменения в таринфом плане,опреаттор связи: изменения в таринфом плане,SUSPICIOUS,ru,synthetic_suspicious_v1,True,43,False,False
Akkauntingiz xavfsizlik sababli tekshirilmoqda..,akkauntingiz xavfsizlik sababli tekshirilmoqda..,SUSPICIOUS,uz,synthetic_suspicious_v1,True,48,False,False
Akkauntingiz xavfsizlik saabbli tekshirilmoqda,akkauntingiz xavfsizlik saabbli tekshirilmoqda,SUSPICIOUS,uz,synthetic_suspicious_v1,True,46,False,False
"Youur session will expire soon, please re-authetnicate",youur session will expire soon please re authetnicate,SUSPICIOUS,en,synthetic_suspicious_v1,True,54,False,False
IT Department: password change recommended,it department: password change recommended,SUSPICIOUS,en,synthetic_suspicious_v1,True,42,False,False
Your access may be limited without verification..,your access may be limited without verification..,SUSPICIOUS,en,synthetic_suspicious_v1,True,49,False,False
Обнвоите приложение до последней версии чтобы получить все функции.,обнвоите приложение до последней версии чтобы получить все функции.,SUSPICIOUS,ru,v10_rus_foundation,False,67,False,False
Seccurity notice: pleease review your account,seccurity notice: pleease review your account,SUSPICIOUS,en,synthetic_suspicious_v1,True,45,False,False
Your account activity summary is rady..,your account activity summary is rady..,SUSPICIOUS,en,synthetic_suspicious_v1,True,39,False,False
Kmidir sizning akkauntingizga kirmoqchi bo'ldi!,kmidir sizning akkauntingizga kirmoqchi bo'ldi,SUSPICIOUS,uz,synthetic_suspicious_v1,True,47,False,False
Billing: invoice diiscrepancy found....,billing: invoice diiscrepancy found....,SUSPICIOUS,en,synthetic_suspicious_v1,True,39,False,False
Bugungi aksiya: barcha foydalanuvchilarag bonus,bugungi aksiya: barcha foydalanuvchilarag bonus,SUSPICIOUS,uz,synthetic_suspicious_v1,True,47,False,False
Did you sennd me a file? I receved something...,did you sennd me a file i receved something...,SUSPICIOUS,en,synthetic_suspicious_v1,True,47,False,False
Ma'lumotlaringiz bo'yiicha yangilik mavjud...,ma'lumotlaringiz bo'yiicha yangilik mavjud...,SUSPICIOUS,uz,synthetic_suspicious_v1,True,45,False,False
Someone meentioned you in a group,someone meentioned you in a group,SUSPICIOUS,en,synthetic_suspicious_v1,True,33,False,False
So'gni faoliyatingiz bo'yica eslatma,so'gni faoliyatingiz bo'yica eslatma,SUSPICIOUS,uz,synthetic_suspicious_v1,True,36,False,False
Someoen mnetioned you in a group!,someoen mnetioned you in a group,SUSPICIOUS,en,synthetic_suspicious_v1,True,33,False,False
Новй заапрос автризации зафиксирован,новй заапрос автризации зафиксирован,SUSPICIOUS,ru,synthetic_suspicious_v1,True,36,False,False
