text,clean_text,label,language,source,is_synthetic,length,has_url,has_number
Muvaffaqiyatli to'lov! Miqdor: 215739 so'm. Terminal,muvaffaqiyatli to'lov miqdor: 215739 so'm. terminal,SAFE,uz,v10_uzb_foundation,False,52,False,True
Wrong phone! This phone! I answer this one but assume the other is people i don't well,wrong phone this phone i answer this one but assume the other is people i don't well,SAFE,en,v10_eng_foundation,False,86,False,False
Thats cool princess! I will cover your face in hot sticky cum :),thats cool princess i will cover your face in hot sticky cum :,SAFE,en,v10_eng_foundation,False,64,False,False
Kechikaman biroz 9:00 da boraman. :),kechikaman biroz 9:00 da boraman. :,SAFE,uz,v10_uzb_foundation,False,36,False,True
Fraud prevention: verify recent transactions...,fraud prevention: verify recent transactions...,SUSPICIOUS,en,synthetic_suspicious_v1,True,47,False,False
Honey boo I'm missing u.,honey boo i'm missing u.,SAFE,uz,v10_uzb_foundation,False,24,False,False
Do u knw dis no. &lt;#&gt; ?,do u knw dis no. lt gt,SAFE,uz,v10_uzb_foundation,False,28,False,False
Do'stnigiz akkauntingizga kirishga harakat qildi,do'stnigiz akkauntingizga kirishga harakat qildi,SUSPICIOUS,uz,synthetic_suspicious_v1,True,48,False,False
Are you free now?can i call now?,are you free now can i call now,SAFE,en,v10_eng_foundation,False,32,False,False
Non olishni unutmang,non olishni unutmang,SAFE,en,v10_eng_foundation,False,20,False,False
Hisobingizdan 272 000 som spisanie. Agar bu siz bo'lmasangiz cancel qiling: https://bit.ly/claim-957212 :),hisobingizdan 272 000 som spisanie. agar bu siz bo'lmasangiz cancel qiling: https://bit.ly/claim 957212 :,DANGEROUS,uz,v10_uzb_foundation,False,106,True,True
Your dad is back in ph?,your dad is back in ph,SAFE,en,v10_eng_foundation,False,23,False,False
Balansingiz: 280772 so'm. To'lov muvaffaqiyatli.,balansingiz: 280772 so'm. to'lov muvaffaqiyatli.,SAFE,uz,v10_uzb_foundation,False,48,False,True
O'tkazma qabul qilindi: 261512 so'm. Humo/Uzcard,o'tkazma qabul qilindi: 261512 so'm. humo/uzcard,SAFE,uz,v10_uzb_foundation,False,48,False,True
Bugungi majlis 9:15 ga surildi....,bugungi majlis 9:15 ga surildi....,SAFE,en,v10_eng_foundation,False,34,False,True
Sizning hisobingiz xavf ostida! Kirish: http://secure-bank.xyz,sizning hisobingiz xavf ostida kirish: http://secure bank.xyz,DANGEROUS,uz,v10_uzb_foundation,False,62,True,False
Yangi aksiya! 1 000 000 so'm yutib oling: http://lucky-draw.net,yangi aksiya 1 000 000 so'm yutib oling: http://lucky draw.net,SUSPICIOUS,uz,v10_uzb_foundation,False,63,True,True
Bayramlar bilan!,bayramlar bilan,SAFE,uz,v10_uzb_foundation,False,16,False,False
You've been chosen for a 10% discount...,you've been chosen for a 10 discount...,SUSPICIOUS,en,synthetic_suspicious_v1,True,40,False,True
And also I've sorta blown him off a couple times recently so id rather not text him out of the blue looking for weed,and also i've sorta blown him off a couple times recently so id rather not text him out of the blue looking for weed,SAFE,en,v10_eng_foundation,False,116,False,False
Karta faollashtirildi. Kod: 925073,karta faollashtirildi. kod: 925073,SAFE,uz,v10_uzb_foundation,False,34,False,True
"Sorry chikku, my cell got some problem thts y i was nt able to reply u or msg u..",sorry chikku my cell got some problem thts y i was nt able to reply u or msg u..,SAFE,uz,v10_uzb_foundation,False,81,False,False
This is all just creepy and crazy to me.,this is all just creepy and crazy to me.,SAFE,en,v10_eng_foundation,False,40,False,False
meva narxi qancha ekan hozir? :),meva narxi qancha ekan hozir :,SAFE,uz,v10_uzb_foundation,False,32,False,False
Kartangiz bloklandi. Qayta tiklash uchun malumotlarni kiriting: https://click-auth.uz/code=6843223,kartangiz bloklandi. qayta tiklash uchun malumotlarni kiriting: https://click auth.uz/code 6843223,DANGEROUS,uz,v10_uzb_foundation,False,98,True,True
Bugungi majlis 11:30 ga surildi. :),bugungi majlis 11:30 ga surildi. :,SAFE,en,v10_eng_foundation,False,35,False,True
Click payment failed. Tasdiqlash uchun linkga o'ting: http://uz-confirm.com/47050...,click payment failed. tasdiqlash uchun linkga o'ting: http://uz confirm.com/47050...,DANGEROUS,uz,v10_uzb_foundation,False,84,True,True
Xavfsizlik: oxirgi kirishlar tekshirlimoqda...,xavfsizlik: oxirgi kirishlar tekshirlimoqda...,SUSPICIOUS,uz,synthetic_suspicious_v1,True,46,False,False
Avtoplatej soat 18:00 da da amalga oshiriladi,avtoplatej soat 18:00 da da amalga oshiriladi,SUSPICIOUS,uz,synthetic_suspicious_v1,True,45,False,True
But i'll b going 2 sch on mon. My sis need 2 take smth.,but i'll b going 2 sch on mon. my sis need 2 take smth.,SAFE,en,v10_eng_foundation,False,55,False,True
Zavtra v kechga vstrechaemsya...,zavtra v kechga vstrechaemsya...,SAFE,en,v10_eng_foundation,False,32,False,False
Bugungi majlis 12:15 ga surildi. tezroq,bugungi majlis 12:15 ga surildi. tezroq,SAFE,en,v10_eng_foundation,False,39,False,True
Kechikaman biroz 13:15 da boraman.,kechikaman biroz 13:15 da boraman.,SAFE,uz,v10_uzb_foundation,False,34,False,True
Uzcard xavfsizlik botiga ulaning va bonus oling: https://click-auth.uz/code=1031863,uzcard xavfsizlik botiga ulaning va bonus oling: https://click auth.uz/code 1031863,DANGEROUS,uz,v10_uzb_foundation,False,83,True,True
"Sizga 50,000,000 so'm mikrokredit tasdiqlandi! Pulni kartaga tushirish uchun: bit.ly/tez-kredit?id=12",sizga 50 000 000 so'm mikrokredit tasdiqlandi pulni kartaga tushirish uchun: bit.ly/tez kredit id 12,DANGEROUS,uz,v10_uzb_foundation,False,101,False,True
Hisobingizdan 1500000 so'm yechib olindi (Kod: 228). Agar bu siz bo'lmasangiz darhol tasdiqlang: bit.ly/refund-uz/5,hisobingizdan 1500000 so'm yechib olindi kod: 228 . agar bu siz bo'lmasangiz darhol tasdiqlang: bit.ly/refund uz/5,DANGEROUS,uz,v10_uzb_foundation,False,115,False,True
Bugun 21:30 da ko'rishamiz. tezroq,bugun 21:30 da ko'rishamiz. tezroq,SAFE,uz,v10_uzb_foundation,False,34,False,True
"Yeah that's what I thought, lemme know if anything's goin on later",yeah that's what i thought lemme know if anything's goin on later,SAFE,uz,v10_uzb_foundation,False,66,False,False
Detroit. The home of snow. Enjoy it.,detroit. the home of snow. enjoy it.,SAFE,en,v10_eng_foundation,False,36,False,False
Click to'lovi amalga oshmadi. Tasdiqlash: https://t.me/premium_uz_bot?ref=8453787,click to'lovi amalga oshmadi. tasdiqlash: https://t.me/premium_uz_bot ref 8453787,DANGEROUS,uz,v10_uzb_foundation,False,81,True,True
Balansingiz: 497912 so'm. To'lov muvaffaqiyatli.,balansingiz: 497912 so'm. to'lov muvaffaqiyatli.,SAFE,uz,v10_uzb_foundation,False,48,False,True
"Kutilmagan kirish aniqllandi, tekshiring",kutilmagan kirish aniqllandi tekshiring,SUSPICIOUS,uz,synthetic_suspicious_v1,True,40,False,False
Ertaga soat kechga da kutaman..,ertaga soat kechga da kutaman..,SAFE,uz,v10_uzb_foundation,False,31,False,False
Hisobingiz uchun yangi xavfszilik talabi mavjud!,hisobingiz uchun yangi xavfszilik talabi mavjud,SUSPICIOUS,uz,synthetic_suspicious_v1,True,48,False,False
I am in a marriage function,i am in a marriage function,SAFE,en,v10_eng_foundation,False,27,False,False
I love ya too but try and budget your money better babe. Gary would freak on me if he knew,i love ya too but try and budget your money better babe. gary would freak on me if he knew,SAFE,en,v10_eng_foundation,False,90,False,False
"Menga 2020,000 so'm tashlab tura olasanmi?.",menga 2020 000 so'm tashlab tura olasanmi .,SAFE,uz,v10_uzb_foundation,False,43,False,True
Bugun 8:15 da ko'rishamiz..,bugun 8:15 da ko'rishamiz..,SAFE,uz,v10_uzb_foundation,False,27,False,True
INTERFLORA - It's not too late to order Interflora flowers for christmas call 0800 505060 to place your order before Midnight tomorrow.,interflora it's not too late to order interflora flowers for christmas call 0800 505060 to place your order before midnight tomorrow.,SUSPICIOUS,en,v10_eng_foundation,False,136,False,True
Вход в личный кабинет с нового устройства. Это не вы? https://bit.ly/claim-454500 (,вход в личный кабинет с нового устройства. это не вы https://bit.ly/claim 454500,DANGEROUS,ru,v10_rus_foundation,False,83,True,True
Click: To'lov xatosi. Kartani qayta bog'lang https://t.me/prize_bot/831210 OK,click: to'lov xatosi. kartani qayta bog'lang https://t.me/prize_bot/831210 ok,DANGEROUS,uz,v10_uzb_foundation,False,77,True,True
Unusual sign-in activity on your account...,unusual sign in activity on your account...,SUSPICIOUS,en,synthetic_suspicious_v1,True,43,False,False
Yup he msg me: is tat yijue? Then i tot it's my group mate cos we meeting today mah... I'm askin if Ã_ leaving earlier or wat mah cos mayb Ã_ haf to walk v far...,yup he msg me: is tat yijue then i tot it's my group mate cos we meeting today mah... i'm askin if ã _ leaving earlier or wat mah cos mayb ã _ haf to walk v far...,SAFE,en,v10_eng_foundation,False,164,False,False
Click to'lovi amalga oshmadi. Tasdiqlash: https://t.me/premium_uz_bot?ref=231275,click to'lovi amalga oshmadi. tasdiqlash: https://t.me/premium_uz_bot ref 231275,DANGEROUS,uz,v10_uzb_foundation,False,80,True,True
Diqqat! NBU hisobingiz xavfsizlik maqsadida muzlatildi. Qayta tiklash uchun shaxsiy ma'lumotlaringizni kiriting: https://humo-unlock.com/kod?user=30,diqqat nbu hisobingiz xavfsizlik maqsadida muzlatildi. qayta tiklash uchun shaxsiy ma'lumotlaringizni kiriting: https://humo unlock.com/kod user 30,DANGEROUS,uz,v10_uzb_foundation,False,148,True,True
Hisobingizdan 50000 so'm yechib olindi (Kod: 652). Agar bu siz bo'lmasangiz darhol tasdiqlang: https://uz-bank-cancel.com/verify/32,hisobingizdan 50000 so'm yechib olindi kod: 652 . agar bu siz bo'lmasangiz darhol tasdiqlang: https://uz bank cancel.com/verify/32,DANGEROUS,uz,v10_uzb_foundation,False,131,True,True
Telegram premium sovg'a claim qiling: https://t.me/prize_bot/284362 ),telegram premium sovg'a claim qiling: https://t.me/prize_bot/284362,DANGEROUS,uz,v10_uzb_foundation,False,69,True,True
Hisobingizga bonus qo'shilishi kutilmoqda!,hisobingizga bonus qo'shilishi kutilmoqda,SUSPICIOUS,uz,synthetic_suspicious_v1,True,42,False,False
Sizga 108754 so'm bonus berildi! Olish uchun: http://promo-gift.ml,sizga 108754 so'm bonus berildi olish uchun: http://promo gift.ml,SUSPICIOUS,uz,v10_uzb_foundation,False,66,True,True
Hujjat: doc.exe,hujjat: doc .exe,DANGEROUS,uz,v10_uzb_foundation,False,15,False,False
Bepul Kvartira yutib oldingiz! Hoziroq bosing: http://verify-bank.xyz,bepul kvartira yutib oldingiz hoziroq bosing: http://verify bank.xyz,DANGEROUS,uz,v10_uzb_foundation,False,69,True,False
Please hisobingizni chek qiling,please hisobingizni chek qiling,SUSPICIOUS,uz,synthetic_suspicious_v1,True,31,False,False
You know my old Dom I told you about yesterday ? His name is Roger? He got in touch with me last night and wants me to meet him today at 2 pm,you know my old dom i told you about yesterday his name is roger he got in touch with me last night and wants me to meet him today at 2 pm,SAFE,en,v10_eng_foundation,False,141,False,True
Importan:t update your profile informtaion..,importan:t update your profile informtaion..,SUSPICIOUS,en,synthetic_suspicious_v1,True,44,False,False
"URGENT! Your mobile No *********** WON a å£2,000 Bonus Caller Prize on 02/06/03! This is the 2nd attempt to reach YOU! Call 09066362220 ASAP! BOX97N7QP, 150ppm",urgent your mobile no won a å 2 000 bonus caller prize on 02/06/03 this is the 2nd attempt to reach you call 09066362220 asap box97n7qp 150ppm,SUSPICIOUS,en,v10_eng_foundation,False,159,False,True
I taught that Ranjith sir called me. So only i sms like that. Becaus hes verifying about project. Prabu told today so only pa dont mistake me..,i taught that ranjith sir called me. so only i sms like that. becaus hes verifying about project. prabu told today so only pa dont mistake me..,SAFE,en,v10_eng_foundation,False,143,False,False
Lol your right. What diet? Everyday I cheat anyway. I'm meant to be a fatty :(,lol your right. what diet everyday i cheat anyway. i'm meant to be a fatty :,SAFE,en,v10_eng_foundation,False,78,False,False
Hisobingiz uchun new offer br!,hisobingiz uchun new offer br,SUSPICIOUS,uz,synthetic_suspicious_v1,True,30,False,False
I hope you know I'm still mad at you.,i hope you know i'm still mad at you.,SAFE,en,v10_eng_foundation,False,37,False,False
Sizning kodingiz: 556895,sizning kodingiz: 556895,SAFE,uz,v10_uzb_foundation,False,24,False,True
"Tunji, how's the queen? how are you doing. This is just wishing you a great day. Abiola.",tunji how's the queen how are you doing. this is just wishing you a great day. abiola.,SAFE,en,v10_eng_foundation,False,88,False,False
Do I? I thought I put it back in the box,do i i thought i put it back in the box,SAFE,en,v10_eng_foundation,False,40,False,False
make that 3! 4 fucks sake?! x,make that 3 4 fucks sake x,SAFE,en,v10_eng_foundation,False,29,False,True
Karta faollashtirildi. Kod: 545174,karta faollashtirildi. kod: 545174,SAFE,uz,v10_uzb_foundation,False,34,False,True
Kechikaman biroz 21:30 da boraman. :),kechikaman biroz 21:30 da boraman. :,SAFE,uz,v10_uzb_foundation,False,37,False,True
Ertaga soat 14:30 da kutaman. 👍,ertaga soat 14:30 da kutaman.,SAFE,uz,v10_uzb_foundation,False,31,False,True
Telegram Premium free! Botga kiring http://uz-confirm.com/212646 ),telegram premium free botga kiring http://uz confirm.com/212646,DANGEROUS,en,v10_eng_foundation,False,66,True,True
it's really getting me down just hanging around.,it's really getting me down just hanging around.,SAFE,en,v10_eng_foundation,False,48,False,False
Not to worry. I'm sure you'll get it.,not to worry. i'm sure you'll get it.,SAFE,en,v10_eng_foundation,False,37,False,False
Horrible bf... I now v hungry...,horrible bf... i now v hungry...,SAFE,en,v10_eng_foundation,False,32,False,False
Karta faollashtirildi. Kod: 776617,karta faollashtirildi. kod: 776617,SAFE,uz,v10_uzb_foundation,False,34,False,True
Oh... Kay... On sat right?,oh... kay... on sat right,SAFE,en,v10_eng_foundation,False,26,False,False
Списание 715 000 прошло успешно. Отменить: https://bit.ly/claim-436394 (,списание 715 000 прошло успешно. отменить: https://bit.ly/claim 436394,DANGEROUS,ru,v10_rus_foundation,False,72,True,True
Sizga 879708 so'm bonus berildi! Olish uchun: http://bonusuz.click,sizga 879708 so'm bonus berildi olish uchun: http://bonusuz.click,SUSPICIOUS,uz,v10_uzb_foundation,False,66,True,True
I thk Ì_ gotta go home by urself. Cos i'll b going out shopping 4 my frens present. ,i thk ì_ gotta go home by urself. cos i'll b going out shopping 4 my frens present.,SAFE,en,v10_eng_foundation,False,84,False,True
IM GONNA MISS U SO MUCH,im gonna miss u so much,SAFE,uz,v10_uzb_foundation,False,23,False,False
Really dun bluff me leh... U sleep early too. Nite...,really dun bluff me leh... u sleep early too. nite...,SAFE,uz,v10_uzb_foundation,False,53,False,False
Following up on our conversation earlier,following up on our conversation earlier,SUSPICIOUS,en,synthetic_suspicious_v1,True,40,False,False
Daromadli kriptovalyuta signal,daromadli kriptovalyuta signal,DANGEROUS,en,v10_eng_foundation,False,30,False,False
Ваш аккаунт Telegram будет удален через 24 часа. Подтвердите https://bit.ly/claim-952534 -,ваш аккаунт telegram будет удален через 24 часа. подтвердите https://bit.ly/claim 952534,DANGEROUS,ru,v10_rus_foundation,False,90,True,True
Kodingiz: 455202. Uni hech qachon begona shaxslarga aytmang!,kodingiz: 455202. uni hech qachon begona shaxslarga aytmang,SAFE,uz,v10_uzb_foundation,False,60,False,True
"Menga 671 000 tashlab ber, ertaga qaytaraman.",menga 671 000 tashlab ber ertaga qaytaraman.,SAFE,uz,v10_uzb_foundation,False,45,False,True
Please sen :)my kind advice :-)please come here and try:-),please sen : my kind advice : please come here and try:,SAFE,en,v10_eng_foundation,False,58,False,False
Muvaffaqiyatli to'lov! Miqdor: 155865 so'm. Terminal,muvaffaqiyatli to'lov miqdor: 155865 so'm. terminal,SAFE,uz,v10_uzb_foundation,False,52,False,True
Don't make life too stressfull.. Always find time to Laugh.. It may not add years to your Life! But surely adds more life to ur years!! Gud ni8..swt dreams..,don't make life too stressfull.. always find time to laugh.. it may not add years to your life but surely adds more life to ur years gud ni8..swt dreams..,SAFE,en,v10_eng_foundation,False,157,False,True
"And how you will do that, princess? :)",and how you will do that princess :,SAFE,en,v10_eng_foundation,False,38,False,False
Small problem in auction:)punj now asking tiwary,small problem in auction: punj now asking tiwary,SAFE,en,v10_eng_foundation,False,48,False,False
YOU ARE CHOSEN TO RECEIVE A £350 AWARD! Pls call claim number 09066364311 to collect your award which you are selected to receive as a valued mobile customer.,you are chosen to receive a 350 award pls call claim number 09066364311 to collect your award which you are selected to receive as a valued mobile customer.,SUSPICIOUS,en,v10_eng_foundation,False,158,False,True
Zavtra v 18:00 vstrechaemsya....,zavtra v 18:00 vstrechaemsya....,SAFE,en,v10_eng_foundation,False,32,False,True
Вы выиграли 381 000 рублей! Получите приз: http://click-safety.uz/297045 ),вы выиграли 381 000 рублей получите приз: http://click safety.uz/297045,DANGEROUS,ru,v10_rus_foundation,False,74,True,True
"Call me, i am senthil from hsbc.",call me i am senthil from hsbc.,SAFE,en,v10_eng_foundation,False,32,False,False
"Buyurtmangiz holti o'zgardi, teskhiring",buyurtmangiz holti o'zgardi teskhiring,SUSPICIOUS,uz,synthetic_suspicious_v1,True,39,False,False
Siizga bildirishnoa bor,siizga bildirishnoa bor,SUSPICIOUS,uz,synthetic_suspicious_v1,True,23,False,False
"Hey, iouri gave me your number, I'm wylie, ryan's friend",hey iouri gave me your number i'm wylie ryan's friend,SAFE,en,v10_eng_foundation,False,56,False,False
Don't forget though that I love you .... And I walk beside you. Watching over you and keeping your heart warm.,don't forget though that i love you .... and i walk beside you. watching over you and keeping your heart warm.,SAFE,en,v10_eng_foundation,False,110,False,False
Ertaga soat 12:00 da kutaman. ?,ertaga soat 12:00 da kutaman.,SAFE,uz,v10_uzb_foundation,False,31,False,True
Hisobingizdan 84 000 yechildi. Bekor qilish http://click-safety.uz/341845.,hisobingizdan 84 000 yechildi. bekor qilish http://click safety.uz/341845.,DANGEROUS,uz,v10_uzb_foundation,False,74,True,True
Can come my room but cannot come my house cos my house still messy... Haha...,can come my room but cannot come my house cos my house still messy... haha...,SAFE,en,v10_eng_foundation,False,77,False,False
I tot u reach liao. He said t-shirt.,i tot u reach liao. he said t shirt.,SAFE,uz,v10_uzb_foundation,False,36,False,False
Ваша карта заблокирована. Подтвердите по ссылке: http://pay-check.net/104488...,ваша карта заблокирована. подтвердите по ссылке: http://pay check.net/104488...,DANGEROUS,ru,v10_rus_foundation,False,79,True,True
Kodingiz: 336610. Uni hech qachon begona shaxslarga aytmang!,kodingiz: 336610. uni hech qachon begona shaxslarga aytmang,SAFE,uz,v10_uzb_foundation,False,60,False,True
Bugun 9:45 da ko'rishamiz.!,bugun 9:45 da ko'rishamiz.,SAFE,uz,v10_uzb_foundation,False,27,False,True
Please update your information to avoid disruption,please update your information to avoid disruption,SUSPICIOUS,en,synthetic_suspicious_v1,True,50,False,False
Am new 2 club & dont fink we met yet Will B gr8 2 C U Please leave msg 2day wiv ur area 09099726553 reply promised CARLIE x Calls£1/minMobsmore LKPOBOX177HP51FL,am new 2 club dont fink we met yet will b gr8 2 c u please leave msg 2day wiv ur area 09099726553 reply promised carlie x calls 1/minmobsmore lkpobox177hp51fl,SUSPICIOUS,uz,v10_uzb_foundation,False,160,False,True
Diqqat! Bank kartangiz xavfsizlik sababli vaqtincha bloklandi (Kod: 787). Tasdiqlash uchun havolaga kiring: http://banck-uz.com?id=26,diqqat bank kartangiz xavfsizlik sababli vaqtincha bloklandi kod: 787 . tasdiqlash uchun havolaga kiring: http://banck uz.com id 26,DANGEROUS,uz,v10_uzb_foundation,False,133,True,True
Tell them u have a headache and just want to use 1 hour of sick time.,tell them u have a headache and just want to use 1 hour of sick time.,SAFE,uz,v10_uzb_foundation,False,69,False,True
Rofl. Its true to its name,rofl. its true to its name,SAFE,en,v10_eng_foundation,False,26,False,False
"Urgent -call 09066649731from Landline. Your complimentary 4* Ibiza Holiday or £10,000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150ppm 18+",urgent call 09066649731from landline. your complimentary 4 ibiza holiday or 10 000 cash await collection sae t cs po box 434 sk3 8wp 150ppm 18,SUSPICIOUS,en,v10_eng_foundation,False,146,False,True
Siz uchun eksklyuziv imkoniyat tayyor,siz uchun eksklyuziv imkoniyat tayyor,SUSPICIOUS,uz,synthetic_suspicious_v1,True,37,False,False
Вход в личный кабинет с нового устройства. Это не вы? https://t.me/prize_bot/305998!,вход в личный кабинет с нового устройства. это не вы https://t.me/prize_bot/305998,DANGEROUS,ru,v10_rus_foundation,False,84,True,True
Karta raqami va amal qilish muddatini yuboring.,karta raqami va amal qilish muddatini yuboring.,DANGEROUS,uz,v10_uzb_foundation,False,47,False,False
You may quallify for a special offer,you may quallify for a special offer,SUSPICIOUS,en,synthetic_suspicious_v1,True,36,False,False
Ertaga soat 12:00 da kutaman. :),ertaga soat 12:00 da kutaman. :,SAFE,uz,v10_uzb_foundation,False,32,False,True
Paynet to'lovi amalga oshmadi. Hisobni tasdiqlash uchun kirish talab qilinadi: https://click-auth.uz,paynet to'lovi amalga oshmadi. hisobni tasdiqlash uchun kirish talab qilinadi: https://click auth.uz,DANGEROUS,uz,v10_uzb_foundation,False,100,True,False
Account review: suspicious activity detected,account review: suspicious activity detected,SUSPICIOUS,en,synthetic_suspicious_v1,True,44,False,False
Hey gals...U all wanna meet 4 dinner at nìte? ,hey gals...u all wanna meet 4 dinner at nìte,SAFE,uz,v10_uzb_foundation,False,46,False,True
"HOT LIVE FANTASIES call now 08707500020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national rate call",hot live fantasies call now 08707500020 just 20p per min ntt ltd po box 1327 croydon cr9 5wb 0870 is a national rate call,SUSPICIOUS,en,v10_eng_foundation,False,122,False,True
I'm putting it on now. It should be ready for  &lt;TIME&gt; ,i'm putting it on now. it should be ready for lt time gt,SAFE,en,v10_eng_foundation,False,60,False,False
"Hey, tis is John. Can you call me back on this number?",hey tis is john. can you call me back on this number,SUSPICIOUS,en,synthetic_suspicious_v1,True,54,False,False
So now my dad is gonna call after he gets out of work and ask all these crazy questions.,so now my dad is gonna call after he gets out of work and ask all these crazy questions.,SAFE,en,v10_eng_foundation,False,88,False,False
ok....take care.umma to you too...,ok....take care.umma to you too...,SAFE,en,v10_eng_foundation,False,34,False,False
