text,clean_text,label,language,source,category
Login qilib teskhirib koo'ring...,login qilib teskhirib koo'ring...,SUSPICIOUS,uz,synthetic_suspicious_v1,mixed_language
Сроки верификации истекают 48 часов,сроки верификации истекают 48 часов,SUSPICIOUS,ru,synthetic_suspicious_v1,soft_urgency
"Action takn on your behalf, please review",action takn on your behalf please review,SUSPICIOUS,en,synthetic_suspicious_v1,curiosity_hooks
Hisobingiz ucchun yangi xavfsizlik talabi mavjud!,hisobingiz ucchun yangi xavfsizlik talabi mavjud,SUSPICIOUS,uz,synthetic_suspicious_v1,soft_urgency
Xizmat ko'rsatish markazzi: hisobingizni tasdiqlang,xizmat ko'rsatish markazzi: hisobingizni tasdiqlang,SUSPICIOUS,uz,synthetic_suspicious_v1,authority
Please update your informmation to avoid disruption..,please update your informmation to avoid disruption..,SUSPICIOUS,en,synthetic_suspicious_v1,soft_urgency
Ваша учетная запись требует обновления!,ваша учетная запись требует обновления,SUSPICIOUS,ru,synthetic_suspicious_v1,soft_urgency
"Action taken on your behalf, please review..",action taken on your behalf please review..,SUSPICIOUS,en,synthetic_suspicious_v1,curiosity_hooks
Quick question abt the document you shared..,quick question abt the document you shared..,SUSPICIOUS,en,synthetic_suspicious_v1,social_engineering
Profilingiz uchun maxsus chegirma faollashtirilishi mumkin...,profilingiz uchun maxsus chegirma faollashtirilishi mumkin...,SUSPICIOUS,uz,synthetic_suspicious_v1,promotional
"Ваше резюме было отправлено нам, давайте осдим..",ваше резюме было отправлено нам давайте осдим..,SUSPICIOUS,ru,synthetic_suspicious_v1,social_engineering
Do you still need help with the project!,do you still need help with the project,SUSPICIOUS,en,synthetic_suspicious_v1,social_engineering
Hisobingizad yangi bildirishnoma ktmoqda..,hisobingizad yangi bildirishnoma ktmoqda..,SUSPICIOUS,uz,synthetic_suspicious_v1,curiosity_hooks
New device dan logni bo'dli..,new device dan logni bo'dli..,SUSPICIOUS,uz,synthetic_suspicious_v1,mixed_language
HR Department: benefits enrolmlent deadline approaching,hr department: benefits enrolmlent deadline approaching,SUSPICIOUS,en,synthetic_suspicious_v1,authority
I found something interesting abouut you online,i found something interesting abouut you online,SUSPICIOUS,en,synthetic_suspicious_v1,social_engineering
Login qilib tekshirib ko'ring..,login qilib tekshirib ko'ring..,SUSPICIOUS,uz,synthetic_suspicious_v1,mixed_language
Account reactivation kreak..,account reactivation kreak..,SUSPICIOUS,uz,synthetic_suspicious_v1,mixed_language
"Contact support iltimos, muammo bor...",contact support iltimos muammo bor...,SUSPICIOUS,uz,synthetic_suspicious_v1,mixed_language
"Hi, is this the right numbre for Daid...",hi is this the right numbre for daid...,SUSPICIOUS,en,synthetic_suspicious_v1,social_engineering
Hisobingiz uchun maxsus bouus tayyorlandi,hisobingiz uchun maxsus bouus tayyorlandi,SUSPICIOUS,uz,synthetic_suspicious_v1,promotional
Kratangiz boshqa qurilmaga ulandi...,kratangiz boshqa qurilmaga ulandi...,SUSPICIOUS,uz,synthetic_suspicious_v1,financial_gray
Profilingiz faollashtirish kutmoqa...,profilingiz faollashtirish kutmoqa...,SUSPICIOUS,uz,synthetic_suspicious_v1,soft_urgency
Flahs sale: premium access at reduced price...,flahs sale: premium access at reduced price...,SUSPICIOUS,en,synthetic_suspicious_v1,promotional
Account ni tasdiqlash kerak!,account ni tasdiqlash kerak,SUSPICIOUS,uz,synthetic_suspicious_v1,mixed_language
Sizga Beeline tomonidan maxsus taklif yuborildi,sizga beeline tomonidan maxsus taklif yuborildi,SUSPICIOUS,uz,synthetic_suspicious_v1,social_engineering
"Hisboingiz vaqtincha cheklangan, tasdiqlang!",hisboingiz vaqtincha cheklangan tasdiqlang,SUSPICIOUS,uz,synthetic_suspicious_v1,soft_urgency
Balans tekshiruvi: hisobinngizga kirign...,balans tekshiruvi: hisobinngizga kirign...,SUSPICIOUS,uz,synthetic_suspicious_v1,financial_gray
"Humratli mijoz, akkauntingiz bo'yicha aniqlik kiritish kerak...",humratli mijoz akkauntingiz bo'yicha aniqlik kiritish kerak...,SUSPICIOUS,uz,synthetic_suspicious_v1,social_engineering
To'lov amalga oshirish ucun tasdiqlash kerak...,to'lov amalga oshirish ucun tasdiqlash kerak...,SUSPICIOUS,uz,synthetic_suspicious_v1,financial_gray
Ваш аккаунт ожидает верификации...,ваш аккаунт ожидает верификации...,SUSPICIOUS,ru,synthetic_suspicious_v1,soft_urgency
Pleae vrify your account within the next 3 days..,pleae vrify your account within the next 3 days..,SUSPICIOUS,en,synthetic_suspicious_v1,soft_urgency
Vreify yoru kartangizni please,vreify yoru kartangizni please,SUSPICIOUS,uz,synthetic_suspicious_v1,mixed_language
Akkauntingiz uchun 15% chegirmaga haqiingiz bor...,akkauntingiz uchun 15 chegirmaga haqiingiz bor...,SUSPICIOUS,uz,synthetic_suspicious_v1,promotional
"Salom, sizning raqamingiz Kapitalbank da ro'yxatdan o'tgan...",salom sizning raqamingiz kapitalbank da ro'yxatdan o'tgan...,SUSPICIOUS,uz,synthetic_suspicious_v1,social_engineering
Oxiigi tranzaksiyani tasdiqlang iltimos,oxiigi tranzaksiyani tasdiqlang iltimos,SUSPICIOUS,uz,synthetic_suspicious_v1,financial_gray
"Вас упоминаи в разговоре, уточните детали",вас упоминаи в разговоре уточните детали,SUSPICIOUS,ru,synthetic_suspicious_v1,social_engineering
Audit team: records neeed your confirmtion,audit team: records neeed your confirmtion,SUSPICIOUS,en,synthetic_suspicious_v1,authority
Prremium obuna uchun maxsus cheggirma!,prremium obuna uchun maxsus cheggirma,SUSPICIOUS,uz,synthetic_suspicious_v1,promotional
"Hisobingizdan 5,000 so'm yehildi, taniyasizmi?",hisobingizdan 5 000 so'm yehildi taniyasizmi,SUSPICIOUS,uz,synthetic_suspicious_v1,financial_gray
"Xurmatli foydalanuvchi, hisobingiz bo'yicah savol bor...",xurmatli foydalanuvchi hisobingiz bo'yicah savol bor...,SUSPICIOUS,uz,synthetic_suspicious_v1,social_engineering
UPGADE YOUR ACCOUNT WITH A LIMTED OFFEER,upgade your account with a limted offeer,SUSPICIOUS,en,synthetic_suspicious_v1,promotional
Akkuntingiz tekshiruvdan o'tishi keak,akkuntingiz tekshiruvdan o'tishi keak,SUSPICIOUS,uz,synthetic_suspicious_v1,soft_urgency
"Gurudha sizni eslatishddi, tekshiring...",gurudha sizni eslatishddi tekshiring...,SUSPICIOUS,uz,synthetic_suspicious_v1,social_engineering
HISOBINGIIZ UCHUN MAXSUS BONUS TAYYORLANDI...,hisobingiiz uchun maxsus bonus tayyorlandi...,SUSPICIOUS,uz,synthetic_suspicious_v1,promotional
Pllesae confirm the recent chnages to your account!,pllesae confirm the recent chnages to your account,SUSPICIOUS,en,synthetic_suspicious_v1,soft_urgency
"Kartangiz holati yangilandi, tekshiring..",kartangiz holati yangilandi tekshiring..,SUSPICIOUS,uz,synthetic_suspicious_v1,financial_gray
"Hisobigniz blaansi 500,000 so'mdan past!",hisobigniz blaansi 500 000 so'mdan past,SUSPICIOUS,uz,synthetic_suspicious_v1,financial_gray
"Tiizimda sizning nomingizga ro'yxatdan o'tilgan, sizmisiz...",tiizimda sizning nomingizga ro'yxatdan o'tilgan sizmisiz...,SUSPICIOUS,uz,synthetic_suspicious_v1,social_engineering
Legal: privacy policy update reqiures acknowledgment,legal: privacy policy update reqiures acknowledgment,SUSPICIOUS,en,synthetic_suspicious_v1,authority
Tizim hisobingizni tekshirish so'ramoqda!,tizim hisobingizni tekshirish so'ramoqda,SUSPICIOUS,uz,synthetic_suspicious_v1,soft_urgency
Tizim administratori xabari: yangilanish talab qilinaid...,tizim administratori xabari: yangilanish talab qilinaid...,SUSPICIOUS,uz,synthetic_suspicious_v1,authority
Tim-sensitive: confirm your account deatils,tim sensitive: confirm your account deatils,SUSPICIOUS,en,synthetic_suspicious_v1,soft_urgency
Pleease veerify your account within the next 3 days..,pleease veerify your account within the next 3 days..,SUSPICIOUS,en,synthetic_suspicious_v1,soft_urgency
Texnik yordam: tizimmga qayta kriing..,texnik yordam: tizimmga qayta kriing..,SUSPICIOUS,uz,synthetic_suspicious_v1,authority
Sizga urgent xabar keli,sizga urgent xabar keli,SUSPICIOUS,uz,synthetic_suspicious_v1,mixed_language
Xizmat k'orsatish markazi: hisobingizni tasdiqlang!,xizmat k'orsatish markazi: hisobingizni tasdiqlang,SUSPICIOUS,uz,synthetic_suspicious_v1,authority
"Do'stingiz siza sovgg'a yubordi, tasdiqlang!",do'stingiz siza sovgg'a yubordi tasdiqlang,SUSPICIOUS,uz,synthetic_suspicious_v1,social_engineering
So'ngi faoliyatingiz bo'yicha eslatma!,so'ngi faoliyatingiz bo'yicha eslatma,SUSPICIOUS,uz,synthetic_suspicious_v1,curiosity_hooks
Texnik xizzmat xabari: tizim yangilanishi rejalashtirilgan!,texnik xizzmat xabari: tizim yangilanishi rejalashtirilgan,SUSPICIOUS,uz,synthetic_suspicious_v1,authority
"Iltimos, Beeline bilan bog'laning, muim xabar bor",iltimos beeline bilan bog'laning muim xabar bor,SUSPICIOUS,uz,synthetic_suspicious_v1,social_engineering
"Action taken on yoru behalf, please review..",action taken on yoru behalf please review..,SUSPICIOUS,en,synthetic_suspicious_v1,curiosity_hooks
Xavfsizlik tizimi: shubhali faoliyat aniqlandi..,xavfsizlik tizimi: shubhali faoliyat aniqlandi..,SUSPICIOUS,uz,synthetic_suspicious_v1,authority
"Youur account is pending review, pease verify...",youur account is pending review pease verify...,SUSPICIOUS,en,synthetic_suspicious_v1,soft_urgency
Oxigi tranzaksiyani tasdiqlang iltimos!,oxigi tranzaksiyani tasdiqlang iltimos,SUSPICIOUS,uz,synthetic_suspicious_v1,financial_gray
Hisobingizni 24 soat ichida tasdiiqlang...,hisobingizni 24 soat ichida tasdiiqlang...,SUSPICIOUS,uz,synthetic_suspicious_v1,soft_urgency
Bugun ro'yxatddan o'ting va bonus oling...,bugun ro'yxatddan o'ting va bonus oling...,SUSPICIOUS,uz,synthetic_suspicious_v1,promotional
Quick questino about the document you sahred!,quick questino about the document you sahred,SUSPICIOUS,en,synthetic_suspicious_v1,social_engineering
Sizning ma'lumotlaringiz bo'yicha tushuntirish kerak...,sizning ma'lumotlaringiz bo'yicha tushuntirish kerak...,SUSPICIOUS,uz,synthetic_suspicious_v1,social_engineering
Управление: новая политика безопасности...,управление: новая политика безопасности...,SUSPICIOUS,ru,synthetic_suspicious_v1,authority
IT-отдел: смените пароль в целях безопасности...,it отдел: смените пароль в целях безопасности...,SUSPICIOUS,ru,synthetic_suspicious_v1,authority
Dscount olish uchun register qiling!,dscount olish uchun register qiling,SUSPICIOUS,uz,synthetic_suspicious_v1,mixed_language
Yuor name came up during the meetting,yuor name came up during the meetting,SUSPICIOUS,en,synthetic_suspicious_v1,social_engineering
Bank xavfsizlik bo'limi: parolingizni o'zgartiring,bank xavfsizlik bo'limi: parolingizni o'zgartiring,SUSPICIOUS,uz,synthetic_suspicious_v1,authority
Новый вхход в ваш аккаунт с другого устройста..,новый вхход в ваш аккаунт с другого устройста..,SUSPICIOUS,ru,synthetic_suspicious_v1,curiosity_hooks
PROFILINGIZZDA O'ZGARISHHLAR ANIQLANDI,profilingizzda o'zgarishhlar aniqlandi,SUSPICIOUS,uz,synthetic_suspicious_v1,soft_urgency
Security update qiling iltimos...,security update qiling iltimos...,SUSPICIOUS,uz,synthetic_suspicious_v1,mixed_language
"Tizimda sizning nomingiza ro'yxatdan o'tillgan, sizzmisiz!",tizimda sizning nomingiza ro'yxatdan o'tillgan sizzmisiz,SUSPICIOUS,uz,synthetic_suspicious_v1,social_engineering
Profilingizga kimdir kirgan bo'lishi mumkin,profilingizga kimdir kirgan bo'lishi mumkin,SUSPICIOUS,uz,synthetic_suspicious_v1,curiosity_hooks
Tizim administratori xabari: yangilanish talab qilinaid,tizim administratori xabari: yangilanish talab qilinaid,SUSPICIOUS,uz,synthetic_suspicious_v1,authority
Audit team: records need your confirmtion..,audit team: records need your confirmtion..,SUSPICIOUS,en,synthetic_suspicious_v1,authority
I found something intreesting abouut you online,i found something intreesting abouut you online,SUSPICIOUS,en,synthetic_suspicious_v1,social_engineering
Hisobngiz xavfsizligi uchun akkauntingizni yangilang...,hisobngiz xavfsizligi uchun akkauntingizni yangilang...,SUSPICIOUS,uz,synthetic_suspicious_v1,authority
NEW FEATURES AVAILABLE FOR YOUR ACCONT!,new features available for your accont,SUSPICIOUS,en,synthetic_suspicious_v1,curiosity_hooks
"Saolm, men texnik mutaxassidsan. Hisobingiz haqida gaplashishimiz keerak...",saolm men texnik mutaxassidsan. hisobingiz haqida gaplashishimiz keerak...,SUSPICIOUS,uz,synthetic_suspicious_v1,social_engineering
Moderator xbari: akkauntingiz ko'rib chiqilmoqda..,moderator xbari: akkauntingiz ko'rib chiqilmoqda..,SUSPICIOUS,uz,synthetic_suspicious_v1,authority
You may quallify for a special offer,you may quallify for a special offer,SUSPICIOUS,en,synthetic_suspicious_v1,promotional
Ma'lumotlaaringizni yangilash uchun tizimga kiring,ma'lumotlaaringizni yangilash uchun tizimga kiring,SUSPICIOUS,uz,synthetic_suspicious_v1,soft_urgency
Profilingiz uchun maxsus chegirma faollashtirilishi mumkin!,profilingiz uchun maxsus chegirma faollashtirilishi mumkin,SUSPICIOUS,uz,synthetic_suspicious_v1,promotional
Support: your case has beeen escalated...,support: your case has beeen escalated...,SUSPICIOUS,en,synthetic_suspicious_v1,authority
Mesase pending bor sizda,mesase pending bor sizda,SUSPICIOUS,uz,synthetic_suspicious_v1,mixed_language
Sizga Beeline tomonidan maxsus taklif yuborildi..,sizga beeline tomonidan maxsus taklif yuborildi..,SUSPICIOUS,uz,synthetic_suspicious_v1,social_engineering
Tranzaksiya tasdiqlash kutilmoqda..,tranzaksiya tasdiqlash kutilmoqda..,SUSPICIOUS,uz,synthetic_suspicious_v1,financial_gray
Hisobingiz uhcun yangi xavfsizlik talabi mavjud,hisobingiz uhcun yangi xavfsizlik talabi mavjud,SUSPICIOUS,uz,synthetic_suspicious_v1,soft_urgency
Akkauntingiz xavfsizlik tekshiruvidan o'tishi loim!,akkauntingiz xavfsizlik tekshiruvidan o'tishi loim,SUSPICIOUS,uz,synthetic_suspicious_v1,soft_urgency
Do'stingiz akkauntingizga kirishga harakat qildi...,do'stingiz akkauntingizga kirishga harakat qildi...,SUSPICIOUS,uz,synthetic_suspicious_v1,social_engineering
Ma'lumotlaringizni yangilaash uhcun tizimga kiing!,ma'lumotlaringizni yangilaash uhcun tizimga kiing,SUSPICIOUS,uz,synthetic_suspicious_v1,soft_urgency
Your contact was lsted in our directory...,your contact was lsted in our directory...,SUSPICIOUS,en,synthetic_suspicious_v1,social_engineering
Prremmium obuna uchun maxsus cheggirma!,prremmium obuna uchun maxsus cheggirma,SUSPICIOUS,uz,synthetic_suspicious_v1,promotional
"Iltimo,s Kapitalbank bilan bog'laning, muhim xaabar bor...",iltimo s kapitalbank bilan bog'laning muhim xaabar bor...,SUSPICIOUS,uz,synthetic_suspicious_v1,social_engineering
Verify your kartangizni please!,verify your kartangizni please,SUSPICIOUS,uz,synthetic_suspicious_v1,mixed_language
Compliance team: documentaton update needed...,compliance team: documentaton update needed...,SUSPICIOUS,en,synthetic_suspicious_v1,authority
Администратор: ваши права досутпа изменены...,администратор: ваши права досутпа изменены...,SUSPICIOUS,ru,synthetic_suspicious_v1,authority
ОТДЕЛ БЕЗОПАСНОСТИ: ОБНАРУЖЕНА ПОДОЗРИТЕЛЬАЯ АКТИВНОСТЬ,отдел безопасности: обнаружена подозрительая активность,SUSPICIOUS,ru,synthetic_suspicious_v1,authority
TIZIM MA'MURIYATI: PAROLINGIZNI YAGILASH TAVSIYA ETILADI,tizim ma'muriyati: parolingizni yagilash tavsiya etiladi,SUSPICIOUS,uz,synthetic_suspicious_v1,authority
"Sizga yangi xabar keldi, tekshiring..",sizga yangi xabar keldi tekshiring..,SUSPICIOUS,uz,synthetic_suspicious_v1,curiosity_hooks
PROFILE NI UPDATE QIISH KEARK,profile ni update qiish keark,SUSPICIOUS,uz,synthetic_suspicious_v1,mixed_language
Изменения в вашем профие зафиксированы...,изменения в вашем профие зафиксированы...,SUSPICIOUS,ru,synthetic_suspicious_v1,curiosity_hooks
Uunsual sign-in atcivity on your account!,uunsual sign in atcivity on your account,SUSPICIOUS,en,synthetic_suspicious_v1,curiosity_hooks
Special promotion ending soon!,special promotion ending soon,SUSPICIOUS,en,synthetic_suspicious_v1,promotional
Служба поддержки: ваш запрос требует ответа...,служба поддержки: ваш запрос требует ответа...,SUSPICIOUS,ru,synthetic_suspicious_v1,authority
Sizga cashback offer bor,sizga cashback offer bor,SUSPICIOUS,uz,synthetic_suspicious_v1,mixed_language
VIP STTATUS OLISH IMKONIYATI MAVJUD...,vip sttatus olish imkoniyati mavjud...,SUSPICIOUS,uz,synthetic_suspicious_v1,promotional
You were tagged in a conversation,you were tagged in a conversation,SUSPICIOUS,en,synthetic_suspicious_v1,curiosity_hooks
Balaans tekshiruvi: hisobinngizga kiring,balaans tekshiruvi: hisobinngizga kiring,SUSPICIOUS,uz,synthetic_suspicious_v1,financial_gray
"CONTACT SUPPORRT ILTIMOS, MUAMMO BOR...",contact supporrt iltimos muammo bor...,SUSPICIOUS,uz,synthetic_suspicious_v1,mixed_language
Tizim ma'muriyati: paroligizni yangilash tavsiya etiladi...,tizim ma'muriyati: paroligizni yangilash tavsiya etiladi...,SUSPICIOUS,uz,synthetic_suspicious_v1,authority
Sizning ma'ulmotlaringiz bo'iycha tushuntirish kerak..,sizning ma'ulmotlaringiz bo'iycha tushuntirish kerak..,SUSPICIOUS,uz,synthetic_suspicious_v1,social_engineering
Chek your account status now...,chek your account status now...,SUSPICIOUS,en,synthetic_suspicious_v1,curiosity_hooks
Login qilib tekshirib ko'ring...,login qilib tekshirib ko'ring...,SUSPICIOUS,uz,synthetic_suspicious_v1,mixed_language
Ваш запрос обрабатывается...,ваш запрос обрабатывается...,SUSPICIOUS,ru,synthetic_suspicious_v1,curiosity_hooks
Security update qiing iltimos..,security update qiing iltimos..,SUSPICIOUS,uz,synthetic_suspicious_v1,mixed_language
Are you the David who appplied for the position?,are you the david who appplied for the position,SUSPICIOUS,en,synthetic_suspicious_v1,social_engineering
Are you the Sara who applied for the position?,are you the sara who applied for the position,SUSPICIOUS,en,synthetic_suspicious_v1,social_engineering
Hisobingizni 24 soat ichida tasdiqlang...,hisobingizni 24 soat ichida tasdiqlang...,SUSPICIOUS,uz,synthetic_suspicious_v1,soft_urgency
Hisobingizdan noma'lum manzilga pul o'tkazildi..,hisobingizdan noma'lum manzilga pul o'tkazildi..,SUSPICIOUS,uz,synthetic_suspicious_v1,financial_gray
Hisobingizni verify qiling,hisobingizni verify qiling,SUSPICIOUS,uz,synthetic_suspicious_v1,mixed_language
"Sizga yaqin odamdan xabar bor, ocing..",sizga yaqin odamdan xabar bor ocing..,SUSPICIOUS,uz,synthetic_suspicious_v1,social_engineering
Baank: kartanngiz faoliyati tekshirilmoqda,baank: kartanngiz faoliyati tekshirilmoqda,SUSPICIOUS,uz,synthetic_suspicious_v1,authority
Xavfsizik tizimi: shubhali faoliyat aniqladni,xavfsizik tizimi: shubhali faoliyat aniqladni,SUSPICIOUS,uz,synthetic_suspicious_v1,authority
Texnik bo'lim: tiizm yangilanishi amalga oshirilmoqda..,texnik bo'lim: tiizm yangilanishi amalga oshirilmoqda..,SUSPICIOUS,uz,synthetic_suspicious_v1,authority
Foydalanuvchilarga maxsus imkoniyat taqdim etilmoqda,foydalanuvchilarga maxsus imkoniyat taqdim etilmoqda,SUSPICIOUS,uz,synthetic_suspicious_v1,promotional
"Assalomu alaykum, Uzmobbile dan qo'ng'iroq bo'ladi, javob berinng..",assalomu alaykum uzmobbile dan qo'ng'iroq bo'ladi javob berinng..,SUSPICIOUS,uz,synthetic_suspicious_v1,social_engineering
"Hisobingiz balansi 500,000 so'mdan psat...",hisobingiz balansi 500 000 so'mdan psat...,SUSPICIOUS,uz,synthetic_suspicious_v1,financial_gray
"Siz 15,000 so'm miqdorida mukofot olishingiz mumkiin",siz 15 000 so'm miqdorida mukofot olishingiz mumkiin,SUSPICIOUS,uz,synthetic_suspicious_v1,promotional
"Iltimos, Click bilan bog'laning, muhim xabar bor..",iltimos click bilan bog'laning muhim xabar bor..,SUSPICIOUS,uz,synthetic_suspicious_v1,social_engineering
Please complete the verification process!,please complete the verification process,SUSPICIOUS,en,synthetic_suspicious_v1,soft_urgency
Username yoki paassword xato...,username yoki paassword xato...,SUSPICIOUS,uz,synthetic_suspicious_v1,mixed_language
Audit team: records need your confirmation,audit team: records need your confirmation,SUSPICIOUS,en,synthetic_suspicious_v1,authority
