text,normalized_text,label_unified,language_fixed,language_confidence,source_dataset
"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18","urgent! you have won a 1 week free membership in our £100,000 prize jackpot! txt the word: claim to no: 81010 t&c www.dbuk.net lccltd pobox 4403ldnw1a7rw18",DANGEROUS,en,high,messages_cleaned.csv
I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,i've been searching for the right words to thank you for this breather. i promise i wont take your help for granted and will fulfil my promise. you have been wonderful and a blessing at all times.,SAFE,en,high,messages_cleaned.csv
I HAVE A DATE ON SUNDAY WITH WILL!!,i have a date on sunday with will!!,SAFE,en,high,messages_cleaned.csv
"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL","xxxmobilemovieclub: to use your credit, click the wap link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=qjkgighjjgcbl",DANGEROUS,en,high,messages_cleaned.csv
Oh k...i'm watching here:),oh k...i'm watching here:),SAFE,en,high,messages_cleaned.csv
Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,eh u remember how 2 spell his name... yes i did. he v naughty make until i v wet.,SAFE,en,high,messages_cleaned.csv
Fine if thats the way u feel. Thats the way its gota b,fine if thats the way u feel. thats the way its gota b,SAFE,en,high,messages_cleaned.csv
"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+","england v macedonia - dont miss the goals/team news. txt ur national team to 87077 eg england to 87077 try:wales, scotland 4txt/ú1.20 poboxox36504w45wq 16+",DANGEROUS,en,high,messages_cleaned.csv
Is that seriously how you spell his name?,is that seriously how you spell his name?,SAFE,en,high,messages_cleaned.csv
I‘m going to try for 2 months ha ha only joking,i'm going to try for 2 months ha ha only joking,SAFE,en,high,messages_cleaned.csv
So ü pay first lar... Then when is da stock comin...,so ü pay first lar... then when is da stock comin...,SAFE,en,high,messages_cleaned.csv
Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,aft i finish my lunch then i go str down lor. ard 3 smth lor. u finish ur lunch already?,SAFE,en,high,messages_cleaned.csv
Ffffffffff. Alright no way I can meet up with you sooner?,ffffffffff. alright no way i can meet up with you sooner?,SAFE,en,high,messages_cleaned.csv
Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,just forced myself to eat a slice. i'm really not hungry tho. this sucks. mark is getting worried. he knows i'm sick when i turn down pizza. lol,SAFE,en,high,messages_cleaned.csv
Lol your always so convincing.,lol your always so convincing.,SAFE,en,high,messages_cleaned.csv
Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,did you catch the bus ? are you frying an egg ? did you make a tea? are you eating your mom's left over dinner ? do you feel my love ?,SAFE,en,high,messages_cleaned.csv
"I'm back &amp; we're packing the car now, I'll let you know if there's room","i'm back &amp; we're packing the car now, i'll let you know if there's room",SAFE,en,high,messages_cleaned.csv
Ahhh. Work. I vaguely remember that! What does it feel like? Lol,ahhh. work. i vaguely remember that! what does it feel like? lol,SAFE,en,high,messages_cleaned.csv
"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us","wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",SAFE,en,high,messages_cleaned.csv
Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You?,yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. till 2! but we won't go there! not doing too badly cheers. you?,SAFE,en,high,messages_cleaned.csv
K tell me anything about you.,k tell me anything about you.,SAFE,en,high,messages_cleaned.csv
For fear of fainting with the of all that housework you just did? Quick have a cuppa,for fear of fainting with the of all that housework you just did? quick have a cuppa,SAFE,en,high,messages_cleaned.csv
Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,thanks for your subscription to ringtone uk your mobile will be charged £5/month please confirm by replying yes or no. if you reply no you will not be charged,DANGEROUS,en,high,messages_cleaned.csv
Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am,yup... ok i go home look at the timings then i msg ü again... xuhui going to learn on 2nd may too but her lesson is at 8am,SAFE,en,high,messages_cleaned.csv
"Oops, I'll let you know when my roommate's done","oops, i'll let you know when my roommate's done",SAFE,en,high,messages_cleaned.csv
I see the letter B on my car,i see the letter b on my car,SAFE,en,high,messages_cleaned.csv
Anything lor... U decide...,anything lor... u decide...,SAFE,en,high,messages_cleaned.csv
Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,hello! how's you and how did saturday go? i was just texting to see if you'd decided to do anything tomo. not that i'm trying to invite myself or anything!,SAFE,en,high,messages_cleaned.csv
Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,pls go ahead with watts. i just wanted to be sure. do have a great weekend. abiola,SAFE,en,high,messages_cleaned.csv
"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy","did i forget to tell you ? i want you , i need you, i crave you ... but most of all ... i love you my sweet arabian steed ... mmmmmm ... yummy",SAFE,en,high,messages_cleaned.csv
07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,07732584351 - rodger burns - msg = we tried to call you re your reply to our sms for a free nokia mobile + free camcorder. please call now 08000930705 for delivery tomorrow,DANGEROUS,en,high,messages_cleaned.csv
WHO ARE YOU SEEING?,who are you seeing?,SAFE,en,high,messages_cleaned.csv
Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,great! i hope you like your man well endowed. i am &lt;#&gt; inches...,SAFE,en,high,messages_cleaned.csv
No calls..messages..missed calls,no calls..messages..missed calls,SAFE,en,high,messages_cleaned.csv
Didn't you get hep b immunisation in nigeria.,didn't you get hep b immunisation in nigeria.,SAFE,en,high,messages_cleaned.csv
"Fair enough, anything going on?","fair enough, anything going on?",SAFE,en,high,messages_cleaned.csv
"Yeah hopefully, if tyler can't do it I could maybe ask around a bit","yeah hopefully, if tyler can't do it i could maybe ask around a bit",SAFE,en,high,messages_cleaned.csv
U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,u don't know how stubborn i am. i didn't even want to go to the hospital. i kept telling mark i'm not a weak sucker. hospitals are for weak suckers.,SAFE,en,high,messages_cleaned.csv
What you thinked about me. First time you saw me in class.,what you thinked about me. first time you saw me in class.,SAFE,en,high,messages_cleaned.csv
"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;","a gram usually runs like &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for &lt;#&gt;",SAFE,en,high,messages_cleaned.csv
K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,k fyi x has a ride early tomorrow morning but he's crashing at our place tonight,SAFE,en,high,messages_cleaned.csv
"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about ""the cave"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.","wow. i never realized that you were so embarassed by your accomodations. i thought you liked it, since i was doing the best i could and you always seemed so happy about ""the cave"". i'm sorry i didn't and don't have more to give. i'm sorry i offered. i'm sorry your room was so embarassing.",SAFE,en,high,messages_cleaned.csv
SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,sms. ac sptv: the new jersey devils and the detroit red wings play ice hockey. correct or incorrect? end? reply end sptv,DANGEROUS,en,high,messages_cleaned.csv
Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,do you know what mallika sherawat did yesterday? find out now @ &lt;url&gt;,SAFE,en,high,messages_cleaned.csv
"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!","congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! c suprman v, matrix3, starwars3, etc all 4 free! bx420-ip4-5we. 150pm. dont miss out!",DANGEROUS,en,high,messages_cleaned.csv
"Sorry, I'll call later in meeting.","sorry, i'll call later in meeting.",SAFE,en,high,messages_cleaned.csv
Tell where you reached,tell where you reached,SAFE,en,high,messages_cleaned.csv
Yes..gauti and sehwag out of odi series.,yes..gauti and sehwag out of odi series.,SAFE,en,high,messages_cleaned.csv
Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,your gonna have to pick up a $1 burger for yourself on your way home. i can't even move. pain is killing me.,SAFE,en,high,messages_cleaned.csv
Ha ha ha good joke. Girls are situation seekers.,ha ha ha good joke. girls are situation seekers.,SAFE,en,high,messages_cleaned.csv
Its a part of checking IQ,its a part of checking iq,SAFE,en,high,messages_cleaned.csv
"Sorry my roommates took forever, it ok if I come by now?","sorry my roommates took forever, it ok if i come by now?",SAFE,en,high,messages_cleaned.csv
Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,ok lar i double check wif da hair dresser already he said wun cut v short. he said will cut until i look nice.,SAFE,en,high,messages_cleaned.csv
"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589","as a valued customer, i am pleased to advise you that following recent review of your mob no. you are awarded with a £1500 bonus prize, call 09066364589",DANGEROUS,en,high,messages_cleaned.csv
"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...","today is ""song dedicated day.."" which song will u dedicate for me? send this to all ur valuable frnds but first rply me...",SAFE,en,high,messages_cleaned.csv
"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ","urgent ur awarded a complimentary trip to eurodisinc trav, aco&entry41 or £1000. to claim txt dis to 87121 18+6*£1.50(morefrmmob. shracomorsglsuplt)10, ls1 3aj",DANGEROUS,en,high,messages_cleaned.csv
"Did you hear about the new ""Divorce Barbie""? It comes with all of Ken's stuff!","did you hear about the new ""divorce barbie""? it comes with all of ken's stuff!",DANGEROUS,en,high,messages_cleaned.csv
I plane to give on this month end.,i plane to give on this month end.,SAFE,en,high,messages_cleaned.csv
Wah lucky man... Then can save money... Hee...,wah lucky man... then can save money... hee...,SAFE,en,high,messages_cleaned.csv
Finished class where are you.,finished class where are you.,SAFE,en,high,messages_cleaned.csv
HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,hi babe im at home now wanna do something? xx,SAFE,en,high,messages_cleaned.csv
K..k:)where are you?how did you performed?,k..k:)where are you?how did you performed?,SAFE,en,high,messages_cleaned.csv
U can call me now...,u can call me now...,SAFE,en,high,messages_cleaned.csv
I am waiting machan. Call me once you free.,i am waiting machan. call me once you free.,SAFE,en,high,messages_cleaned.csv
Thats cool. i am a gentleman and will treat you with dignity and respect.,thats cool. i am a gentleman and will treat you with dignity and respect.,SAFE,en,high,messages_cleaned.csv
I like you peoples very much:) but am very shy pa.,i like you peoples very much:) but am very shy pa.,SAFE,en,high,messages_cleaned.csv
Does not operate after  &lt;#&gt;  or what,does not operate after &lt;#&gt; or what,SAFE,en,high,messages_cleaned.csv
Its not the same here. Still looking for a job. How much do Ta's earn there.,its not the same here. still looking for a job. how much do ta's earn there.,SAFE,en,high,messages_cleaned.csv
"Sorry, I'll call later","sorry, i'll call later",SAFE,en,high,messages_cleaned.csv
K. Did you call me just now ah?,k. did you call me just now ah?,SAFE,en,high,messages_cleaned.csv
Ok i am on the way to home hi hi,ok i am on the way to home hi hi,SAFE,en,high,messages_cleaned.csv
You will be in the place of that man,you will be in the place of that man,SAFE,en,high,messages_cleaned.csv
Yup next stop.,yup next stop.,SAFE,en,high,messages_cleaned.csv
"I call you later, don't have network. If urgnt, sms me.","i call you later, don't have network. if urgnt, sms me.",SAFE,en,high,messages_cleaned.csv
For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,for real when u getting on yo? i only need 2 more tickets and one more jacket and i'm done. i already used all my multis.,SAFE,en,high,messages_cleaned.csv
Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,yes i started to send requests to make it but pain came back so i'm back in bed. double coins at the factory too. i gotta cash in all my nitros.,SAFE,en,high,messages_cleaned.csv
I'm really not up to it still tonight babe,i'm really not up to it still tonight babe,SAFE,en,high,messages_cleaned.csv
"Ela kano.,il download, come wen ur free..","ela kano.,il download, come wen ur free..",SAFE,en,high,messages_cleaned.csv
Yeah do! Don‘t stand to close tho- you‘ll catch something!,yeah do! don't stand to close tho- you'll catch something!,SAFE,en,high,messages_cleaned.csv
Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry.,sorry to be a pain. is it ok if we meet another night? i spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. sorry.,SAFE,en,high,messages_cleaned.csv
Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,smile in pleasure smile in pain smile when trouble pours like rain smile when sum1 hurts u smile becoz someone still loves to see u smiling!!,SAFE,en,high,messages_cleaned.csv
Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize!,please call our customer service representative on 0800 169 6031 between 10am-9pm as you have won a guaranteed £1000 cash or £5000 prize!,DANGEROUS,en,high,messages_cleaned.csv
Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,havent planning to buy later. i check already lido only got 530 show in e afternoon. u finish work already?,SAFE,en,high,messages_cleaned.csv
"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16","your free ringtone is waiting to be collected. simply text the password ""mix"" to 85069 to verify. get usher and britney. fml, po box 5249, mk17 92h. 450ppw 16",DANGEROUS,en,high,messages_cleaned.csv
Watching telugu movie..wat abt u?,watching telugu movie..wat abt u?,SAFE,en,high,messages_cleaned.csv
i see. When we finish we have loads of loans to pay,i see. when we finish we have loads of loans to pay,SAFE,en,high,messages_cleaned.csv
"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?""","hi. wk been ok - on hols now! yes on for a bit of a run. forgot that i have hairdressers appointment at four so need to get home n shower beforehand. does that cause prob for u?""",SAFE,en,high,messages_cleaned.csv
I see a cup of coffee animation,i see a cup of coffee animation,SAFE,en,high,messages_cleaned.csv
Please don't text me anymore. I have nothing else to say.,please don't text me anymore. i have nothing else to say.,SAFE,en,high,messages_cleaned.csv
Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,okay name ur price as long as its legal! wen can i pick them up? y u ave x ams xx,SAFE,en,high,messages_cleaned.csv
I'm still looking for a car to buy. And have not gone 4the driving test yet.,i'm still looking for a car to buy. and have not gone 4the driving test yet.,SAFE,en,high,messages_cleaned.csv
"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.","wow. you're right! i didn't mean to do that. i guess once i gave up on boston men and changed my search location to nyc, something changed. cuz on my signin page it still says boston.",SAFE,en,high,messages_cleaned.csv
Umma my life and vava umma love you lot dear,umma my life and vava umma love you lot dear,SAFE,en,high,messages_cleaned.csv
Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,thanks a lot for your wishes on my birthday. thanks you for making my birthday truly memorable.,SAFE,en,high,messages_cleaned.csv
"Aight, I'll hit you up when I get some cash","aight, i'll hit you up when i get some cash",SAFE,en,high,messages_cleaned.csv
How would my ip address test that considering my computer isn't a minecraft server,how would my ip address test that considering my computer isn't a minecraft server,SAFE,en,high,messages_cleaned.csv
I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,i know! grumpy old people. my mom was like you better not be lying. then again i am always the one to play jokes...,SAFE,en,high,messages_cleaned.csv
Dont worry. I guess he's busy.,dont worry. i guess he's busy.,SAFE,en,high,messages_cleaned.csv
What is the plural of the noun research?,what is the plural of the noun research?,SAFE,en,high,messages_cleaned.csv
Going for dinner.msg you after.,going for dinner.msg you after.,SAFE,en,high,messages_cleaned.csv
I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,i'm ok wif it cos i like 2 try new things. but i scared u dun like mah. cos u said not too loud.,SAFE,en,high,messages_cleaned.csv
GENT! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,gent! we are trying to contact you. last weekends draw shows that you won a £1000 prize guaranteed. call 09064012160. claim code k52. valid 12hrs only. 150ppm,DANGEROUS,en,high,messages_cleaned.csv
"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?","wa, ur openin sentence very formal... anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...haha... so anythin special happened?",SAFE,en,high,messages_cleaned.csv
"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.","as i entered my cabin my pa said, '' happy b'day boss !!''. i felt special. she askd me 4 lunch. after lunch she invited me to her apartment. we went there.",SAFE,en,high,messages_cleaned.csv
You are a winner U have been specially selected 2 receive £1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+),you are a winner u have been specially selected 2 receive £1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+),DANGEROUS,en,high,messages_cleaned.csv
Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed!,goodo! yes we must speak friday - egg-potato ratio for tortilla needed!,SAFE,en,high,messages_cleaned.csv
Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,hmm...my uncle just informed me that he's paying the school directly. so pls buy food.,SAFE,en,high,messages_cleaned.csv
PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,private! your 2004 account statement for 07742676969 shows 786 unredeemed bonus points. to claim call 08719180248 identifier code: 45239 expires,DANGEROUS,en,high,messages_cleaned.csv
"URGENT! Your Mobile No. was awarded £2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM","urgent! your mobile no. was awarded £2000 bonus caller prize on 5/9/03 this is our final try to contact u! call from landline 09064019788 box42wr29c, 150ppm",DANGEROUS,en,high,messages_cleaned.csv
here is my new address -apples&pairs&all that malarky,here is my new address -apples&pairs&all that malarky,SAFE,en,high,messages_cleaned.csv
Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,todays voda numbers ending 7548 are selected to receive a $350 award. if you have a match please call 08712300220 quoting claim code 4041 standard rates app,DANGEROUS,en,high,messages_cleaned.csv
I am going to sao mu today. Will be done only at 12,i am going to sao mu today. will be done only at 12,SAFE,en,high,messages_cleaned.csv
Ü predict wat time ü'll finish buying?,ü predict wat time ü'll finish buying?,SAFE,en,high,messages_cleaned.csv
"Good stuff, will do.","good stuff, will do.",SAFE,en,high,messages_cleaned.csv
"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.","just so that you know,yetunde hasn't sent money yet. i just sent her a text not to bother sending. so its over, you dont have to involve yourself in anything. i shouldn't have imposed anything on you in the first place so for that, i apologise.",SAFE,en,high,messages_cleaned.csv
Are you there in room.,are you there in room.,SAFE,en,high,messages_cleaned.csv
HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,hey girl. how r u? hope u r well me an del r bak! again long time no c! give me a call sum time from lucyxx,SAFE,en,high,messages_cleaned.csv
K..k:)how much does it cost?,k..k:)how much does it cost?,SAFE,en,high,messages_cleaned.csv
I'm home.,i'm home.,SAFE,en,high,messages_cleaned.csv
"Dear, will call Tmorrow.pls accomodate.","dear, will call tmorrow.pls accomodate.",SAFE,en,high,messages_cleaned.csv
First answer my question.,first answer my question.,SAFE,en,high,messages_cleaned.csv
Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. £1.50 SP:Tyrone,sunshine quiz wkly q! win a top sony dvd player if u know which country the algarve is in? txt ansr to 82277. £1.50 sp:tyrone,DANGEROUS,en,high,messages_cleaned.csv
Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,want 2 get laid tonight? want real dogging locations sent direct 2 ur mob? join the uk's largest dogging network bt txting gravel to 69888! nt. ec2a. 31p.msg@150p,DANGEROUS,en,high,messages_cleaned.csv
I only haf msn. It's yijue@hotmail.com,i only haf msn. it's yijue@hotmail.com,SAFE,en,high,messages_cleaned.csv
He is there. You call and meet him,he is there. you call and meet him,SAFE,en,high,messages_cleaned.csv
No no. I will check all rooms befor activities,no no. i will check all rooms befor activities,SAFE,en,high,messages_cleaned.csv
You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,you'll not rcv any more msgs from the chat svc. for free hardcore services text go to: 69988 if u get nothing u must age verify with yr network & try again,DANGEROUS,en,high,messages_cleaned.csv
Got c... I lazy to type... I forgot ü in lect... I saw a pouch but like not v nice...,got c... i lazy to type... i forgot ü in lect... i saw a pouch but like not v nice...,SAFE,en,high,messages_cleaned.csv
"K, text me when you're on the way","k, text me when you're on the way",SAFE,en,high,messages_cleaned.csv
"Sir, Waiting for your mail.","sir, waiting for your mail.",SAFE,en,high,messages_cleaned.csv
"A swt thought: ""Nver get tired of doing little things 4 lovable persons.."" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8","a swt thought: ""nver get tired of doing little things 4 lovable persons.."" coz..somtimes those little things occupy d biggest part in their hearts.. gud ni8",SAFE,en,high,messages_cleaned.csv
I know you are. Can you pls open the back?,i know you are. can you pls open the back?,SAFE,en,high,messages_cleaned.csv
Yes see ya not on the dot,yes see ya not on the dot,SAFE,en,high,messages_cleaned.csv
Whats the staff name who is taking class for us?,whats the staff name who is taking class for us?,SAFE,en,high,messages_cleaned.csv
"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end","freemsg why haven't you replied to my text? i'm randy, sexy, female and live local. luv to hear from u. netcollex ltd 08700621170150p per msg reply stop to end",DANGEROUS,en,high,messages_cleaned.csv
Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,ummma.will call after check in.our life will begin from qatar so pls pray very hard.,SAFE,en,high,messages_cleaned.csv
K..i deleted my contact that why?,k..i deleted my contact that why?,SAFE,en,high,messages_cleaned.csv
Sindu got job in birla soft ..,sindu got job in birla soft ..,SAFE,en,high,messages_cleaned.csv
The wine is flowing and i'm i have nevering..,the wine is flowing and i'm i have nevering..,SAFE,en,high,messages_cleaned.csv
Yup i thk cine is better cos no need 2 go down 2 plaza mah.,yup i thk cine is better cos no need 2 go down 2 plaza mah.,SAFE,en,high,messages_cleaned.csv
Ok... Ur typical reply...,ok... ur typical reply...,SAFE,en,high,messages_cleaned.csv
"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.","you are everywhere dirt, on the floor, the windows, even on my shirt. and sometimes when i open my mouth, you are all that comes flowing out. i dream of my world without you, then half my chores are out too. a time of joy for me, lots of tv shows i.ll see. but i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.",SAFE,en,high,messages_cleaned.csv
Aaooooright are you at work?,aaooooright are you at work?,SAFE,en,high,messages_cleaned.csv
I'm leaving my house now...,i'm leaving my house now...,SAFE,en,high,messages_cleaned.csv
"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?","hello, my love. what are you doing? did you get to that interview today? are you you happy? are you being a good boy? do you think of me?are you missing me ?",SAFE,en,high,messages_cleaned.csv
