idx,text_preview,existing_lang,detected_lang,method,source
53538,"Faylni yuklab oldim, rahmat",en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
53541,"Menga 1920,000 so'm tashlab tura olasanmi?...",en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
53547,"Menga 4420,000 so'm tashlab tura olasanmi?.",en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
53554,Vazifani jo'natvor iltimos. OK,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
53557,Bugun 10:00 da ko'rishamiz..,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
53569,Bugun 9:15 da ko'rishamiz....,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
53572,Vazifani jo'natvor iltimos..,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
53583,"Menga 4090,000 so'm tashlab tura olasanmi?...",en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
53602,Uyga qaytayotganda go'sht olib kel....,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
53625,Rahmat kattakon! ?,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
53684,"Pulni kartaga tushirdim, 150 ming so'm",en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
53689,"Menga 790,000 so'm tashlab tura olasanmi? tezroq",en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
53693,Uyga qaytayotganda go'sht olib kel..,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
53696,Xatni pochtadan jo'natdim. :),en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
53713,"Menga 1750,000 so'm tashlab tura olasanmi?",en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
53726,Bugun 20:45 da ko'rishamiz..,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
53744,"Menga 1870,000 so'm tashlab tura olasanmi? :)",en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
53746,Bugun 17:45 da ko'rishamiz. :),en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
53756,Pul o'tkazib yubordim,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
53811,"Salom, ishlar qale? tezroq",en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
53828,Bugun 18:00 da ko'rishamiz..,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
53835,Bugun 19:00 da ko'rishamiz....,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
53839,Bugun 18:15 da ko'rishamiz.!,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
53841,Bugun 17:15 da ko'rishamiz.,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
53856,"Menga 4400,000 so'm tashlab tura olasanmi?...",en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
53870,Bugun 15:15 da ko'rishamiz.,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
53873,Bugun 15:00 da ko'rishamiz..,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
53879,"Menga 2360,000 so'm tashlab tura olasanmi?...",en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
53896,"Menga 2400,000 so'm tashlab tura olasanmi?.",en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
53904,"Salom, ishlar qale?!",en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
53911,"Menga 2950,000 so'm tashlab tura olasanmi?...",en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
53912,"Menga 3700,000 so'm tashlab tura olasanmi?!",en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
53916,Bugun 21:30 da ko'rishamiz. :),en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
53922,"Menga 2420,000 so'm tashlab tura olasanmi?.",en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
53931,Bugun 14:00 da ko'rishamiz....,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
53932,Bugun 16:00 da ko'rishamiz..,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
53943,"Menga 4980,000 so'm tashlab tura olasanmi?",en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
53955,Vazifani jo'natvor iltimos. 👍,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
53956,Bugun ertalab da ko'rishamiz....,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
53965,"Menga 3880,000 so'm tashlab tura olasanmi?",en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
53974,Bugun 9:30 da ko'rishamiz. tezroq,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
53978,"Charchamang, oq yo'l!...",en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
53984,"Menga 2990,000 so'm tashlab tura olasanmi?",en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
53992,Pulni tashladim tekshirib ko'r.!!,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54001,"Menga 1920,000 so'm tashlab tura olasanmi? :)",en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54013,Bugun 12:15 da ko'rishamiz. tezroq,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54037,Bugun 10:45 da ko'rishamiz..,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54055,"Menga 3880,000 so'm tashlab tura olasanmi?!",en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54057,Bugun 15:45 da ko'rishamiz. tezroq,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54068,"8 at the latest, g's still there if you can scrounge up some ammo and want to gi",en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54070,Bugun 11:15 da ko'rishamiz.,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54088,Bugun 11:00 da ko'rishamiz. :),en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54089,Vazifani jo'natvor iltimos. ?,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54091,Vazifani jo'natvor iltimos.!!,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54101,Bugun 18:30 da ko'rishamiz. tezroq,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54113,So what did the bank say about the money?,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54116,Xatni jo'natdingmi?.,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54126,Telefonni ko'tar!?,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54134,"Menga 3230,000 so'm tashlab tura olasanmi?!",en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54145,Xatni pochtadan jo'natdim. tezroq,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54148,O'qish qachon tugaydi??,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54156,O'qish qachon tugaydi? tezroq,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54161,Bugun 13:45 da ko'rishamiz....,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54190,"Menga 1750,000 so'm tashlab tura olasanmi?!",en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54194,"Menga 2630,000 so'm tashlab tura olasanmi? :)",en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54198,Bugun 9:30 da ko'rishamiz....,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54203,Rahmat kattakon!!!,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54210,"Menga 1750,000 so'm tashlab tura olasanmi? tezroq",en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54224,Bugun 21:45 da ko'rishamiz....,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54229,"Yeah that's what I thought, lemme know if anything's goin on later",en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54235,"Menga 700,000 so'm tashlab tura olasanmi? tezroq",en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54243,Pulni tashladim tekshirib ko'r.!,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54244,"Menga 2450,000 so'm tashlab tura olasanmi?...",en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54245,"Menga 2400,000 so'm tashlab tura olasanmi?",en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54270,Bugun 18:30 da ko'rishamiz. :),en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54275,"Menga 2420,000 so'm tashlab tura olasanmi? :)",en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54285,Bugun 19:15 da ko'rishamiz. :),en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54296,Ishlar bilan charchamayapsizmi?!!,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54314,Yaxshimisiz? Sog'liqlar qalay? :),en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54316,"Menga 430,000 so'm tashlab tura olasanmi? :)",en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54334,Rahmat kattakon! (,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54335,"Menga 1650,000 so'm tashlab tura olasanmi? :)",en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54339,"Yangi kino chiqibdi, ko'rdinglarmi?",en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54342,"Menga 790,000 so'm tashlab tura olasanmi??",en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54343,Have you seen who's back at Holby?!,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54350,Choyxonada kutib o'tiramiz,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54359,"Kichkina qizcham tug'ildi, duo qilib qo'yinglar!",en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54369,"Menga 3540,000 so'm tashlab tura olasanmi? :)",en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54397,Yaxshimisiz? Sog'liqlar qalay?!,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54417,"Menga 1460,000 so'm tashlab tura olasanmi??",en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54432,Kartaga pul tushdimi?,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54434,"Pulni kartaga tushirdim, 110 ming so'm",en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54441,Bugun 16:30 da ko'rishamiz.!,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54446,"Menga 850,000 so'm tashlab tura olasanmi? tezroq",en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54451,Bugun 15:30 da ko'rishamiz.?,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54464,Bugun 14:00 da ko'rishamiz.!,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54465,"Menga 900,000 so'm tashlab tura olasanmi?",en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54484,"Menga 2860,000 so'm tashlab tura olasanmi? tezroq",en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54489,go'sht narxi qancha ekan hozir?,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54491,Qachon ko'rishamiz?,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54496,"Menga 430,000 so'm tashlab tura olasanmi?...",en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54498,Bugun 18:30 da ko'rishamiz.,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54502,Pulni tashladim tekshirib ko'r. ),en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54505,Bugun 21:30 da ko'rishamiz. tezroq,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54516,Bugun 20:15 da ko'rishamiz..,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54518,"Menga 4120,000 so'm tashlab tura olasanmi?.",en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54521,Bugun 13:30 da ko'rishamiz.?,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54523,"Menga 4420,000 so'm tashlab tura olasanmi? :)",en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54529,Juma ayyomi barchaga muborak bo'lsin,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54531,"Menga 900,000 so'm tashlab tura olasanmi?...",en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54538,Uyga qaytayotganda go'sht olib kel.,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54541,Bugun ertalab da ko'rishamiz. tezroq,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54548,Pulni tashladim tekshirib ko'r. -,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54551,I'll probably be by tomorrow (or even later tonight if something's going on),en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54564,Rasmga tushib guruhga tashlab qo'yinglar,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54565,"Menga 2420,000 so'm tashlab tura olasanmi? tezroq",en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54571,Ishlar bilan charchamayapsizmi?,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54591,"Menga 1750,000 so'm tashlab tura olasanmi??",en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54594,"Menga 2010,000 so'm tashlab tura olasanmi? tezroq",en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54596,"Menga 3190,000 so'm tashlab tura olasanmi?.",en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54600,Bugun 14:30 da ko'rishamiz.,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54602,"Pulni kartaga tushirdim, 170 ming so'm",en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54603,"Menga 4400,000 so'm tashlab tura olasanmi??",en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54610,Telefonni ko'tar! :),en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54622,Gapingizga qo'shilaman,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54634,Xatni jo'natdingmi? OK,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54636,go'sht narxi qancha ekan hozir?...,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54646,Bugun 13:30 da ko'rishamiz. :),en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54651,"Iltimos, qayta qo'ng'iroq qiling....",en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54662,go'sht narxi qancha ekan hozir??,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54679,"Pulni kartaga tushirdim, 190 ming so'm",en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54700,"Menga 3980,000 so'm tashlab tura olasanmi??",en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54713,Bugun 15:45 da ko'rishamiz..,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54720,Bugun 9:00 da ko'rishamiz. tezroq,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54722,Bugun 15:30 da ko'rishamiz.!,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54731,"Menga 1750,000 so'm tashlab tura olasanmi?.",en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54751,Xatni pochtadan jo'natdim.,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54756,Bugun 8:45 da ko'rishamiz.?,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54764,"Menga 3280,000 so'm tashlab tura olasanmi? tezroq",en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54770,Uyga qaytayotganda go'sht olib kel. (,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54771,"Menga 2580,000 so'm tashlab tura olasanmi? :)",en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54776,"Menga 3700,000 so'm tashlab tura olasanmi? :)",en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54778,"Menga 2280,000 so'm tashlab tura olasanmi?!",en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54783,"Menga 4980,000 so'm tashlab tura olasanmi?!",en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54785,Uyga qaytayotganda go'sht olib kel.?,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54786,"Menga 3980,000 so'm tashlab tura olasanmi?.",en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54802,"Menga 1870,000 so'm tashlab tura olasanmi?",en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54809,Bugun 19:30 da ko'rishamiz.,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54810,"Menga 2030,000 so'm tashlab tura olasanmi?",en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54819,"Menga 150,000 so'm tashlab tura olasanmi?...",en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54823,Pulni tashlab yubordim tekshirib ko'r. :),en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54829,Kanaldagi yangiliklarni o'qidingizmi?,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54834,Xatni jo'natdingmi? ),en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54839,Bugun 20:00 da ko'rishamiz....,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54891,"Menga 1870,000 so'm tashlab tura olasanmi??",en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54895,"Menga 790,000 so'm tashlab tura olasanmi? :)",en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54905,"Menga 3340,000 so'm tashlab tura olasanmi?...",en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54906,Bugun 20:30 da ko'rishamiz....,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54914,"Menga 410,000 so'm tashlab tura olasanmi?.",en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54915,Bugun 8:00 da ko'rishamiz. tezroq,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54922,"Menga 4680,000 so'm tashlab tura olasanmi??",en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54925,Bugun 18:30 da ko'rishamiz.!,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54935,Bugun kechqurun da ko'rishamiz.!,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54940,"Menga 2860,000 so'm tashlab tura olasanmi?!",en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54956,Ishlar bilan charchamayapsizmi?.,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54976,Vazifani jo'natvor iltimos.!,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54993,Vazifani jo'natvor iltimos. ),en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
54995,"Menga 2630,000 so'm tashlab tura olasanmi?!",en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
55003,Bugun 18:15 da ko'rishamiz.,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
55020,"Menga 150,000 so'm tashlab tura olasanmi? :)",en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
55032,"Menga 2630,000 so'm tashlab tura olasanmi?...",en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
55036,Bugun 19:15 da ko'rishamiz....,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
55046,Bugun 11:15 da ko'rishamiz. tezroq,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
55055,"O'rtoq, qarzni qachon qaytarasan?",en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
55077,"Menga 4840,000 so'm tashlab tura olasanmi? tezroq",en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
55078,"Menga 3980,000 so'm tashlab tura olasanmi? :)",en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
55082,"Rahmat, yordam uchun",en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
55088,Yaxshimisiz? Sog'liqlar qalay? ?,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
55089,Bugun 11:30 da ko'rishamiz..,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
55094,Ishlar bilan charchamayapsizmi? :),en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
55098,"Menga 430,000 so'm tashlab tura olasanmi?",en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
55100,"Menga 3340,000 so'm tashlab tura olasanmi?",en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
55104,"Menga 2860,000 so'm tashlab tura olasanmi??",en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
55107,"Menga 180,000 so'm tashlab tura olasanmi?.",en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
55109,"Menga 180,000 so'm tashlab tura olasanmi??",en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
55114,Yes. They replied my mail. I'm going to the management office later. Plus will i,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
55117,"Menga 360,000 so'm tashlab tura olasanmi? :)",en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
55122,Rahmat sizga katta!,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
55127,Bugun 20:30 da ko'rishamiz.!,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
55130,"Menga 2280,000 so'm tashlab tura olasanmi?...",en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
55136,"Menga 4400,000 so'm tashlab tura olasanmi?",en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
55157,"Menga 4980,000 so'm tashlab tura olasanmi? :)",en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
55164,Bugun 16:45 da ko'rishamiz..,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
55172,"Menga 850,000 so'm tashlab tura olasanmi?...",en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
55178,"Menga 3230,000 so'm tashlab tura olasanmi?",en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
55187,Bugun 21:45 da ko'rishamiz.!,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
55202,"Menga 4400,000 so'm tashlab tura olasanmi?.",en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
55221,Pulni tashladim tekshirib ko'r.,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
55248,Bugun 20:15 da ko'rishamiz.,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
55249,Bugun 9:45 da ko'rishamiz..,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
55264,"Menga 4120,000 so'm tashlab tura olasanmi? tezroq",en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
55281,Bugun 13:30 da ko'rishamiz..,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
55296,Bugun 16:30 da ko'rishamiz. tezroq,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
55300,Yaxshimisiz? Sog'liqlar qalay?!!,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
55312,Ishlar bilan charchamayapsizmi?!,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
55318,"Menga 1000,000 so'm tashlab tura olasanmi? :)",en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
55322,Rahmat kattakon!.,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
55323,Bugun 11:15 da ko'rishamiz.!,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
55325,"Menga 2580,000 so'm tashlab tura olasanmi? tezroq",en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
55329,Bugun 17:30 da ko'rishamiz.,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
55344,"Menga 3190,000 so'm tashlab tura olasanmi? tezroq",en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
55346,"Menga 2360,000 so'm tashlab tura olasanmi? :)",en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
55352,Bugun 16:00 da ko'rishamiz.?,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
55363,Once a fishrman woke early in d mrng. It was very dark. He waited a while &amp; ,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
55374,Bugun 10:15 da ko'rishamiz.,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
55381,Sms keldiyoq o'qib javob yozing,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
55392,"Menga 3980,000 so'm tashlab tura olasanmi?!",en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
55412,Xatni pochtadan jo'natdim....,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
55413,"Ona, non bilan sut opkelaman",en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
55434,Bugun 9:30 da ko'rishamiz..,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
55452,"Menga 2950,000 so'm tashlab tura olasanmi?!",en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
55453,"Yo'q hali tushmadi, bank dasturi qotyapti",en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
55461,About  &lt;#&gt; bucks. The banks fees are fixed. Better to call the bank and fi,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
55467,Ishlar bilan charchamayapsizmi? ),en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
55470,Bugun 10:30 da ko'rishamiz. tezroq,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
55472,Bugun 11:00 da ko'rishamiz.?,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
55473,"Menga 4090,000 so'm tashlab tura olasanmi?.",en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
55476,Yaxshimisiz? Sog'liqlar qalay?.,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
55479,Bugun 14:00 da ko'rishamiz. :),en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
55482,"Menga 4840,000 so'm tashlab tura olasanmi?",en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
55492,Ishlar bilan charchamayapsizmi? 👍,en,uz,latin_uz_markers,master_semantic_dataset_v7.csv
