text,normalized_text,label_unified,language_fixed,language_confidence,source_dataset
Diqqat! Bank kartangiz xavfsizlik sababli vaqtincha bloklandi (Kod: 865). Tasdiqlash uchun havolaga kiring: bit.ly/karta-ochish?id=3,diqqat! bank kartangiz xavfsizlik sababli vaqtincha bloklandi (kod: 865). tasdiqlash uchun havolaga kiring: bit.ly/karta-ochish?id=3,DANGEROUS,uz,high,messages_cleaned_v3.csv
Diqqat! Bank kartangiz xavfsizlik sababli vaqtincha bloklandi (Kod: 811). Tasdiqlash uchun havolaga kiring: http://uzcard-block.uz?id=4,diqqat! bank kartangiz xavfsizlik sababli vaqtincha bloklandi (kod: 811). tasdiqlash uchun havolaga kiring: http://uzcard-block.uz?id=4,DANGEROUS,uz,high,messages_cleaned_v3.csv
Diqqat! Bank kartangiz xavfsizlik sababli vaqtincha bloklandi (Kod: 200). Tasdiqlash uchun havolaga kiring: http://uzcard-block.uz?id=5,diqqat! bank kartangiz xavfsizlik sababli vaqtincha bloklandi (kod: 200). tasdiqlash uchun havolaga kiring: http://uzcard-block.uz?id=5,DANGEROUS,uz,high,messages_cleaned_v3.csv
Diqqat! Bank kartangiz xavfsizlik sababli vaqtincha bloklandi (Kod: 751). Tasdiqlash uchun havolaga kiring: http://uzcard-block.uz?id=6,diqqat! bank kartangiz xavfsizlik sababli vaqtincha bloklandi (kod: 751). tasdiqlash uchun havolaga kiring: http://uzcard-block.uz?id=6,DANGEROUS,uz,high,messages_cleaned_v3.csv
Diqqat! Bank kartangiz xavfsizlik sababli vaqtincha bloklandi (Kod: 449). Tasdiqlash uchun havolaga kiring: http://uzcard-block.uz?id=7,diqqat! bank kartangiz xavfsizlik sababli vaqtincha bloklandi (kod: 449). tasdiqlash uchun havolaga kiring: http://uzcard-block.uz?id=7,DANGEROUS,uz,high,messages_cleaned_v3.csv
Diqqat! Bank kartangiz xavfsizlik sababli vaqtincha bloklandi (Kod: 765). Tasdiqlash uchun havolaga kiring: http://uzcard-block.uz?id=8,diqqat! bank kartangiz xavfsizlik sababli vaqtincha bloklandi (kod: 765). tasdiqlash uchun havolaga kiring: http://uzcard-block.uz?id=8,DANGEROUS,uz,high,messages_cleaned_v3.csv
Diqqat! Bank kartangiz xavfsizlik sababli vaqtincha bloklandi (Kod: 148). Tasdiqlash uchun havolaga kiring: bit.ly/karta-ochish?id=9,diqqat! bank kartangiz xavfsizlik sababli vaqtincha bloklandi (kod: 148). tasdiqlash uchun havolaga kiring: bit.ly/karta-ochish?id=9,DANGEROUS,uz,high,messages_cleaned_v3.csv
Diqqat! Bank kartangiz xavfsizlik sababli vaqtincha bloklandi (Kod: 590). Tasdiqlash uchun havolaga kiring: http://banck-uz.com?id=10,diqqat! bank kartangiz xavfsizlik sababli vaqtincha bloklandi (kod: 590). tasdiqlash uchun havolaga kiring: http://banck-uz.com?id=10,DANGEROUS,uz,high,messages_cleaned_v3.csv
Diqqat! Bank kartangiz xavfsizlik sababli vaqtincha bloklandi (Kod: 687). Tasdiqlash uchun havolaga kiring: http://banck-uz.com?id=11,diqqat! bank kartangiz xavfsizlik sababli vaqtincha bloklandi (kod: 687). tasdiqlash uchun havolaga kiring: http://banck-uz.com?id=11,DANGEROUS,uz,high,messages_cleaned_v3.csv
Diqqat! Bank kartangiz xavfsizlik sababli vaqtincha bloklandi (Kod: 354). Tasdiqlash uchun havolaga kiring: https://humo-unlock.com?id=12,diqqat! bank kartangiz xavfsizlik sababli vaqtincha bloklandi (kod: 354). tasdiqlash uchun havolaga kiring: https://humo-unlock.com?id=12,DANGEROUS,uz,high,messages_cleaned_v3.csv
Diqqat! Bank kartangiz xavfsizlik sababli vaqtincha bloklandi (Kod: 941). Tasdiqlash uchun havolaga kiring: http://banck-uz.com?id=13,diqqat! bank kartangiz xavfsizlik sababli vaqtincha bloklandi (kod: 941). tasdiqlash uchun havolaga kiring: http://banck-uz.com?id=13,DANGEROUS,uz,high,messages_cleaned_v3.csv
Diqqat! Bank kartangiz xavfsizlik sababli vaqtincha bloklandi (Kod: 218). Tasdiqlash uchun havolaga kiring: http://banck-uz.com?id=14,diqqat! bank kartangiz xavfsizlik sababli vaqtincha bloklandi (kod: 218). tasdiqlash uchun havolaga kiring: http://banck-uz.com?id=14,DANGEROUS,uz,high,messages_cleaned_v3.csv
Diqqat! Bank kartangiz xavfsizlik sababli vaqtincha bloklandi (Kod: 411). Tasdiqlash uchun havolaga kiring: http://banck-uz.com?id=15,diqqat! bank kartangiz xavfsizlik sababli vaqtincha bloklandi (kod: 411). tasdiqlash uchun havolaga kiring: http://banck-uz.com?id=15,DANGEROUS,uz,high,messages_cleaned_v3.csv
Diqqat! Bank kartangiz xavfsizlik sababli vaqtincha bloklandi (Kod: 259). Tasdiqlash uchun havolaga kiring: bit.ly/karta-ochish?id=16,diqqat! bank kartangiz xavfsizlik sababli vaqtincha bloklandi (kod: 259). tasdiqlash uchun havolaga kiring: bit.ly/karta-ochish?id=16,DANGEROUS,uz,high,messages_cleaned_v3.csv
Diqqat! Bank kartangiz xavfsizlik sababli vaqtincha bloklandi (Kod: 513). Tasdiqlash uchun havolaga kiring: bit.ly/karta-ochish?id=17,diqqat! bank kartangiz xavfsizlik sababli vaqtincha bloklandi (kod: 513). tasdiqlash uchun havolaga kiring: bit.ly/karta-ochish?id=17,DANGEROUS,uz,high,messages_cleaned_v3.csv
Diqqat! Bank kartangiz xavfsizlik sababli vaqtincha bloklandi (Kod: 241). Tasdiqlash uchun havolaga kiring: bit.ly/karta-ochish?id=18,diqqat! bank kartangiz xavfsizlik sababli vaqtincha bloklandi (kod: 241). tasdiqlash uchun havolaga kiring: bit.ly/karta-ochish?id=18,DANGEROUS,uz,high,messages_cleaned_v3.csv
Diqqat! Bank kartangiz xavfsizlik sababli vaqtincha bloklandi (Kod: 798). Tasdiqlash uchun havolaga kiring: https://humo-unlock.com?id=19,diqqat! bank kartangiz xavfsizlik sababli vaqtincha bloklandi (kod: 798). tasdiqlash uchun havolaga kiring: https://humo-unlock.com?id=19,DANGEROUS,uz,high,messages_cleaned_v3.csv
Diqqat! Bank kartangiz xavfsizlik sababli vaqtincha bloklandi (Kod: 469). Tasdiqlash uchun havolaga kiring: bit.ly/karta-ochish?id=20,diqqat! bank kartangiz xavfsizlik sababli vaqtincha bloklandi (kod: 469). tasdiqlash uchun havolaga kiring: bit.ly/karta-ochish?id=20,DANGEROUS,uz,high,messages_cleaned_v3.csv
Diqqat! Bank kartangiz xavfsizlik sababli vaqtincha bloklandi (Kod: 130). Tasdiqlash uchun havolaga kiring: http://uzcard-block.uz?id=21,diqqat! bank kartangiz xavfsizlik sababli vaqtincha bloklandi (kod: 130). tasdiqlash uchun havolaga kiring: http://uzcard-block.uz?id=21,DANGEROUS,uz,high,messages_cleaned_v3.csv
Diqqat! Bank kartangiz xavfsizlik sababli vaqtincha bloklandi (Kod: 192). Tasdiqlash uchun havolaga kiring: https://humo-unlock.com?id=22,diqqat! bank kartangiz xavfsizlik sababli vaqtincha bloklandi (kod: 192). tasdiqlash uchun havolaga kiring: https://humo-unlock.com?id=22,DANGEROUS,uz,high,messages_cleaned_v3.csv
Diqqat! Bank kartangiz xavfsizlik sababli vaqtincha bloklandi (Kod: 983). Tasdiqlash uchun havolaga kiring: https://humo-unlock.com?id=23,diqqat! bank kartangiz xavfsizlik sababli vaqtincha bloklandi (kod: 983). tasdiqlash uchun havolaga kiring: https://humo-unlock.com?id=23,DANGEROUS,uz,high,messages_cleaned_v3.csv
Diqqat! Bank kartangiz xavfsizlik sababli vaqtincha bloklandi (Kod: 862). Tasdiqlash uchun havolaga kiring: http://uzcard-block.uz?id=24,diqqat! bank kartangiz xavfsizlik sababli vaqtincha bloklandi (kod: 862). tasdiqlash uchun havolaga kiring: http://uzcard-block.uz?id=24,DANGEROUS,uz,high,messages_cleaned_v3.csv
Diqqat! Bank kartangiz xavfsizlik sababli vaqtincha bloklandi (Kod: 302). Tasdiqlash uchun havolaga kiring: https://humo-unlock.com?id=25,diqqat! bank kartangiz xavfsizlik sababli vaqtincha bloklandi (kod: 302). tasdiqlash uchun havolaga kiring: https://humo-unlock.com?id=25,DANGEROUS,uz,high,messages_cleaned_v3.csv
Diqqat! Bank kartangiz xavfsizlik sababli vaqtincha bloklandi (Kod: 787). Tasdiqlash uchun havolaga kiring: http://banck-uz.com?id=26,diqqat! bank kartangiz xavfsizlik sababli vaqtincha bloklandi (kod: 787). tasdiqlash uchun havolaga kiring: http://banck-uz.com?id=26,DANGEROUS,uz,high,messages_cleaned_v3.csv
Diqqat! Bank kartangiz xavfsizlik sababli vaqtincha bloklandi (Kod: 265). Tasdiqlash uchun havolaga kiring: http://uzcard-block.uz?id=27,diqqat! bank kartangiz xavfsizlik sababli vaqtincha bloklandi (kod: 265). tasdiqlash uchun havolaga kiring: http://uzcard-block.uz?id=27,DANGEROUS,uz,high,messages_cleaned_v3.csv
Diqqat! Bank kartangiz xavfsizlik sababli vaqtincha bloklandi (Kod: 672). Tasdiqlash uchun havolaga kiring: http://banck-uz.com?id=28,diqqat! bank kartangiz xavfsizlik sababli vaqtincha bloklandi (kod: 672). tasdiqlash uchun havolaga kiring: http://banck-uz.com?id=28,DANGEROUS,uz,high,messages_cleaned_v3.csv
Diqqat! Bank kartangiz xavfsizlik sababli vaqtincha bloklandi (Kod: 292). Tasdiqlash uchun havolaga kiring: http://uzcard-block.uz?id=29,diqqat! bank kartangiz xavfsizlik sababli vaqtincha bloklandi (kod: 292). tasdiqlash uchun havolaga kiring: http://uzcard-block.uz?id=29,DANGEROUS,uz,high,messages_cleaned_v3.csv
Diqqat! Bank kartangiz xavfsizlik sababli vaqtincha bloklandi (Kod: 529). Tasdiqlash uchun havolaga kiring: https://humo-unlock.com?id=30,diqqat! bank kartangiz xavfsizlik sababli vaqtincha bloklandi (kod: 529). tasdiqlash uchun havolaga kiring: https://humo-unlock.com?id=30,DANGEROUS,uz,high,messages_cleaned_v3.csv
Diqqat! Bank kartangiz xavfsizlik sababli vaqtincha bloklandi (Kod: 834). Tasdiqlash uchun havolaga kiring: http://uzcard-block.uz?id=31,diqqat! bank kartangiz xavfsizlik sababli vaqtincha bloklandi (kod: 834). tasdiqlash uchun havolaga kiring: http://uzcard-block.uz?id=31,DANGEROUS,uz,high,messages_cleaned_v3.csv
Diqqat! Bank kartangiz xavfsizlik sababli vaqtincha bloklandi (Kod: 710). Tasdiqlash uchun havolaga kiring: bit.ly/karta-ochish?id=32,diqqat! bank kartangiz xavfsizlik sababli vaqtincha bloklandi (kod: 710). tasdiqlash uchun havolaga kiring: bit.ly/karta-ochish?id=32,DANGEROUS,uz,high,messages_cleaned_v3.csv
Diqqat! Bank kartangiz xavfsizlik sababli vaqtincha bloklandi (Kod: 836). Tasdiqlash uchun havolaga kiring: http://banck-uz.com?id=33,diqqat! bank kartangiz xavfsizlik sababli vaqtincha bloklandi (kod: 836). tasdiqlash uchun havolaga kiring: http://banck-uz.com?id=33,DANGEROUS,uz,high,messages_cleaned_v3.csv
Diqqat! Bank kartangiz xavfsizlik sababli vaqtincha bloklandi (Kod: 726). Tasdiqlash uchun havolaga kiring: http://uzcard-block.uz?id=34,diqqat! bank kartangiz xavfsizlik sababli vaqtincha bloklandi (kod: 726). tasdiqlash uchun havolaga kiring: http://uzcard-block.uz?id=34,DANGEROUS,uz,high,messages_cleaned_v3.csv
Diqqat! Bank kartangiz xavfsizlik sababli vaqtincha bloklandi (Kod: 557). Tasdiqlash uchun havolaga kiring: http://banck-uz.com?id=35,diqqat! bank kartangiz xavfsizlik sababli vaqtincha bloklandi (kod: 557). tasdiqlash uchun havolaga kiring: http://banck-uz.com?id=35,DANGEROUS,uz,high,messages_cleaned_v3.csv
Diqqat! Bank kartangiz xavfsizlik sababli vaqtincha bloklandi (Kod: 840). Tasdiqlash uchun havolaga kiring: https://humo-unlock.com?id=36,diqqat! bank kartangiz xavfsizlik sababli vaqtincha bloklandi (kod: 840). tasdiqlash uchun havolaga kiring: https://humo-unlock.com?id=36,DANGEROUS,uz,high,messages_cleaned_v3.csv
Diqqat! Bank kartangiz xavfsizlik sababli vaqtincha bloklandi (Kod: 913). Tasdiqlash uchun havolaga kiring: bit.ly/karta-ochish?id=37,diqqat! bank kartangiz xavfsizlik sababli vaqtincha bloklandi (kod: 913). tasdiqlash uchun havolaga kiring: bit.ly/karta-ochish?id=37,DANGEROUS,uz,high,messages_cleaned_v3.csv
Diqqat! Bank kartangiz xavfsizlik sababli vaqtincha bloklandi (Kod: 619). Tasdiqlash uchun havolaga kiring: bit.ly/karta-ochish?id=38,diqqat! bank kartangiz xavfsizlik sababli vaqtincha bloklandi (kod: 619). tasdiqlash uchun havolaga kiring: bit.ly/karta-ochish?id=38,DANGEROUS,uz,high,messages_cleaned_v3.csv
Diqqat! Bank kartangiz xavfsizlik sababli vaqtincha bloklandi (Kod: 587). Tasdiqlash uchun havolaga kiring: http://uzcard-block.uz?id=39,diqqat! bank kartangiz xavfsizlik sababli vaqtincha bloklandi (kod: 587). tasdiqlash uchun havolaga kiring: http://uzcard-block.uz?id=39,DANGEROUS,uz,high,messages_cleaned_v3.csv
"Sizga 1,200,000 so'm davlat subsidiyasi ajratildi (Status: 2). Arizani tasdiqlash uchun kirish: bit.ly/yordam-pul/2","sizga 1,200,000 so'm davlat subsidiyasi ajratildi (status: 2). arizani tasdiqlash uchun kirish: bit.ly/yordam-pul/2",DANGEROUS,uz,high,messages_cleaned_v3.csv
"Sizga 1,200,000 so'm davlat subsidiyasi ajratildi (Status: 3). Arizani tasdiqlash uchun kirish: bit.ly/yordam-pul/3","sizga 1,200,000 so'm davlat subsidiyasi ajratildi (status: 3). arizani tasdiqlash uchun kirish: bit.ly/yordam-pul/3",DANGEROUS,uz,high,messages_cleaned_v3.csv
"Sizga 3,500,000 so'm davlat subsidiyasi ajratildi (Status: 4). Arizani tasdiqlash uchun kirish: bit.ly/yordam-pul/4","sizga 3,500,000 so'm davlat subsidiyasi ajratildi (status: 4). arizani tasdiqlash uchun kirish: bit.ly/yordam-pul/4",DANGEROUS,uz,high,messages_cleaned_v3.csv
"Sizga 3,500,000 so'm davlat subsidiyasi ajratildi (Status: 5). Arizani tasdiqlash uchun kirish: bit.ly/yordam-pul/5","sizga 3,500,000 so'm davlat subsidiyasi ajratildi (status: 5). arizani tasdiqlash uchun kirish: bit.ly/yordam-pul/5",DANGEROUS,uz,high,messages_cleaned_v3.csv
"Sizga 3,500,000 so'm davlat subsidiyasi ajratildi (Status: 6). Arizani tasdiqlash uchun kirish: bit.ly/yordam-pul/6","sizga 3,500,000 so'm davlat subsidiyasi ajratildi (status: 6). arizani tasdiqlash uchun kirish: bit.ly/yordam-pul/6",DANGEROUS,uz,high,messages_cleaned_v3.csv
"Sizga 1,200,000 so'm davlat subsidiyasi ajratildi (Status: 8). Arizani tasdiqlash uchun kirish: bit.ly/yordam-pul/8","sizga 1,200,000 so'm davlat subsidiyasi ajratildi (status: 8). arizani tasdiqlash uchun kirish: bit.ly/yordam-pul/8",DANGEROUS,uz,high,messages_cleaned_v3.csv
Hisobingizdan 50000 so'm yechib olindi (Kod: 898). Agar bu siz bo'lmasangiz darhol tasdiqlang: bit.ly/refund-uz/0,hisobingizdan 50000 so'm yechib olindi (kod: 898). agar bu siz bo'lmasangiz darhol tasdiqlang: bit.ly/refund-uz/0,DANGEROUS,uz,high,messages_cleaned_v4.csv
Hisobingizdan 980000 so'm yechib olindi (Kod: 117). Agar bu siz bo'lmasangiz darhol tasdiqlang: bit.ly/refund-uz/1,hisobingizdan 980000 so'm yechib olindi (kod: 117). agar bu siz bo'lmasangiz darhol tasdiqlang: bit.ly/refund-uz/1,DANGEROUS,uz,high,messages_cleaned_v4.csv
Hisobingizdan 50000 so'm yechib olindi (Kod: 537). Agar bu siz bo'lmasangiz darhol tasdiqlang: http://bekor-uz.com/2,hisobingizdan 50000 so'm yechib olindi (kod: 537). agar bu siz bo'lmasangiz darhol tasdiqlang: http://bekor-uz.com/2,DANGEROUS,uz,high,messages_cleaned_v4.csv
Hisobingizdan 980000 so'm yechib olindi (Kod: 833). Agar bu siz bo'lmasangiz darhol tasdiqlang: http://bekor-uz.com/3,hisobingizdan 980000 so'm yechib olindi (kod: 833). agar bu siz bo'lmasangiz darhol tasdiqlang: http://bekor-uz.com/3,DANGEROUS,uz,high,messages_cleaned_v4.csv
Hisobingizdan 420000 so'm yechib olindi (Kod: 578). Agar bu siz bo'lmasangiz darhol tasdiqlang: https://uz-bank-cancel.com/verify/4,hisobingizdan 420000 so'm yechib olindi (kod: 578). agar bu siz bo'lmasangiz darhol tasdiqlang: https://uz-bank-cancel.com/verify/4,DANGEROUS,uz,high,messages_cleaned_v4.csv
Hisobingizdan 1500000 so'm yechib olindi (Kod: 228). Agar bu siz bo'lmasangiz darhol tasdiqlang: bit.ly/refund-uz/5,hisobingizdan 1500000 so'm yechib olindi (kod: 228). agar bu siz bo'lmasangiz darhol tasdiqlang: bit.ly/refund-uz/5,DANGEROUS,uz,high,messages_cleaned_v4.csv
Hisobingizdan 3200000 so'm yechib olindi (Kod: 904). Agar bu siz bo'lmasangiz darhol tasdiqlang: http://bekor-uz.com/6,hisobingizdan 3200000 so'm yechib olindi (kod: 904). agar bu siz bo'lmasangiz darhol tasdiqlang: http://bekor-uz.com/6,DANGEROUS,uz,high,messages_cleaned_v4.csv
Hisobingizdan 1500000 so'm yechib olindi (Kod: 280). Agar bu siz bo'lmasangiz darhol tasdiqlang: bit.ly/refund-uz/7,hisobingizdan 1500000 so'm yechib olindi (kod: 280). agar bu siz bo'lmasangiz darhol tasdiqlang: bit.ly/refund-uz/7,DANGEROUS,uz,high,messages_cleaned_v4.csv
Hisobingizdan 980000 so'm yechib olindi (Kod: 312). Agar bu siz bo'lmasangiz darhol tasdiqlang: http://bekor-uz.com/8,hisobingizdan 980000 so'm yechib olindi (kod: 312). agar bu siz bo'lmasangiz darhol tasdiqlang: http://bekor-uz.com/8,DANGEROUS,uz,high,messages_cleaned_v4.csv
Hisobingizdan 420000 so'm yechib olindi (Kod: 789). Agar bu siz bo'lmasangiz darhol tasdiqlang: https://uz-bank-cancel.com/verify/9,hisobingizdan 420000 so'm yechib olindi (kod: 789). agar bu siz bo'lmasangiz darhol tasdiqlang: https://uz-bank-cancel.com/verify/9,DANGEROUS,uz,high,messages_cleaned_v4.csv
Hisobingizdan 1500000 so'm yechib olindi (Kod: 690). Agar bu siz bo'lmasangiz darhol tasdiqlang: https://uz-bank-cancel.com/verify/10,hisobingizdan 1500000 so'm yechib olindi (kod: 690). agar bu siz bo'lmasangiz darhol tasdiqlang: https://uz-bank-cancel.com/verify/10,DANGEROUS,uz,high,messages_cleaned_v4.csv
Hisobingizdan 420000 so'm yechib olindi (Kod: 520). Agar bu siz bo'lmasangiz darhol tasdiqlang: https://uz-bank-cancel.com/verify/11,hisobingizdan 420000 so'm yechib olindi (kod: 520). agar bu siz bo'lmasangiz darhol tasdiqlang: https://uz-bank-cancel.com/verify/11,DANGEROUS,uz,high,messages_cleaned_v4.csv
Hisobingizdan 420000 so'm yechib olindi (Kod: 667). Agar bu siz bo'lmasangiz darhol tasdiqlang: https://uz-bank-cancel.com/verify/12,hisobingizdan 420000 so'm yechib olindi (kod: 667). agar bu siz bo'lmasangiz darhol tasdiqlang: https://uz-bank-cancel.com/verify/12,DANGEROUS,uz,high,messages_cleaned_v4.csv
