text,language_orig,source_dataset,original_label,normalized_text,source_lang_dataset,label_unified,language_detected,language_fixed,language_confidence,is_maj,lp,cp
Pul o'tkazib yubordim,en,master_semantic_dataset_v7.csv,SAFE|UNKNOWN,pul o'tkazib yubordim,en,SAFE,uz,uz,low,True,1,3
Hammasi bepul! Siz hech narsa yo'qotmaysiz. Ssilkaga kiring va ko'ring!,en,master_semantic_dataset_v7.csv,SUSPICIOUS|UNKNOWN,hammasi bepul! siz hech narsa yo'qotmaysiz. ssilkaga kiring va ko'ring!,en,SUSPICIOUS,uz,uz,low,True,1,3
TikTok da like bosish orqali pul ishlash. Kuniga 300 ming so'm! Menejerga yozing,en,master_semantic_dataset_v7.csv,SUSPICIOUS|UNKNOWN,tiktok da like bosish orqali pul ishlash. kuniga 300 ming so'm! menejerga yozing,en,SUSPICIOUS,uz,uz,low,True,1,3
Siz Premium obuna yutib oldingiz! Ko'rish uchun kiring,en,master_semantic_dataset_v7.csv,SUSPICIOUS|UNKNOWN,siz premium obuna yutib oldingiz! ko'rish uchun kiring,en,SUSPICIOUS,uz,uz,low,True,1,3
Tik-Tok prosmotr uchun pul beriladi. Yozing,en,master_semantic_dataset_v7.csv,SUSPICIOUS|UNKNOWN,tik-tok prosmotr uchun pul beriladi. yozing,en,SUSPICIOUS,uz,uz,low,True,1,3
Siz 1000$ dollar grant golibisiz. Shaxsiyga o'ting,en,master_semantic_dataset_v7.csv,SUSPICIOUS|UNKNOWN,siz 1000$ dollar grant golibisiz. shaxsiyga o'ting,en,SUSPICIOUS,uz,uz,low,True,1,3
Men harbiyman Amerikadan. Pul jo'natmoqchiman qabul qil,en,master_semantic_dataset_v7.csv,SUSPICIOUS|UNKNOWN,men harbiyman amerikadan. pul jo'natmoqchiman qabul qil,en,SUSPICIOUS,uz,uz,low,True,1,3
"Sizga 1870,000 so'm pul o'tkazmasi keldi. Qabul qilish uchun linkni bosing: http://18plus-video.apk/q=1371572",en,master_semantic_dataset_v7.csv,SUSPICIOUS|UNKNOWN,"sizga 1870,000 so'm pul o'tkazmasi keldi. qabul qilish uchun linkni bosing: http://18plus-video.apk/q=1371572",en,SUSPICIOUS,uz,uz,low,True,1,3
"Tabriklaymiz siz 900,000 so'm yutib oldingiz. Pulni olish uchun havolaga kiring: https://t.me/premium_uz_bot?ref=4417709",en,master_semantic_dataset_v7.csv,SUSPICIOUS|UNKNOWN,"tabriklaymiz siz 900,000 so'm yutib oldingiz. pulni olish uchun havolaga kiring: https://t.me/premium_uz_bot?ref=4417709",en,SUSPICIOUS,uz,uz,low,True,1,3
"Sizga 410,000 so'm pul o'tkazmasi keldi. Qabul qilish uchun linkni bosing: https://click-auth.uz/code=610107",en,master_semantic_dataset_v7.csv,SUSPICIOUS|UNKNOWN,"sizga 410,000 so'm pul o'tkazmasi keldi. qabul qilish uchun linkni bosing: https://click-auth.uz/code=610107",en,SUSPICIOUS,uz,uz,low,True,1,3
"Sizga 2420,000 so'm pul o'tkazmasi keldi. Qabul qilish uchun linkni bosing: https://click-auth.uz/code=9991399",en,master_semantic_dataset_v7.csv,SUSPICIOUS|UNKNOWN,"sizga 2420,000 so'm pul o'tkazmasi keldi. qabul qilish uchun linkni bosing: https://click-auth.uz/code=9991399",en,SUSPICIOUS,uz,uz,low,True,1,3
"Sizga 2400,000 so'm pul o'tkazmasi keldi. Qabul qilish uchun linkni bosing: https://click-auth.uz/code=2327947",en,master_semantic_dataset_v7.csv,SUSPICIOUS|UNKNOWN,"sizga 2400,000 so'm pul o'tkazmasi keldi. qabul qilish uchun linkni bosing: https://click-auth.uz/code=2327947",en,SUSPICIOUS,uz,uz,low,True,1,3
"Tabriklaymiz siz 2360,000 so'm yutib oldingiz. Pulni olish uchun havolaga kiring: https://t.me/premium_uz_bot?ref=2161237",en,master_semantic_dataset_v7.csv,SUSPICIOUS|UNKNOWN,"tabriklaymiz siz 2360,000 so'm yutib oldingiz. pulni olish uchun havolaga kiring: https://t.me/premium_uz_bot?ref=2161237",en,SUSPICIOUS,uz,uz,low,True,1,3
"Sizga 2860,000 so'm pul o'tkazmasi keldi. Qabul qilish uchun linkni bosing: http://bit.ly/uz-4999945",en,master_semantic_dataset_v7.csv,SUSPICIOUS|UNKNOWN,"sizga 2860,000 so'm pul o'tkazmasi keldi. qabul qilish uchun linkni bosing: http://bit.ly/uz-4999945",en,SUSPICIOUS,uz,uz,low,True,1,3
"Sizga 790,000 so'm pul o'tkazmasi keldi. Qabul qilish uchun linkni bosing: https://uz-yutuq.com/p=8996181",en,master_semantic_dataset_v7.csv,SUSPICIOUS|UNKNOWN,"sizga 790,000 so'm pul o'tkazmasi keldi. qabul qilish uchun linkni bosing: https://uz-yutuq.com/p=8996181",en,SUSPICIOUS,uz,uz,low,True,1,3
"Tabriklaymiz siz 4120,000 so'm yutib oldingiz. Pulni olish uchun havolaga kiring: https://uz-yutuq.com/p=7426371",en,master_semantic_dataset_v7.csv,SUSPICIOUS|UNKNOWN,"tabriklaymiz siz 4120,000 so'm yutib oldingiz. pulni olish uchun havolaga kiring: https://uz-yutuq.com/p=7426371",en,SUSPICIOUS,uz,uz,low,True,1,3
"Sizga 4840,000 so'm pul o'tkazmasi keldi. Qabul qilish uchun linkni bosing: http://pochta-uz.com/track=4157631",en,master_semantic_dataset_v7.csv,SUSPICIOUS|UNKNOWN,"sizga 4840,000 so'm pul o'tkazmasi keldi. qabul qilish uchun linkni bosing: http://pochta-uz.com/track=4157631",en,SUSPICIOUS,uz,uz,low,True,1,3
"Sizga 2420,000 so'm pul o'tkazmasi keldi. Qabul qilish uchun linkni bosing: http://bit.ly/uz-112790",en,master_semantic_dataset_v7.csv,SUSPICIOUS|UNKNOWN,"sizga 2420,000 so'm pul o'tkazmasi keldi. qabul qilish uchun linkni bosing: http://bit.ly/uz-112790",en,SUSPICIOUS,uz,uz,low,True,1,3
"Tabriklaymiz siz 2420,000 so'm yutib oldingiz. Pulni olish uchun havolaga kiring: http://bit.ly/uz-7036423",en,master_semantic_dataset_v7.csv,SUSPICIOUS|UNKNOWN,"tabriklaymiz siz 2420,000 so'm yutib oldingiz. pulni olish uchun havolaga kiring: http://bit.ly/uz-7036423",en,SUSPICIOUS,uz,uz,low,True,1,3
"Sizga 1750,000 so'm pul o'tkazmasi keldi. Qabul qilish uchun linkni bosing: https://click-auth.uz/code=7948926",en,master_semantic_dataset_v7.csv,SUSPICIOUS|UNKNOWN,"sizga 1750,000 so'm pul o'tkazmasi keldi. qabul qilish uchun linkni bosing: https://click-auth.uz/code=7948926",en,SUSPICIOUS,uz,uz,low,True,1,3
"Sizga 2630,000 so'm pul o'tkazmasi keldi. Qabul qilish uchun linkni bosing: http://bonus-uz.com/id/4897443",en,master_semantic_dataset_v7.csv,SUSPICIOUS|UNKNOWN,"sizga 2630,000 so'm pul o'tkazmasi keldi. qabul qilish uchun linkni bosing: http://bonus-uz.com/id/4897443",en,SUSPICIOUS,uz,uz,low,True,1,3
"Tabriklaymiz siz 2030,000 so'm yutib oldingiz. Pulni olish uchun havolaga kiring: https://click-auth.uz/code=713775",en,master_semantic_dataset_v7.csv,SUSPICIOUS|UNKNOWN,"tabriklaymiz siz 2030,000 so'm yutib oldingiz. pulni olish uchun havolaga kiring: https://click-auth.uz/code=713775",en,SUSPICIOUS,uz,uz,low,True,1,3
"Sizga 1750,000 so'm pul o'tkazmasi keldi. Qabul qilish uchun linkni bosing: https://click-auth.uz/code=2543789",en,master_semantic_dataset_v7.csv,SUSPICIOUS|UNKNOWN,"sizga 1750,000 so'm pul o'tkazmasi keldi. qabul qilish uchun linkni bosing: https://click-auth.uz/code=2543789",en,SUSPICIOUS,uz,uz,low,True,1,3
"Tabriklaymiz siz 2420,000 so'm yutib oldingiz. Pulni olish uchun havolaga kiring: https://uz-yutuq.com/p=889519",en,master_semantic_dataset_v7.csv,SUSPICIOUS|UNKNOWN,"tabriklaymiz siz 2420,000 so'm yutib oldingiz. pulni olish uchun havolaga kiring: https://uz-yutuq.com/p=889519",en,SUSPICIOUS,uz,uz,low,True,1,3
"Tabriklaymiz siz 3490,000 so'm yutib oldingiz. Pulni olish uchun havolaga kiring: http://pochta-uz.com/track=454859",en,master_semantic_dataset_v7.csv,SUSPICIOUS|UNKNOWN,"tabriklaymiz siz 3490,000 so'm yutib oldingiz. pulni olish uchun havolaga kiring: http://pochta-uz.com/track=454859",en,SUSPICIOUS,uz,uz,low,True,1,3
"Tabriklaymiz siz 1650,000 so'm yutib oldingiz. Pulni olish uchun havolaga kiring: http://18plus-video.apk/q=8789403",en,master_semantic_dataset_v7.csv,SUSPICIOUS|UNKNOWN,"tabriklaymiz siz 1650,000 so'm yutib oldingiz. pulni olish uchun havolaga kiring: http://18plus-video.apk/q=8789403",en,SUSPICIOUS,uz,uz,low,True,1,3
"Tabriklaymiz siz 1750,000 so'm yutib oldingiz. Pulni olish uchun havolaga kiring: http://18plus-video.apk/q=143675",en,master_semantic_dataset_v7.csv,SUSPICIOUS|UNKNOWN,"tabriklaymiz siz 1750,000 so'm yutib oldingiz. pulni olish uchun havolaga kiring: http://18plus-video.apk/q=143675",en,SUSPICIOUS,uz,uz,low,True,1,3
"Sizga 3540,000 so'm pul o'tkazmasi keldi. Qabul qilish uchun linkni bosing: http://18plus-video.apk/q=4096204",en,master_semantic_dataset_v7.csv,SUSPICIOUS|UNKNOWN,"sizga 3540,000 so'm pul o'tkazmasi keldi. qabul qilish uchun linkni bosing: http://18plus-video.apk/q=4096204",en,SUSPICIOUS,uz,uz,low,True,1,3
"Sizga 150,000 so'm pul o'tkazmasi keldi. Qabul qilish uchun linkni bosing: http://18plus-video.apk/q=9164860",en,master_semantic_dataset_v7.csv,SUSPICIOUS|UNKNOWN,"sizga 150,000 so'm pul o'tkazmasi keldi. qabul qilish uchun linkni bosing: http://18plus-video.apk/q=9164860",en,SUSPICIOUS,uz,uz,low,True,1,3
"Tabriklaymiz siz 2400,000 so'm yutib oldingiz. Pulni olish uchun havolaga kiring: http://18plus-video.apk/q=9269072",en,master_semantic_dataset_v7.csv,SUSPICIOUS|UNKNOWN,"tabriklaymiz siz 2400,000 so'm yutib oldingiz. pulni olish uchun havolaga kiring: http://18plus-video.apk/q=9269072",en,SUSPICIOUS,uz,uz,low,True,1,3
"Sizga 1650,000 so'm pul o'tkazmasi keldi. Qabul qilish uchun linkni bosing: https://uz-yutuq.com/p=8231218",en,master_semantic_dataset_v7.csv,SUSPICIOUS|UNKNOWN,"sizga 1650,000 so'm pul o'tkazmasi keldi. qabul qilish uchun linkni bosing: https://uz-yutuq.com/p=8231218",en,SUSPICIOUS,uz,uz,low,True,1,3
"Sizga 1920,000 so'm pul o'tkazmasi keldi. Qabul qilish uchun linkni bosing: http://pochta-uz.com/track=6824777",en,master_semantic_dataset_v7.csv,SUSPICIOUS|UNKNOWN,"sizga 1920,000 so'm pul o'tkazmasi keldi. qabul qilish uchun linkni bosing: http://pochta-uz.com/track=6824777",en,SUSPICIOUS,uz,uz,low,True,1,3
"Sizga 4840,000 so'm pul o'tkazmasi keldi. Qabul qilish uchun linkni bosing: http://18plus-video.apk/q=9210261",en,master_semantic_dataset_v7.csv,SUSPICIOUS|UNKNOWN,"sizga 4840,000 so'm pul o'tkazmasi keldi. qabul qilish uchun linkni bosing: http://18plus-video.apk/q=9210261",en,SUSPICIOUS,uz,uz,low,True,1,3
"Tabriklaymiz siz 2420,000 so'm yutib oldingiz. Pulni olish uchun havolaga kiring: http://pochta-uz.com/track=9687174",en,master_semantic_dataset_v7.csv,SUSPICIOUS|UNKNOWN,"tabriklaymiz siz 2420,000 so'm yutib oldingiz. pulni olish uchun havolaga kiring: http://pochta-uz.com/track=9687174",en,SUSPICIOUS,uz,uz,low,True,1,3
"Sizga 2990,000 so'm pul o'tkazmasi keldi. Qabul qilish uchun linkni bosing: http://pochta-uz.com/track=4180656",en,master_semantic_dataset_v7.csv,SUSPICIOUS|UNKNOWN,"sizga 2990,000 so'm pul o'tkazmasi keldi. qabul qilish uchun linkni bosing: http://pochta-uz.com/track=4180656",en,SUSPICIOUS,uz,uz,low,True,1,3
"Sizga 150,000 so'm pul o'tkazmasi keldi. Qabul qilish uchun linkni bosing: http://bit.ly/uz-9755517",en,master_semantic_dataset_v7.csv,SUSPICIOUS|UNKNOWN,"sizga 150,000 so'm pul o'tkazmasi keldi. qabul qilish uchun linkni bosing: http://bit.ly/uz-9755517",en,SUSPICIOUS,uz,uz,low,True,1,3
"Sizga 2400,000 so'm pul o'tkazmasi keldi. Qabul qilish uchun linkni bosing: https://uz-yutuq.com/p=7568116",en,master_semantic_dataset_v7.csv,SUSPICIOUS|UNKNOWN,"sizga 2400,000 so'm pul o'tkazmasi keldi. qabul qilish uchun linkni bosing: https://uz-yutuq.com/p=7568116",en,SUSPICIOUS,uz,uz,low,True,1,3
"Tabriklaymiz siz 1000,000 so'm yutib oldingiz. Pulni olish uchun havolaga kiring: https://click-auth.uz/code=4037810",en,master_semantic_dataset_v7.csv,SUSPICIOUS|UNKNOWN,"tabriklaymiz siz 1000,000 so'm yutib oldingiz. pulni olish uchun havolaga kiring: https://click-auth.uz/code=4037810",en,SUSPICIOUS,uz,uz,low,True,1,3
"Tabriklaymiz siz 3490,000 so'm yutib oldingiz. Pulni olish uchun havolaga kiring: http://18plus-video.apk/q=8350662",en,master_semantic_dataset_v7.csv,SUSPICIOUS|UNKNOWN,"tabriklaymiz siz 3490,000 so'm yutib oldingiz. pulni olish uchun havolaga kiring: http://18plus-video.apk/q=8350662",en,SUSPICIOUS,uz,uz,low,True,1,3
"Sizga 3140,000 so'm pul o'tkazmasi keldi. Qabul qilish uchun linkni bosing: http://pochta-uz.com/track=1356246",en,master_semantic_dataset_v7.csv,SUSPICIOUS|UNKNOWN,"sizga 3140,000 so'm pul o'tkazmasi keldi. qabul qilish uchun linkni bosing: http://pochta-uz.com/track=1356246",en,SUSPICIOUS,uz,uz,low,True,1,3
"Sizga 3770,000 so'm pul o'tkazmasi keldi. Qabul qilish uchun linkni bosing: http://bit.ly/uz-3079627",en,master_semantic_dataset_v7.csv,SUSPICIOUS|UNKNOWN,"sizga 3770,000 so'm pul o'tkazmasi keldi. qabul qilish uchun linkni bosing: http://bit.ly/uz-3079627",en,SUSPICIOUS,uz,uz,low,True,1,3
"Tabriklaymiz siz 3700,000 so'm yutib oldingiz. Pulni olish uchun havolaga kiring: https://t.me/premium_uz_bot?ref=1098728",en,master_semantic_dataset_v7.csv,SUSPICIOUS|UNKNOWN,"tabriklaymiz siz 3700,000 so'm yutib oldingiz. pulni olish uchun havolaga kiring: https://t.me/premium_uz_bot?ref=1098728",en,SUSPICIOUS,uz,uz,low,True,1,3
"Tabriklaymiz siz 2950,000 so'm yutib oldingiz. Pulni olish uchun havolaga kiring: https://uz-yutuq.com/p=4677346",en,master_semantic_dataset_v7.csv,SUSPICIOUS|UNKNOWN,"tabriklaymiz siz 2950,000 so'm yutib oldingiz. pulni olish uchun havolaga kiring: https://uz-yutuq.com/p=4677346",en,SUSPICIOUS,uz,uz,low,True,1,3
"Sizga 150,000 so'm pul o'tkazmasi keldi. Qabul qilish uchun linkni bosing: https://uz-yutuq.com/p=3650105",en,master_semantic_dataset_v7.csv,SUSPICIOUS|UNKNOWN,"sizga 150,000 so'm pul o'tkazmasi keldi. qabul qilish uchun linkni bosing: https://uz-yutuq.com/p=3650105",en,SUSPICIOUS,uz,uz,low,True,1,3
"Sizga 1000,000 so'm pul o'tkazmasi keldi. Qabul qilish uchun linkni bosing: https://click-auth.uz/code=5486599",en,master_semantic_dataset_v7.csv,SUSPICIOUS|UNKNOWN,"sizga 1000,000 so'm pul o'tkazmasi keldi. qabul qilish uchun linkni bosing: https://click-auth.uz/code=5486599",en,SUSPICIOUS,uz,uz,low,True,1,3
"Sizga 1920,000 so'm pul o'tkazmasi keldi. Qabul qilish uchun linkni bosing: http://bonus-uz.com/id/3675421",en,master_semantic_dataset_v7.csv,SUSPICIOUS|UNKNOWN,"sizga 1920,000 so'm pul o'tkazmasi keldi. qabul qilish uchun linkni bosing: http://bonus-uz.com/id/3675421",en,SUSPICIOUS,uz,uz,low,True,1,3
"Tabriklaymiz siz 1000,000 so'm yutib oldingiz. Pulni olish uchun havolaga kiring: https://click-auth.uz/code=5973806",en,master_semantic_dataset_v7.csv,SUSPICIOUS|UNKNOWN,"tabriklaymiz siz 1000,000 so'm yutib oldingiz. pulni olish uchun havolaga kiring: https://click-auth.uz/code=5973806",en,SUSPICIOUS,uz,uz,low,True,1,3
"Sizga 4200,000 so'm pul o'tkazmasi keldi. Qabul qilish uchun linkni bosing: http://bonus-uz.com/id/2266666",en,master_semantic_dataset_v7.csv,SUSPICIOUS|UNKNOWN,"sizga 4200,000 so'm pul o'tkazmasi keldi. qabul qilish uchun linkni bosing: http://bonus-uz.com/id/2266666",en,SUSPICIOUS,uz,uz,low,True,1,3
"Tabriklaymiz siz 180,000 so'm yutib oldingiz. Pulni olish uchun havolaga kiring: http://bonus-uz.com/id/1688654",en,master_semantic_dataset_v7.csv,SUSPICIOUS|UNKNOWN,"tabriklaymiz siz 180,000 so'm yutib oldingiz. pulni olish uchun havolaga kiring: http://bonus-uz.com/id/1688654",en,SUSPICIOUS,uz,uz,low,True,1,3
"Tabriklaymiz siz 4420,000 so'm yutib oldingiz. Pulni olish uchun havolaga kiring: http://bonus-uz.com/id/6284334",en,master_semantic_dataset_v7.csv,SUSPICIOUS|UNKNOWN,"tabriklaymiz siz 4420,000 so'm yutib oldingiz. pulni olish uchun havolaga kiring: http://bonus-uz.com/id/6284334",en,SUSPICIOUS,uz,uz,low,True,1,3
"Tabriklaymiz siz 3140,000 so'm yutib oldingiz. Pulni olish uchun havolaga kiring: http://18plus-video.apk/q=3154368",en,master_semantic_dataset_v7.csv,SUSPICIOUS|UNKNOWN,"tabriklaymiz siz 3140,000 so'm yutib oldingiz. pulni olish uchun havolaga kiring: http://18plus-video.apk/q=3154368",en,SUSPICIOUS,uz,uz,low,True,1,3
"Tabriklaymiz siz 3230,000 so'm yutib oldingiz. Pulni olish uchun havolaga kiring: http://18plus-video.apk/q=118916",en,master_semantic_dataset_v7.csv,SUSPICIOUS|UNKNOWN,"tabriklaymiz siz 3230,000 so'm yutib oldingiz. pulni olish uchun havolaga kiring: http://18plus-video.apk/q=118916",en,SUSPICIOUS,uz,uz,low,True,1,3
"Sizga 180,000 so'm pul o'tkazmasi keldi. Qabul qilish uchun linkni bosing: https://t.me/premium_uz_bot?ref=6864625",en,master_semantic_dataset_v7.csv,SUSPICIOUS|UNKNOWN,"sizga 180,000 so'm pul o'tkazmasi keldi. qabul qilish uchun linkni bosing: https://t.me/premium_uz_bot?ref=6864625",en,SUSPICIOUS,uz,uz,low,True,1,3
"Sizga 4420,000 so'm pul o'tkazmasi keldi. Qabul qilish uchun linkni bosing: http://pochta-uz.com/track=8264235",en,master_semantic_dataset_v7.csv,SUSPICIOUS|UNKNOWN,"sizga 4420,000 so'm pul o'tkazmasi keldi. qabul qilish uchun linkni bosing: http://pochta-uz.com/track=8264235",en,SUSPICIOUS,uz,uz,low,True,1,3
"Sizga 850,000 so'm pul o'tkazmasi keldi. Qabul qilish uchun linkni bosing: http://18plus-video.apk/q=6978011",en,master_semantic_dataset_v7.csv,SUSPICIOUS|UNKNOWN,"sizga 850,000 so'm pul o'tkazmasi keldi. qabul qilish uchun linkni bosing: http://18plus-video.apk/q=6978011",en,SUSPICIOUS,uz,uz,low,True,1,3
"Tabriklaymiz siz 430,000 so'm yutib oldingiz. Pulni olish uchun havolaga kiring: https://t.me/premium_uz_bot?ref=5780370",en,master_semantic_dataset_v7.csv,SUSPICIOUS|UNKNOWN,"tabriklaymiz siz 430,000 so'm yutib oldingiz. pulni olish uchun havolaga kiring: https://t.me/premium_uz_bot?ref=5780370",en,SUSPICIOUS,uz,uz,low,True,1,3
"Tabriklaymiz siz 900,000 so'm yutib oldingiz. Pulni olish uchun havolaga kiring: https://uz-yutuq.com/p=7579076",en,master_semantic_dataset_v7.csv,SUSPICIOUS|UNKNOWN,"tabriklaymiz siz 900,000 so'm yutib oldingiz. pulni olish uchun havolaga kiring: https://uz-yutuq.com/p=7579076",en,SUSPICIOUS,uz,uz,low,True,1,3
"Tabriklaymiz siz 2450,000 so'm yutib oldingiz. Pulni olish uchun havolaga kiring: https://click-auth.uz/code=4795634",en,master_semantic_dataset_v7.csv,SUSPICIOUS|UNKNOWN,"tabriklaymiz siz 2450,000 so'm yutib oldingiz. pulni olish uchun havolaga kiring: https://click-auth.uz/code=4795634",en,SUSPICIOUS,uz,uz,low,True,1,3
"Sizga 150,000 so'm pul o'tkazmasi keldi. Qabul qilish uchun linkni bosing: https://uz-yutuq.com/p=7604753",en,master_semantic_dataset_v7.csv,SUSPICIOUS|UNKNOWN,"sizga 150,000 so'm pul o'tkazmasi keldi. qabul qilish uchun linkni bosing: https://uz-yutuq.com/p=7604753",en,SUSPICIOUS,uz,uz,low,True,1,3
"Sizga 2860,000 so'm pul o'tkazmasi keldi. Qabul qilish uchun linkni bosing: http://bit.ly/uz-361762",en,master_semantic_dataset_v7.csv,SUSPICIOUS|UNKNOWN,"sizga 2860,000 so'm pul o'tkazmasi keldi. qabul qilish uchun linkni bosing: http://bit.ly/uz-361762",en,SUSPICIOUS,uz,uz,low,True,1,3
"Sizga 150,000 so'm pul o'tkazmasi keldi. Qabul qilish uchun linkni bosing: http://18plus-video.apk/q=8949657",en,master_semantic_dataset_v7.csv,SUSPICIOUS|UNKNOWN,"sizga 150,000 so'm pul o'tkazmasi keldi. qabul qilish uchun linkni bosing: http://18plus-video.apk/q=8949657",en,SUSPICIOUS,uz,uz,low,True,1,3
"Tabriklaymiz siz 2030,000 so'm yutib oldingiz. Pulni olish uchun havolaga kiring: http://bit.ly/uz-4207860",en,master_semantic_dataset_v7.csv,SUSPICIOUS|UNKNOWN,"tabriklaymiz siz 2030,000 so'm yutib oldingiz. pulni olish uchun havolaga kiring: http://bit.ly/uz-4207860",en,SUSPICIOUS,uz,uz,low,True,1,3
"Sizga 3700,000 so'm pul o'tkazmasi keldi. Qabul qilish uchun linkni bosing: http://pochta-uz.com/track=6149150",en,master_semantic_dataset_v7.csv,SUSPICIOUS|UNKNOWN,"sizga 3700,000 so'm pul o'tkazmasi keldi. qabul qilish uchun linkni bosing: http://pochta-uz.com/track=6149150",en,SUSPICIOUS,uz,uz,low,True,1,3
"Tabriklaymiz siz 2420,000 so'm yutib oldingiz. Pulni olish uchun havolaga kiring: http://bonus-uz.com/id/3557780",en,master_semantic_dataset_v7.csv,SUSPICIOUS|UNKNOWN,"tabriklaymiz siz 2420,000 so'm yutib oldingiz. pulni olish uchun havolaga kiring: http://bonus-uz.com/id/3557780",en,SUSPICIOUS,uz,uz,low,True,1,3
"Tabriklaymiz siz 1460,000 so'm yutib oldingiz. Pulni olish uchun havolaga kiring: https://click-auth.uz/code=9683774",en,master_semantic_dataset_v7.csv,SUSPICIOUS|UNKNOWN,"tabriklaymiz siz 1460,000 so'm yutib oldingiz. pulni olish uchun havolaga kiring: https://click-auth.uz/code=9683774",en,SUSPICIOUS,uz,uz,low,True,1,3
