text,language_orig,source_dataset,original_label,normalized_text,source_lang_dataset,label_unified,language_detected,language_fixed,language_confidence
"Solve d Case : A Man Was Found Murdered On  &lt;DECIMAL&gt; . &lt;#&gt;  AfterNoon. 1,His wife called Police. 2,Police questioned everyone. 3,Wife: Sir,I was sleeping, when the murder took place. 4.Cook: I was cooking. 5.Gardener: I was picking vegetables. 6.House-Maid: I went 2 d post office. 7.Children: We went 2 play. 8.Neighbour: We went 2 a marriage. Police arrested d murderer Immediately. Who's It? Reply With Reason, If U r Brilliant.",uz,messages_cleaned.csv,ham,"solve d case : a man was found murdered on &lt;decimal&gt; . &lt;#&gt; afternoon. 1,his wife called police. 2,police questioned everyone. 3,wife: sir,i was sleeping, when the murder took place. 4.cook: i was cooking. 5.gardener: i was picking vegetables. 6.house-maid: i went 2 d post office. 7.children: we went 2 play. 8.neighbour: we went 2 a marriage. police arrested d murderer immediately. who's it? reply with reason, if u r brilliant.",uz,SAFE,en,en,low
"Indians r poor but India is not a poor country. Says one of the swiss bank directors. He says that "" &lt;#&gt;  lac crore"" of Indian money is deposited in swiss banks which can be used for 'taxless' budget for  &lt;#&gt;  yrs. Can give  &lt;#&gt;  crore jobs to all Indians. From any village to Delhi 4 lane roads. Forever free power suply to more than  &lt;#&gt;  social projects. Every citizen can get monthly  &lt;#&gt; /- for  &lt;#&gt;  yrs. No need of World Bank &amp; IMF loan. Think how our money is blocked by rich politicians. We have full rights against corrupt politicians. Itna forward karo ki pura INDIA padhe.g.m.""",uz,messages_cleaned.csv,ham,"indians r poor but india is not a poor country. says one of the swiss bank directors. he says that "" &lt;#&gt; lac crore"" of indian money is deposited in swiss banks which can be used for 'taxless' budget for &lt;#&gt; yrs. can give &lt;#&gt; crore jobs to all indians. from any village to delhi 4 lane roads. forever free power suply to more than &lt;#&gt; social projects. every citizen can get monthly &lt;#&gt; /- for &lt;#&gt; yrs. no need of world bank &amp; imf loan. think how our money is blocked by rich politicians. we have full rights against corrupt politicians. itna forward karo ki pura india padhe.g.m.""",uz,SAFE,en,en,low
Yes. They replied my mail. I'm going to the management office later. Plus will in to bank later also.or on wednesday.,uz,messages_cleaned.csv,ham,yes. they replied my mail. i'm going to the management office later. plus will in to bank later also.or on wednesday.,uz,SAFE,en,en,low
Don't forget who owns you and who's private property you are ... And be my good boy always .. *passionate kiss*,uz,messages_cleaned.csv,ham,don't forget who owns you and who's private property you are ... and be my good boy always .. *passionate kiss*,uz,SAFE,en,en,low
Dorothy@kiefer.com (Bank of Granite issues Strong-Buy) EXPLOSIVE PICK FOR OUR MEMBERS *****UP OVER 300% *********** Nasdaq Symbol CDGT That is a $5.00 per..,uz,messages_cleaned.csv,scam,dorothy@kiefer.com (bank of granite issues strong-buy) explosive pick for our members *****up over 300% *********** nasdaq symbol cdgt that is a $5.00 per..,uz,DANGEROUS,en,en,low
I'm e person who's doing e sms survey...,uz,messages_cleaned.csv,ham,i'm e person who's doing e sms survey...,uz,SAFE,en,en,low
"Once a fishrman woke early in d mrng. It was very dark. He waited a while &amp; found a sack ful of stones. He strtd throwin thm in2 d sea 2 pass time. Atlast he had jus 1stone, sun rose up &amp; he found out tht those r nt stones, those were diamonds. Moral:""Dont wake up early in d mrng'' GOOD night",uz,messages_cleaned.csv,ham,"once a fishrman woke early in d mrng. it was very dark. he waited a while &amp; found a sack ful of stones. he strtd throwin thm in2 d sea 2 pass time. atlast he had jus 1stone, sun rose up &amp; he found out tht those r nt stones, those were diamonds. moral:""dont wake up early in d mrng'' good night",uz,SAFE,en,en,low
Went to pay rent. So i had to go to the bank to authorise the payment.,uz,messages_cleaned.csv,ham,went to pay rent. so i had to go to the bank to authorise the payment.,uz,SAFE,en,en,low
"Yeah that's what I thought, lemme know if anything's goin on later",uz,messages_cleaned.csv,ham,"yeah that's what i thought, lemme know if anything's goin on later",uz,SAFE,en,en,low
(Bank of Granite issues Strong-Buy) EXPLOSIVE PICK FOR OUR MEMBERS *****UP OVER 300% *********** Nasdaq Symbol CDGT That is a $5.00 per..,uz,messages_cleaned.csv,scam,(bank of granite issues strong-buy) explosive pick for our members *****up over 300% *********** nasdaq symbol cdgt that is a $5.00 per..,uz,DANGEROUS,en,en,low
"The LAY MAN! Just to let you know you are missed and thought off. Do have a great day. And if you can send me bimbo and ugo's numbers, ill appreciate. Safe",uz,messages_cleaned.csv,ham,"the lay man! just to let you know you are missed and thought off. do have a great day. and if you can send me bimbo and ugo's numbers, ill appreciate. safe",uz,SAFE,en,en,low
So what did the bank say about the money?,uz,messages_cleaned.csv,ham,so what did the bank say about the money?,uz,SAFE,en,en,low
"Sir, I need Velusamy sir's date of birth and company bank facilities details.",uz,messages_cleaned.csv,ham,"sir, i need velusamy sir's date of birth and company bank facilities details.",uz,SAFE,en,en,low
About  &lt;#&gt; bucks. The banks fees are fixed. Better to call the bank and find out.,uz,messages_cleaned.csv,ham,about &lt;#&gt; bucks. the banks fees are fixed. better to call the bank and find out.,uz,SAFE,en,en,low
Have you seen who's back at Holby?!,uz,messages_cleaned.csv,ham,have you seen who's back at holby?!,uz,SAFE,en,en,low
"Indians r poor but India is not a poor country. Says one of the swiss bank directors. He says that \ &lt;#&gt;  lac crore\"" of Indian money is deposited in swiss banks which can be used for 'taxless' budget for  &lt;#&gt;  yrs. Can give  &lt;#&gt;  crore jobs to all Indians. From any village to Delhi 4 lane roads. Forever free power suply to more than  &lt;#&gt;  social projects. Every citizen can get monthly  &lt;#&gt; /- for  &lt;#&gt;  yrs. No need of World Bank &amp; IMF loan. Think how our money is blocked by rich politicians. We have full rights against corrupt politicians. Itna forward karo ki pura INDIA padhe.g.m.\""""",uz,messages_cleaned.csv,ham,"indians r poor but india is not a poor country. says one of the swiss bank directors. he says that \ &lt;#&gt; lac crore\"" of indian money is deposited in swiss banks which can be used for 'taxless' budget for &lt;#&gt; yrs. can give &lt;#&gt; crore jobs to all indians. from any village to delhi 4 lane roads. forever free power suply to more than &lt;#&gt; social projects. every citizen can get monthly &lt;#&gt; /- for &lt;#&gt; yrs. no need of world bank &amp; imf loan. think how our money is blocked by rich politicians. we have full rights against corrupt politicians. itna forward karo ki pura india padhe.g.m.\""""",uz,SAFE,en,en,low
"Once a fishrman woke early in d mrng. It was very dark. He waited a while &amp; found a sack ful of stones. He strtd throwin thm in2 d sea 2 pass time. Atlast he had jus 1stone, sun rose up &amp; he found out tht those r nt stones, those were diamonds. Moral:\Dont wake up early in d mrng'' GOOD night""",uz,messages_cleaned.csv,ham,"once a fishrman woke early in d mrng. it was very dark. he waited a while &amp; found a sack ful of stones. he strtd throwin thm in2 d sea 2 pass time. atlast he had jus 1stone, sun rose up &amp; he found out tht those r nt stones, those were diamonds. moral:\dont wake up early in d mrng'' good night""",uz,SAFE,en,en,low
"he⁢a⁢rd ⁢the⁢y w⁢ere ⁢gi⁢vi⁢ng o⁢ut N⁢⁢F⁢⁢⁢T⁢s⁢ f⁢o⁢r⁢ f⁢r⁢⁢e⁢e, s⁢⁢o ⁢I g⁢o⁢t o⁢ne too https://grokis.world/",uz,messages_cleaned.csv,scam,"he⁢a⁢rd ⁢the⁢y w⁢ere ⁢gi⁢vi⁢ng o⁢ut n⁢⁢f⁢⁢⁢t⁢s⁢ f⁢o⁢r⁢ f⁢r⁢⁢e⁢e, s⁢⁢o ⁢i g⁢o⁢t o⁢ne too https://grokis.world/",uz,DANGEROUS,en,en,low
Salom qalaysan,uz,messages_cleaned.csv,ham,salom qalaysan,uz,SAFE,en,en,low
Yig'ilish soat nechida,uz,messages_cleaned.csv,ham,yig'ilish soat nechida,uz,SAFE,en,en,low
Zo'r rahmat,uz,messages_cleaned.csv,ham,zo'r rahmat,uz,SAFE,en,en,low
Bo'ldi kelishdik,uz,messages_cleaned.csv,ham,bo'ldi kelishdik,uz,SAFE,en,en,low
Qachon ko'rishamiz?,uz,messages_cleaned.csv,ham,qachon ko'rishamiz?,uz,SAFE,en,en,low
Ajoyib kun bo'ldi,uz,messages_cleaned.csv,ham,ajoyib kun bo'ldi,uz,SAFE,en,en,low
Kutib o'tiribman seni,uz,messages_cleaned.csv,ham,kutib o'tiribman seni,uz,SAFE,en,en,low
Hisobingiz vaqtincha bloklandi. Tiklash uchun havolani bosing,uz,messages_cleaned.csv,scam,hisobingiz vaqtincha bloklandi. tiklash uchun havolani bosing,uz,DANGEROUS,en,en,low
Bank kartangiz muzlatildi. Ma'lumotlaringizni tasdiqlang,uz,messages_cleaned.csv,scam,bank kartangiz muzlatildi. ma'lumotlaringizni tasdiqlang,uz,DANGEROUS,en,en,low
Yutdingiz! 5 000 000 so'm mukofotni olish uchun formani to'ldiring,uz,messages_cleaned.csv,scam,yutdingiz! 5 000 000 so'm mukofotni olish uchun formani to'ldiring,uz,DANGEROUS,en,en,low
Hisobingizga ruxsatsiz kirish aniqlandi. Zudlik bilan tasdiqlang,uz,messages_cleaned.csv,scam,hisobingizga ruxsatsiz kirish aniqlandi. zudlik bilan tasdiqlang,uz,DANGEROUS,en,en,low
Kredit qarzingiz sabab hisobingiz yopiladi,uz,messages_cleaned.csv,scam,kredit qarzingiz sabab hisobingiz yopiladi,uz,DANGEROUS,en,en,low
Bank xavfsizlik xizmati: havola orqali tekshiruvdan o'ting,uz,messages_cleaned.csv,scam,bank xavfsizlik xizmati: havola orqali tekshiruvdan o'ting,uz,DANGEROUS,en,en,low
Soliq qarzingiz bor. Bugun to'lamasangiz jarima,uz,messages_cleaned.csv,scam,soliq qarzingiz bor. bugun to'lamasangiz jarima,uz,DANGEROUS,en,en,low
Kartangizdan shubhali operatsiya amalga oshirildi,uz,messages_cleaned.csv,scam,kartangizdan shubhali operatsiya amalga oshirildi,uz,DANGEROUS,en,en,low
Bonus olish uchun ma'lumot kiriting,uz,messages_cleaned.csv,scam,bonus olish uchun ma'lumot kiriting,uz,DANGEROUS,en,en,low
Bank yangilanishi. Hisobni tasdiqlang,uz,messages_cleaned.csv,scam,bank yangilanishi. hisobni tasdiqlang,uz,DANGEROUS,en,en,low
Yangi to'lov tizimi. Profilingizni yangilang,uz,messages_cleaned.csv,scam,yangi to'lov tizimi. profilingizni yangilang,uz,DANGEROUS,en,en,low
"Salom, bugun kechroq kelaman",uz,messages_cleaned.csv,ham,"salom, bugun kechroq kelaman",uz,SAFE,en,en,low
"Iltimos, menga qo'ng'iroq qil",uz,messages_cleaned.csv,ham,"iltimos, menga qo'ng'iroq qil",uz,SAFE,en,en,low
Yo'lda tirbandlik bor ekan,uz,messages_cleaned.csv,ham,yo'lda tirbandlik bor ekan,uz,SAFE,en,en,low
"Rahmat, xabaringni oldim",uz,messages_cleaned.csv,ham,"rahmat, xabaringni oldim",uz,SAFE,en,en,low
"Salom, qalaysan?",uz,messages_cleaned.csv,ham,"salom, qalaysan?",uz,SAFE,en,en,low
Ertaga yig'ilish bor,uz,messages_cleaned.csv,ham,ertaga yig'ilish bor,uz,SAFE,en,en,low
Telefonim o'chib qoladi,uz,messages_cleaned.csv,ham,telefonim o'chib qoladi,uz,SAFE,en,en,low
"Rahmat, yordam uchun",uz,messages_cleaned.csv,ham,"rahmat, yordam uchun",uz,SAFE,en,en,low
"Pulni tashlab yubordim, tekshirib ko'ring",uz,messages_cleaned_v2.csv,ham,"pulni tashlab yubordim, tekshirib ko'ring",uz,SAFE,en,en,low
Ertaga soat 9da ofisda ko'rishamiz,uz,messages_cleaned_v2.csv,ham,ertaga soat 9da ofisda ko'rishamiz,uz,SAFE,en,en,low
Sms keldiyoq o'qib javob yozing,uz,messages_cleaned_v2.csv,ham,sms keldiyoq o'qib javob yozing,uz,SAFE,en,en,low
Bugun ob-havo qanaqa bo'larkan?,uz,messages_cleaned_v2.csv,ham,bugun ob-havo qanaqa bo'larkan?,uz,SAFE,en,en,low
"Ona, non bilan sut opkelaman",uz,messages_cleaned_v2.csv,ham,"ona, non bilan sut opkelaman",uz,SAFE,en,en,low
Dam olish kuningiz maroqli o'tsin,uz,messages_cleaned_v2.csv,ham,dam olish kuningiz maroqli o'tsin,uz,SAFE,en,en,low
"O'rtoq, qarzni qachon qaytarasan?",uz,messages_cleaned_v2.csv,ham,"o'rtoq, qarzni qachon qaytarasan?",uz,SAFE,en,en,low
Keyingi hafta tug'ilgan kunga boramizmi?,uz,messages_cleaned_v2.csv,ham,keyingi hafta tug'ilgan kunga boramizmi?,uz,SAFE,en,en,low
"O'g'lim, uydamisan?",uz,messages_cleaned_v2.csv,ham,"o'g'lim, uydamisan?",uz,SAFE,en,en,low
Rahmat kattakon,uz,messages_cleaned_v2.csv,ham,rahmat kattakon,uz,SAFE,en,en,low
Qo'ng'iroq qilaman hozir,uz,messages_cleaned_v2.csv,ham,qo'ng'iroq qilaman hozir,uz,SAFE,en,en,low
"Tabriklayman, yutuqlaringiz bardavom bo'lsin",uz,messages_cleaned_v2.csv,ham,"tabriklayman, yutuqlaringiz bardavom bo'lsin",uz,SAFE,en,en,low
Kecha nega telefonni ko'tarmading?,uz,messages_cleaned_v2.csv,ham,kecha nega telefonni ko'tarmading?,uz,SAFE,en,en,low
"Bugun dars bo'lmaydi, o'qituvchi kasal ekan",uz,messages_cleaned_v2.csv,ham,"bugun dars bo'lmaydi, o'qituvchi kasal ekan",uz,SAFE,en,en,low
"Yo'q hali tushmadi, bank dasturi qotyapti",uz,messages_cleaned_v2.csv,ham,"yo'q hali tushmadi, bank dasturi qotyapti",uz,SAFE,en,en,low
Bayramingiz bilan tabriklayman,uz,messages_cleaned_v2.csv,ham,bayramingiz bilan tabriklayman,uz,SAFE,en,en,low
Kompterni o'chirib qo'ying,uz,messages_cleaned_v2.csv,ham,kompterni o'chirib qo'ying,uz,SAFE,en,en,low
Maktabga qachon borish kerak?,uz,messages_cleaned_v2.csv,ham,maktabga qachon borish kerak?,uz,SAFE,en,en,low
"Chiptalarni otdim, ko'rib chiqing",uz,messages_cleaned_v2.csv,ham,"chiptalarni otdim, ko'rib chiqing",uz,SAFE,en,en,low
Ertaga xabar olaman,uz,messages_cleaned_v2.csv,ham,ertaga xabar olaman,uz,SAFE,en,en,low
Diqqat! Plastik kartangiz bloklandi. Qayta tiklash uchun shaxsiy ma'lumotlaringizni kiriting: bit.ly/uzcard-block,uz,messages_cleaned_v2.csv,scam,diqqat! plastik kartangiz bloklandi. qayta tiklash uchun shaxsiy ma'lumotlaringizni kiriting: bit.ly/uzcard-block,uz,DANGEROUS,en,en,low
"Hurmatli mijoz, to'lovingiz amalga oshmadi. Iltimos kartangiz balansini tekshiring va havolaga kiring",uz,messages_cleaned_v2.csv,scam,"hurmatli mijoz, to'lovingiz amalga oshmadi. iltimos kartangiz balansini tekshiring va havolaga kiring",uz,DANGEROUS,en,en,low
"Sizning hisobingizdan 1,500,000 so'm yechib olindi! Bekor qilish uchun darhol bosing: uzbank-cancel.com",uz,messages_cleaned_v2.csv,scam,"sizning hisobingizdan 1,500,000 so'm yechib olindi! bekor qilish uchun darhol bosing: uzbank-cancel.com",uz,DANGEROUS,en,en,low
Shoshilinch! Sizga davlat tomonidan subsidiya ajratildi. Bepul pulni olish uchun ro'yxatdan o'ting,uz,messages_cleaned_v2.csv,scam,shoshilinch! sizga davlat tomonidan subsidiya ajratildi. bepul pulni olish uchun ro'yxatdan o'ting,uz,DANGEROUS,en,en,low
Ushbu raqamga qo'ng'iroq qiling va Malibu avtomobilini yutib oling! 88002986,uz,messages_cleaned_v2.csv,scam,ushbu raqamga qo'ng'iroq qiling va malibu avtomobilini yutib oling! 88002986,uz,DANGEROUS,en,en,low
"Click orqali tolov tasdiqlanmadi, profilingiz bloklanadi. Havolaga kiring: click-uzb.com",uz,messages_cleaned_v2.csv,scam,"click orqali tolov tasdiqlanmadi, profilingiz bloklanadi. havolaga kiring: click-uzb.com",uz,DANGEROUS,en,en,low
"Aksiya! Barcha tovarlarga 90% chegirma. Faqat 1 soat qoldi, ssilkaga o'ting",uz,messages_cleaned_v2.csv,scam,"aksiya! barcha tovarlarga 90% chegirma. faqat 1 soat qoldi, ssilkaga o'ting",uz,DANGEROUS,en,en,low
"Kredit tasdiqlandi! 20,000,000 so'mni kartangizga olish uchun shu ssilkaga bosing",uz,messages_cleaned_v2.csv,scam,"kredit tasdiqlandi! 20,000,000 so'mni kartangizga olish uchun shu ssilkaga bosing",uz,DANGEROUS,en,en,low
"Saylov tugadi, sizga davlatdan mukofot puli yozildi! Tasdiqlash uchun havola...",uz,messages_cleaned_v2.csv,scam,"saylov tugadi, sizga davlatdan mukofot puli yozildi! tasdiqlash uchun havola...",uz,DANGEROUS,en,en,low
Diqqat! Politsiya sizni jarimaga tortdi. To'lovni onlayn amalga oshiring: jarima-tolov.uz.com,uz,messages_cleaned_v2.csv,scam,diqqat! politsiya sizni jarimaga tortdi. to'lovni onlayn amalga oshiring: jarima-tolov.uz.com,uz,DANGEROUS,en,en,low
Karta ma'lumotlaringiz xavf ostida! Himoyalash uchun PIN kodingizni kiriting,uz,messages_cleaned_v2.csv,scam,karta ma'lumotlaringiz xavf ostida! himoyalash uchun pin kodingizni kiriting,uz,DANGEROUS,en,en,low
"Salom, men chet eldan yozibapman. Sizga katta meros qoldi, faqat 100 dollar komissiya tolang",uz,messages_cleaned_v2.csv,scam,"salom, men chet eldan yozibapman. sizga katta meros qoldi, faqat 100 dollar komissiya tolang",uz,DANGEROUS,en,en,low
DXX ogohlantiradi! Sizning profilingiz buzilgan. Uni tiklash uchun shu botga start bosing,uz,messages_cleaned_v2.csv,scam,dxx ogohlantiradi! sizning profilingiz buzilgan. uni tiklash uchun shu botga start bosing,uz,DANGEROUS,en,en,low
"Farzandingiz maktabda muammoga uchradi, jarima to'lashingiz kerak. Havola: maktab-jarima.uz",uz,messages_cleaned_v2.csv,scam,"farzandingiz maktabda muammoga uchradi, jarima to'lashingiz kerak. havola: maktab-jarima.uz",uz,DANGEROUS,en,en,low
Sizning Telegram profilingiz 24 soat ichida o'chiriladi. Bekor qilish uchun bosing,uz,messages_cleaned_v2.csv,scam,sizning telegram profilingiz 24 soat ichida o'chiriladi. bekor qilish uchun bosing,uz,DANGEROUS,en,en,low
Bepul internet! Beeline mijozlari uchun 100 GB bepul internet. Olish uchun: bit.ly/beeline-free,uz,messages_cleaned_v2.csv,scam,bepul internet! beeline mijozlari uchun 100 gb bepul internet. olish uchun: bit.ly/beeline-free,uz,DANGEROUS,en,en,low
Sizning IP manzilingiz bloklandi. Blokdan chiqarish uchun to'lov qiling,uz,messages_cleaned_v2.csv,scam,sizning ip manzilingiz bloklandi. blokdan chiqarish uchun to'lov qiling,uz,DANGEROUS,en,en,low
"Aziz fuqaro, bu soliq qo'mitasi. Qarzingizni shu havola orqali tolang",uz,messages_cleaned_v2.csv,scam,"aziz fuqaro, bu soliq qo'mitasi. qarzingizni shu havola orqali tolang",uz,DANGEROUS,en,en,low
"Garantiyali yutuq! 1xbet da 100% yutadigan sxema topdim, kanalga o'ting",uz,messages_cleaned_v2.csv,scam,"garantiyali yutuq! 1xbet da 100% yutadigan sxema topdim, kanalga o'ting",uz,DANGEROUS,en,en,low
"Uyga yetkazib berish xizmati: Sizning pochtangiz keldi, lekin manzil xato. To'g'rilash uchun kiring",uz,messages_cleaned_v2.csv,scam,"uyga yetkazib berish xizmati: sizning pochtangiz keldi, lekin manzil xato. to'g'rilash uchun kiring",uz,DANGEROUS,en,en,low
Olx.uz: Xaridor sizning tovaringizni sotib oldi. Pulni olish uchun karta raqamingizni kiriting,uz,messages_cleaned_v2.csv,scam,olx.uz: xaridor sizning tovaringizni sotib oldi. pulni olish uchun karta raqamingizni kiriting,uz,DANGEROUS,en,en,low
"Assalom, ishimizga 10 kishi kerak. Kuniga 200,000 so'm. O'rganish bepul, faqat ssilkaga bosing",uz,messages_cleaned_v2.csv,scam,"assalom, ishimizga 10 kishi kerak. kuniga 200,000 so'm. o'rganish bepul, faqat ssilkaga bosing",uz,DANGEROUS,en,en,low
Click Evolution: Tizim yangilanmoqda. Kartangizni qayta ulab qo'ying,uz,messages_cleaned_v2.csv,scam,click evolution: tizim yangilanmoqda. kartangizni qayta ulab qo'ying,uz,DANGEROUS,en,en,low
Sizning avtomobilingiz qidiruvga berilgan. Yo'l harakati xavfsizligi xizmati: havola.uz,uz,messages_cleaned_v2.csv,scam,sizning avtomobilingiz qidiruvga berilgan. yo'l harakati xavfsizligi xizmati: havola.uz,uz,DANGEROUS,en,en,low
Elektr ta'minoti: Qarzdorlik uchun chiroq o'chiriladi. Onlayn to'lash: uzen-scam.uz,uz,messages_cleaned_v2.csv,scam,elektr ta'minoti: qarzdorlik uchun chiroq o'chiriladi. onlayn to'lash: uzen-scam.uz,uz,DANGEROUS,en,en,low
Super daromad! Faqat telefon orqali ish. 1 kunda 50 dollar! Havolani bosing,uz,messages_cleaned_v2.csv,scam,super daromad! faqat telefon orqali ish. 1 kunda 50 dollar! havolani bosing,uz,DANGEROUS,en,en,low
Sizning pochtangiz posilkasi bojxonada to'xtatildi. Boj to'lovini amalga oshiring: boj-online.uz,uz,messages_cleaned_v2.csv,scam,sizning pochtangiz posilkasi bojxonada to'xtatildi. boj to'lovini amalga oshiring: boj-online.uz,uz,DANGEROUS,en,en,low
"Pulni kartaga tushirdim, 50 ming so'm",uz,messages_cleaned_v2.csv,ham,"pulni kartaga tushirdim, 50 ming so'm",uz,SAFE,en,en,low
"Pulni kartaga tushirdim, 60 ming so'm",uz,messages_cleaned_v2.csv,ham,"pulni kartaga tushirdim, 60 ming so'm",uz,SAFE,en,en,low
"Pulni kartaga tushirdim, 70 ming so'm",uz,messages_cleaned_v2.csv,ham,"pulni kartaga tushirdim, 70 ming so'm",uz,SAFE,en,en,low
"Pulni kartaga tushirdim, 80 ming so'm",uz,messages_cleaned_v2.csv,ham,"pulni kartaga tushirdim, 80 ming so'm",uz,SAFE,en,en,low
"Pulni kartaga tushirdim, 90 ming so'm",uz,messages_cleaned_v2.csv,ham,"pulni kartaga tushirdim, 90 ming so'm",uz,SAFE,en,en,low
"Pulni kartaga tushirdim, 100 ming so'm",uz,messages_cleaned_v2.csv,ham,"pulni kartaga tushirdim, 100 ming so'm",uz,SAFE,en,en,low
"Pulni kartaga tushirdim, 110 ming so'm",uz,messages_cleaned_v2.csv,ham,"pulni kartaga tushirdim, 110 ming so'm",uz,SAFE,en,en,low
"Pulni kartaga tushirdim, 120 ming so'm",uz,messages_cleaned_v2.csv,ham,"pulni kartaga tushirdim, 120 ming so'm",uz,SAFE,en,en,low
"Pulni kartaga tushirdim, 130 ming so'm",uz,messages_cleaned_v2.csv,ham,"pulni kartaga tushirdim, 130 ming so'm",uz,SAFE,en,en,low
"Pulni kartaga tushirdim, 140 ming so'm",uz,messages_cleaned_v2.csv,ham,"pulni kartaga tushirdim, 140 ming so'm",uz,SAFE,en,en,low
"Pulni kartaga tushirdim, 150 ming so'm",uz,messages_cleaned_v2.csv,ham,"pulni kartaga tushirdim, 150 ming so'm",uz,SAFE,en,en,low
"Pulni kartaga tushirdim, 160 ming so'm",uz,messages_cleaned_v2.csv,ham,"pulni kartaga tushirdim, 160 ming so'm",uz,SAFE,en,en,low
"Pulni kartaga tushirdim, 170 ming so'm",uz,messages_cleaned_v2.csv,ham,"pulni kartaga tushirdim, 170 ming so'm",uz,SAFE,en,en,low
"Pulni kartaga tushirdim, 180 ming so'm",uz,messages_cleaned_v2.csv,ham,"pulni kartaga tushirdim, 180 ming so'm",uz,SAFE,en,en,low
"Pulni kartaga tushirdim, 190 ming so'm",uz,messages_cleaned_v2.csv,ham,"pulni kartaga tushirdim, 190 ming so'm",uz,SAFE,en,en,low
"Pulni kartaga tushirdim, 200 ming so'm",uz,messages_cleaned_v2.csv,ham,"pulni kartaga tushirdim, 200 ming so'm",uz,SAFE,en,en,low
Aka rahmat kattakon,uz,messages_cleaned_v2.csv,ham,aka rahmat kattakon,uz,SAFE,en,en,low
Choyxonada kutib o'tiramiz,uz,messages_cleaned_v2.csv,ham,choyxonada kutib o'tiramiz,uz,SAFE,en,en,low
Yo'q bormayman,uz,messages_cleaned_v2.csv,ham,yo'q bormayman,uz,SAFE,en,en,low
Nega telefonni ko'tarmaysan?,uz,messages_cleaned_v2.csv,ham,nega telefonni ko'tarmaysan?,uz,SAFE,en,en,low
Yo'l kiresi qancha ekan,uz,messages_cleaned_v2.csv,ham,yo'l kiresi qancha ekan,uz,SAFE,en,en,low
Bayramlar bilan!,uz,messages_cleaned_v2.csv,ham,bayramlar bilan!,uz,SAFE,en,en,low
Tug'ilgan kuning bilan tabriklayman!,uz,messages_cleaned_v2.csv,ham,tug'ilgan kuning bilan tabriklayman!,uz,SAFE,en,en,low
Rahmat senga ham,uz,messages_cleaned_v2.csv,ham,rahmat senga ham,uz,SAFE,en,en,low
Imtihondan yaxshi o'tdim,uz,messages_cleaned_v2.csv,ham,imtihondan yaxshi o'tdim,uz,SAFE,en,en,low
Bugun issiq bo'lar ekan,uz,messages_cleaned_v2.csv,ham,bugun issiq bo'lar ekan,uz,SAFE,en,en,low
"Click: 10,000 so'm yutib oldingiz! Havolani bosing: click-bonus1.uz",uz,messages_cleaned_v2.csv,scam,"click: 10,000 so'm yutib oldingiz! havolani bosing: click-bonus1.uz",uz,DANGEROUS,en,en,low
