text,source,label,clean_text
Lol your always so convincing.,sms,ham,lol your always so convincing
Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,sms,ham,did you catch the bus are you frying an egg did you make a tea are you eating your mom s left over dinner do you feel my love
"I'm back &amp; we're packing the car now, I'll let you know if there's room",sms,ham,i m back amp we re packing the car now i ll let you know if there s room
Ahhh. Work. I vaguely remember that! What does it feel like? Lol,sms,ham,ahhh work i vaguely remember that what does it feel like lol
"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",sms,ham,wait that s still not all that clear were you not sure about me being sarcastic or that that s why x doesn t want to live with us
Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You?,sms,ham,yeah he got in at 2 and was v apologetic n had fallen out and she was actin like spoilt child and he got caught up in that till 2 but we won t go there not doing too badly cheers you
K tell me anything about you.,sms,ham,k tell me anything about you
For fear of fainting with the of all that housework you just did? Quick have a cuppa,sms,ham,for fear of fainting with the of all that housework you just did quick have a cuppa
Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,sms,scam,thanks for your subscription to ringtone uk your mobile will be charged 5 month please confirm by replying yes or no if you reply no you will not be charged
Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am,sms,ham,yup ok i go home look at the timings then i msg ü again xuhui going to learn on 2nd may too but her lesson is at 8am
"Oops, I'll let you know when my roommate's done",sms,ham,oops i ll let you know when my roommate s done
I see the letter B on my car,sms,ham,i see the letter b on my car
Anything lor... U decide...,sms,ham,anything lor u decide
Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,sms,ham,hello how s you and how did saturday go i was just texting to see if you d decided to do anything tomo not that i m trying to invite myself or anything
Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,sms,ham,pls go ahead with watts i just wanted to be sure do have a great weekend abiola
"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",sms,ham,did i forget to tell you i want you i need you i crave you but most of all i love you my sweet arabian steed mmmmmm yummy
07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,sms,scam,rodger burns msg we tried to call you re your reply to our sms for a free nokia mobile free camcorder please call now for delivery tomorrow
WHO ARE YOU SEEING?,sms,ham,who are you seeing
Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,sms,ham,great i hope you like your man well endowed i am lt gt inches
No calls..messages..missed calls,sms,ham,no calls messages missed calls
Didn't you get hep b immunisation in nigeria.,sms,ham,didn t you get hep b immunisation in nigeria
"Fair enough, anything going on?",sms,ham,fair enough anything going on
"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",sms,ham,yeah hopefully if tyler can t do it i could maybe ask around a bit
U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,sms,ham,u don t know how stubborn i am i didn t even want to go to the hospital i kept telling mark i m not a weak sucker hospitals are for weak suckers
What you thinked about me. First time you saw me in class.,sms,ham,what you thinked about me first time you saw me in class
"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",sms,ham,a gram usually runs like lt gt a half eighth is smarter though and gets you almost a whole second gram for lt gt
K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,sms,ham,k fyi x has a ride early tomorrow morning but he s crashing at our place tonight
"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about ""the cave"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.",sms,ham,wow i never realized that you were so embarassed by your accomodations i thought you liked it since i was doing the best i could and you always seemed so happy about the cave i m sorry i didn t and don t have more to give i m sorry i offered i m sorry your room was so embarassing
SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,sms,scam,sms ac sptv the new jersey devils and the detroit red wings play ice hockey correct or incorrect end reply end sptv
Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,sms,ham,do you know what mallika sherawat did yesterday find out now lt url gt
"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!",sms,scam,congrats 1 year special cinema pass for 2 is yours call now c suprman v matrix3 starwars3 etc all 4 free bx420 ip4 5we 150pm dont miss out
"Sorry, I'll call later in meeting.",sms,ham,sorry i ll call later in meeting
Tell where you reached,sms,ham,tell where you reached
Yes..gauti and sehwag out of odi series.,sms,ham,yes gauti and sehwag out of odi series
Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,sms,ham,your gonna have to pick up a 1 burger for yourself on your way home i can t even move pain is killing me
Ha ha ha good joke. Girls are situation seekers.,sms,ham,ha ha ha good joke girls are situation seekers
Its a part of checking IQ,sms,ham,its a part of checking iq
"Sorry my roommates took forever, it ok if I come by now?",sms,ham,sorry my roommates took forever it ok if i come by now
Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,sms,ham,ok lar i double check wif da hair dresser already he said wun cut v short he said will cut until i look nice
"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589",sms,scam,as a valued customer i am pleased to advise you that following recent review of your mob no you are awarded with a 1500 bonus prize call
"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...",sms,ham,today is song dedicated day which song will u dedicate for me send this to all ur valuable frnds but first rply me
"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",sms,scam,urgent ur awarded a complimentary trip to eurodisinc trav aco entry41 or 1000 to claim txt dis to 6 1 50 morefrmmob shracomorsglsuplt 10 ls1 3aj
"Did you hear about the new ""Divorce Barbie""? It comes with all of Ken's stuff!",sms,scam,did you hear about the new divorce barbie it comes with all of ken s stuff
I plane to give on this month end.,sms,ham,i plane to give on this month end
Wah lucky man... Then can save money... Hee...,sms,ham,wah lucky man then can save money hee
Finished class where are you.,sms,ham,finished class where are you
HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,sms,ham,hi babe im at home now wanna do something xx
K..k:)where are you?how did you performed?,sms,ham,k k where are you how did you performed
U can call me now...,sms,ham,u can call me now
I am waiting machan. Call me once you free.,sms,ham,i am waiting machan call me once you free
Thats cool. i am a gentleman and will treat you with dignity and respect.,sms,ham,thats cool i am a gentleman and will treat you with dignity and respect
I like you peoples very much:) but am very shy pa.,sms,ham,i like you peoples very much but am very shy pa
Does not operate after  &lt;#&gt;  or what,sms,ham,does not operate after lt gt or what
Its not the same here. Still looking for a job. How much do Ta's earn there.,sms,ham,its not the same here still looking for a job how much do ta s earn there
"Sorry, I'll call later",sms,ham,sorry i ll call later
K. Did you call me just now ah?,sms,ham,k did you call me just now ah
Ok i am on the way to home hi hi,sms,ham,ok i am on the way to home hi hi
You will be in the place of that man,sms,ham,you will be in the place of that man
Yup next stop.,sms,ham,yup next stop
"I call you later, don't have network. If urgnt, sms me.",sms,ham,i call you later don t have network if urgnt sms me
For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,sms,ham,for real when u getting on yo i only need 2 more tickets and one more jacket and i m done i already used all my multis
Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,sms,ham,yes i started to send requests to make it but pain came back so i m back in bed double coins at the factory too i gotta cash in all my nitros
I'm really not up to it still tonight babe,sms,ham,i m really not up to it still tonight babe
"Ela kano.,il download, come wen ur free..",sms,ham,ela kano il download come wen ur free
Yeah do! Don‘t stand to close tho- you‘ll catch something!,sms,ham,yeah do don t stand to close tho you ll catch something
Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry.,sms,ham,sorry to be a pain is it ok if we meet another night i spent late afternoon in casualty and that means i haven t done any of y stuff42moro and that includes all my time sheets and that sorry
Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,sms,ham,smile in pleasure smile in pain smile when trouble pours like rain smile when sum1 hurts u smile becoz someone still loves to see u smiling
Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize!,sms,scam,please call our customer service representative on between 10am 9pm as you have won a guaranteed 1000 cash or 5000 prize
Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,sms,ham,havent planning to buy later i check already lido only got 530 show in e afternoon u finish work already
"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16",sms,scam,your free ringtone is waiting to be collected simply text the password mix to 85069 to verify get usher and britney fml po box 5249 mk17 92h 450ppw 16
Watching telugu movie..wat abt u?,sms,ham,watching telugu movie wat abt u
i see. When we finish we have loads of loans to pay,sms,ham,i see when we finish we have loads of loans to pay
"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?""",sms,ham,hi wk been ok on hols now yes on for a bit of a run forgot that i have hairdressers appointment at four so need to get home n shower beforehand does that cause prob for u
I see a cup of coffee animation,sms,ham,i see a cup of coffee animation
Please don't text me anymore. I have nothing else to say.,sms,ham,please don t text me anymore i have nothing else to say
Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,sms,ham,okay name ur price as long as its legal wen can i pick them up y u ave x ams xx
I'm still looking for a car to buy. And have not gone 4the driving test yet.,sms,ham,i m still looking for a car to buy and have not gone 4the driving test yet
"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",sms,ham,wow you re right i didn t mean to do that i guess once i gave up on boston men and changed my search location to nyc something changed cuz on my signin page it still says boston
Umma my life and vava umma love you lot dear,sms,ham,umma my life and vava umma love you lot dear
Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,sms,ham,thanks a lot for your wishes on my birthday thanks you for making my birthday truly memorable
"Aight, I'll hit you up when I get some cash",sms,ham,aight i ll hit you up when i get some cash
How would my ip address test that considering my computer isn't a minecraft server,sms,ham,how would my ip address test that considering my computer isn t a minecraft server
I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,sms,ham,i know grumpy old people my mom was like you better not be lying then again i am always the one to play jokes
Dont worry. I guess he's busy.,sms,ham,dont worry i guess he s busy
What is the plural of the noun research?,sms,ham,what is the plural of the noun research
Going for dinner.msg you after.,sms,ham,going for dinner msg you after
I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,sms,ham,i m ok wif it cos i like 2 try new things but i scared u dun like mah cos u said not too loud
GENT! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,sms,scam,gent we are trying to contact you last weekends draw shows that you won a 1000 prize guaranteed call claim code k52 valid 12hrs only 150ppm
"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",sms,ham,wa ur openin sentence very formal anyway i m fine too juz tt i m eatin too much n puttin on weight haha so anythin special happened
"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",sms,ham,as i entered my cabin my pa said happy b day boss i felt special she askd me 4 lunch after lunch she invited me to her apartment we went there
You are a winner U have been specially selected 2 receive £1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+),sms,scam,you are a winner u have been specially selected 2 receive 1000 or a 4 holiday flights inc speak to a live operator 2 claim p min 18
Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed!,sms,ham,goodo yes we must speak friday egg potato ratio for tortilla needed
Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,sms,ham,hmm my uncle just informed me that he s paying the school directly so pls buy food
PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,sms,scam,private your 2004 account statement for shows 786 unredeemed bonus points to claim call identifier code 45239 expires
"URGENT! Your Mobile No. was awarded £2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",sms,scam,urgent your mobile no was awarded 2000 bonus caller prize on 5 9 03 this is our final try to contact u call from landline box42wr29c 150ppm
here is my new address -apples&pairs&all that malarky,sms,ham,here is my new address apples pairs all that malarky
Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,sms,scam,todays voda numbers ending 7548 are selected to receive a 350 award if you have a match please call quoting claim code 4041 standard rates app
I am going to sao mu today. Will be done only at 12,sms,ham,i am going to sao mu today will be done only at 12
Ü predict wat time ü'll finish buying?,sms,ham,ü predict wat time ü ll finish buying
"Good stuff, will do.",sms,ham,good stuff will do
"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.",sms,ham,just so that you know yetunde hasn t sent money yet i just sent her a text not to bother sending so its over you dont have to involve yourself in anything i shouldn t have imposed anything on you in the first place so for that i apologise
Are you there in room.,sms,ham,are you there in room
HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,sms,ham,hey girl how r u hope u r well me an del r bak again long time no c give me a call sum time from lucyxx
K..k:)how much does it cost?,sms,ham,k k how much does it cost
I'm home.,sms,ham,i m home
"Dear, will call Tmorrow.pls accomodate.",sms,ham,dear will call tmorrow pls accomodate
First answer my question.,sms,ham,first answer my question
Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. £1.50 SP:Tyrone,sms,scam,sunshine quiz wkly q win a top sony dvd player if u know which country the algarve is in txt ansr to 82277 1 50 sp tyrone
Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,sms,scam,want 2 get laid tonight want real dogging locations sent direct 2 ur mob join the uk s largest dogging network bt txting gravel to 69888 nt ec2a 31p msg 150p
I only haf msn. It's yijue@hotmail.com,sms,ham,i only haf msn it s
He is there. You call and meet him,sms,ham,he is there you call and meet him
No no. I will check all rooms befor activities,sms,ham,no no i will check all rooms befor activities
You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,sms,scam,you ll not rcv any more msgs from the chat svc for free hardcore services text go to 69988 if u get nothing u must age verify with yr network try again
Got c... I lazy to type... I forgot ü in lect... I saw a pouch but like not v nice...,sms,ham,got c i lazy to type i forgot ü in lect i saw a pouch but like not v nice
"K, text me when you're on the way",sms,ham,k text me when you re on the way
"Sir, Waiting for your mail.",sms,ham,sir waiting for your mail
"A swt thought: ""Nver get tired of doing little things 4 lovable persons.."" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8",sms,ham,a swt thought nver get tired of doing little things 4 lovable persons coz somtimes those little things occupy d biggest part in their hearts gud ni8
I know you are. Can you pls open the back?,sms,ham,i know you are can you pls open the back
Yes see ya not on the dot,sms,ham,yes see ya not on the dot
Whats the staff name who is taking class for us?,sms,ham,whats the staff name who is taking class for us
"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end",sms,scam,freemsg why haven t you replied to my text i m randy sexy female and live local luv to hear from u netcollex ltd p per msg reply stop to end
Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,sms,ham,ummma will call after check in our life will begin from qatar so pls pray very hard
K..i deleted my contact that why?,sms,ham,k i deleted my contact that why
Sindu got job in birla soft ..,sms,ham,sindu got job in birla soft
The wine is flowing and i'm i have nevering..,sms,ham,the wine is flowing and i m i have nevering
Yup i thk cine is better cos no need 2 go down 2 plaza mah.,sms,ham,yup i thk cine is better cos no need 2 go down 2 plaza mah
Ok... Ur typical reply...,sms,ham,ok ur typical reply
"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.",sms,ham,you are everywhere dirt on the floor the windows even on my shirt and sometimes when i open my mouth you are all that comes flowing out i dream of my world without you then half my chores are out too a time of joy for me lots of tv shows i ll see but i guess like all things you just must exist like rain hail and mist and when my time here is done you and i become one
Aaooooright are you at work?,sms,ham,aaooooright are you at work
I'm leaving my house now...,sms,ham,i m leaving my house now
"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?",sms,ham,hello my love what are you doing did you get to that interview today are you you happy are you being a good boy do you think of me are you missing me
Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery,sms,scam,customer service annoncement you have a new years delivery waiting for you please call now to arrange delivery
You are a winner U have been specially selected 2 receive £1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,sms,scam,you are a winner u have been specially selected 2 receive 1000 cash or a 4 holiday flights inc speak to a live operator 2 claim
Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life,sms,ham,keep yourself safe for me because i need you and i miss you already and i envy everyone that see s you in real life
New car and house for my parents.:)i have only new job in hand:),sms,ham,new car and house for my parents i have only new job in hand
I'm so in love with you. I'm excited each day i spend with you. You make me so happy.,sms,ham,i m so in love with you i m excited each day i spend with you you make me so happy
-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468,sms,scam,pls stop bootydelious 32 f is inviting you to be her friend reply yes 434 or no 434 see her stop send stop frnd to 62468
"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu",sms,scam,bangbabes ur order is on the way u should receive a service msg 2 download ur content if u do not goto wap bangb tv on ur mobile internet service menu
I place all ur points on e cultures module already.,sms,ham,i place all ur points on e cultures module already
URGENT! We are trying to contact you. Last weekends draw shows that you have won a £900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only,sms,scam,urgent we are trying to contact you last weekends draw shows that you have won a 900 prize guaranteed call claim code s89 valid 12hrs only
"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?",sms,ham,hi frnd which is best way to avoid missunderstding wit our beloved one s
Great escape. I fancy the bridge but needs her lager. See you tomo,sms,ham,great escape i fancy the bridge but needs her lager see you tomo
Yes :)it completely in out of form:)clark also utter waste.,sms,ham,yes it completely in out of form clark also utter waste
"Sir, I need AXIS BANK account no and bank address.",sms,ham,sir i need axis bank account no and bank address
"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao...",sms,ham,hmmm thk sure got time to hop ard ya can go 4 free abt muz call u to discuss liao
What time you coming down later?,sms,ham,what time you coming down later
"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m...",sms,ham,bloody hell cant believe you forgot my surname mr ill give u a clue its spanish and begins with m
"Well, i'm gonna finish my bath now. Have a good...fine night.",sms,ham,well i m gonna finish my bath now have a good fine night
Let me know when you've got the money so carlos can make the call,sms,ham,let me know when you ve got the money so carlos can make the call
U still going to the mall?,sms,ham,u still going to the mall
"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth",sms,ham,turns out my friends are staying for the whole show and won t be back til lt gt so feel free to go ahead and smoke that lt gt worth
Text her. If she doesnt reply let me know so i can have her log in,sms,ham,text her if she doesnt reply let me know so i can have her log in
Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,sms,ham,hi you just spoke to maneesha v we d like to know if you were satisfied with the experience reply toll free with yes or no
You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend,sms,ham,you lifted my hopes with the offer of money i am in need especially when the end of the month approaches and it hurts my studying anyways have a gr8 weekend
Lol no. U can trust me.,sms,ham,lol no u can trust me
ok. I am a gentleman and will treat you with dignity and respect.,sms,ham,ok i am a gentleman and will treat you with dignity and respect
"He will, you guys close?",sms,ham,he will you guys close
Going on nothing great.bye,sms,ham,going on nothing great bye
Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?,sms,ham,hello handsome are you finding that job not being lazy working towards getting back that net for mummy where s my boytoy now does he miss me
"Haha awesome, be there in a minute",sms,ham,haha awesome be there in a minute
Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed £1000 cash or £5000 prize!,sms,scam,please call our customer service representative on freephone between 9am 11pm as you have won a guaranteed 1000 cash or 5000 prize
Have you got Xmas radio times. If not i will get it now,sms,ham,have you got xmas radio times if not i will get it now
I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...,sms,ham,i jus reached home i go bathe first but my sis using net tell u when she finishes k
Are you unique enough? Find out from 30th August. www.areyouunique.co.uk,sms,scam,are you unique enough find out from 30th august
I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|,sms,ham,i m sorry i ve joined the league of people that dont keep in touch you mean a great deal to me you have been a friend at all times even at great personal cost do have a great week
Hi :)finally i completed the course:),sms,ham,hi finally i completed the course
It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.,sms,ham,it will stop on itself i however suggest she stays with someone that will be able to give ors for every stool
How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day,sms,ham,how are you doing hope you ve settled in for the new school year just wishin you a gr8 day
Gud mrng dear hav a nice day,sms,ham,gud mrng dear hav a nice day
Did u got that persons story,sms,ham,did u got that persons story
is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt?,sms,ham,is your hamster dead hey so tmr i meet you at 1pm orchard mrt
Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx,sms,ham,hi its kate how is your evening i hope i can see you tomorrow for a bit but i have to bloody babyjontet txt back if u can xxx
"Found it, ENC  &lt;#&gt; , where you at?",sms,ham,found it enc lt gt where you at
I sent you  &lt;#&gt;  bucks,sms,ham,i sent you lt gt bucks
Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx,sms,ham,hello darlin ive finished college now so txt me when u finish if u can love kate xxx
