text,risk_label,intent_label,tags,language,source,clean_text
Bugungi majlis 15:15 ga surildi. tezroq,SAFE,UNKNOWN,,en,sms,bugungi majlis 15 15 ga surildi tezroq
Why do you ask princess?,SAFE,UNKNOWN,,en,sms,why do you ask princess
Excellent! Are you ready to moan and scream in ecstasy?,SAFE,UNKNOWN,,en,sms,excellent are you ready to moan and scream in ecstasy
cThen i thk shd b enuff.. Still got conclusion n contents pg n references.. I'll b doing da contents pg n cover pg..,SAFE,UNKNOWN,,en,sms,cthen i thk shd b enuff still got conclusion n contents pg n references i ll b doing da contents pg n cover pg
I sent lanre fakeye's Eckankar details to the mail box,SAFE,UNKNOWN,,en,sms,i sent lanre fakeye s eckankar details to the mail box
We confirm eating at esplanade?,SAFE,UNKNOWN,,en,sms,we confirm eating at esplanade
"\AH POOR BABY!HOPE URFEELING BETTERSN LUV! PROBTHAT OVERDOSE OF WORK HEY GO CAREFUL SPK 2 U SN LOTS OF LOVEJEN XXX.\""""",SAFE,UNKNOWN,,en,sms,ah poor baby hope urfeeling bettersn luv probthat overdose of work hey go careful spk 2 u sn lots of lovejen xxx
go'sht narxi qancha ekan hozir?.,SAFE,UNKNOWN,,en,sms,go sht narxi qancha ekan hozir
"That‘s the thing with apes, u can fight to the death to keep something, but the minute they have it when u let go, thats it!",SAFE,UNKNOWN,,en,sms,that s the thing with apes u can fight to the death to keep something but the minute they have it when u let go thats it
"K, I might come by tonight then if my class lets out early",SAFE,UNKNOWN,,en,sms,k i might come by tonight then if my class lets out early
Bugun 8:45 da ko'rishamiz.!,SAFE,UNKNOWN,,en,sms,bugun 8 45 da ko rishamiz
Think you sent the text to the home phone. That cant display texts. If you still want to send it his number is,SAFE,UNKNOWN,,en,sms,think you sent the text to the home phone that cant display texts if you still want to send it his number is
Did either of you have any idea's? Do you know of anyplaces doing something?,SAFE,UNKNOWN,,en,sms,did either of you have any idea s do you know of anyplaces doing something
Ertaga dars 20:00 da boshlanadi. -,SAFE,UNKNOWN,,en,telegram,ertaga dars 20 00 da boshlanadi
Were trying to find a Chinese food place around here,SAFE,UNKNOWN,,en,sms,were trying to find a chinese food place around here
I havent lei.. Next mon can?,SAFE,UNKNOWN,,en,sms,i havent lei next mon can
Hey sathya till now we dint meet not even a single time then how can i saw the situation sathya.,SAFE,UNKNOWN,,en,sms,hey sathya till now we dint meet not even a single time then how can i saw the situation sathya
It's ok i noe u're busy but i'm really too bored so i msg u. I oso dunno wat colour she choose 4 me one.,SAFE,UNKNOWN,,en,sms,it s ok i noe u re busy but i m really too bored so i msg u i oso dunno wat colour she choose 4 me one
Bugun 10:00 da ko'rishamiz. tezroq,SAFE,UNKNOWN,,en,sms,bugun 10 00 da ko rishamiz tezroq
V nice! Off 2 sheffield tom 2 air my opinions on categories 2 b used 2 measure ethnicity in next census. Busy transcribing. :-),SAFE,UNKNOWN,,en,sms,v nice off 2 sheffield tom 2 air my opinions on categories 2 b used 2 measure ethnicity in next census busy transcribing
Guruhga yangi a'zolarni qo'shmanglar iltimos,SAFE,UNKNOWN,,en,telegram,guruhga yangi a zolarni qo shmanglar iltimos
Horrible u eat macs eat until u forgot abt me already rite... U take so long 2 reply. I thk it's more toot than b4 so b prepared. Now wat shall i eat?,SAFE,UNKNOWN,,en,sms,horrible u eat macs eat until u forgot abt me already rite u take so long 2 reply i thk it s more toot than b4 so b prepared now wat shall i eat
"Babe, I need your advice",SAFE,UNKNOWN,,en,sms,babe i need your advice
Uyga qaytayotganda meva olib kel. 👍,SAFE,UNKNOWN,,en,sms,uyga qaytayotganda meva olib kel
Ok i'm coming home now.,SAFE,UNKNOWN,,en,sms,ok i m coming home now
Telegramdan yozaman hozir....,SAFE,UNKNOWN,,en,telegram,telegramdan yozaman hozir
Bugun 12:30 da ko'rishamiz.?,SAFE,UNKNOWN,,en,telegram,bugun 12 30 da ko rishamiz
Dear where you. Call me,SAFE,UNKNOWN,,en,sms,dear where you call me
Those cocksuckers. If it makes you feel better ipads are worthless garbage novelty items and you should feel bad for even wanting one,SAFE,UNKNOWN,,en,sms,those cocksuckers if it makes you feel better ipads are worthless garbage novelty items and you should feel bad for even wanting one
"HEY KATE, HOPE UR OK... WILL GIVE U A BUZ WEDLUNCH. GO OUTSOMEWHERE 4 ADRINK IN TOWN..CUD GO 2WATERSHD 4 A BIT? PPL FROMWRK WILL BTHERE. LOVE PETEXXX.",SAFE,UNKNOWN,,en,sms,hey kate hope ur ok will give u a buz wedlunch go outsomewhere 4 adrink in town cud go 2watershd 4 a bit ppl fromwrk will bthere love petexxx
Gain the rights of a wife.dont demand it.i am trying as husband too.Lets see,SAFE,UNKNOWN,,en,sms,gain the rights of a wife dont demand it i am trying as husband too lets see
"Menga 150,000 so'm tashlab tura olasanmi? tezroq",SAFE,UNKNOWN,,en,sms,menga 150 000 so m tashlab tura olasanmi tezroq
I dont know what to do to come out of this so only am ask questions like this dont mistake me.,SAFE,UNKNOWN,,en,sms,i dont know what to do to come out of this so only am ask questions like this dont mistake me
Wat so late still early mah. Or we juz go 4 dinner lor. Aiya i dunno...,SAFE,UNKNOWN,,en,sms,wat so late still early mah or we juz go 4 dinner lor aiya i dunno
7 at esplanade.. Do Ã_ mind giving me a lift cos i got no car today..,SAFE,UNKNOWN,,en,sms,7 at esplanade do ã _ mind giving me a lift cos i got no car today
"\Hi missed your Call and my mumHas beendropping red wine all over theplace! what is your adress?\""""",SAFE,UNKNOWN,,en,sms,hi missed your call and my mumhas beendropping red wine all over theplace what is your adress
Are you this much buzy,SAFE,UNKNOWN,,en,sms,are you this much buzy
"Menga 286 000 tashlab ber, ertaga qaytaraman.!",SAFE,UNKNOWN,,en,telegram,menga 286 000 tashlab ber ertaga qaytaraman
I have 2 docs appointments next week.:/ I'm tired of them shoving stuff up me. Ugh why couldn't I have had a normal body?,SAFE,UNKNOWN,,en,sms,i have 2 docs appointments next week i m tired of them shoving stuff up me ugh why couldn t i have had a normal body
"Jay wants to work out first, how's 4 sound?",SAFE,UNKNOWN,,en,sms,jay wants to work out first how s 4 sound
"You are always putting your business out there. You put pictures of your ass on facebook. You are one of the most open people i've ever met. Why would i think a picture of your room would hurt you, make you feel violated.",SAFE,UNKNOWN,,en,sms,you are always putting your business out there you put pictures of your ass on facebook you are one of the most open people i ve ever met why would i think a picture of your room would hurt you make you feel violated
"Me also da, i feel yesterday night  wait til 2day night dear.",SAFE,UNKNOWN,,en,sms,me also da i feel yesterday night wait til 2day night dear
Bugun 12:45 da ko'rishamiz.!,SAFE,UNKNOWN,,en,telegram,bugun 12 45 da ko rishamiz
No I don't have cancer. Moms making a big deal out of a regular checkup aka pap smear,SAFE,UNKNOWN,,en,sms,no i don t have cancer moms making a big deal out of a regular checkup aka pap smear
Tell rob to mack his gf in the theater,SAFE,UNKNOWN,,en,sms,tell rob to mack his gf in the theater
Uyga qaytayotganda kitob olib kel.?,SAFE,UNKNOWN,,en,sms,uyga qaytayotganda kitob olib kel
Uyga qaytayotganda kartoshka olib kel. :),SAFE,UNKNOWN,,en,sms,uyga qaytayotganda kartoshka olib kel
Wish u many many returns of the day.. Happy birthday vikky..,SAFE,UNKNOWN,,en,sms,wish u many many returns of the day happy birthday vikky
Allo! We have braved the buses and taken on the trains and triumphed. I mean we‘re in b‘ham. Have a jolly good rest of week,SAFE,UNKNOWN,,en,sms,allo we have braved the buses and taken on the trains and triumphed i mean we re in b ham have a jolly good rest of week
Thank you baby! I cant wait to taste the real thing...,SAFE,UNKNOWN,,en,sms,thank you baby i cant wait to taste the real thing
Tell me pa. How is pain de.,SAFE,UNKNOWN,,en,sms,tell me pa how is pain de
The greatest test of courage on earth is to bear defeat without losing heart....gn tc,SAFE,UNKNOWN,,en,sms,the greatest test of courage on earth is to bear defeat without losing heart gn tc
Bugungi majlis 11:15 ga surildi.,SAFE,UNKNOWN,,en,sms,bugungi majlis 11 15 ga surildi
Bugungi majlis 17:00 ga surildi. tezroq,SAFE,UNKNOWN,,en,telegram,bugungi majlis 17 00 ga surildi tezroq
Bugungi majlis 17:30 ga surildi.?,SAFE,UNKNOWN,,en,telegram,bugungi majlis 17 30 ga surildi
Hmmm.but you should give it on one day..,SAFE,UNKNOWN,,en,sms,hmmm but you should give it on one day
Or ü go buy wif him then i meet ü later can?,SAFE,UNKNOWN,,en,sms,or ü go buy wif him then i meet ü later can
For The First Time In The History 'Need' 'Comfort' And 'Luxury' Are Sold At Same Price In India..!! Onion-Rs. &lt;#&gt;  Petrol-Rs. &lt;#&gt;  Beer-Rs. &lt;#&gt;  SHESIL  &lt;#&gt;,SAFE,UNKNOWN,,en,sms,for the first time in the history need comfort and luxury are sold at same price in india onion rs lt gt petrol rs lt gt beer rs lt gt shesil lt gt
AH POOR BABY!HOPE URFEELING BETTERSN LUV! PROBTHAT OVERDOSE OF WORK HEY GO CAREFUL SPK 2 U SN LOTS OF LOVEJEN XXX.,SAFE,UNKNOWN,,en,sms,ah poor baby hope urfeeling bettersn luv probthat overdose of work hey go careful spk 2 u sn lots of lovejen xxx
In work now. Going have in few min.,SAFE,UNKNOWN,,en,sms,in work now going have in few min
Bugun 15:00 da ko'rishamiz.?,SAFE,UNKNOWN,,en,telegram,bugun 15 00 da ko rishamiz
Well boy am I glad G wasted all night at applebees for nothing,SAFE,UNKNOWN,,en,sms,well boy am i glad g wasted all night at applebees for nothing
Dunno lei... I might b eatin wif my frens... If Ã_ wan to eat then i wait 4 Ã_ lar,SAFE,UNKNOWN,,en,sms,dunno lei i might b eatin wif my frens if ã _ wan to eat then i wait 4 ã _ lar
In which place do you want da.,SAFE,UNKNOWN,,en,sms,in which place do you want da
kartoshka narxi qancha ekan hozir?.,SAFE,UNKNOWN,,en,sms,kartoshka narxi qancha ekan hozir
Then just eat a shit and wait for ur monkey face bitch.......... U asshole..................,SAFE,UNKNOWN,,en,sms,then just eat a shit and wait for ur monkey face bitch u asshole
It is a good thing I'm now getting the connection to bw,SAFE,UNKNOWN,,en,sms,it is a good thing i m now getting the connection to bw
Bugungi majlis 21:00 ga surildi. :),SAFE,UNKNOWN,,en,telegram,bugungi majlis 21 00 ga surildi
Uyga qaytayotganda ruchka olib kel.!,SAFE,UNKNOWN,,en,sms,uyga qaytayotganda ruchka olib kel
Well she's in for a big surprise!,SAFE,UNKNOWN,,en,sms,well she s in for a big surprise
"Ya tel, wats ur problem..",SAFE,UNKNOWN,,en,sms,ya tel wats ur problem
ruchka narxi qancha ekan hozir?,SAFE,UNKNOWN,,en,sms,ruchka narxi qancha ekan hozir
Bugun 17:00 da ko'rishamiz..,SAFE,UNKNOWN,,en,telegram,bugun 17 00 da ko rishamiz
I attended but nothing is there.,SAFE,UNKNOWN,,en,sms,i attended but nothing is there
Hi.what you think about match?,SAFE,UNKNOWN,,en,sms,hi what you think about match
Bugungi majlis 17:30 ga surildi..,SAFE,UNKNOWN,,en,telegram,bugungi majlis 17 30 ga surildi
I think just yourself …Thanks and see you tomo,SAFE,UNKNOWN,,en,sms,i think just yourself thanks and see you tomo
Yeah imma come over cause jay wants to do some drugs,SAFE,UNKNOWN,,en,sms,yeah imma come over cause jay wants to do some drugs
kartoshka narxi qancha ekan hozir? tezroq,SAFE,UNKNOWN,,en,telegram,kartoshka narxi qancha ekan hozir tezroq
I don't know jack shit about anything or i'd say/ask something helpful but if you want you can pretend that I did and just text me whatever in response to the hypotheticalhuagauahahuagahyuhagga,SAFE,UNKNOWN,,en,sms,i don t know jack shit about anything or i d say ask something helpful but if you want you can pretend that i did and just text me whatever in response to the hypotheticalhuagauahahuagahyuhagga
Hey leave it. not a big deal:-) take care.,SAFE,UNKNOWN,,en,sms,hey leave it not a big deal take care
I'm not. She lip synced with shangela.,SAFE,UNKNOWN,,en,sms,i m not she lip synced with shangela
Uyga qaytayotganda ruchka olib kel. :),SAFE,UNKNOWN,,en,sms,uyga qaytayotganda ruchka olib kel
ÃÃ neva tell me how i noe... I'm not at home in da aft wat...,SAFE,UNKNOWN,,en,sms,ã ã neva tell me how i noe i m not at home in da aft wat
Got it..mail panren paru..,SAFE,UNKNOWN,,en,sms,got it mail panren paru
"Alright if you're sure, let me know when you're leaving",SAFE,UNKNOWN,,en,sms,alright if you re sure let me know when you re leaving
Can ü call me at 10:10 to make sure dat i've woken up...,SAFE,UNKNOWN,,en,sms,can ü call me at 10 10 to make sure dat i ve woken up
Hi. || Do u want | to join me with sts later? || Meeting them at five. || Call u after class.,SAFE,UNKNOWN,,en,sms,hi do u want to join me with sts later meeting them at five call u after class
Uyga qaytayotganda non olib kel....,SAFE,UNKNOWN,,en,sms,uyga qaytayotganda non olib kel
"Storming msg: Wen u lift d phne, u say \HELLO\"" Do u knw wt is d real meaning of HELLO?? . . . It's d name of a girl..! . . . Yes.. And u knw who is dat girl?? \""Margaret Hello\"" She is d girlfrnd f Grahmbell who invnted telphone... . . . . Moral:One can 4get d name of a person",SAFE,UNKNOWN,,en,sms,storming msg wen u lift d phne u say hello do u knw wt is d real meaning of hello it s d name of a girl yes and u knw who is dat girl margaret hello she is d girlfrnd f grahmbell who invnted telphone moral one can 4get d name of a person
"Menga 1460,000 so'm tashlab tura olasanmi? tezroq",SAFE,UNKNOWN,,en,sms,menga 1460 000 so m tashlab tura olasanmi tezroq
Are you plans with your family set in stone ?,SAFE,UNKNOWN,,en,sms,are you plans with your family set in stone
Olol i printed out a forum post by a guy with the exact same  prob which was fixed with a gpu replacement. Hopefully they dont ignore that.,SAFE,UNKNOWN,,en,sms,olol i printed out a forum post by a guy with the exact same prob which was fixed with a gpu replacement hopefully they dont ignore that
All done? All handed in? Celebrations in full swing yet?,SAFE,UNKNOWN,,en,sms,all done all handed in celebrations in full swing yet
WOT STUDENT DISCOUNT CAN U GET ON BOOKS?,SAFE,UNKNOWN,,en,sms,wot student discount can u get on books
Hey loverboy! I love you !! I had to tell ... I look at your picture and ache to feel you between my legs ... Fuck I want you ... I need you ... I crave you .,SAFE,UNKNOWN,,en,sms,hey loverboy i love you i had to tell i look at your picture and ache to feel you between my legs fuck i want you i need you i crave you
Yup Ã_ not comin :-(,SAFE,UNKNOWN,,en,sms,yup ã _ not comin
So wats ur opinion abt him and how abt is character?,SAFE,UNKNOWN,,en,sms,so wats ur opinion abt him and how abt is character
Thats cool. i am a gentleman and will treat you with dignity and respect.,SAFE,UNKNOWN,,en,sms,thats cool i am a gentleman and will treat you with dignity and respect
"Ok, be careful ! Don't text and drive !",SAFE,UNKNOWN,,en,sms,ok be careful don t text and drive
Bugun 14:15 da ko'rishamiz....,SAFE,UNKNOWN,,en,telegram,bugun 14 15 da ko rishamiz
Bugungi majlis 21:15 ga surildi.,SAFE,UNKNOWN,,en,sms,bugungi majlis 21 15 ga surildi
Got it. Seventeen pounds for seven hundred ml – hope ok.,SAFE,UNKNOWN,,en,sms,got it seventeen pounds for seven hundred ml hope ok
"Menga 360,000 so'm tashlab tura olasanmi?!",SAFE,UNKNOWN,,en,telegram,menga 360 000 so m tashlab tura olasanmi
Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,SAFE,UNKNOWN,,en,sms,pls go ahead with watts i just wanted to be sure do have a great weekend abiola
I tot u reach liao. He said t-shirt.,SAFE,UNKNOWN,,en,sms,i tot u reach liao he said t shirt
I was at bugis juz now wat... But now i'm walking home oredi... Ü so late then reply... I oso saw a top dat i like but din buy... Where r ü now?,SAFE,UNKNOWN,,en,sms,i was at bugis juz now wat but now i m walking home oredi ü so late then reply i oso saw a top dat i like but din buy where r ü now
This girl does not stay in bed. This girl doesn't need recovery time. Id rather pass out while having fun then be cooped up in bed,SAFE,UNKNOWN,,en,sms,this girl does not stay in bed this girl doesn t need recovery time id rather pass out while having fun then be cooped up in bed
Bugungi majlis 12:00 ga surildi....,SAFE,UNKNOWN,,en,telegram,bugungi majlis 12 00 ga surildi
"Faylni yuklab oldim, rahmat",SAFE,UNKNOWN,,en,telegram,faylni yuklab oldim rahmat
"Yes, princess. Toledo.",SAFE,UNKNOWN,,en,sms,yes princess toledo
"Sorry chikku, my cell got some problem thts y i was nt able to reply u or msg u..",SAFE,UNKNOWN,,en,sms,sorry chikku my cell got some problem thts y i was nt able to reply u or msg u
"Menga 1920,000 so'm tashlab tura olasanmi?...",SAFE,UNKNOWN,,en,sms,menga 1920 000 so m tashlab tura olasanmi
I‘m parked next to a MINI!!!! When are you coming in today do you think?,SAFE,UNKNOWN,,en,sms,i m parked next to a mini when are you coming in today do you think
shirinlik narxi qancha ekan hozir?,SAFE,UNKNOWN,,en,sms,shirinlik narxi qancha ekan hozir
Men hozir ishdamon.?,SAFE,UNKNOWN,,en,telegram,men hozir ishdamon
Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,SAFE,UNKNOWN,,en,sms,just forced myself to eat a slice i m really not hungry tho this sucks mark is getting worried he knows i m sick when i turn down pizza lol
"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",SAFE,UNKNOWN,,en,sms,wa ur openin sentence very formal anyway i m fine too juz tt i m eatin too much n puttin on weight haha so anythin special happened
"Menga 4420,000 so'm tashlab tura olasanmi?.",SAFE,UNKNOWN,,en,sms,menga 4420 000 so m tashlab tura olasanmi
O. Well uv causes mutations. Sunscreen is like essential thesedays,SAFE,UNKNOWN,,en,sms,o well uv causes mutations sunscreen is like essential thesedays
"OH YEAH,AND HAV A GREAT TIME IN NEWQUAY-SEND ME A POSTCARD !1 LOOK AFTER ALL THE GIRLS WHILE IM GONE(U KNOW THE 1IM TALKIN BOUT!)xx",SAFE,UNKNOWN,,en,sms,oh yeah and hav a great time in newquay send me a postcard 1 look after all the girls while im gone u know the 1im talkin bout xx
ÃÃ predict wat time Ã_'ll finish buying?,SAFE,UNKNOWN,,en,sms,ã ã predict wat time ã _ ll finish buying
Good Morning plz call me sir,SAFE,UNKNOWN,,en,sms,good morning plz call me sir
I come n pick Ã_ up... Come out immediately aft ur lesson...,SAFE,UNKNOWN,,en,sms,i come n pick ã _ up come out immediately aft ur lesson
"\CHEERS U TEX MECAUSE U WEREBORED! YEAH OKDEN HUNNY R UIN WK SAT?SOUNDÃ¥ÃS LIKEYOUR HAVIN GR8FUN J! KEEP UPDAT COUNTINLOTS OF LOVEME XXXXX.\""""",SAFE,UNKNOWN,,en,sms,cheers u tex mecause u werebored yeah okden hunny r uin wk sat soundã ã s likeyour havin gr8fun j keep updat countinlots of loveme xxxxx
Vazifani jo'natvor iltimos. OK,SAFE,UNKNOWN,,en,sms,vazifani jo natvor iltimos ok
Uyga qaytayotganda shakar olib kel. :),SAFE,UNKNOWN,,en,sms,uyga qaytayotganda shakar olib kel
"\HELLO U.CALL WEN U FINISH WRK.I FANCY MEETIN UP WIV U ALL TONITE AS I NEED A BREAK FROM DABOOKS. DID 4 HRS LAST NITE+2 TODAY OF WRK!\""""",SAFE,UNKNOWN,,en,sms,hello u call wen u finish wrk i fancy meetin up wiv u all tonite as i need a break from dabooks did 4 hrs last nite 2 today of wrk
Bugun 10:00 da ko'rishamiz..,SAFE,UNKNOWN,,en,telegram,bugun 10 00 da ko rishamiz
